'Time','II','PLETH','ABP','III'
'[18:52:11.048]',0.195,0.569,48.438,-
'[18:52:11.056]',0.211,0.561,48.438,-
'[18:52:11.064]',0.211,0.553,47.656,-
'[18:52:11.072]',0.219,0.549,47.656,-
'[18:52:11.080]',0.234,0.541,46.875,-
'[18:52:11.088]',0.242,0.533,46.875,-
'[18:52:11.096]',0.258,0.525,46.875,-
'[18:52:11.104]',0.281,0.518,46.875,-
'[18:52:11.112]',0.312,0.510,47.656,-
'[18:52:11.120]',0.336,0.502,47.656,-
'[18:52:11.128]',0.367,0.498,47.656,-
'[18:52:11.136]',0.398,0.494,47.656,-
'[18:52:11.144]',0.438,0.490,49.219,-
'[18:52:11.152]',0.477,0.486,53.125,-
'[18:52:11.160]',0.500,0.486,59.375,-
'[18:52:11.168]',0.516,0.482,65.625,-
'[18:52:11.176]',0.531,0.478,70.312,-
'[18:52:11.184]',0.516,0.475,74.219,-
'[18:52:11.192]',0.477,0.471,76.562,-
'[18:52:11.200]',0.422,0.467,78.906,-
'[18:52:11.208]',0.367,0.467,81.250,-
'[18:52:11.216]',0.320,0.463,82.031,-
'[18:52:11.224]',0.281,0.459,82.031,-
'[18:52:11.232]',0.242,0.459,80.469,-
'[18:52:11.240]',0.227,0.459,79.688,-
'[18:52:11.248]',0.211,0.455,77.344,-
'[18:52:11.256]',0.203,0.455,75.781,-
'[18:52:11.264]',0.195,0.455,74.219,-
'[18:52:11.272]',0.188,0.451,71.875,-
'[18:52:11.280]',0.188,0.447,70.312,-
'[18:52:11.288]',0.188,0.443,67.969,-
'[18:52:11.296]',0.188,0.439,65.625,-
'[18:52:11.304]',0.188,0.431,63.281,-
'[18:52:11.312]',0.188,0.427,61.719,-
'[18:52:11.320]',0.188,0.420,59.375,-
'[18:52:11.328]',0.195,0.416,57.812,-
'[18:52:11.336]',0.227,0.408,56.250,-
'[18:52:11.344]',0.242,0.400,54.688,-
'[18:52:11.352]',0.258,0.396,53.906,-
'[18:52:11.360]',0.289,0.392,53.906,-
'[18:52:11.368]',0.320,0.388,53.125,-
'[18:52:11.376]',0.336,0.380,53.125,-
'[18:52:11.384]',0.312,0.376,53.906,-
'[18:52:11.392]',0.273,0.376,53.906,-
'[18:52:11.400]',0.234,0.373,53.906,-
'[18:52:11.408]',0.203,0.369,54.688,-
'[18:52:11.416]',0.188,0.365,55.469,-
'[18:52:11.424]',0.172,0.361,56.250,-
'[18:52:11.432]',0.172,0.361,56.250,-
'[18:52:11.440]',0.164,0.361,56.250,-
'[18:52:11.448]',0.164,0.361,56.250,-
'[18:52:11.456]',0.164,0.365,56.250,-
'[18:52:11.464]',0.164,0.373,57.031,-
'[18:52:11.472]',0.164,0.380,57.812,-
'[18:52:11.480]',0.156,0.392,57.812,-
'[18:52:11.488]',0.195,0.408,57.812,-
'[18:52:11.496]',0.320,0.424,56.250,-
'[18:52:11.504]',0.562,0.439,53.906,-
'[18:52:11.512]',0.781,0.459,51.562,-
'[18:52:11.520]',0.836,0.475,50.000,-
'[18:52:11.528]',0.758,0.494,49.219,-
'[18:52:11.536]',0.617,0.510,49.219,-
'[18:52:11.544]',0.445,0.522,46.875,-
'[18:52:11.552]',0.320,0.533,46.094,-
'[18:52:11.560]',0.242,0.541,47.656,-
'[18:52:11.568]',0.203,0.545,50.000,-
'[18:52:11.576]',0.172,0.549,50.000,-
'[18:52:11.584]',0.156,0.549,47.656,-
'[18:52:11.592]',0.141,0.549,46.875,-
'[18:52:11.600]',0.141,0.549,47.656,-
'[18:52:11.608]',0.141,0.545,50.000,-
'[18:52:11.616]',0.141,0.541,50.781,-
'[18:52:11.624]',0.156,0.537,51.562,-
'[18:52:11.632]',0.164,0.529,53.125,-
'[18:52:11.640]',0.180,0.522,53.906,-
'[18:52:11.648]',0.195,0.514,50.781,-
'[18:52:11.656]',0.211,0.502,43.750,-
'[18:52:11.664]',0.227,0.498,37.500,-
'[18:52:11.672]',0.234,0.490,38.281,-
'[18:52:11.680]',0.250,0.482,46.875,-
'[18:52:11.688]',0.258,0.475,57.031,-
'[18:52:11.696]',0.273,0.467,61.719,-
'[18:52:11.704]',0.297,0.463,57.812,-
'[18:52:11.712]',0.320,0.459,49.219,-
'[18:52:11.720]',0.352,0.455,40.625,-
'[18:52:11.728]',0.383,0.451,35.938,-
'[18:52:11.736]',0.422,0.451,39.062,-
'[18:52:11.744]',0.453,0.447,48.438,-
'[18:52:11.752]',0.484,0.447,57.031,-
'[18:52:11.760]',0.508,0.447,61.719,-
'[18:52:11.768]',0.523,0.443,64.062,-
'[18:52:11.776]',0.531,0.443,70.312,-
'[18:52:11.784]',0.492,0.439,78.906,-
'[18:52:11.792]',0.438,0.435,85.156,-
'[18:52:11.800]',0.383,0.435,85.156,-
'[18:52:11.808]',0.336,0.431,80.469,-
'[18:52:11.816]',0.297,0.427,73.438,-
'[18:52:11.824]',0.258,0.424,70.312,-
'[18:52:11.832]',0.234,0.420,74.219,-
'[18:52:11.840]',0.219,0.416,80.469,-
'[18:52:11.848]',0.211,0.412,82.812,-
'[18:52:11.856]',0.203,0.408,78.906,-
'[18:52:11.864]',0.195,0.408,72.656,-
'[18:52:11.872]',0.188,0.404,69.531,-
'[18:52:11.880]',0.188,0.400,68.750,-
'[18:52:11.888]',0.188,0.396,67.188,-
'[18:52:11.896]',0.195,0.396,61.719,-
'[18:52:11.904]',0.195,0.392,53.906,-
'[18:52:11.912]',0.203,0.388,46.094,-
'[18:52:11.920]',0.211,0.380,42.969,-
'[18:52:11.928]',0.242,0.376,47.656,-
'[18:52:11.936]',0.266,0.373,57.812,-
'[18:52:11.944]',0.281,0.369,64.844,-
'[18:52:11.952]',0.320,0.365,64.062,-
'[18:52:11.960]',0.359,0.365,56.250,-
'[18:52:11.968]',0.367,0.361,49.219,-
'[18:52:11.976]',0.336,0.361,48.438,-
'[18:52:11.984]',0.297,0.357,53.906,-
'[18:52:11.992]',0.266,0.357,59.375,-
'[18:52:12.000]',0.242,0.353,60.938,-
'[18:52:12.008]',0.227,0.349,57.031,-
'[18:52:12.016]',0.211,0.345,49.219,-
'[18:52:12.024]',0.211,0.345,42.188,-
'[18:52:12.032]',0.203,0.345,41.406,-
'[18:52:12.040]',0.195,0.345,50.781,-
'[18:52:12.048]',0.195,0.349,64.062,-
'[18:52:12.056]',0.195,0.353,70.312,-
'[18:52:12.064]',0.188,0.361,65.625,-
'[18:52:12.072]',0.188,0.373,57.031,-
'[18:52:12.080]',0.211,0.384,51.562,-
'[18:52:12.088]',0.320,0.400,50.781,-
'[18:52:12.096]',0.578,0.416,51.562,-
'[18:52:12.104]',0.805,0.435,51.562,-
'[18:52:12.112]',0.852,0.451,50.000,-
'[18:52:12.120]',0.781,0.467,46.875,-
'[18:52:12.128]',0.625,0.482,42.969,-
'[18:52:12.136]',0.453,0.498,38.281,-
'[18:52:12.144]',0.320,0.510,34.375,-
'[18:52:12.152]',0.250,0.518,34.375,-
'[18:52:12.160]',0.211,0.525,36.719,-
'[18:52:12.168]',0.188,0.529,40.625,-
'[18:52:12.176]',0.172,0.533,44.531,-
'[18:52:12.184]',0.156,0.537,46.875,-
'[18:52:12.192]',0.148,0.537,48.438,-
'[18:52:12.200]',0.148,0.533,50.781,-
'[18:52:12.208]',0.156,0.529,55.469,-
'[18:52:12.216]',0.164,0.525,60.938,-
'[18:52:12.224]',0.172,0.518,61.719,-
'[18:52:12.232]',0.188,0.510,55.469,-
'[18:52:12.240]',0.195,0.502,46.875,-
'[18:52:12.248]',0.203,0.494,46.094,-
'[18:52:12.256]',0.219,0.486,57.031,-
'[18:52:12.264]',0.234,0.482,71.875,-
'[18:52:12.272]',0.250,0.475,73.438,-
'[18:52:12.280]',0.266,0.467,55.469,-
'[18:52:12.288]',0.281,0.463,33.594,-
'[18:52:12.296]',0.305,0.455,25.000,-
'[18:52:12.304]',0.328,0.451,31.250,-
'[18:52:12.312]',0.359,0.447,39.844,-
'[18:52:12.320]',0.391,0.443,46.094,-
'[18:52:12.328]',0.430,0.439,54.688,-
'[18:52:12.336]',0.461,0.439,66.406,-
'[18:52:12.344]',0.500,0.439,74.219,-
'[18:52:12.352]',0.531,0.439,77.344,-
'[18:52:12.360]',0.547,0.439,76.562,-
'[18:52:12.368]',0.555,0.439,75.781,-
'[18:52:12.376]',0.531,0.439,75.000,-
'[18:52:12.384]',0.477,0.439,75.781,-
'[18:52:12.392]',0.422,0.435,76.562,-
'[18:52:12.400]',0.367,0.435,78.906,-
'[18:52:12.408]',0.320,0.431,80.469,-
'[18:52:12.416]',0.289,0.427,81.250,-
'[18:52:12.424]',0.266,0.424,78.906,-
'[18:52:12.432]',0.250,0.420,76.562,-
'[18:52:12.440]',0.242,0.420,74.219,-
'[18:52:12.448]',0.234,0.416,73.438,-
'[18:52:12.456]',0.227,0.416,72.656,-
'[18:52:12.464]',0.227,0.412,71.875,-
'[18:52:12.472]',0.219,0.416,72.656,-
'[18:52:12.480]',0.219,0.420,71.875,-
'[18:52:12.488]',0.219,0.420,67.969,-
'[18:52:12.496]',0.219,0.416,62.500,-
'[18:52:12.504]',0.227,0.416,57.031,-
'[18:52:12.512]',0.250,0.412,54.688,-
'[18:52:12.520]',0.273,0.408,53.906,-
'[18:52:12.528]',0.289,0.408,54.688,-
'[18:52:12.536]',0.312,0.404,55.469,-
'[18:52:12.544]',0.352,0.400,57.031,-
'[18:52:12.552]',0.367,0.400,58.594,-
'[18:52:12.560]',0.375,0.396,58.594,-
'[18:52:12.568]',0.336,0.396,58.594,-
'[18:52:12.576]',0.297,0.392,57.812,-
'[18:52:12.584]',0.266,0.392,57.031,-
'[18:52:12.592]',0.250,0.388,57.031,-
'[18:52:12.600]',0.227,0.388,57.812,-
'[18:52:12.608]',0.219,0.388,57.812,-
'[18:52:12.616]',0.211,0.388,57.812,-
'[18:52:12.624]',0.211,0.392,57.812,-
'[18:52:12.632]',0.203,0.396,57.812,-
'[18:52:12.640]',0.203,0.404,57.031,-
'[18:52:12.648]',0.203,0.412,56.250,-
'[18:52:12.656]',0.188,0.420,56.250,-
'[18:52:12.664]',0.195,0.435,56.250,-
'[18:52:12.672]',0.250,0.451,58.594,-
'[18:52:12.680]',0.453,0.471,60.938,-
'[18:52:12.688]',0.742,0.490,62.500,-
'[18:52:12.696]',0.906,0.514,61.719,-
'[18:52:12.704]',0.914,0.533,59.375,-
'[18:52:12.712]',0.781,0.553,56.250,-
'[18:52:12.720]',0.609,0.573,55.469,-
'[18:52:12.728]',0.445,0.588,54.688,-
'[18:52:12.736]',0.336,0.604,54.688,-
'[18:52:12.744]',0.281,0.616,54.688,-
'[18:52:12.752]',0.242,0.624,54.688,-
'[18:52:12.760]',0.211,0.631,52.344,-
'[18:52:12.768]',0.203,0.631,49.219,-
'[18:52:12.776]',0.195,0.635,46.094,-
'[18:52:12.784]',0.195,0.635,46.094,-
'[18:52:12.792]',0.203,0.635,48.438,-
'[18:52:12.800]',0.211,0.631,50.781,-
'[18:52:12.808]',0.219,0.627,51.562,-
'[18:52:12.816]',0.227,0.620,51.562,-
'[18:52:12.824]',0.242,0.616,50.781,-
'[18:52:12.832]',0.250,0.608,50.000,-
'[18:52:12.840]',0.258,0.600,49.219,-
'[18:52:12.848]',0.266,0.592,48.438,-
'[18:52:12.856]',0.281,0.584,48.438,-
'[18:52:12.864]',0.289,0.576,49.219,-
'[18:52:12.872]',0.297,0.573,49.219,-
'[18:52:12.880]',0.312,0.565,49.219,-
'[18:52:12.888]',0.336,0.561,49.219,-
'[18:52:12.896]',0.367,0.553,49.219,-
'[18:52:12.904]',0.391,0.549,49.219,-
'[18:52:12.912]',0.430,0.549,50.000,-
'[18:52:12.920]',0.469,0.545,52.344,-
'[18:52:12.928]',0.500,0.541,57.812,-
'[18:52:12.936]',0.531,0.537,64.062,-
'[18:52:12.944]',0.547,0.537,70.312,-
'[18:52:12.952]',0.562,0.533,75.000,-
'[18:52:12.960]',0.539,0.529,77.344,-
'[18:52:12.968]',0.492,0.529,79.688,-
'[18:52:12.976]',0.438,0.525,82.031,-
'[18:52:12.984]',0.375,0.522,83.594,-
'[18:52:12.992]',0.328,0.518,83.594,-
'[18:52:13.000]',0.289,0.518,82.812,-
'[18:52:13.008]',0.266,0.514,82.031,-
'[18:52:13.016]',0.250,0.510,80.469,-
'[18:52:13.024]',0.234,0.506,78.125,-
'[18:52:13.032]',0.227,0.502,76.562,-
'[18:52:13.040]',0.227,0.498,74.219,-
'[18:52:13.048]',0.219,0.490,71.875,-
'[18:52:13.056]',0.211,0.486,69.531,-
'[18:52:13.064]',0.211,0.482,67.969,-
'[18:52:13.072]',0.211,0.478,65.625,-
'[18:52:13.080]',0.219,0.478,64.062,-
'[18:52:13.088]',0.219,0.475,61.719,-
'[18:52:13.096]',0.227,0.471,60.156,-
'[18:52:13.104]',0.242,0.467,58.594,-
'[18:52:13.112]',0.266,0.463,57.031,-
'[18:52:13.120]',0.281,0.455,56.250,-
'[18:52:13.128]',0.312,0.451,55.469,-
'[18:52:13.136]',0.352,0.447,55.469,-
'[18:52:13.144]',0.367,0.443,55.469,-
'[18:52:13.152]',0.359,0.439,55.469,-
'[18:52:13.160]',0.328,0.435,55.469,-
'[18:52:13.168]',0.281,0.431,56.250,-
'[18:52:13.176]',0.250,0.424,56.250,-
'[18:52:13.184]',0.227,0.420,56.250,-
'[18:52:13.192]',0.203,0.412,57.031,-
'[18:52:13.200]',0.195,0.404,57.031,-
'[18:52:13.208]',0.188,0.400,57.812,-
'[18:52:13.216]',0.188,0.400,57.812,-
'[18:52:13.224]',0.188,0.400,57.812,-
'[18:52:13.232]',0.188,0.408,57.812,-
'[18:52:13.240]',0.188,0.416,57.031,-
'[18:52:13.248]',0.188,0.424,57.031,-
'[18:52:13.256]',0.195,0.435,56.250,-
'[18:52:13.264]',0.266,0.451,56.250,-
'[18:52:13.272]',0.461,0.471,55.469,-
'[18:52:13.280]',0.719,0.490,54.688,-
'[18:52:13.288]',0.852,0.510,53.906,-
'[18:52:13.296]',0.820,0.525,53.125,-
'[18:52:13.304]',0.703,0.541,52.344,-
'[18:52:13.312]',0.547,0.557,52.344,-
'[18:52:13.320]',0.391,0.573,51.562,-
'[18:52:13.328]',0.297,0.584,50.781,-
'[18:52:13.336]',0.242,0.592,50.781,-
'[18:52:13.344]',0.203,0.596,50.000,-
'[18:52:13.352]',0.188,0.600,50.000,-
'[18:52:13.360]',0.172,0.600,49.219,-
'[18:52:13.368]',0.164,0.600,49.219,-
'[18:52:13.376]',0.156,0.596,49.219,-
'[18:52:13.384]',0.156,0.592,48.438,-
'[18:52:13.392]',0.164,0.588,48.438,-
'[18:52:13.400]',0.172,0.580,47.656,-
'[18:52:13.408]',0.188,0.576,47.656,-
'[18:52:13.416]',0.195,0.569,47.656,-
'[18:52:13.424]',0.203,0.561,46.875,-
'[18:52:13.432]',0.219,0.553,46.875,-
'[18:52:13.440]',0.227,0.541,46.875,-
'[18:52:13.448]',0.242,0.537,46.875,-
'[18:52:13.456]',0.250,0.529,46.875,-
'[18:52:13.464]',0.273,0.525,46.875,-
'[18:52:13.472]',0.289,0.518,46.094,-
'[18:52:13.480]',0.312,0.510,46.094,-
'[18:52:13.488]',0.336,0.506,46.094,-
'[18:52:13.496]',0.375,0.502,46.094,-
'[18:52:13.504]',0.406,0.498,46.875,-
'[18:52:13.512]',0.445,0.494,49.219,-
'[18:52:13.520]',0.477,0.490,53.906,-
'[18:52:13.528]',0.516,0.486,59.375,-
'[18:52:13.536]',0.539,0.482,65.625,-
'[18:52:13.544]',0.547,0.482,70.312,-
'[18:52:13.552]',0.516,0.478,73.438,-
'[18:52:13.560]',0.477,0.475,75.781,-
'[18:52:13.568]',0.422,0.475,77.344,-
'[18:52:13.576]',0.367,0.471,78.906,-
'[18:52:13.584]',0.320,0.467,79.688,-
'[18:52:13.592]',0.281,0.463,79.688,-
'[18:52:13.600]',0.250,0.455,78.906,-
'[18:52:13.608]',0.227,0.451,78.125,-
'[18:52:13.616]',0.211,0.447,76.562,-
'[18:52:13.624]',0.203,0.443,74.219,-
'[18:52:13.632]',0.195,0.435,71.875,-
'[18:52:13.640]',0.195,0.431,69.531,-
'[18:52:13.648]',0.195,0.427,67.969,-
'[18:52:13.656]',0.195,0.427,65.625,-
'[18:52:13.664]',0.195,0.424,63.281,-
'[18:52:13.672]',0.195,0.416,61.719,-
'[18:52:13.680]',0.195,0.412,60.156,-
'[18:52:13.688]',0.203,0.404,57.812,-
'[18:52:13.696]',0.227,0.400,56.250,-
'[18:52:13.704]',0.250,0.396,54.688,-
'[18:52:13.712]',0.266,0.392,53.906,-
'[18:52:13.720]',0.289,0.388,53.125,-
'[18:52:13.728]',0.328,0.388,53.125,-
'[18:52:13.736]',0.352,0.384,53.125,-
'[18:52:13.744]',0.344,0.380,53.125,-
'[18:52:13.752]',0.320,0.380,53.125,-
'[18:52:13.760]',0.281,0.376,53.906,-
'[18:52:13.768]',0.250,0.376,53.906,-
'[18:52:13.776]',0.227,0.373,54.688,-
'[18:52:13.784]',0.211,0.373,55.469,-
'[18:52:13.792]',0.203,0.373,55.469,-
'[18:52:13.800]',0.203,0.373,55.469,-
'[18:52:13.808]',0.195,0.373,56.250,-
'[18:52:13.816]',0.195,0.376,56.250,-
'[18:52:13.824]',0.195,0.384,56.250,-
'[18:52:13.832]',0.195,0.392,55.469,-
'[18:52:13.840]',0.195,0.404,55.469,-
'[18:52:13.848]',0.195,0.416,54.688,-
'[18:52:13.856]',0.258,0.427,54.688,-
'[18:52:13.864]',0.445,0.447,54.688,-
'[18:52:13.872]',0.711,0.463,53.906,-
'[18:52:13.880]',0.859,0.482,53.906,-
'[18:52:13.888]',0.867,0.502,53.125,-
'[18:52:13.896]',0.734,0.522,52.344,-
'[18:52:13.904]',0.562,0.541,51.562,-
'[18:52:13.912]',0.406,0.557,50.781,-
'[18:52:13.920]',0.312,0.573,50.781,-
'[18:52:13.928]',0.250,0.584,50.000,-
'[18:52:13.936]',0.227,0.592,50.000,-
'[18:52:13.944]',0.195,0.600,49.219,-
'[18:52:13.952]',0.188,0.604,49.219,-
'[18:52:13.960]',0.172,0.604,48.438,-
'[18:52:13.968]',0.172,0.608,48.438,-
'[18:52:13.976]',0.180,0.608,48.438,-
'[18:52:13.984]',0.188,0.604,48.438,-
'[18:52:13.992]',0.195,0.600,47.656,-
'[18:52:14.000]',0.203,0.596,47.656,-
'[18:52:14.008]',0.211,0.592,46.875,-
'[18:52:14.016]',0.219,0.584,46.875,-
'[18:52:14.024]',0.227,0.580,46.094,-
'[18:52:14.032]',0.242,0.573,46.094,-
'[18:52:14.040]',0.250,0.569,46.094,-
'[18:52:14.048]',0.266,0.565,45.312,-
'[18:52:14.056]',0.281,0.561,45.312,-
'[18:52:14.064]',0.297,0.557,45.312,-
'[18:52:14.072]',0.312,0.557,45.312,-
'[18:52:14.080]',0.344,0.553,45.312,-
'[18:52:14.088]',0.375,0.553,45.312,-
'[18:52:14.096]',0.414,0.549,46.094,-
'[18:52:14.104]',0.453,0.549,48.438,-
'[18:52:14.112]',0.492,0.545,53.125,-
'[18:52:14.120]',0.516,0.545,59.375,-
'[18:52:14.128]',0.531,0.541,65.625,-
'[18:52:14.136]',0.547,0.537,70.312,-
'[18:52:14.144]',0.531,0.537,73.438,-
'[18:52:14.152]',0.492,0.533,75.781,-
'[18:52:14.160]',0.438,0.529,78.125,-
'[18:52:14.168]',0.367,0.529,79.688,-
'[18:52:14.176]',0.320,0.525,80.469,-
'[18:52:14.184]',0.273,0.525,80.469,-
'[18:52:14.192]',0.242,0.522,79.688,-
'[18:52:14.200]',0.219,0.522,78.906,-
'[18:52:14.208]',0.203,0.518,77.344,-
'[18:52:14.216]',0.195,0.514,75.000,-
'[18:52:14.224]',0.195,0.510,73.438,-
'[18:52:14.232]',0.195,0.502,71.094,-
'[18:52:14.240]',0.195,0.498,68.750,-
'[18:52:14.248]',0.195,0.494,67.188,-
'[18:52:14.256]',0.195,0.490,64.844,-
'[18:52:14.264]',0.203,0.486,63.281,-
'[18:52:14.272]',0.211,0.482,60.938,-
'[18:52:14.280]',0.211,0.478,59.375,-
'[18:52:14.288]',0.234,0.478,57.812,-
'[18:52:14.296]',0.250,0.475,57.031,-
'[18:52:14.304]',0.250,0.471,55.469,-
'[18:52:14.312]',0.273,0.467,55.469,-
'[18:52:14.320]',0.305,0.463,54.688,-
'[18:52:14.328]',0.312,0.459,54.688,-
'[18:52:14.336]',0.297,0.455,54.688,-
'[18:52:14.344]',0.266,0.455,55.469,-
'[18:52:14.352]',0.227,0.451,55.469,-
'[18:52:14.360]',0.195,0.451,56.250,-
'[18:52:14.368]',0.172,0.447,56.250,-
'[18:52:14.376]',0.156,0.447,57.031,-
'[18:52:14.384]',0.148,0.447,57.812,-
'[18:52:14.392]',0.148,0.443,57.812,-
'[18:52:14.400]',0.148,0.447,57.812,-
'[18:52:14.408]',0.148,0.451,57.812,-
'[18:52:14.416]',0.148,0.455,57.812,-
'[18:52:14.424]',0.156,0.463,57.812,-
'[18:52:14.432]',0.148,0.475,57.812,-
'[18:52:14.440]',0.156,0.486,57.031,-
'[18:52:14.448]',0.250,0.502,57.031,-
'[18:52:14.456]',0.492,0.514,56.250,-
'[18:52:14.464]',0.750,0.533,55.469,-
'[18:52:14.472]',0.867,0.553,55.469,-
'[18:52:14.480]',0.820,0.569,54.688,-
'[18:52:14.488]',0.695,0.588,53.906,-
'[18:52:14.496]',0.523,0.608,53.906,-
'[18:52:14.504]',0.375,0.627,53.125,-
'[18:52:14.512]',0.281,0.639,52.344,-
'[18:52:14.520]',0.234,0.647,52.344,-
'[18:52:14.528]',0.195,0.651,51.562,-
'[18:52:14.536]',0.180,0.651,51.562,-
'[18:52:14.544]',0.164,0.655,51.562,-
'[18:52:14.552]',0.156,0.655,50.781,-
'[18:52:14.560]',0.164,0.655,50.781,-
'[18:52:14.568]',0.164,0.651,50.000,-
'[18:52:14.576]',0.172,0.647,50.000,-
'[18:52:14.584]',0.180,0.643,50.000,-
'[18:52:14.592]',0.188,0.639,49.219,-
'[18:52:14.600]',0.203,0.631,49.219,-
'[18:52:14.608]',0.211,0.624,49.219,-
'[18:52:14.616]',0.227,0.616,49.219,-
'[18:52:14.624]',0.242,0.608,49.219,-
'[18:52:14.632]',0.250,0.600,48.438,-
'[18:52:14.640]',0.273,0.592,48.438,-
'[18:52:14.648]',0.289,0.588,48.438,-
'[18:52:14.656]',0.312,0.580,48.438,-
'[18:52:14.664]',0.336,0.576,48.438,-
'[18:52:14.672]',0.367,0.569,48.438,-
