'Time','II','ABP','PLETH'
'[16:06:46.056]',-,-,-
'[16:06:46.064]',-,-,-
'[16:06:46.072]',-,-,-
'[16:06:46.080]',-,-,-
'[16:06:46.088]',-,-,-
'[16:06:46.096]',-,-,-
'[16:06:46.104]',-,-,-
'[16:06:46.112]',-,-,-
'[16:06:46.120]',-,-,-
'[16:06:46.128]',-,-,-
'[16:06:46.136]',-,-,-
'[16:06:46.144]',-,-,-
'[16:06:46.152]',-,-,-
'[16:06:46.160]',-,-,-
'[16:06:46.168]',-,-,-
'[16:06:46.176]',-,-,-
'[16:06:46.184]',-,-,-
'[16:06:46.192]',-,-,-
'[16:06:46.200]',-,-,-
'[16:06:46.208]',-,-,-
'[16:06:46.216]',-,-,-
'[16:06:46.224]',-,-,-
'[16:06:46.232]',-,-,-
'[16:06:46.240]',-,-,-
'[16:06:46.248]',-,-,-
'[16:06:46.256]',-,-,-
'[16:06:46.264]',-,-,-
'[16:06:46.272]',-,-,-
'[16:06:46.280]',-,-,-
'[16:06:46.288]',-,-,-
'[16:06:46.296]',-,-,-
'[16:06:46.304]',-,-,-
'[16:06:46.312]',-,-,-
'[16:06:46.320]',-,-,-
'[16:06:46.328]',-,-,-
'[16:06:46.336]',-,-,-
'[16:06:46.344]',-,-,-
'[16:06:46.352]',-,-,-
'[16:06:46.360]',-,-,-
'[16:06:46.368]',-,-,-
'[16:06:46.376]',-,-,-
'[16:06:46.384]',-,-,-
'[16:06:46.392]',-,-,-
'[16:06:46.400]',-,-,-
'[16:06:46.408]',-,-,-
'[16:06:46.416]',-,-,-
'[16:06:46.424]',-,-,-
'[16:06:46.432]',-,-,-
'[16:06:46.440]',-,-,-
'[16:06:46.448]',-,-,-
'[16:06:46.456]',-,-,-
'[16:06:46.464]',-,-,-
'[16:06:46.472]',-,-,-
'[16:06:46.480]',-,-,-
'[16:06:46.488]',-,-,-
'[16:06:46.496]',-,-,-
'[16:06:46.504]',-,-,-
'[16:06:46.512]',-,-,-
'[16:06:46.520]',-,-,-
'[16:06:46.528]',-,-,-
'[16:06:46.536]',-,-,-
'[16:06:46.544]',-,-,-
'[16:06:46.552]',-,-,-
'[16:06:46.560]',-,-,-
'[16:06:46.568]',-,-,-
'[16:06:46.576]',-,-,-
'[16:06:46.584]',-,-,-
'[16:06:46.592]',-,-,-
'[16:06:46.600]',-,-,-
'[16:06:46.608]',-,-,-
'[16:06:46.616]',-,-,-
'[16:06:46.624]',-,-,-
'[16:06:46.632]',-,-,-
'[16:06:46.640]',-,-,-
'[16:06:46.648]',-,-,-
'[16:06:46.656]',-,-,-
'[16:06:46.664]',-,-,-
'[16:06:46.672]',-,-,-
'[16:06:46.680]',-,-,-
'[16:06:46.688]',-,-,-
'[16:06:46.696]',-,-,-
'[16:06:46.704]',-,-,-
'[16:06:46.712]',-,-,-
'[16:06:46.720]',-,-,-
'[16:06:46.728]',-,-,-
'[16:06:46.736]',-,-,-
'[16:06:46.744]',-,-,-
'[16:06:46.752]',-,-,-
'[16:06:46.760]',-,-,-
'[16:06:46.768]',-,-,-
'[16:06:46.776]',-,-,-
'[16:06:46.784]',-,-,-
'[16:06:46.792]',-,-,-
'[16:06:46.800]',-,-,-
'[16:06:46.808]',-,-,-
'[16:06:46.816]',-,-,-
'[16:06:46.824]',-,-,-
'[16:06:46.832]',-,-,-
'[16:06:46.840]',-,-,-
'[16:06:46.848]',-,-,-
'[16:06:46.856]',-,-,-
'[16:06:46.864]',-,-,-
'[16:06:46.872]',-,-,-
'[16:06:46.880]',-,-,-
'[16:06:46.888]',-,-,-
'[16:06:46.896]',-,-,-
'[16:06:46.904]',-,-,-
'[16:06:46.912]',-,-,-
'[16:06:46.920]',-,-,-
'[16:06:46.928]',-,-,-
'[16:06:46.936]',-,-,-
'[16:06:46.944]',-,-,-
'[16:06:46.952]',-,-,-
'[16:06:46.960]',-,-,-
'[16:06:46.968]',-,-,-
'[16:06:46.976]',-,-,-
'[16:06:46.984]',-,-,-
'[16:06:46.992]',-,-,-
'[16:06:47.000]',-,-,-
'[16:06:47.008]',-,-,-
'[16:06:47.016]',-,-,-
'[16:06:47.024]',-,-,-
'[16:06:47.032]',-,-,-
'[16:06:47.040]',-,-,-
'[16:06:47.048]',-,-,-
'[16:06:47.056]',-,-,-
'[16:06:47.064]',-,-,-
'[16:06:47.072]',-,-,-
'[16:06:47.080]',-,-,-
'[16:06:47.088]',-,-,-
'[16:06:47.096]',-,-,-
'[16:06:47.104]',-,-,-
'[16:06:47.112]',-,-,-
'[16:06:47.120]',-,-,-
'[16:06:47.128]',-,-,-
'[16:06:47.136]',-,-,-
'[16:06:47.144]',-,-,-
'[16:06:47.152]',-,-,-
'[16:06:47.160]',-,-,-
'[16:06:47.168]',-,-,-
'[16:06:47.176]',-,-,-
'[16:06:47.184]',-,-,-
'[16:06:47.192]',-,-,-
'[16:06:47.200]',-,-,-
'[16:06:47.208]',-,-,-
'[16:06:47.216]',-,-,-
'[16:06:47.224]',-,-,-
'[16:06:47.232]',-,-,-
'[16:06:47.240]',-,-,-
'[16:06:47.248]',-,-,-
'[16:06:47.256]',-,-,-
'[16:06:47.264]',-,-,-
'[16:06:47.272]',-,-,-
'[16:06:47.280]',-,-,-
'[16:06:47.288]',-,-,-
'[16:06:47.296]',-,-,-
'[16:06:47.304]',-,-,-
'[16:06:47.312]',-,-,-
'[16:06:47.320]',-,-,-
'[16:06:47.328]',-,-,-
'[16:06:47.336]',-,-,-
'[16:06:47.344]',-,-,-
'[16:06:47.352]',-,-,-
'[16:06:47.360]',-,-,-
'[16:06:47.368]',-,-,-
'[16:06:47.376]',-,-,-
'[16:06:47.384]',-,-,-
'[16:06:47.392]',-,-,-
'[16:06:47.400]',-,-,-
'[16:06:47.408]',-,-,-
'[16:06:47.416]',-,-,-
'[16:06:47.424]',-,-,-
'[16:06:47.432]',-,-,-
'[16:06:47.440]',-,-,-
'[16:06:47.448]',-,-,-
'[16:06:47.456]',-,-,-
'[16:06:47.464]',-,-,-
'[16:06:47.472]',-,-,-
'[16:06:47.480]',-,-,-
'[16:06:47.488]',-,-,-
'[16:06:47.496]',-,-,-
'[16:06:47.504]',-,-,-
'[16:06:47.512]',-,-,-
'[16:06:47.520]',-,-,-
'[16:06:47.528]',-,-,-
'[16:06:47.536]',-,-,-
'[16:06:47.544]',-,-,-
'[16:06:47.552]',-,-,-
'[16:06:47.560]',-,-,-
'[16:06:47.568]',-,-,-
'[16:06:47.576]',-,-,-
'[16:06:47.584]',-,-,-
'[16:06:47.592]',-,-,-
'[16:06:47.600]',-,-,-
'[16:06:47.608]',-,-,-
'[16:06:47.616]',-,-,-
'[16:06:47.624]',-,-,-
'[16:06:47.632]',-,-,-
'[16:06:47.640]',-,-,-
'[16:06:47.648]',-,-,-
'[16:06:47.656]',-,-,-
'[16:06:47.664]',-,-,-
'[16:06:47.672]',-,-,-
'[16:06:47.680]',-,-,-
'[16:06:47.688]',-,-,-
'[16:06:47.696]',-,-,-
'[16:06:47.704]',-,-,-
'[16:06:47.712]',-,-,-
'[16:06:47.720]',-,-,-
'[16:06:47.728]',-,-,-
'[16:06:47.736]',-,-,-
'[16:06:47.744]',-,-,-
'[16:06:47.752]',-,-,-
'[16:06:47.760]',-,-,-
'[16:06:47.768]',-,-,-
'[16:06:47.776]',-,-,-
'[16:06:47.784]',-,-,-
'[16:06:47.792]',-,-,-
'[16:06:47.800]',-,-,-
'[16:06:47.808]',-,-,-
'[16:06:47.816]',-,-,-
'[16:06:47.824]',-,-,-
'[16:06:47.832]',-,-,-
'[16:06:47.840]',-,-,-
'[16:06:47.848]',-,-,-
'[16:06:47.856]',-,-,-
'[16:06:47.864]',-,-,-
'[16:06:47.872]',-,-,-
'[16:06:47.880]',-,-,-
'[16:06:47.888]',-,-,-
'[16:06:47.896]',-,-,-
'[16:06:47.904]',-,-,-
'[16:06:47.912]',-,-,-
'[16:06:47.920]',-,-,-
'[16:06:47.928]',-,-,-
'[16:06:47.936]',-,-,-
'[16:06:47.944]',-,-,-
'[16:06:47.952]',-,-,-
'[16:06:47.960]',-,-,-
'[16:06:47.968]',-,-,-
'[16:06:47.976]',-,-,-
'[16:06:47.984]',-,-,-
'[16:06:47.992]',-,-,-
'[16:06:48.000]',-,-,-
'[16:06:48.008]',-,-,-
'[16:06:48.016]',-,-,-
'[16:06:48.024]',-,-,-
'[16:06:48.032]',-,-,-
'[16:06:48.040]',-,-,-
'[16:06:48.048]',-,-,-
'[16:06:48.056]',-,-,-
'[16:06:48.064]',-,-,-
'[16:06:48.072]',-,-,-
'[16:06:48.080]',-,-,-
'[16:06:48.088]',-,-,-
'[16:06:48.096]',-,-,-
'[16:06:48.104]',-,-,-
'[16:06:48.112]',-,-,-
'[16:06:48.120]',-,-,-
'[16:06:48.128]',-,-,-
'[16:06:48.136]',-,-,-
'[16:06:48.144]',-,-,-
'[16:06:48.152]',-,-,-
'[16:06:48.160]',-,-,-
'[16:06:48.168]',-,-,-
'[16:06:48.176]',-,-,-
'[16:06:48.184]',-,-,-
'[16:06:48.192]',-,-,-
'[16:06:48.200]',-,-,-
'[16:06:48.208]',-,-,-
'[16:06:48.216]',-,-,-
'[16:06:48.224]',-,-,-
'[16:06:48.232]',-,-,-
'[16:06:48.240]',-,-,-
'[16:06:48.248]',-,-,-
'[16:06:48.256]',-,-,-
'[16:06:48.264]',-,-,-
'[16:06:48.272]',-,-,-
'[16:06:48.280]',-,-,-
'[16:06:48.288]',-,-,-
'[16:06:48.296]',-,-,-
'[16:06:48.304]',-,-,-
'[16:06:48.312]',-,-,-
'[16:06:48.320]',-,-,-
'[16:06:48.328]',-,-,-
'[16:06:48.336]',-,-,-
'[16:06:48.344]',-,-,-
'[16:06:48.352]',-,-,-
'[16:06:48.360]',-,-,-
'[16:06:48.368]',-,-,-
'[16:06:48.376]',-,-,-
'[16:06:48.384]',-,-,-
'[16:06:48.392]',-,-,-
'[16:06:48.400]',-,-,-
'[16:06:48.408]',-,-,-
'[16:06:48.416]',-,-,-
'[16:06:48.424]',-,-,-
'[16:06:48.432]',-,-,-
'[16:06:48.440]',-,-,-
'[16:06:48.448]',-,-,-
'[16:06:48.456]',-,-,-
'[16:06:48.464]',-,-,-
'[16:06:48.472]',-,-,-
'[16:06:48.480]',-,-,-
'[16:06:48.488]',-,-,-
'[16:06:48.496]',-,-,-
'[16:06:48.504]',-,-,-
'[16:06:48.512]',-,-,-
'[16:06:48.520]',-,-,-
'[16:06:48.528]',-,-,-
'[16:06:48.536]',-,-,-
'[16:06:48.544]',-,-,-
'[16:06:48.552]',-,-,-
'[16:06:48.560]',-,-,-
'[16:06:48.568]',-,-,-
'[16:06:48.576]',-,-,-
'[16:06:48.584]',-,-,-
'[16:06:48.592]',-,-,-
'[16:06:48.600]',-,-,-
'[16:06:48.608]',-,-,-
'[16:06:48.616]',-,-,-
'[16:06:48.624]',-,-,-
'[16:06:48.632]',-,-,-
'[16:06:48.640]',-,-,-
'[16:06:48.648]',-,-,-
'[16:06:48.656]',-,-,-
'[16:06:48.664]',-,-,-
'[16:06:48.672]',-,-,-
'[16:06:48.680]',-,-,-
'[16:06:48.688]',-,-,-
'[16:06:48.696]',-,-,-
'[16:06:48.704]',-,-,-
'[16:06:48.712]',-,-,-
'[16:06:48.720]',-,-,-
'[16:06:48.728]',-,-,-
'[16:06:48.736]',-,-,-
'[16:06:48.744]',-,-,-
'[16:06:48.752]',-,-,-
'[16:06:48.760]',-,-,-
'[16:06:48.768]',-,-,-
'[16:06:48.776]',-,-,-
'[16:06:48.784]',-,-,-
'[16:06:48.792]',-,-,-
'[16:06:48.800]',-,-,-
'[16:06:48.808]',-,-,-
'[16:06:48.816]',-,-,-
'[16:06:48.824]',-,-,-
'[16:06:48.832]',-,-,-
'[16:06:48.840]',-,-,-
'[16:06:48.848]',-,-,-
'[16:06:48.856]',-,-,-
'[16:06:48.864]',-,-,-
'[16:06:48.872]',-,-,-
'[16:06:48.880]',-,-,-
'[16:06:48.888]',-,-,-
'[16:06:48.896]',-,-,-
'[16:06:48.904]',-,-,-
'[16:06:48.912]',-,-,-
'[16:06:48.920]',-,-,-
'[16:06:48.928]',-,-,-
'[16:06:48.936]',-,-,-
'[16:06:48.944]',-,-,-
'[16:06:48.952]',-,-,-
'[16:06:48.960]',-,-,-
'[16:06:48.968]',-,-,-
'[16:06:48.976]',-,-,-
'[16:06:48.984]',-,-,-
'[16:06:48.992]',-,-,-
'[16:06:49.000]',-,-,-
'[16:06:49.008]',-,-,-
'[16:06:49.016]',-,-,-
'[16:06:49.024]',-,-,-
'[16:06:49.032]',-,-,-
'[16:06:49.040]',-,-,-
'[16:06:49.048]',-,-,-
'[16:06:49.056]',-,-,-
'[16:06:49.064]',-,-,-
'[16:06:49.072]',-,-,-
'[16:06:49.080]',-,-,-
'[16:06:49.088]',-,-,-
'[16:06:49.096]',-,-,-
'[16:06:49.104]',-,-,-
'[16:06:49.112]',-,-,-
'[16:06:49.120]',-,-,-
'[16:06:49.128]',-,-,-
'[16:06:49.136]',-,-,-
'[16:06:49.144]',-,-,-
'[16:06:49.152]',-,-,-
'[16:06:49.160]',-,-,-
'[16:06:49.168]',-,-,-
'[16:06:49.176]',-,-,-
'[16:06:49.184]',-,-,-
'[16:06:49.192]',-,-,-
'[16:06:49.200]',-,-,-
'[16:06:49.208]',-,-,-
'[16:06:49.216]',-,-,-
'[16:06:49.224]',-,-,-
'[16:06:49.232]',-,-,-
'[16:06:49.240]',-,-,-
'[16:06:49.248]',-,-,-
'[16:06:49.256]',-,-,-
'[16:06:49.264]',-,-,-
'[16:06:49.272]',-,-,-
'[16:06:49.280]',-,-,-
'[16:06:49.288]',-,-,-
'[16:06:49.296]',-,-,-
'[16:06:49.304]',-,-,-
'[16:06:49.312]',-,-,-
'[16:06:49.320]',-,-,-
'[16:06:49.328]',-,-,-
'[16:06:49.336]',-,-,-
'[16:06:49.344]',-,-,-
'[16:06:49.352]',-,-,-
'[16:06:49.360]',-,-,-
'[16:06:49.368]',-,-,-
'[16:06:49.376]',-,-,-
'[16:06:49.384]',-,-,-
'[16:06:49.392]',-,-,-
'[16:06:49.400]',-,-,-
'[16:06:49.408]',-,-,-
'[16:06:49.416]',-,-,-
'[16:06:49.424]',-,-,-
'[16:06:49.432]',-,-,-
'[16:06:49.440]',-,-,-
'[16:06:49.448]',-,-,-
'[16:06:49.456]',-,-,-
'[16:06:49.464]',-,-,-
'[16:06:49.472]',-,-,-
'[16:06:49.480]',-,-,-
'[16:06:49.488]',-,-,-
'[16:06:49.496]',-,-,-
'[16:06:49.504]',-,-,-
'[16:06:49.512]',-,-,-
'[16:06:49.520]',-,-,-
'[16:06:49.528]',-,-,-
'[16:06:49.536]',-,-,-
'[16:06:49.544]',-,-,-
'[16:06:49.552]',-,-,-
'[16:06:49.560]',-,-,-
'[16:06:49.568]',-,-,-
'[16:06:49.576]',-,-,-
'[16:06:49.584]',-,-,-
'[16:06:49.592]',-,-,-
'[16:06:49.600]',-,-,-
'[16:06:49.608]',-,-,-
'[16:06:49.616]',-,-,-
'[16:06:49.624]',-,-,-
'[16:06:49.632]',-,-,-
'[16:06:49.640]',-,-,-
'[16:06:49.648]',-,-,-
'[16:06:49.656]',-,-,-
'[16:06:49.664]',-,-,-
'[16:06:49.672]',-,-,-
'[16:06:49.680]',-,-,-
'[16:06:49.688]',-,-,-
'[16:06:49.696]',-,-,-
'[16:06:49.704]',-,-,-
'[16:06:49.712]',-,-,-
'[16:06:49.720]',-,-,-
'[16:06:49.728]',-,-,-
'[16:06:49.736]',-,-,-
'[16:06:49.744]',-,-,-
'[16:06:49.752]',-,-,-
'[16:06:49.760]',-,-,-
'[16:06:49.768]',-,-,-
'[16:06:49.776]',-,-,-
'[16:06:49.784]',-,-,-
'[16:06:49.792]',-,-,-
'[16:06:49.800]',-,-,-
'[16:06:49.808]',-,-,-
'[16:06:49.816]',-,-,-
'[16:06:49.824]',-,-,-
'[16:06:49.832]',-,-,-
'[16:06:49.840]',-,-,-
'[16:06:49.848]',-,-,-
'[16:06:49.856]',-,-,-
'[16:06:49.864]',-,-,-
'[16:06:49.872]',-,-,-
'[16:06:49.880]',-,-,-
'[16:06:49.888]',-,-,-
'[16:06:49.896]',-,-,-
'[16:06:49.904]',-,-,-
'[16:06:49.912]',-,-,-
'[16:06:49.920]',-,-,-
'[16:06:49.928]',-,-,-
'[16:06:49.936]',-,-,-
'[16:06:49.944]',-,-,-
'[16:06:49.952]',-,-,-
'[16:06:49.960]',-,-,-
'[16:06:49.968]',-,-,-
'[16:06:49.976]',-,-,-
'[16:06:49.984]',-,-,-
'[16:06:49.992]',-,-,-
'[16:06:50.000]',-,-,-
'[16:06:50.008]',-,-,-
'[16:06:50.016]',-,-,-
'[16:06:50.024]',-,-,-
'[16:06:50.032]',-,-,-
'[16:06:50.040]',-,-,-
'[16:06:50.048]',-,-,-
'[16:06:50.056]',-,-,-
'[16:06:50.064]',-,-,-
'[16:06:50.072]',-,-,-
'[16:06:50.080]',-,-,-
'[16:06:50.088]',-,-,-
'[16:06:50.096]',-,-,-
'[16:06:50.104]',-,-,-
'[16:06:50.112]',-,-,-
'[16:06:50.120]',-,-,-
'[16:06:50.128]',-,-,-
'[16:06:50.136]',-,-,-
'[16:06:50.144]',-,-,-
'[16:06:50.152]',-,-,-
'[16:06:50.160]',-,-,-
'[16:06:50.168]',-,-,-
'[16:06:50.176]',-,-,-
'[16:06:50.184]',-,-,-
'[16:06:50.192]',-,-,-
'[16:06:50.200]',-,-,-
'[16:06:50.208]',-,-,-
'[16:06:50.216]',-,-,-
'[16:06:50.224]',-,-,-
'[16:06:50.232]',-,-,-
'[16:06:50.240]',-,-,-
'[16:06:50.248]',-,-,-
'[16:06:50.256]',-,-,-
'[16:06:50.264]',-,-,-
'[16:06:50.272]',-,-,-
'[16:06:50.280]',-,-,-
'[16:06:50.288]',-,-,-
'[16:06:50.296]',-,-,-
'[16:06:50.304]',-,-,-
'[16:06:50.312]',-,-,-
'[16:06:50.320]',-,-,-
'[16:06:50.328]',-,-,-
'[16:06:50.336]',-,-,-
'[16:06:50.344]',-,-,-
'[16:06:50.352]',-,-,-
'[16:06:50.360]',-,-,-
'[16:06:50.368]',-,-,-
'[16:06:50.376]',-,-,-
'[16:06:50.384]',-,-,-
'[16:06:50.392]',-,-,-
'[16:06:50.400]',-,-,-
'[16:06:50.408]',-,-,-
'[16:06:50.416]',-,-,-
'[16:06:50.424]',-,-,-
'[16:06:50.432]',-,-,-
'[16:06:50.440]',-,-,-
'[16:06:50.448]',-,-,-
'[16:06:50.456]',-,-,-
'[16:06:50.464]',-,-,-
'[16:06:50.472]',-,-,-
'[16:06:50.480]',-,-,-
'[16:06:50.488]',-,-,-
'[16:06:50.496]',-,-,-
'[16:06:50.504]',-,-,-
'[16:06:50.512]',-,-,-
'[16:06:50.520]',-,-,-
'[16:06:50.528]',-,-,-
'[16:06:50.536]',-,-,-
'[16:06:50.544]',-,-,-
'[16:06:50.552]',-,-,-
