'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'[13:39:07.248]',0.575,-,0.435,0.475,0.412,1.211,41.127,37.004
'[13:39:07.256]',0.585,-,0.425,0.480,0.406,1.196,40.736,37.004
'[13:39:07.264]',0.575,-,0.440,0.475,0.399,1.183,40.345,37.004
'[13:39:07.272]',0.570,-,0.450,0.500,0.393,1.171,40.003,37.004
'[13:39:07.280]',0.575,-,0.430,0.485,0.387,1.160,39.564,37.004
'[13:39:07.288]',0.565,-,0.450,0.510,0.382,1.153,39.124,37.004
'[13:39:07.296]',0.555,-,0.440,0.505,0.377,1.149,38.733,37.004
'[13:39:07.304]',0.550,-,0.465,0.535,0.372,1.142,38.489,37.004
'[13:39:07.312]',0.570,-,0.445,0.530,0.366,1.133,38.245,37.004
'[13:39:07.320]',0.555,-,0.465,0.565,0.361,1.123,37.903,37.004
'[13:39:07.328]',0.560,-,0.450,0.575,0.355,1.113,37.659,37.004
'[13:39:07.336]',0.545,-,0.470,0.595,0.349,1.105,37.805,37.004
'[13:39:07.344]',0.550,-,0.455,0.610,0.344,1.096,38.489,37.004
'[13:39:07.352]',0.525,-,0.490,0.640,0.339,1.088,40.052,37.004
'[13:39:07.360]',0.530,-,0.480,0.655,0.334,1.080,42.983,37.004
'[13:39:07.368]',0.500,-,0.515,0.680,0.329,1.073,47.428,37.004
'[13:39:07.376]',0.500,-,0.500,0.680,0.324,1.067,53.289,37.004
'[13:39:07.384]',0.470,-,0.540,0.700,0.319,1.063,60.225,37.004
'[13:39:07.392]',0.470,-,0.525,0.685,0.313,1.062,67.796,37.004
'[13:39:07.400]',0.445,-,0.555,0.690,0.307,1.062,75.757,37.004
'[13:39:07.408]',0.445,-,0.535,0.665,0.301,1.060,84.012,37.004
'[13:39:07.416]',0.420,-,0.565,0.665,0.295,1.058,92.364,37.004
'[13:39:07.424]',0.425,-,0.555,0.640,0.289,1.057,100.472,37.004
'[13:39:07.432]',0.400,-,0.575,0.635,0.282,1.056,108.043,37.004
'[13:39:07.440]',0.405,-,0.565,0.615,0.277,1.056,114.686,37.004
'[13:39:07.448]',0.380,-,0.585,0.615,0.271,1.056,120.303,37.004
'[13:39:07.456]',0.380,-,0.590,0.600,0.267,1.056,124.943,37.004
'[13:39:07.464]',0.385,-,0.570,0.595,0.262,1.055,128.362,37.004
'[13:39:07.472]',0.365,-,0.590,0.570,0.257,1.053,130.853,37.004
'[13:39:07.480]',0.385,-,0.565,0.550,0.253,1.051,132.563,37.004
'[13:39:07.488]',0.375,-,0.590,0.525,0.248,1.052,133.637,37.004
'[13:39:07.496]',0.395,-,0.560,0.500,0.244,1.055,134.175,37.004
'[13:39:07.504]',0.390,-,0.570,0.480,0.240,1.056,134.175,37.004
'[13:39:07.512]',0.410,-,0.545,0.460,0.236,1.056,133.637,37.004
'[13:39:07.520]',0.405,-,0.555,0.450,0.232,1.056,132.661,37.004
'[13:39:07.528]',0.435,-,0.525,0.435,0.229,1.056,131.488,37.004
'[13:39:07.536]',0.430,-,0.535,0.440,0.225,1.055,129.974,37.004
'[13:39:07.544]',0.445,-,0.515,0.430,0.221,1.054,128.313,37.004
'[13:39:07.552]',0.440,-,0.530,0.440,0.216,1.052,126.311,37.004
'[13:39:07.560]',0.455,-,0.515,0.425,0.212,1.050,124.064,37.004
'[13:39:07.568]',0.440,-,0.530,0.440,0.208,1.048,121.475,37.004
'[13:39:07.576]',0.450,-,0.515,0.430,0.203,1.047,118.740,37.004
'[13:39:07.584]',0.430,-,0.540,0.440,0.199,1.046,115.663,37.004
'[13:39:07.592]',0.445,-,0.520,0.430,0.195,1.048,112.293,37.004
'[13:39:07.600]',0.430,-,0.540,0.440,0.192,1.053,108.678,37.004
'[13:39:07.608]',0.440,-,0.520,0.430,0.188,1.059,104.819,37.004
'[13:39:07.616]',0.425,-,0.540,0.445,0.185,1.070,100.717,37.004
'[13:39:07.624]',0.430,-,0.525,0.425,0.183,1.092,96.467,37.004
'[13:39:07.632]',0.410,-,0.540,0.430,0.180,1.126,91.973,37.004
'[13:39:07.640]',0.425,-,0.530,0.420,0.177,1.176,87.529,37.004
'[13:39:07.648]',0.410,-,0.550,0.430,0.174,1.242,83.279,37.004
'[13:39:07.656]',0.405,-,0.535,0.415,0.171,1.326,79.421,37.004
'[13:39:07.664]',0.415,-,0.545,0.425,0.169,1.427,75.904,37.004
'[13:39:07.672]',0.405,-,0.550,0.415,0.167,1.540,72.875,37.004
'[13:39:07.680]',0.410,-,0.540,0.425,0.166,1.662,70.287,37.004
'[13:39:07.688]',0.400,-,0.555,0.430,0.164,1.772,68.186,37.004
'[13:39:07.696]',0.410,-,0.535,0.415,0.163,1.878,66.477,37.004
'[13:39:07.704]',0.400,-,0.555,0.430,0.162,1.998,65.158,37.004
'[13:39:07.712]',0.410,-,0.535,0.420,0.161,2.123,64.132,37.004
'[13:39:07.720]',0.395,-,0.565,0.430,0.161,2.245,63.351,37.004
'[13:39:07.728]',0.410,-,0.540,0.415,0.160,2.362,62.862,37.004
'[13:39:07.736]',0.395,-,0.560,0.430,0.160,2.469,62.423,37.004
'[13:39:07.744]',0.405,-,0.540,0.420,0.160,2.568,62.032,37.004
'[13:39:07.752]',0.385,-,0.560,0.430,0.160,2.656,61.739,37.004
'[13:39:07.760]',0.395,-,0.545,0.425,0.160,2.732,61.495,37.004
'[13:39:07.768]',0.385,-,0.560,0.440,0.159,2.798,61.251,37.004
'[13:39:07.776]',0.395,-,0.540,0.430,0.159,2.853,61.006,37.004
'[13:39:07.784]',0.385,-,0.565,0.435,0.159,2.899,60.616,37.004
'[13:39:07.792]',0.390,-,0.550,0.430,0.159,2.928,60.225,37.004
'[13:39:07.800]',0.380,-,0.570,0.440,0.159,2.944,59.883,37.004
'[13:39:07.808]',0.385,-,0.555,0.430,0.159,2.958,59.492,37.004
'[13:39:07.816]',0.370,-,0.575,0.450,0.160,2.967,59.004,37.004
'[13:39:07.824]',0.380,-,0.560,0.435,0.160,2.968,58.418,37.004
'[13:39:07.832]',0.365,-,0.580,0.450,0.161,2.960,57.783,37.004
'[13:39:07.840]',0.380,-,0.560,0.430,0.162,2.944,57.245,37.004
'[13:39:07.848]',0.375,-,0.570,0.440,0.162,2.920,56.659,37.004
'[13:39:07.856]',0.395,-,0.555,0.430,0.163,2.888,56.073,37.004
'[13:39:07.864]',0.400,-,0.550,0.440,0.163,2.847,55.438,37.004
'[13:39:07.872]',0.410,-,0.565,0.430,0.163,2.799,54.803,37.004
'[13:39:07.880]',0.390,-,0.545,0.425,0.163,2.743,54.168,37.004
'[13:39:07.888]',0.355,-,0.590,0.450,0.164,2.686,53.533,37.004
'[13:39:07.896]',0.330,-,0.615,0.445,0.164,2.628,52.947,37.004
'[13:39:07.904]',0.315,-,0.635,0.475,0.165,2.561,52.361,37.004
'[13:39:07.912]',0.285,-,0.630,0.480,0.165,2.490,51.775,37.004
'[13:39:07.920]',0.275,-,0.660,0.490,0.166,2.416,51.384,37.004
'[13:39:07.928]',0.310,-,0.615,0.465,0.167,2.342,50.993,37.004
'[13:39:07.936]',0.335,-,0.625,0.475,0.168,2.268,50.505,37.004
'[13:39:07.944]',0.360,-,0.580,0.450,0.169,2.196,49.968,37.004
'[13:39:07.952]',0.350,-,0.590,0.475,0.170,2.128,49.479,37.004
'[13:39:07.960]',0.360,-,0.575,0.455,0.172,2.065,49.039,37.004
'[13:39:07.968]',0.350,-,0.590,0.470,0.174,2.005,48.698,37.004
'[13:39:07.976]',0.360,-,0.580,0.460,0.176,1.949,48.258,37.004
'[13:39:07.984]',0.350,-,0.595,0.475,0.177,1.898,47.721,37.004
'[13:39:07.992]',0.355,-,0.580,0.455,0.179,1.855,47.281,37.004
'[13:39:08.000]',0.345,-,0.600,0.465,0.181,1.818,46.939,37.004
'[13:39:08.008]',0.360,-,0.580,0.455,0.182,1.779,46.597,37.004
'[13:39:08.016]',0.345,-,0.595,0.470,0.183,1.740,46.255,37.004
'[13:39:08.024]',0.355,-,0.580,0.450,0.185,1.703,45.816,37.004
'[13:39:08.032]',0.350,-,0.600,0.470,0.186,1.668,45.425,37.004
'[13:39:08.040]',0.360,-,0.585,0.455,0.188,1.633,45.034,37.004
'[13:39:08.048]',0.345,-,0.605,0.465,0.189,1.600,44.692,37.004
'[13:39:08.056]',0.395,-,0.560,0.415,0.191,1.569,44.302,37.004
'[13:39:08.064]',0.430,-,0.540,0.370,0.193,1.540,43.862,37.004
'[13:39:08.072]',0.390,-,0.590,0.435,0.195,1.512,43.569,37.004
'[13:39:08.080]',0.420,-,0.705,0.785,0.196,1.485,43.276,37.004
'[13:39:08.088]',-0.465,-,1.276,1.501,0.198,1.463,43.032,37.004
'[13:39:08.096]',-0.500,-,1.356,1.501,0.200,1.445,42.836,37.004
'[13:39:08.104]',-0.500,-,1.346,1.050,0.201,1.423,42.690,37.004
'[13:39:08.112]',-0.500,-,1.155,0.525,0.204,1.402,42.494,37.004
'[13:39:08.120]',-0.125,-,0.891,0.420,0.206,1.381,42.299,37.004
'[13:39:08.128]',0.235,-,0.660,0.390,0.209,1.362,42.055,37.004
'[13:39:08.136]',0.410,-,0.555,0.395,0.212,1.343,41.713,37.004
'[13:39:08.144]',0.475,-,0.505,0.375,0.215,1.325,41.371,37.004
'[13:39:08.152]',0.485,-,0.515,0.380,0.218,1.307,41.127,37.004
'[13:39:08.160]',0.500,-,0.490,0.365,0.221,1.290,40.931,37.004
'[13:39:08.168]',0.495,-,0.500,0.380,0.224,1.274,40.687,37.004
'[13:39:08.176]',0.500,-,0.485,0.375,0.228,1.257,40.443,37.004
'[13:39:08.184]',0.490,-,0.510,0.390,0.232,1.242,40.150,37.004
'[13:39:08.192]',0.500,-,0.495,0.385,0.236,1.232,39.906,37.004
'[13:39:08.200]',0.475,-,0.520,0.400,0.241,1.223,39.759,37.004
'[13:39:08.208]',0.485,-,0.505,0.390,0.247,1.211,39.466,37.004
'[13:39:08.216]',0.475,-,0.520,0.405,0.253,1.199,39.124,37.004
'[13:39:08.224]',0.480,-,0.510,0.405,0.259,1.188,38.685,37.004
'[13:39:08.232]',0.460,-,0.530,0.425,0.266,1.175,38.245,37.004
'[13:39:08.240]',0.470,-,0.515,0.415,0.272,1.162,37.854,37.004
'[13:39:08.248]',0.455,-,0.535,0.435,0.278,1.151,37.415,37.004
'[13:39:08.256]',0.455,-,0.520,0.430,0.284,1.139,36.975,37.004
'[13:39:08.264]',0.450,-,0.545,0.450,0.291,1.127,36.633,37.004
'[13:39:08.272]',0.460,-,0.530,0.465,0.298,1.115,36.242,37.004
'[13:39:08.280]',0.450,-,0.550,0.490,0.305,1.106,35.998,37.004
'[13:39:08.288]',0.455,-,0.540,0.500,0.314,1.100,35.754,37.004
'[13:39:08.296]',0.430,-,0.560,0.520,0.322,1.097,35.461,37.004
'[13:39:08.304]',0.425,-,0.540,0.535,0.330,1.092,35.412,37.004
'[13:39:08.312]',0.450,-,0.535,0.560,0.337,1.085,35.754,37.004
'[13:39:08.320]',0.430,-,0.565,0.580,0.344,1.079,36.926,37.004
'[13:39:08.328]',0.420,-,0.580,0.600,0.351,1.073,39.368,37.004
'[13:39:08.336]',0.400,-,0.590,0.625,0.358,1.068,43.227,37.004
'[13:39:08.344]',0.385,-,0.585,0.620,0.365,1.064,48.600,37.004
'[13:39:08.352]',0.365,-,0.610,0.640,0.372,1.059,55.243,37.004
'[13:39:08.360]',0.375,-,0.600,0.630,0.379,1.055,62.667,37.004
'[13:39:08.368]',0.340,-,0.635,0.645,0.386,1.051,70.531,37.004
'[13:39:08.376]',0.330,-,0.620,0.620,0.393,1.048,78.786,37.004
'[13:39:08.384]',0.300,-,0.655,0.615,0.400,1.046,87.138,37.004
'[13:39:08.392]',0.300,-,0.645,0.595,0.407,1.047,95.441,37.004
'[13:39:08.400]',0.280,-,0.675,0.595,0.413,1.050,103.305,37.004
'[13:39:08.408]',0.280,-,0.660,0.565,0.420,1.051,110.437,37.004
'[13:39:08.416]',0.260,-,0.685,0.570,0.426,1.050,116.493,37.004
'[13:39:08.424]',0.265,-,0.660,0.545,0.432,1.048,121.378,37.004
'[13:39:08.432]',0.265,-,0.680,0.545,0.437,1.045,125.236,37.004
'[13:39:08.440]',0.275,-,0.660,0.520,0.443,1.042,128.167,37.004
'[13:39:08.448]',0.265,-,0.670,0.520,0.448,1.039,130.170,37.004
'[13:39:08.456]',0.275,-,0.650,0.475,0.454,1.036,131.391,37.004
'[13:39:08.464]',0.280,-,0.665,0.460,0.459,1.034,132.074,37.004
'[13:39:08.472]',0.305,-,0.640,0.440,0.464,1.032,132.319,37.004
'[13:39:08.480]',0.310,-,0.635,0.430,0.469,1.030,132.319,37.004
'[13:39:08.488]',0.335,-,0.610,0.405,0.474,1.032,131.928,37.004
'[13:39:08.496]',0.330,-,0.600,0.390,0.479,1.035,131.098,37.004
'[13:39:08.504]',0.335,-,0.615,0.375,0.484,1.036,129.974,37.004
'[13:39:08.512]',0.355,-,0.595,0.370,0.488,1.036,128.558,37.004
'[13:39:08.520]',0.360,-,0.610,0.380,0.493,1.036,126.848,37.004
'[13:39:08.528]',0.360,-,0.585,0.370,0.497,1.035,124.846,37.004
'[13:39:08.536]',0.370,-,0.590,0.380,0.502,1.033,122.501,37.004
'[13:39:08.544]',0.380,-,0.575,0.375,0.506,1.030,119.815,37.004
'[13:39:08.552]',0.355,-,0.600,0.380,0.511,1.027,116.933,37.004
'[13:39:08.560]',0.360,-,0.590,0.365,0.514,1.025,113.758,37.004
'[13:39:08.568]',0.340,-,0.610,0.380,0.518,1.024,110.290,37.004
'[13:39:08.576]',0.360,-,0.590,0.375,0.520,1.026,106.382,37.004
'[13:39:08.584]',0.345,-,0.600,0.380,0.523,1.034,102.035,37.004
'[13:39:08.592]',0.350,-,0.590,0.360,0.525,1.050,97.591,37.004
'[13:39:08.600]',0.320,-,0.625,0.360,0.527,1.073,93.048,37.004
'[13:39:08.608]',0.335,-,0.610,0.350,0.529,1.110,88.408,37.004
'[13:39:08.616]',0.325,-,0.620,0.365,0.531,1.164,83.914,37.004
'[13:39:08.624]',0.355,-,0.595,0.360,0.533,1.237,79.665,37.004
'[13:39:08.632]',0.335,-,0.615,0.375,0.535,1.326,75.904,37.004
'[13:39:08.640]',0.340,-,0.590,0.360,0.536,1.429,72.729,37.004
'[13:39:08.648]',0.335,-,0.610,0.370,0.537,1.545,70.042,37.004
'[13:39:08.656]',0.360,-,0.585,0.360,0.539,1.671,67.796,37.004
'[13:39:08.664]',0.330,-,0.610,0.365,0.540,1.802,65.940,37.004
'[13:39:08.672]',0.325,-,0.595,0.355,0.543,1.934,64.474,37.004
'[13:39:08.680]',0.335,-,0.610,0.370,0.545,2.064,63.448,37.004
'[13:39:08.688]',0.350,-,0.615,0.380,0.549,2.172,62.667,37.004
'[13:39:08.696]',0.340,-,0.590,0.360,0.552,2.267,62.032,37.004
'[13:39:08.704]',0.360,-,0.600,0.385,0.556,2.368,61.544,37.004
'[13:39:08.712]',0.355,-,0.585,0.380,0.560,2.466,61.251,37.004
'[13:39:08.720]',0.345,-,0.610,0.390,0.563,2.559,61.055,37.004
'[13:39:08.728]',0.365,-,0.580,0.380,0.567,2.644,60.909,37.004
'[13:39:08.736]',0.350,-,0.605,0.395,0.570,2.720,60.713,37.004
'[13:39:08.744]',0.360,-,0.585,0.385,0.574,2.787,60.469,37.004
'[13:39:08.752]',0.340,-,0.605,0.395,0.578,2.844,60.225,37.004
'[13:39:08.760]',0.360,-,0.585,0.385,0.582,2.890,60.029,37.004
'[13:39:08.768]',0.350,-,0.600,0.405,0.586,2.925,59.785,37.004
'[13:39:08.776]',0.345,-,0.590,0.390,0.591,2.950,59.443,37.004
'[13:39:08.784]',0.335,-,0.605,0.400,0.595,2.966,58.906,37.004
'[13:39:08.792]',0.350,-,0.590,0.390,0.600,2.968,58.418,37.004
'[13:39:08.800]',0.345,-,0.610,0.405,0.604,2.960,57.978,37.004
'[13:39:08.808]',0.360,-,0.590,0.390,0.609,2.947,57.538,37.004
'[13:39:08.816]',0.360,-,0.605,0.405,0.613,2.927,57.001,37.004
'[13:39:08.824]',0.380,-,0.580,0.405,0.617,2.898,56.317,37.004
'[13:39:08.832]',0.370,-,0.590,0.405,0.622,2.862,55.633,37.004
'[13:39:08.840]',0.375,-,0.580,0.395,0.626,2.817,54.998,37.004
'[13:39:08.848]',0.325,-,0.630,0.415,0.630,2.764,54.363,37.004
'[13:39:08.856]',0.320,-,0.630,0.425,0.634,2.706,53.777,37.004
'[13:39:08.864]',0.275,-,0.670,0.440,0.638,2.642,53.094,37.004
'[13:39:08.872]',0.265,-,0.675,0.445,0.643,2.574,52.556,37.004
'[13:39:08.880]',0.245,-,0.685,0.440,0.646,2.502,52.117,37.004
'[13:39:08.888]',0.280,-,0.655,0.455,0.650,2.435,51.726,37.004
'[13:39:08.896]',0.295,-,0.640,0.445,0.653,2.370,51.286,37.004
'[13:39:08.904]',0.320,-,0.620,0.450,0.656,2.302,50.749,37.004
'[13:39:08.912]',0.335,-,0.605,0.435,0.659,2.233,50.212,37.004
'[13:39:08.920]',0.330,-,0.620,0.450,0.663,2.165,49.821,37.004
'[13:39:08.928]',0.345,-,0.600,0.445,0.666,2.100,49.430,37.004
'[13:39:08.936]',0.335,-,0.615,0.460,0.670,2.037,49.039,37.004
'[13:39:08.944]',0.355,-,0.595,0.450,0.673,1.978,48.698,37.004
'[13:39:08.952]',0.345,-,0.615,0.470,0.676,1.923,48.258,37.004
'[13:39:08.960]',0.360,-,0.590,0.455,0.678,1.871,47.916,37.004
'[13:39:08.968]',0.345,-,0.605,0.470,0.681,1.823,47.623,37.004
'[13:39:08.976]',0.360,-,0.590,0.455,0.684,1.779,47.379,37.004
'[13:39:08.984]',0.345,-,0.605,0.465,0.686,1.740,47.037,37.004
'[13:39:08.992]',0.360,-,0.585,0.460,0.688,1.708,46.695,37.004
'[13:39:09.000]',0.350,-,0.605,0.475,0.690,1.679,46.353,37.004
'[13:39:09.008]',0.360,-,0.590,0.465,0.692,1.651,46.158,37.004
'[13:39:09.016]',0.370,-,0.585,0.450,0.695,1.624,45.913,37.004
'[13:39:09.024]',0.440,-,0.535,0.380,0.696,1.597,45.669,37.004
'[13:39:09.032]',0.405,-,0.585,0.410,0.698,1.571,45.425,37.004
'[13:39:09.040]',0.450,-,0.580,0.635,0.699,1.546,45.181,37.004
'[13:39:09.048]',-0.080,-,1.015,1.166,0.701,1.522,44.985,37.004
'[13:39:09.056]',-0.500,-,1.321,1.501,0.701,1.499,44.741,37.004
'[13:39:09.064]',-0.500,-,1.330,1.421,0.702,1.475,44.497,37.004
'[13:39:09.072]',-0.500,-,1.225,0.605,0.701,1.453,44.155,37.004
'[13:39:09.080]',-0.250,-,0.965,0.470,0.700,1.431,43.813,37.004
'[13:39:09.088]',0.175,-,0.685,0.450,0.699,1.414,43.471,37.004
'[13:39:09.096]',0.420,-,0.530,0.450,0.697,1.400,43.178,37.004
'[13:39:09.104]',0.515,-,0.460,0.440,0.694,1.383,42.836,37.004
'[13:39:09.112]',0.550,-,0.445,0.435,0.691,1.366,42.543,37.004
'[13:39:09.120]',0.570,-,0.455,0.450,0.687,1.348,42.250,37.004
'[13:39:09.128]',0.585,-,0.425,0.440,0.684,1.332,42.006,37.004
'[13:39:09.136]',0.575,-,0.445,0.450,0.678,1.317,41.811,37.004
'[13:39:09.144]',0.590,-,0.420,0.445,0.673,1.302,41.566,37.004
'[13:39:09.152]',0.575,-,0.440,0.460,0.667,1.287,41.273,37.004
'[13:39:09.160]',0.580,-,0.425,0.455,0.660,1.269,41.029,37.004
'[13:39:09.168]',0.570,-,0.445,0.475,0.653,1.248,40.785,37.004
'[13:39:09.176]',0.580,-,0.425,0.470,0.646,1.231,40.492,37.004
'[13:39:09.184]',0.565,-,0.450,0.485,0.639,1.218,40.052,37.004
'[13:39:09.192]',0.575,-,0.430,0.475,0.632,1.208,39.661,37.004
'[13:39:09.200]',0.560,-,0.450,0.505,0.625,1.196,39.173,37.004
'[13:39:09.208]',0.570,-,0.435,0.500,0.619,1.184,38.733,37.004
'[13:39:09.216]',0.560,-,0.455,0.525,0.612,1.172,38.294,37.004
'[13:39:09.224]',0.570,-,0.430,0.520,0.606,1.160,38.001,37.004
'[13:39:09.232]',0.555,-,0.460,0.545,0.599,1.150,37.756,37.004
'[13:39:09.240]',0.570,-,0.445,0.545,0.593,1.141,37.415,37.004
'[13:39:09.248]',0.550,-,0.465,0.570,0.587,1.133,37.122,37.004
'[13:39:09.256]',0.555,-,0.455,0.570,0.581,1.126,36.877,37.004
'[13:39:09.264]',0.540,-,0.480,0.600,0.575,1.119,36.877,37.004
'[13:39:09.272]',0.545,-,0.465,0.610,0.570,1.113,37.170,37.004
'[13:39:09.280]',0.525,-,0.485,0.635,0.565,1.109,38.050,37.004
'[13:39:09.288]',0.530,-,0.480,0.650,0.560,1.107,40.052,37.004
'[13:39:09.296]',0.510,-,0.500,0.675,0.554,1.106,43.422,37.004
'[13:39:09.304]',0.500,-,0.515,0.685,0.549,1.103,48.405,37.004
'[13:39:09.312]',0.480,-,0.510,0.690,0.543,1.098,54.608,37.004
'[13:39:09.320]',0.475,-,0.535,0.705,0.537,1.093,61.739,37.004
'[13:39:09.328]',0.460,-,0.520,0.685,0.530,1.088,69.359,37.004
'[13:39:09.336]',0.440,-,0.555,0.695,0.524,1.083,77.418,37.004
'[13:39:09.344]',0.445,-,0.540,0.670,0.517,1.079,85.673,37.004
'[13:39:09.352]',0.415,-,0.565,0.660,0.510,1.074,93.927,37.004
'[13:39:09.360]',0.420,-,0.555,0.640,0.503,1.070,101.791,37.004
'[13:39:09.368]',0.390,-,0.575,0.645,0.497,1.065,109.069,37.004
'[13:39:09.376]',0.400,-,0.565,0.620,0.490,1.062,115.321,37.004
'[13:39:09.384]',0.380,-,0.590,0.625,0.484,1.062,120.547,37.004
'[13:39:09.392]',0.375,-,0.575,0.600,0.477,1.064,124.797,37.004
'[13:39:09.400]',0.365,-,0.595,0.595,0.470,1.064,128.118,37.004
'[13:39:09.408]',0.385,-,0.570,0.560,0.462,1.064,130.414,37.004
'[13:39:09.416]',0.375,-,0.580,0.545,0.454,1.064,131.879,37.004
'[13:39:09.424]',0.395,-,0.560,0.510,0.447,1.064,132.563,37.004
'[13:39:09.432]',0.390,-,0.570,0.500,0.440,1.063,132.661,37.004
'[13:39:09.440]',0.415,-,0.540,0.465,0.433,1.061,132.368,37.004
'[13:39:09.448]',0.415,-,0.550,0.460,0.426,1.059,131.635,37.004
'[13:39:09.456]',0.435,-,0.520,0.445,0.418,1.056,130.560,37.004
'[13:39:09.464]',0.430,-,0.535,0.450,0.411,1.053,129.290,37.004
'[13:39:09.472]',0.450,-,0.520,0.430,0.402,1.049,127.727,37.004
'[13:39:09.480]',0.445,-,0.530,0.445,0.394,1.045,126.067,37.004
'[13:39:09.488]',0.455,-,0.510,0.435,0.386,1.044,124.113,37.004
'[13:39:09.496]',0.450,-,0.525,0.445,0.377,1.045,122.013,37.004
'[13:39:09.504]',0.455,-,0.515,0.450,0.368,1.044,119.619,37.004
'[13:39:09.512]',0.445,-,0.510,0.435,0.360,1.042,116.982,37.004
'[13:39:09.520]',0.455,-,0.530,0.455,0.352,1.040,114.051,37.004
'[13:39:09.528]',0.445,-,0.510,0.440,0.345,1.039,110.876,37.004
'[13:39:09.536]',0.435,-,0.530,0.445,0.338,1.040,107.310,37.004
'[13:39:09.544]',0.450,-,0.510,0.430,0.332,1.046,103.452,37.004
'[13:39:09.552]',0.430,-,0.540,0.450,0.324,1.060,99.251,37.004
'[13:39:09.560]',0.440,-,0.520,0.435,0.317,1.084,94.855,37.004
'[13:39:09.568]',0.430,-,0.535,0.445,0.309,1.123,90.410,37.004
'[13:39:09.576]',0.425,-,0.525,0.430,0.302,1.178,86.063,37.004
'[13:39:09.584]',0.420,-,0.540,0.440,0.295,1.238,81.912,37.004
'[13:39:09.592]',0.430,-,0.520,0.430,0.289,1.307,78.248,37.004
'[13:39:09.600]',0.405,-,0.540,0.435,0.283,1.397,74.976,37.004
