'Time','II','CVP','V','ABP','PLETH','I'
'[14:11:18.400]',0.492,-,0.835,96.979,-,-
'[14:11:18.408]',0.516,-,0.843,107.187,-,-
'[14:11:18.416]',0.539,-,0.858,117.031,-,-
'[14:11:18.424]',0.539,-,0.866,126.510,-,-
'[14:11:18.432]',0.531,-,0.858,133.437,-,-
'[14:11:18.440]',0.531,-,0.850,138.906,-,-
'[14:11:18.448]',0.523,-,0.850,142.187,-,-
'[14:11:18.456]',0.516,-,0.843,142.917,-,-
'[14:11:18.464]',0.500,-,0.835,142.187,-,-
'[14:11:18.472]',0.492,-,0.835,140.000,-,-
'[14:11:18.480]',0.477,-,0.827,138.177,-,-
'[14:11:18.488]',0.469,-,0.827,135.989,-,-
'[14:11:18.496]',0.469,-,0.827,133.437,-,-
'[14:11:18.504]',0.477,-,0.835,131.979,-,-
'[14:11:18.512]',0.477,-,0.835,131.250,-,-
'[14:11:18.520]',0.484,-,0.835,130.521,-,-
'[14:11:18.528]',0.492,-,0.835,130.521,-,-
'[14:11:18.536]',0.492,-,0.843,129.792,-,-
'[14:11:18.544]',0.500,-,0.850,129.792,-,-
'[14:11:18.552]',0.516,-,0.866,129.062,-,-
'[14:11:18.560]',0.516,-,0.866,127.969,-,-
'[14:11:18.568]',0.516,-,0.882,127.239,-,-
'[14:11:18.576]',0.523,-,0.882,125.781,-,-
'[14:11:18.584]',0.531,-,0.890,124.323,-,-
'[14:11:18.592]',0.539,-,0.890,122.500,-,-
'[14:11:18.600]',0.547,-,0.882,120.312,-,-
'[14:11:18.608]',0.562,-,0.874,118.854,-,-
'[14:11:18.616]',0.562,-,0.882,116.302,-,-
'[14:11:18.624]',0.562,-,0.866,114.114,-,-
'[14:11:18.632]',0.531,-,0.850,111.562,-,-
'[14:11:18.640]',0.516,-,0.850,109.375,-,-
'[14:11:18.648]',0.492,-,0.850,106.094,-,-
'[14:11:18.656]',0.469,-,0.835,102.448,-,-
'[14:11:18.664]',0.445,-,0.835,99.167,-,-
'[14:11:18.672]',0.445,-,0.827,94.427,-,-
'[14:11:18.680]',0.445,-,0.827,91.510,-,-
'[14:11:18.688]',0.445,-,0.827,87.500,-,-
'[14:11:18.696]',0.445,-,0.827,85.312,-,-
'[14:11:18.704]',0.438,-,0.835,83.489,-,-
'[14:11:18.712]',0.438,-,0.835,82.031,-,-
'[14:11:18.720]',0.422,-,0.850,82.031,-,-
'[14:11:18.728]',0.445,-,0.874,82.031,-,-
'[14:11:18.736]',0.516,-,0.921,82.031,-,-
'[14:11:18.744]',0.688,-,1.000,82.760,-,-
'[14:11:18.752]',0.891,-,1.087,83.489,-,-
'[14:11:18.760]',0.961,-,1.031,84.219,-,-
'[14:11:18.768]',0.836,-,0.890,85.312,-,-
'[14:11:18.776]',0.672,-,0.803,85.312,-,-
'[14:11:18.784]',0.531,-,0.764,85.312,-,-
'[14:11:18.792]',0.469,-,0.787,85.312,-,-
'[14:11:18.800]',0.422,-,0.803,84.219,-,-
'[14:11:18.808]',0.391,-,0.795,84.219,-,-
'[14:11:18.816]',0.383,-,0.803,83.489,-,-
'[14:11:18.824]',0.375,-,0.803,82.031,-,-
'[14:11:18.832]',0.383,-,0.803,81.302,-,-
'[14:11:18.840]',0.391,-,0.803,80.573,-,-
'[14:11:18.848]',0.398,-,0.811,79.844,-,-
'[14:11:18.856]',0.406,-,0.819,78.750,-,-
'[14:11:18.864]',0.422,-,0.819,77.292,-,-
'[14:11:18.872]',0.422,-,0.819,76.562,-,-
'[14:11:18.880]',0.438,-,0.827,75.833,-,-
'[14:11:18.888]',0.438,-,0.835,75.104,-,-
'[14:11:18.896]',0.445,-,0.835,75.104,-,-
'[14:11:18.904]',0.445,-,0.827,74.375,-,-
'[14:11:18.912]',0.461,-,0.819,74.375,-,-
'[14:11:18.920]',0.461,-,0.819,73.281,-,-
'[14:11:18.928]',0.469,-,0.827,72.552,-,-
'[14:11:18.936]',0.469,-,0.827,72.552,-,-
'[14:11:18.944]',0.477,-,0.819,71.823,-,-
'[14:11:18.952]',0.477,-,0.819,71.823,-,-
'[14:11:18.960]',0.477,-,0.819,71.094,-,-
'[14:11:18.968]',0.477,-,0.819,71.094,-,-
'[14:11:18.976]',0.484,-,0.819,71.094,-,-
'[14:11:18.984]',0.492,-,0.819,72.552,-,-
'[14:11:18.992]',0.500,-,0.819,75.104,-,-
'[14:11:19.000]',0.500,-,0.827,79.844,-,-
'[14:11:19.008]',0.516,-,0.835,87.500,-,-
'[14:11:19.016]',0.516,-,0.835,96.250,-,-
'[14:11:19.024]',0.531,-,0.843,106.094,-,-
'[14:11:19.032]',0.539,-,0.850,116.302,-,-
'[14:11:19.040]',0.547,-,0.858,125.052,-,-
'[14:11:19.048]',0.547,-,0.850,132.708,-,-
'[14:11:19.056]',0.539,-,0.850,137.448,-,-
'[14:11:19.064]',0.523,-,0.850,140.000,-,-
'[14:11:19.072]',0.516,-,0.835,140.729,-,-
'[14:11:19.080]',0.492,-,0.835,140.000,-,-
'[14:11:19.088]',0.492,-,0.835,138.177,-,-
'[14:11:19.096]',0.484,-,0.835,135.989,-,-
'[14:11:19.104]',0.477,-,0.835,133.437,-,-
'[14:11:19.112]',0.477,-,0.843,131.250,-,-
'[14:11:19.120]',0.469,-,0.850,129.792,-,-
'[14:11:19.128]',0.469,-,0.850,129.062,-,-
'[14:11:19.136]',0.469,-,0.866,127.969,-,-
'[14:11:19.144]',0.469,-,0.866,127.969,-,-
'[14:11:19.152]',0.484,-,0.882,127.239,-,-
'[14:11:19.160]',0.500,-,0.890,127.239,-,-
'[14:11:19.168]',0.508,-,0.906,126.510,-,-
'[14:11:19.176]',0.516,-,0.906,125.781,-,-
'[14:11:19.184]',0.516,-,0.913,124.323,-,-
'[14:11:19.192]',0.523,-,0.921,122.500,-,-
'[14:11:19.200]',0.531,-,0.929,121.771,-,-
'[14:11:19.208]',0.547,-,0.929,119.583,-,-
'[14:11:19.216]',0.547,-,0.929,118.125,-,-
'[14:11:19.224]',0.562,-,0.929,115.573,-,-
'[14:11:19.232]',0.555,-,0.937,114.114,-,-
'[14:11:19.240]',0.531,-,0.921,111.562,-,-
'[14:11:19.248]',0.516,-,0.921,109.375,-,-
'[14:11:19.256]',0.492,-,0.921,106.094,-,-
'[14:11:19.264]',0.461,-,0.929,103.177,-,-
'[14:11:19.272]',0.445,-,0.929,99.167,-,-
'[14:11:19.280]',0.438,-,0.929,95.156,-,-
'[14:11:19.288]',0.430,-,0.937,92.239,-,-
'[14:11:19.296]',0.430,-,0.937,88.229,-,-
'[14:11:19.304]',0.430,-,0.929,86.042,-,-
'[14:11:19.312]',0.438,-,0.929,83.489,-,-
'[14:11:19.320]',0.438,-,0.929,82.031,-,-
'[14:11:19.328]',0.430,-,0.929,81.302,-,-
'[14:11:19.336]',0.422,-,0.961,81.302,-,-
'[14:11:19.344]',0.477,-,0.976,81.302,-,-
'[14:11:19.352]',0.586,-,1.031,82.031,-,-
'[14:11:19.360]',0.797,-,1.102,82.760,-,-
'[14:11:19.368]',0.977,-,1.134,83.489,-,-
'[14:11:19.376]',0.984,-,0.992,84.219,-,-
'[14:11:19.384]',0.789,-,0.874,84.219,-,-
'[14:11:19.392]',0.617,-,0.772,84.219,-,-
'[14:11:19.400]',0.531,-,0.748,84.219,-,-
'[14:11:19.408]',0.492,-,0.772,84.219,-,-
'[14:11:19.416]',0.445,-,0.764,83.489,-,-
'[14:11:19.424]',0.438,-,0.748,82.760,-,-
'[14:11:19.432]',0.430,-,0.740,82.031,-,-
'[14:11:19.440]',0.430,-,0.724,81.302,-,-
'[14:11:19.448]',0.430,-,0.717,79.844,-,-
'[14:11:19.456]',0.438,-,0.693,78.750,-,-
'[14:11:19.464]',0.445,-,0.693,78.021,-,-
'[14:11:19.472]',0.445,-,0.693,77.292,-,-
'[14:11:19.480]',0.438,-,0.685,76.562,-,-
'[14:11:19.488]',0.438,-,0.677,75.833,-,-
'[14:11:19.496]',0.438,-,0.669,75.104,-,-
'[14:11:19.504]',0.438,-,0.669,75.104,-,-
'[14:11:19.512]',0.438,-,0.669,74.375,-,-
'[14:11:19.520]',0.438,-,0.677,73.281,-,-
'[14:11:19.528]',0.445,-,0.677,73.281,-,-
'[14:11:19.536]',0.445,-,0.685,72.552,-,-
'[14:11:19.544]',0.445,-,0.693,72.552,-,-
'[14:11:19.552]',0.438,-,0.709,71.823,-,-
'[14:11:19.560]',0.445,-,0.724,71.823,-,-
'[14:11:19.568]',0.445,-,0.740,71.094,-,-
'[14:11:19.576]',0.445,-,0.740,70.365,-,-
'[14:11:19.584]',0.453,-,0.764,70.365,-,-
'[14:11:19.592]',0.469,-,0.780,71.094,-,-
'[14:11:19.600]',0.469,-,0.795,72.552,-,-
'[14:11:19.608]',0.477,-,0.803,76.562,-,-
'[14:11:19.616]',0.484,-,0.819,82.031,-,-
'[14:11:19.624]',0.492,-,0.835,90.781,-,-
'[14:11:19.632]',0.500,-,0.866,99.896,-,-
'[14:11:19.640]',0.516,-,0.874,110.833,-,-
'[14:11:19.648]',0.523,-,0.890,120.312,-,-
'[14:11:19.656]',0.531,-,0.898,127.969,-,-
'[14:11:19.664]',0.531,-,0.906,134.531,-,-
'[14:11:19.672]',0.516,-,0.906,138.177,-,-
'[14:11:19.680]',0.500,-,0.906,140.000,-,-
'[14:11:19.688]',0.500,-,0.906,140.000,-,-
'[14:11:19.696]',0.492,-,0.906,138.177,-,-
'[14:11:19.704]',0.492,-,0.921,135.989,-,-
'[14:11:19.712]',0.477,-,0.921,133.437,-,-
'[14:11:19.720]',0.477,-,0.921,131.979,-,-
'[14:11:19.728]',0.477,-,0.921,130.521,-,-
'[14:11:19.736]',0.477,-,0.929,129.062,-,-
'[14:11:19.744]',0.477,-,0.929,127.969,-,-
'[14:11:19.752]',0.477,-,0.945,127.969,-,-
'[14:11:19.760]',0.477,-,0.945,127.239,-,-
'[14:11:19.768]',0.484,-,0.961,127.239,-,-
'[14:11:19.776]',0.492,-,0.969,127.239,-,-
'[14:11:19.784]',0.492,-,0.976,126.510,-,-
'[14:11:19.792]',0.500,-,0.976,125.052,-,-
'[14:11:19.800]',0.508,-,0.992,124.323,-,-
'[14:11:19.808]',0.516,-,0.992,122.500,-,-
'[14:11:19.816]',0.523,-,0.992,121.042,-,-
'[14:11:19.824]',0.547,-,0.976,119.583,-,-
'[14:11:19.832]',0.547,-,0.976,117.031,-,-
'[14:11:19.840]',0.555,-,0.976,115.573,-,-
'[14:11:19.848]',0.562,-,0.969,113.385,-,-
'[14:11:19.856]',0.539,-,0.953,110.833,-,-
'[14:11:19.864]',0.516,-,0.945,108.646,-,-
'[14:11:19.872]',0.492,-,0.945,105.364,-,-
'[14:11:19.880]',0.477,-,0.929,102.448,-,-
'[14:11:19.888]',0.453,-,0.921,98.437,-,-
'[14:11:19.896]',0.445,-,0.921,94.427,-,-
'[14:11:19.904]',0.438,-,0.906,90.781,-,-
'[14:11:19.912]',0.438,-,0.906,87.500,-,-
'[14:11:19.920]',0.438,-,0.906,84.219,-,-
'[14:11:19.928]',0.445,-,0.890,82.760,-,-
'[14:11:19.936]',0.438,-,0.890,81.302,-,-
'[14:11:19.944]',0.422,-,0.890,80.573,-,-
'[14:11:19.952]',0.438,-,0.906,81.302,-,-
'[14:11:19.960]',0.492,-,0.929,81.302,-,-
'[14:11:19.968]',0.609,-,0.992,82.031,-,-
'[14:11:19.976]',0.836,-,1.079,82.760,-,-
'[14:11:19.984]',0.961,-,1.102,82.760,-,-
'[14:11:19.992]',0.875,-,0.929,83.489,-,-
'[14:11:20.000]',0.727,-,0.843,83.489,-,-
'[14:11:20.008]',0.570,-,0.764,84.219,-,-
'[14:11:20.016]',0.500,-,0.780,84.219,-,-
'[14:11:20.024]',0.453,-,0.795,83.489,-,-
'[14:11:20.032]',0.422,-,0.803,83.489,-,-
'[14:11:20.040]',0.406,-,0.795,82.031,-,-
'[14:11:20.048]',0.406,-,0.803,81.302,-,-
'[14:11:20.056]',0.398,-,0.795,80.573,-,-
'[14:11:20.064]',0.398,-,0.795,79.844,-,-
'[14:11:20.072]',0.398,-,0.795,78.750,-,-
'[14:11:20.080]',0.406,-,0.795,78.021,-,-
'[14:11:20.088]',0.406,-,0.795,77.292,-,-
'[14:11:20.096]',0.406,-,0.795,76.562,-,-
'[14:11:20.104]',0.406,-,0.795,75.104,-,-
'[14:11:20.112]',0.406,-,0.787,75.104,-,-
'[14:11:20.120]',0.422,-,0.795,74.375,-,-
'[14:11:20.128]',0.422,-,0.787,73.281,-,-
'[14:11:20.136]',0.422,-,0.795,73.281,-,-
'[14:11:20.144]',0.430,-,0.795,72.552,-,-
'[14:11:20.152]',0.438,-,0.795,72.552,-,-
'[14:11:20.160]',0.445,-,0.795,71.823,-,-
'[14:11:20.168]',0.445,-,0.795,71.094,-,-
'[14:11:20.176]',0.453,-,0.795,71.094,-,-
'[14:11:20.184]',0.453,-,0.803,70.365,-,-
'[14:11:20.192]',0.461,-,0.795,70.365,-,-
'[14:11:20.200]',0.469,-,0.803,70.365,-,-
'[14:11:20.208]',0.469,-,0.795,71.094,-,-
'[14:11:20.216]',0.469,-,0.803,73.281,-,-
'[14:11:20.224]',0.477,-,0.811,78.021,-,-
'[14:11:20.232]',0.492,-,0.819,84.219,-,-
'[14:11:20.240]',0.500,-,0.819,93.698,-,-
'[14:11:20.248]',0.516,-,0.835,103.906,-,-
'[14:11:20.256]',0.531,-,0.843,114.114,-,-
'[14:11:20.264]',0.531,-,0.858,123.594,-,-
'[14:11:20.272]',0.539,-,0.858,130.521,-,-
'[14:11:20.280]',0.523,-,0.850,135.989,-,-
'[14:11:20.288]',0.516,-,0.858,140.000,-,-
'[14:11:20.296]',0.500,-,0.850,140.729,-,-
'[14:11:20.304]',0.492,-,0.835,140.000,-,-
'[14:11:20.312]',0.492,-,0.835,138.177,-,-
'[14:11:20.320]',0.484,-,0.835,135.989,-,-
'[14:11:20.328]',0.477,-,0.835,133.437,-,-
'[14:11:20.336]',0.477,-,0.835,131.979,-,-
'[14:11:20.344]',0.477,-,0.827,130.521,-,-
'[14:11:20.352]',0.477,-,0.835,129.792,-,-
'[14:11:20.360]',0.477,-,0.835,129.062,-,-
'[14:11:20.368]',0.477,-,0.835,129.062,-,-
'[14:11:20.376]',0.492,-,0.835,127.969,-,-
'[14:11:20.384]',0.492,-,0.850,127.969,-,-
'[14:11:20.392]',0.500,-,0.866,127.239,-,-
'[14:11:20.400]',0.508,-,0.866,126.510,-,-
'[14:11:20.408]',0.516,-,0.874,125.781,-,-
'[14:11:20.416]',0.523,-,0.874,124.323,-,-
'[14:11:20.424]',0.531,-,0.882,122.500,-,-
'[14:11:20.432]',0.539,-,0.882,121.042,-,-
'[14:11:20.440]',0.547,-,0.890,118.854,-,-
'[14:11:20.448]',0.555,-,0.874,117.031,-,-
'[14:11:20.456]',0.562,-,0.874,114.844,-,-
'[14:11:20.464]',0.555,-,0.866,112.656,-,-
'[14:11:20.472]',0.531,-,0.850,110.833,-,-
'[14:11:20.480]',0.516,-,0.835,107.917,-,-
'[14:11:20.488]',0.500,-,0.843,105.364,-,-
'[14:11:20.496]',0.469,-,0.835,101.719,-,-
'[14:11:20.504]',0.445,-,0.835,97.708,-,-
'[14:11:20.512]',0.445,-,0.827,93.698,-,-
'[14:11:20.520]',0.445,-,0.835,90.781,-,-
'[14:11:20.528]',0.445,-,0.827,86.771,-,-
'[14:11:20.536]',0.445,-,0.835,84.219,-,-
'[14:11:20.544]',0.445,-,0.835,82.031,-,-
'[14:11:20.552]',0.438,-,0.843,81.302,-,-
'[14:11:20.560]',0.430,-,0.858,80.573,-,-
'[14:11:20.568]',0.445,-,0.882,80.573,-,-
'[14:11:20.576]',0.508,-,0.921,80.573,-,-
'[14:11:20.584]',0.656,-,1.000,81.302,-,-
'[14:11:20.592]',0.883,-,1.102,82.031,-,-
'[14:11:20.600]',0.977,-,1.102,82.760,-,-
'[14:11:20.608]',0.859,-,0.921,83.489,-,-
'[14:11:20.616]',0.703,-,0.843,83.489,-,-
'[14:11:20.624]',0.562,-,0.787,84.219,-,-
'[14:11:20.632]',0.492,-,0.803,84.219,-,-
'[14:11:20.640]',0.445,-,0.827,83.489,-,-
'[14:11:20.648]',0.414,-,0.827,82.760,-,-
'[14:11:20.656]',0.398,-,0.835,82.031,-,-
'[14:11:20.664]',0.398,-,0.835,81.302,-,-
'[14:11:20.672]',0.391,-,0.835,80.573,-,-
'[14:11:20.680]',0.391,-,0.835,79.844,-,-
'[14:11:20.688]',0.391,-,0.835,78.021,-,-
'[14:11:20.696]',0.391,-,0.835,77.292,-,-
'[14:11:20.704]',0.391,-,0.835,76.562,-,-
'[14:11:20.712]',0.398,-,0.835,75.833,-,-
'[14:11:20.720]',0.391,-,0.835,75.104,-,-
'[14:11:20.728]',0.398,-,0.835,74.375,-,-
'[14:11:20.736]',0.398,-,0.835,74.375,-,-
'[14:11:20.744]',0.414,-,0.835,73.281,-,-
'[14:11:20.752]',0.422,-,0.835,73.281,-,-
'[14:11:20.760]',0.422,-,0.835,72.552,-,-
'[14:11:20.768]',0.430,-,0.835,72.552,-,-
'[14:11:20.776]',0.438,-,0.835,71.823,-,-
'[14:11:20.784]',0.438,-,0.843,71.094,-,-
'[14:11:20.792]',0.445,-,0.843,71.094,-,-
'[14:11:20.800]',0.453,-,0.850,70.365,-,-
'[14:11:20.808]',0.461,-,0.850,70.365,-,-
'[14:11:20.816]',0.469,-,0.858,70.365,-,-
'[14:11:20.824]',0.477,-,0.858,71.823,-,-
'[14:11:20.832]',0.484,-,0.866,74.375,-,-
'[14:11:20.840]',0.492,-,0.874,78.750,-,-
'[14:11:20.848]',0.500,-,0.874,86.771,-,-
'[14:11:20.856]',0.516,-,0.890,95.156,-,-
'[14:11:20.864]',0.523,-,0.898,105.364,-,-
'[14:11:20.872]',0.539,-,0.906,115.573,-,-
'[14:11:20.880]',0.547,-,0.906,125.052,-,-
'[14:11:20.888]',0.539,-,0.906,131.979,-,-
'[14:11:20.896]',0.531,-,0.906,136.719,-,-
'[14:11:20.904]',0.516,-,0.906,140.000,-,-
'[14:11:20.912]',0.508,-,0.890,140.000,-,-
'[14:11:20.920]',0.492,-,0.890,138.906,-,-
'[14:11:20.928]',0.492,-,0.890,137.448,-,-
'[14:11:20.936]',0.492,-,0.890,135.260,-,-
'[14:11:20.944]',0.484,-,0.890,133.437,-,-
'[14:11:20.952]',0.477,-,0.890,131.250,-,-
'[14:11:20.960]',0.477,-,0.890,130.521,-,-
'[14:11:20.968]',0.477,-,0.906,129.792,-,-
'[14:11:20.976]',0.484,-,0.906,129.062,-,-
'[14:11:20.984]',0.484,-,0.906,129.062,-,-
'[14:11:20.992]',0.492,-,0.906,127.969,-,-
'[14:11:21.000]',0.500,-,0.921,127.239,-,-
'[14:11:21.008]',0.516,-,0.929,127.239,-,-
'[14:11:21.016]',0.516,-,0.929,126.510,-,-
'[14:11:21.024]',0.523,-,0.929,125.052,-,-
'[14:11:21.032]',0.531,-,0.929,124.323,-,-
'[14:11:21.040]',0.539,-,0.929,122.500,-,-
'[14:11:21.048]',0.547,-,0.929,120.312,-,-
'[14:11:21.056]',0.562,-,0.921,118.854,-,-
'[14:11:21.064]',0.562,-,0.921,116.302,-,-
'[14:11:21.072]',0.570,-,0.913,114.844,-,-
'[14:11:21.080]',0.562,-,0.906,112.656,-,-
'[14:11:21.088]',0.539,-,0.890,110.104,-,-
'[14:11:21.096]',0.516,-,0.874,107.917,-,-
'[14:11:21.104]',0.500,-,0.866,104.635,-,-
'[14:11:21.112]',0.477,-,0.858,100.625,-,-
'[14:11:21.120]',0.461,-,0.850,97.708,-,-
'[14:11:21.128]',0.445,-,0.843,93.698,-,-
'[14:11:21.136]',0.445,-,0.835,89.687,-,-
'[14:11:21.144]',0.445,-,0.835,86.771,-,-
'[14:11:21.152]',0.445,-,0.835,84.219,-,-
'[14:11:21.160]',0.445,-,0.827,82.031,-,-
'[14:11:21.168]',0.445,-,0.827,81.302,-,-
'[14:11:21.176]',0.430,-,0.835,80.573,-,-
'[14:11:21.184]',0.445,-,0.866,80.573,-,-
'[14:11:21.192]',0.516,-,0.906,80.573,-,-
'[14:11:21.200]',0.680,-,0.992,81.302,-,-
'[14:11:21.208]',0.898,-,1.071,82.031,-,-
'[14:11:21.216]',0.969,-,1.024,82.760,-,-
'[14:11:21.224]',0.836,-,0.882,83.489,-,-
'[14:11:21.232]',0.680,-,0.803,83.489,-,-
'[14:11:21.240]',0.547,-,0.764,83.489,-,-
'[14:11:21.248]',0.484,-,0.795,83.489,-,-
'[14:11:21.256]',0.438,-,0.803,82.760,-,-
'[14:11:21.264]',0.406,-,0.811,82.760,-,-
'[14:11:21.272]',0.406,-,0.819,82.031,-,-
'[14:11:21.280]',0.398,-,0.819,81.302,-,-
'[14:11:21.288]',0.398,-,0.827,79.844,-,-
'[14:11:21.296]',0.406,-,0.827,78.750,-,-
'[14:11:21.304]',0.398,-,0.835,78.021,-,-
'[14:11:21.312]',0.406,-,0.827,76.562,-,-
'[14:11:21.320]',0.398,-,0.835,75.833,-,-
'[14:11:21.328]',0.406,-,0.835,75.104,-,-
'[14:11:21.336]',0.406,-,0.835,75.104,-,-
'[14:11:21.344]',0.414,-,0.835,74.375,-,-
'[14:11:21.352]',0.422,-,0.843,73.281,-,-
'[14:11:21.360]',0.422,-,0.843,72.552,-,-
'[14:11:21.368]',0.438,-,0.843,71.823,-,-
'[14:11:21.376]',0.445,-,0.850,71.823,-,-
'[14:11:21.384]',0.445,-,0.850,71.823,-,-
'[14:11:21.392]',0.453,-,0.850,71.094,-,-
'[14:11:21.400]',0.461,-,0.850,71.094,-,-
'[14:11:21.408]',0.461,-,0.858,70.365,-,-
'[14:11:21.416]',0.469,-,0.866,70.365,-,-
'[14:11:21.424]',0.477,-,0.866,69.635,-,-
'[14:11:21.432]',0.492,-,0.866,70.365,-,-
'[14:11:21.440]',0.492,-,0.874,71.823,-,-
'[14:11:21.448]',0.500,-,0.874,74.375,-,-
'[14:11:21.456]',0.508,-,0.890,79.844,-,-
'[14:11:21.464]',0.516,-,0.890,86.771,-,-
'[14:11:21.472]',0.523,-,0.906,96.250,-,-
'[14:11:21.480]',0.531,-,0.913,107.187,-,-
'[14:11:21.488]',0.539,-,0.929,117.031,-,-
'[14:11:21.496]',0.539,-,0.929,125.781,-,-
'[14:11:21.504]',0.531,-,0.937,132.708,-,-
'[14:11:21.512]',0.523,-,0.945,137.448,-,-
'[14:11:21.520]',0.516,-,0.945,140.000,-,-
'[14:11:21.528]',0.508,-,0.929,140.729,-,-
'[14:11:21.536]',0.500,-,0.929,140.000,-,-
'[14:11:21.544]',0.492,-,0.929,137.448,-,-
'[14:11:21.552]',0.492,-,0.921,135.989,-,-
'[14:11:21.560]',0.492,-,0.906,133.437,-,-
'[14:11:21.568]',0.492,-,0.906,131.979,-,-
'[14:11:21.576]',0.492,-,0.874,130.521,-,-
'[14:11:21.584]',0.492,-,0.866,129.792,-,-
'[14:11:21.592]',0.500,-,0.858,129.062,-,-
'[14:11:21.600]',0.500,-,0.850,127.969,-,-
'[14:11:21.608]',0.508,-,0.850,127.969,-,-
'[14:11:21.616]',0.523,-,0.850,127.239,-,-
'[14:11:21.624]',0.531,-,0.850,126.510,-,-
'[14:11:21.632]',0.539,-,0.850,125.781,-,-
'[14:11:21.640]',0.531,-,0.843,125.052,-,-
'[14:11:21.648]',0.539,-,0.850,123.594,-,-
'[14:11:21.656]',0.547,-,0.850,121.771,-,-
'[14:11:21.664]',0.555,-,0.858,120.312,-,-
'[14:11:21.672]',0.547,-,0.858,118.854,-,-
'[14:11:21.680]',0.555,-,0.858,117.031,-,-
'[14:11:21.688]',0.562,-,0.866,114.844,-,-
'[14:11:21.696]',0.555,-,0.850,112.656,-,-
'[14:11:21.704]',0.531,-,0.843,110.833,-,-
'[14:11:21.712]',0.516,-,0.835,107.917,-,-
'[14:11:21.720]',0.492,-,0.835,104.635,-,-
'[14:11:21.728]',0.477,-,0.827,101.719,-,-
'[14:11:21.736]',0.469,-,0.819,97.708,-,-
'[14:11:21.744]',0.469,-,0.803,93.698,-,-
'[14:11:21.752]',0.461,-,0.803,90.781,-,-
'[14:11:21.760]',0.469,-,0.795,87.500,-,-
'[14:11:21.768]',0.461,-,0.787,85.312,-,-
'[14:11:21.776]',0.461,-,0.787,83.489,-,-
'[14:11:21.784]',0.445,-,0.795,82.031,-,-
'[14:11:21.792]',0.438,-,0.811,81.302,-,-
'[14:11:21.800]',0.477,-,0.850,81.302,-,-
'[14:11:21.808]',0.570,-,0.921,82.031,-,-
'[14:11:21.816]',0.781,-,1.039,82.031,-,-
'[14:11:21.824]',0.969,-,1.110,82.760,-,-
