'Time','II','AVR','V','RESP','PLETH','ABP','CVP','UAP'
'[14:03:10.552]',0.440,0.520,0.445,0.432,2.928,65.490,37.004,110.876
'[14:03:10.560]',0.445,0.515,0.455,0.438,2.915,65.177,37.004,110.876
'[14:03:10.568]',0.435,0.520,0.445,0.445,2.897,64.787,37.004,110.876
'[14:03:10.576]',0.435,0.515,0.445,0.450,2.875,64.435,37.004,110.876
'[14:03:10.584]',0.435,0.520,0.440,0.455,2.847,63.927,37.004,110.927
'[14:03:10.592]',0.485,0.505,0.465,0.458,2.812,63.497,37.004,110.927
'[14:03:10.600]',0.650,0.420,0.470,0.462,2.772,62.989,37.004,110.927
'[14:03:10.608]',1.035,0.145,0.420,0.465,2.726,62.481,37.004,110.927
'[14:03:10.616]',1.270,-0.110,0.415,0.467,2.674,61.934,37.004,110.927
'[14:03:10.624]',1.175,-0.195,0.385,0.469,2.621,61.426,37.004,110.927
'[14:03:10.632]',0.680,0.130,0.495,0.470,2.565,60.801,37.004,110.927
'[14:03:10.640]',0.100,0.575,0.705,0.470,2.500,60.254,37.004,110.927
'[14:03:10.648]',0.005,0.715,0.635,0.470,2.429,59.668,37.004,110.876
'[14:03:10.656]',0.120,0.685,0.550,0.469,2.354,59.160,37.004,110.876
'[14:03:10.664]',0.260,0.625,0.485,0.467,2.277,58.613,37.004,110.876
'[14:03:10.672]',0.340,0.590,0.445,0.466,2.199,58.105,37.004,110.876
'[14:03:10.680]',0.370,0.580,0.440,0.465,2.125,57.597,37.004,110.876
'[14:03:10.688]',0.375,0.585,0.425,0.463,2.054,57.128,37.004,110.876
'[14:03:10.696]',0.390,0.565,0.435,0.462,1.986,56.659,37.004,110.927
'[14:03:10.704]',0.390,0.570,0.425,0.460,1.926,56.190,37.004,110.927
'[14:03:10.712]',0.400,0.560,0.430,0.458,1.871,55.682,37.004,110.927
'[14:03:10.720]',0.400,0.565,0.425,0.456,1.823,55.252,37.004,110.927
'[14:03:10.728]',0.400,0.560,0.445,0.454,1.785,54.744,37.004,110.927
'[14:03:10.736]',0.400,0.560,0.435,0.452,1.755,54.314,37.004,110.927
'[14:03:10.744]',0.400,0.560,0.440,0.450,1.725,53.846,37.004,110.927
'[14:03:10.752]',0.400,0.560,0.430,0.449,1.700,53.494,37.004,110.876
'[14:03:10.760]',0.415,0.550,0.435,0.447,1.677,53.103,37.004,110.876
'[14:03:10.768]',0.415,0.555,0.445,0.446,1.658,52.791,37.004,110.927
'[14:03:10.776]',0.420,0.545,0.445,0.444,1.641,52.556,37.004,110.927
'[14:03:10.784]',0.420,0.545,0.435,0.443,1.627,52.283,37.004,110.927
'[14:03:10.792]',0.415,0.540,0.445,0.441,1.614,52.009,37.004,110.927
'[14:03:10.800]',0.425,0.550,0.445,0.440,1.600,51.618,37.004,110.971
'[14:03:10.808]',0.435,0.535,0.455,0.440,1.587,51.306,37.004,110.971
'[14:03:10.816]',0.445,0.525,0.460,0.439,1.573,50.915,37.004,110.927
'[14:03:10.824]',0.445,0.530,0.445,0.439,1.563,50.602,37.004,110.927
'[14:03:10.832]',0.465,0.515,0.460,0.439,1.554,50.290,37.004,110.927
'[14:03:10.840]',0.475,0.505,0.455,0.438,1.543,50.055,37.004,110.927
'[14:03:10.848]',0.485,0.505,0.465,0.438,1.529,50.133,37.004,110.876
'[14:03:10.856]',0.505,0.490,0.455,0.437,1.514,50.993,37.004,110.927
'[14:03:10.864]',0.515,0.490,0.475,0.436,1.498,53.220,37.004,110.927
'[14:03:10.872]',0.525,0.485,0.470,0.435,1.479,57.675,37.004,110.927
'[14:03:10.880]',0.525,0.480,0.485,0.433,1.460,64.474,37.004,110.927
'[14:03:10.888]',0.530,0.485,0.485,0.432,1.441,72.484,37.004,110.927
'[14:03:10.896]',0.530,0.480,0.495,0.431,1.420,79.870,37.004,110.927
'[14:03:10.904]',0.535,0.475,0.490,0.429,1.400,85.184,37.004,110.927
'[14:03:10.912]',0.525,0.485,0.495,0.428,1.379,88.427,37.004,110.927
'[14:03:10.920]',0.530,0.470,0.495,0.426,1.358,90.928,37.004,110.927
'[14:03:10.928]',0.530,0.470,0.495,0.424,1.341,93.819,37.004,110.927
'[14:03:10.936]',0.520,0.475,0.485,0.422,1.326,97.414,37.004,110.927
'[14:03:10.944]',0.510,0.480,0.490,0.418,1.310,101.244,37.004,110.927
'[14:03:10.952]',0.495,0.490,0.480,0.416,1.291,104.448,37.004,110.927
'[14:03:10.960]',0.480,0.490,0.495,0.412,1.273,106.675,37.004,110.927
'[14:03:10.968]',0.470,0.505,0.480,0.408,1.254,108.043,37.004,110.927
'[14:03:10.976]',0.470,0.505,0.475,0.403,1.237,109.059,37.004,110.927
'[14:03:10.984]',0.470,0.500,0.490,0.400,1.220,109.918,37.004,110.876
'[14:03:10.992]',0.460,0.505,0.495,0.396,1.204,110.739,37.004,110.876
'[14:03:11.000]',0.460,0.515,0.495,0.392,1.188,111.325,37.004,110.876
'[14:03:11.008]',0.455,0.510,0.500,0.389,1.173,111.638,37.004,110.927
'[14:03:11.016]',0.455,0.515,0.505,0.386,1.158,111.638,37.004,110.927
'[14:03:11.024]',0.455,0.515,0.500,0.383,1.149,111.247,37.004,110.927
'[14:03:11.032]',0.460,0.510,0.505,0.381,1.142,110.739,37.004,110.927
'[14:03:11.040]',0.455,0.515,0.500,0.378,1.133,109.997,37.004,110.927
'[14:03:11.048]',0.460,0.510,0.515,0.375,1.123,109.137,37.004,110.876
'[14:03:11.056]',0.460,0.510,0.510,0.372,1.113,108.043,37.004,110.927
'[14:03:11.064]',0.460,0.505,0.515,0.370,1.103,106.792,37.004,110.927
'[14:03:11.072]',0.460,0.510,0.505,0.368,1.091,105.386,37.004,110.927
'[14:03:11.080]',0.470,0.490,0.515,0.366,1.078,103.823,37.004,110.927
'[14:03:11.088]',0.470,0.500,0.505,0.365,1.065,102.064,37.004,110.927
'[14:03:11.096]',0.470,0.495,0.510,0.364,1.058,100.111,37.004,110.876
'[14:03:11.104]',0.465,0.500,0.500,0.363,1.060,97.883,37.004,110.876
'[14:03:11.112]',0.470,0.495,0.510,0.363,1.078,95.304,37.004,110.876
'[14:03:11.120]',0.465,0.505,0.505,0.364,1.122,92.374,37.004,110.876
'[14:03:11.128]',0.470,0.500,0.520,0.365,1.184,89.130,37.004,110.876
'[14:03:11.136]',0.465,0.505,0.515,0.366,1.269,85.692,37.004,110.927
'[14:03:11.144]',0.470,0.500,0.520,0.367,1.393,82.292,37.004,110.927
'[14:03:11.152]',0.465,0.500,0.520,0.368,1.548,79.244,37.004,110.876
'[14:03:11.160]',0.470,0.505,0.530,0.369,1.725,76.665,37.004,110.876
'[14:03:11.168]',0.470,0.500,0.525,0.369,1.914,74.751,37.004,110.876
'[14:03:11.176]',0.490,0.485,0.540,0.370,2.101,73.305,37.004,110.876
'[14:03:11.184]',0.495,0.480,0.545,0.371,2.276,72.250,37.004,110.876
'[14:03:11.192]',0.510,0.475,0.550,0.372,2.433,71.351,37.004,110.927
'[14:03:11.200]',0.505,0.480,0.560,0.374,2.569,70.570,37.004,110.927
'[14:03:11.208]',0.490,0.475,0.555,0.376,2.682,69.866,37.004,110.876
'[14:03:11.216]',0.465,0.500,0.565,0.377,2.776,69.241,37.004,110.876
'[14:03:11.224]',0.460,0.505,0.575,0.379,2.841,68.811,37.004,110.876
'[14:03:11.232]',0.445,0.515,0.560,0.380,2.887,68.538,37.004,110.825
'[14:03:11.240]',0.455,0.505,0.555,0.381,2.930,68.421,37.004,110.825
'[14:03:11.248]',0.465,0.490,0.560,0.382,2.967,68.303,37.004,110.876
'[14:03:11.256]',0.450,0.500,0.535,0.383,2.996,68.108,37.004,110.876
'[14:03:11.264]',0.440,0.510,0.530,0.383,3.019,67.991,37.004,110.876
'[14:03:11.272]',0.430,0.525,0.520,0.384,3.033,67.795,37.004,110.876
'[14:03:11.280]',0.435,0.520,0.535,0.383,3.039,67.561,37.004,110.876
'[14:03:11.288]',0.425,0.530,0.520,0.383,3.038,67.248,37.004,110.876
'[14:03:11.296]',0.420,0.520,0.525,0.381,3.029,66.858,37.004,110.876
'[14:03:11.304]',0.420,0.535,0.520,0.380,3.016,66.428,37.004,110.876
'[14:03:11.312]',0.430,0.525,0.530,0.378,2.996,65.998,37.004,110.876
'[14:03:11.320]',0.425,0.530,0.520,0.376,2.971,65.490,37.004,110.876
'[14:03:11.328]',0.485,0.510,0.555,0.373,2.941,64.982,37.004,110.876
'[14:03:11.336]',0.660,0.415,0.540,0.371,2.907,64.474,37.004,110.876
'[14:03:11.344]',1.055,0.135,0.525,0.367,2.868,63.927,37.004,110.876
'[14:03:11.352]',1.270,-0.105,0.535,0.364,2.823,63.419,37.004,110.876
'[14:03:11.360]',1.185,-0.195,0.525,0.359,2.772,62.872,37.004,110.876
'[14:03:11.368]',0.565,0.195,0.645,0.354,2.716,62.286,37.004,110.876
'[14:03:11.376]',0.015,0.610,0.765,0.350,2.651,61.739,37.004,110.876
'[14:03:11.384]',-0.020,0.700,0.655,0.345,2.581,61.114,37.004,110.876
'[14:03:11.392]',0.160,0.655,0.595,0.339,2.505,60.567,37.004,110.876
'[14:03:11.400]',0.270,0.615,0.535,0.334,2.426,59.980,37.004,110.825
'[14:03:11.408]',0.335,0.585,0.520,0.329,2.346,59.433,37.004,110.825
'[14:03:11.416]',0.360,0.585,0.510,0.323,2.266,58.847,37.004,110.825
'[14:03:11.424]',0.375,0.570,0.520,0.317,2.196,58.300,37.004,110.825
'[14:03:11.432]',0.375,0.580,0.510,0.310,2.134,57.792,37.004,110.825
'[14:03:11.440]',0.380,0.575,0.515,0.303,2.068,57.245,37.004,110.825
'[14:03:11.448]',0.395,0.560,0.520,0.296,2.006,56.815,37.004,110.825
'[14:03:11.456]',0.400,0.565,0.510,0.288,1.948,56.346,37.004,110.825
'[14:03:11.464]',0.395,0.565,0.520,0.281,1.896,55.917,37.004,110.825
'[14:03:11.472]',0.400,0.565,0.515,0.273,1.851,55.565,37.004,110.825
'[14:03:11.480]',0.400,0.565,0.520,0.267,1.813,55.174,37.004,110.825
'[14:03:11.488]',0.410,0.560,0.520,0.260,1.780,54.783,37.004,110.825
'[14:03:11.496]',0.410,0.555,0.520,0.254,1.752,54.432,37.004,110.825
'[14:03:11.504]',0.405,0.560,0.520,0.248,1.727,54.119,37.004,110.825
'[14:03:11.512]',0.420,0.545,0.525,0.242,1.706,53.728,37.004,110.825
'[14:03:11.520]',0.420,0.545,0.520,0.235,1.686,53.416,37.004,110.825
'[14:03:11.528]',0.435,0.535,0.530,0.229,1.671,53.103,37.004,110.876
'[14:03:11.536]',0.445,0.530,0.530,0.223,1.658,52.791,37.004,110.876
'[14:03:11.544]',0.445,0.530,0.540,0.217,1.644,52.478,37.004,110.825
'[14:03:11.552]',0.450,0.530,0.530,0.212,1.629,52.126,37.004,110.825
'[14:03:11.560]',0.465,0.515,0.540,0.207,1.612,51.814,37.004,110.825
'[14:03:11.568]',0.480,0.510,0.540,0.201,1.595,51.501,37.004,110.876
'[14:03:11.576]',0.495,0.500,0.545,0.196,1.578,51.306,37.004,110.876
'[14:03:11.584]',0.510,0.490,0.540,0.191,1.559,51.618,37.004,110.876
'[14:03:11.592]',0.520,0.485,0.545,0.185,1.539,52.908,37.004,110.876
'[14:03:11.600]',0.530,0.490,0.540,0.180,1.518,56.034,37.004,110.876
'[14:03:11.608]',0.540,0.470,0.550,0.174,1.497,61.661,37.004,110.876
'[14:03:11.616]',0.545,0.465,0.555,0.168,1.475,69.358,37.004,110.876
'[14:03:11.624]',0.550,0.470,0.550,0.162,1.457,77.603,37.004,110.876
'[14:03:11.632]',0.550,0.465,0.555,0.156,1.441,84.481,37.004,110.876
'[14:03:11.640]',0.545,0.470,0.550,0.150,1.421,88.974,37.004,110.825
'[14:03:11.648]',0.555,0.465,0.560,0.145,1.401,91.866,37.004,110.825
'[14:03:11.656]',0.550,0.465,0.545,0.139,1.379,94.562,37.004,110.825
'[14:03:11.664]',0.540,0.455,0.550,0.132,1.358,97.922,37.004,110.730
'[14:03:11.672]',0.520,0.470,0.535,0.125,1.335,101.791,37.004,110.730
'[14:03:11.680]',0.515,0.470,0.545,0.118,1.313,105.503,37.004,110.825
'[14:03:11.688]',0.495,0.480,0.535,0.111,1.292,108.316,37.004,110.825
'[14:03:11.696]',0.490,0.485,0.540,0.103,1.272,110.192,37.004,110.825
'[14:03:11.704]',0.475,0.500,0.530,0.097,1.252,111.364,37.004,110.730
'[14:03:11.712]',0.470,0.495,0.535,0.090,1.234,112.380,37.004,110.825
'[14:03:11.720]',0.460,0.510,0.535,0.083,1.215,113.240,37.004,110.825
'[14:03:11.728]',0.455,0.505,0.540,0.076,1.201,114.060,37.004,110.730
'[14:03:11.736]',0.450,0.510,0.535,0.068,1.192,114.607,37.004,110.825
'[14:03:11.744]',0.445,0.505,0.540,0.061,1.179,114.803,37.004,110.825
'[14:03:11.752]',0.445,0.515,0.535,0.053,1.164,114.607,37.004,110.825
'[14:03:11.760]',0.455,0.500,0.545,0.046,1.150,114.256,37.004,110.825
'[14:03:11.768]',0.450,0.515,0.535,0.038,1.136,113.631,37.004,110.825
'[14:03:11.776]',0.455,0.505,0.545,0.032,1.124,112.927,37.004,110.825
'[14:03:11.784]',0.455,0.515,0.540,0.025,1.111,112.068,37.004,110.825
'[14:03:11.792]',0.460,0.505,0.545,0.019,1.099,110.934,37.004,110.825
'[14:03:11.800]',0.465,0.505,0.540,0.014,1.086,109.684,37.004,110.825
'[14:03:11.808]',0.470,0.505,0.545,0.009,1.072,108.199,37.004,110.730
'[14:03:11.816]',0.465,0.500,0.540,0.005,1.059,106.558,37.004,110.825
'[14:03:11.824]',0.470,0.510,0.545,0.000,1.051,104.800,37.004,110.825
'[14:03:11.832]',0.470,0.505,0.540,-0.004,1.050,102.807,37.004,110.825
'[14:03:11.840]',0.465,0.515,0.535,-0.008,1.057,100.619,37.004,110.730
'[14:03:11.848]',0.470,0.505,0.540,-0.013,1.081,98.040,37.004,110.730
'[14:03:11.856]',0.465,0.510,0.535,-0.016,1.131,95.187,37.004,110.825
'[14:03:11.864]',0.460,0.510,0.540,-0.019,1.214,91.944,37.004,110.825
'[14:03:11.872]',0.465,0.505,0.535,-0.022,1.332,88.505,37.004,110.825
'[14:03:11.880]',0.470,0.500,0.540,-0.024,1.482,84.910,37.004,110.876
'[14:03:11.888]',0.450,0.515,0.525,-0.027,1.657,81.628,37.004,110.876
'[14:03:11.896]',0.465,0.505,0.540,-0.030,1.845,78.736,37.004,110.876
'[14:03:11.904]',0.470,0.495,0.535,-0.033,2.035,76.353,37.004,110.876
'[14:03:11.912]',0.490,0.485,0.545,-0.035,2.217,74.477,37.004,110.876
'[14:03:11.920]',0.505,0.475,0.545,-0.038,2.364,73.071,37.004,110.876
'[14:03:11.928]',0.495,0.480,0.555,-0.041,2.484,72.055,37.004,110.825
'[14:03:11.936]',0.495,0.490,0.550,-0.043,2.600,71.195,37.004,110.825
'[14:03:11.944]',0.485,0.490,0.565,-0.046,2.705,70.413,37.004,110.825
'[14:03:11.952]',0.470,0.490,0.565,-0.048,2.795,69.788,37.004,110.825
'[14:03:11.960]',0.450,0.505,0.570,-0.050,2.870,69.241,37.004,110.825
'[14:03:11.968]',0.445,0.515,0.550,-0.051,2.933,68.850,37.004,110.825
'[14:03:11.976]',0.455,0.500,0.550,-0.053,2.983,68.538,37.004,110.825
'[14:03:11.984]',0.455,0.495,0.530,-0.055,3.024,68.421,37.004,110.825
'[14:03:11.992]',0.445,0.500,0.520,-0.057,3.056,68.303,37.004,110.825
'[14:03:12.000]',0.435,0.515,0.505,-0.058,3.078,68.108,37.004,110.825
'[14:03:12.008]',0.435,0.515,0.515,-0.060,3.093,67.913,37.004,110.825
'[14:03:12.016]',0.440,0.520,0.510,-0.061,3.100,67.678,37.004,110.825
'[14:03:12.024]',0.420,0.525,0.515,-0.063,3.095,67.366,37.004,110.825
'[14:03:12.032]',0.415,0.535,0.500,-0.064,3.083,67.053,37.004,110.825
'[14:03:12.040]',0.420,0.530,0.510,-0.066,3.067,66.662,37.004,110.825
'[14:03:12.048]',0.425,0.525,0.505,-0.067,3.048,66.311,37.004,110.825
'[14:03:12.056]',0.420,0.530,0.500,-0.067,3.022,65.803,37.004,110.825
'[14:03:12.064]',0.495,0.505,0.530,-0.067,2.992,65.295,37.004,110.825
'[14:03:12.072]',0.665,0.415,0.520,-0.068,2.956,64.787,37.004,110.825
'[14:03:12.080]',1.055,0.140,0.490,-0.068,2.914,64.240,37.004,110.825
'[14:03:12.088]',1.275,-0.120,0.495,-0.069,2.866,63.693,37.004,110.825
'[14:03:12.096]',1.180,-0.210,0.470,-0.069,2.811,63.106,37.004,110.825
'[14:03:12.104]',0.560,0.185,0.600,-0.070,2.750,62.559,37.004,110.825
'[14:03:12.112]',0.000,0.610,0.745,-0.070,2.681,61.934,37.004,110.825
'[14:03:12.120]',-0.030,0.700,0.650,-0.070,2.614,61.309,37.004,110.825
'[14:03:12.128]',0.160,0.660,0.585,-0.070,2.546,60.723,37.004,110.825
'[14:03:12.136]',0.270,0.620,0.515,-0.070,2.471,60.176,37.004,110.825
'[14:03:12.144]',0.340,0.585,0.500,-0.070,2.390,59.668,37.004,110.825
'[14:03:12.152]',0.375,0.575,0.495,-0.069,2.306,59.160,37.004,110.825
'[14:03:12.160]',0.375,0.585,0.500,-0.069,2.222,58.613,37.004,110.825
'[14:03:12.168]',0.380,0.575,0.490,-0.068,2.141,57.988,37.004,110.730
'[14:03:12.176]',0.390,0.565,0.495,-0.068,2.064,57.362,37.004,110.730
'[14:03:12.184]',0.400,0.560,0.490,-0.067,1.992,56.815,37.004,110.730
'[14:03:12.192]',0.400,0.565,0.495,-0.067,1.927,56.307,37.004,110.730
'[14:03:12.200]',0.400,0.565,0.485,-0.066,1.868,55.917,37.004,110.730
'[14:03:12.208]',0.405,0.560,0.495,-0.065,1.816,55.565,37.004,110.730
'[14:03:12.216]',0.410,0.560,0.490,-0.064,1.771,55.252,37.004,110.825
'[14:03:12.224]',0.410,0.555,0.495,-0.063,1.737,54.940,37.004,110.825
'[14:03:12.232]',0.410,0.560,0.490,-0.062,1.710,54.549,37.004,110.825
'[14:03:12.240]',0.420,0.555,0.495,-0.061,1.683,54.236,37.004,110.825
'[14:03:12.248]',0.425,0.545,0.500,-0.060,1.659,53.846,37.004,110.825
'[14:03:12.256]',0.420,0.535,0.495,-0.059,1.636,53.533,37.004,110.825
'[14:03:12.264]',0.430,0.540,0.505,-0.058,1.616,53.220,37.004,110.825
'[14:03:12.272]',0.435,0.545,0.500,-0.057,1.596,52.908,37.004,110.825
'[14:03:12.280]',0.445,0.535,0.510,-0.056,1.578,52.556,37.004,110.825
'[14:03:12.288]',0.460,0.520,0.505,-0.056,1.559,52.165,37.004,110.825
'[14:03:12.296]',0.465,0.520,0.515,-0.055,1.541,51.814,37.004,110.825
'[14:03:12.304]',0.470,0.515,0.510,-0.055,1.521,51.423,37.004,110.825
'[14:03:12.312]',0.485,0.515,0.515,-0.054,1.501,51.228,37.004,110.825
