'Time','I','II','AVR','MCL','RESP','PLETH','ABP'
'[13:11:01.462]',-,-,-,-,-,-,-
'[13:11:01.470]',-,-,-,-,-,-,-
'[13:11:01.478]',-,-,-,-,-,-,-
'[13:11:01.486]',-,-,-,-,-,-,-
'[13:11:01.494]',-,-,-,-,-,-,-
'[13:11:01.502]',-,-,-,-,-,-,-
'[13:11:01.510]',-,-,-,-,-,-,-
'[13:11:01.518]',-,-,-,-,-,-,-
'[13:11:01.526]',-,-,-,-,-,-,-
'[13:11:01.534]',-,-,-,-,-,-,-
'[13:11:01.542]',-,-,-,-,-,-,-
'[13:11:01.550]',-,-,-,-,-,-,-
'[13:11:01.558]',-,-,-,-,-,-,-
'[13:11:01.566]',-,-,-,-,-,-,-
'[13:11:01.574]',-,-,-,-,-,-,-
'[13:11:01.582]',-,-,-,-,-,-,-
'[13:11:01.590]',-,-,-,-,-,-,-
'[13:11:01.598]',-,-,-,-,-,-,-
'[13:11:01.606]',-,-,-,-,-,-,-
'[13:11:01.614]',-,-,-,-,-,-,-
'[13:11:01.622]',-,-,-,-,-,-,-
'[13:11:01.630]',-,-,-,-,-,-,-
'[13:11:01.638]',-,-,-,-,-,-,-
'[13:11:01.646]',-,-,-,-,-,-,-
'[13:11:01.654]',-,-,-,-,-,-,-
'[13:11:01.662]',-,-,-,-,-,-,-
'[13:11:01.670]',-,-,-,-,-,-,-
'[13:11:01.678]',-,-,-,-,-,-,-
'[13:11:01.686]',-,-,-,-,-,-,-
'[13:11:01.694]',-,-,-,-,-,-,-
'[13:11:01.702]',-,-,-,-,-,-,-
'[13:11:01.710]',-,-,-,-,-,-,-
'[13:11:01.718]',-,-,-,-,-,-,-
'[13:11:01.726]',-,-,-,-,-,-,-
'[13:11:01.734]',-,-,-,-,-,-,-
'[13:11:01.742]',-,-,-,-,-,-,-
'[13:11:01.750]',-,-,-,-,-,-,-
'[13:11:01.758]',-,-,-,-,-,-,-
'[13:11:01.766]',-,-,-,-,-,-,-
'[13:11:01.774]',-,-,-,-,-,-,-
'[13:11:01.782]',-,-,-,-,-,-,-
'[13:11:01.790]',-,-,-,-,-,-,-
'[13:11:01.798]',-,-,-,-,-,-,-
'[13:11:01.806]',-,-,-,-,-,-,-
'[13:11:01.814]',-,-,-,-,-,-,-
'[13:11:01.822]',-,-,-,-,-,-,-
'[13:11:01.830]',-,-,-,-,-,-,-
'[13:11:01.838]',-,-,-,-,-,-,-
'[13:11:01.846]',-,-,-,-,-,-,-
'[13:11:01.854]',-,-,-,-,-,-,-
'[13:11:01.862]',-,-,-,-,-,-,-
'[13:11:01.870]',-,-,-,-,-,-,-
'[13:11:01.878]',-,-,-,-,-,-,-
'[13:11:01.886]',-,-,-,-,-,-,-
'[13:11:01.894]',-,-,-,-,-,-,-
'[13:11:01.902]',-,-,-,-,-,-,-
'[13:11:01.910]',-,-,-,-,-,-,-
'[13:11:01.918]',-,-,-,-,-,-,-
'[13:11:01.926]',-,-,-,-,-,-,-
'[13:11:01.934]',-,-,-,-,-,-,-
'[13:11:01.942]',-,-,-,-,-,-,-
'[13:11:01.950]',-,-,-,-,-,-,-
'[13:11:01.958]',-,-,-,-,-,-,-
'[13:11:01.966]',-,-,-,-,-,-,-
'[13:11:01.974]',-,-,-,-,-,-,-
'[13:11:01.982]',-,-,-,-,-,-,-
'[13:11:01.990]',-,-,-,-,-,-,-
'[13:11:01.998]',-,-,-,-,-,-,-
'[13:11:02.006]',-,-,-,-,-,-,-
'[13:11:02.014]',-,-,-,-,-,-,-
'[13:11:02.022]',-,-,-,-,-,-,-
'[13:11:02.030]',-,-,-,-,-,-,-
'[13:11:02.038]',-,-,-,-,-,-,-
'[13:11:02.046]',-,-,-,-,-,-,-
'[13:11:02.054]',-,-,-,-,-,-,-
'[13:11:02.062]',-,-,-,-,-,-,-
'[13:11:02.070]',-,-,-,-,-,-,-
'[13:11:02.078]',-,-,-,-,-,-,-
'[13:11:02.086]',-,-,-,-,-,-,-
'[13:11:02.094]',-,-,-,-,-,-,-
'[13:11:02.102]',-,-,-,-,-,-,-
'[13:11:02.110]',-,-,-,-,-,-,-
'[13:11:02.118]',-,-,-,-,-,-,-
'[13:11:02.126]',-,-,-,-,-,-,-
'[13:11:02.134]',-,-,-,-,-,-,-
'[13:11:02.142]',-,-,-,-,-,-,-
'[13:11:02.150]',-,-,-,-,-,-,-
'[13:11:02.158]',-,-,-,-,-,-,-
'[13:11:02.166]',-,-,-,-,-,-,-
'[13:11:02.174]',-,-,-,-,-,-,-
'[13:11:02.182]',-,-,-,-,-,-,-
'[13:11:02.190]',-,-,-,-,-,-,-
'[13:11:02.198]',-,-,-,-,-,-,-
'[13:11:02.206]',-,-,-,-,-,-,-
'[13:11:02.214]',-,-,-,-,-,-,-
'[13:11:02.222]',-,-,-,-,-,-,-
'[13:11:02.230]',-,-,-,-,-,-,-
'[13:11:02.238]',-,-,-,-,-,-,-
'[13:11:02.246]',-,-,-,-,-,-,-
'[13:11:02.254]',-,-,-,-,-,-,-
'[13:11:02.262]',-,-,-,-,-,-,-
'[13:11:02.270]',-,-,-,-,-,-,-
'[13:11:02.278]',-,-,-,-,-,-,-
'[13:11:02.286]',-,-,-,-,-,-,-
'[13:11:02.294]',-,-,-,-,-,-,-
'[13:11:02.302]',-,-,-,-,-,-,-
'[13:11:02.310]',-,-,-,-,-,-,-
'[13:11:02.318]',-,-,-,-,-,-,-
'[13:11:02.326]',-,-,-,-,-,-,-
'[13:11:02.334]',-,-,-,-,-,-,-
'[13:11:02.342]',-,-,-,-,-,-,-
'[13:11:02.350]',-,-,-,-,-,-,-
'[13:11:02.358]',-,-,-,-,-,-,-
'[13:11:02.366]',-,-,-,-,-,-,-
'[13:11:02.374]',-,-,-,-,-,-,-
'[13:11:02.382]',-,-,-,-,-,-,-
'[13:11:02.390]',-,-,-,-,-,-,-
'[13:11:02.398]',-,-,-,-,-,-,-
'[13:11:02.406]',-,-,-,-,-,-,-
'[13:11:02.414]',-,-,-,-,-,-,-
'[13:11:02.422]',-,-,-,-,-,-,-
'[13:11:02.430]',-,-,-,-,-,-,-
'[13:11:02.438]',-,-,-,-,-,-,-
'[13:11:02.446]',-,-,-,-,-,-,-
'[13:11:02.454]',-,-,-,-,-,-,-
'[13:11:02.462]',-,-,-,-,-,-,-
'[13:11:02.470]',-,-,-,-,-,-,-
'[13:11:02.478]',-,-,-,-,-,-,-
'[13:11:02.486]',-,-,-,-,-,-,-
'[13:11:02.494]',-,-,-,-,-,-,-
'[13:11:02.502]',-,-,-,-,-,-,-
'[13:11:02.510]',-,-,-,-,-,-,-
'[13:11:02.518]',-,-,-,-,-,-,-
'[13:11:02.526]',-,-,-,-,-,-,-
'[13:11:02.534]',-,-,-,-,-,-,-
'[13:11:02.542]',-,-,-,-,-,-,-
'[13:11:02.550]',-,-,-,-,-,-,-
'[13:11:02.558]',-,-,-,-,-,-,-
'[13:11:02.566]',-,-,-,-,-,-,-
'[13:11:02.574]',-,-,-,-,-,-,-
'[13:11:02.582]',-,-,-,-,-,-,-
'[13:11:02.590]',-,-,-,-,-,-,-
'[13:11:02.598]',-,-,-,-,-,-,-
'[13:11:02.606]',-,-,-,-,-,-,-
'[13:11:02.614]',-,-,-,-,-,-,-
'[13:11:02.622]',-,-,-,-,-,-,-
'[13:11:02.630]',-,-,-,-,-,-,-
'[13:11:02.638]',-,-,-,-,-,-,-
'[13:11:02.646]',-,-,-,-,-,-,-
'[13:11:02.654]',-,-,-,-,-,-,-
'[13:11:02.662]',-,-,-,-,-,-,-
'[13:11:02.670]',-,-,-,-,-,-,-
'[13:11:02.678]',-,-,-,-,-,-,-
'[13:11:02.686]',-,-,-,-,-,-,-
'[13:11:02.694]',-,-,-,-,-,-,-
'[13:11:02.702]',-,-,-,-,-,-,-
'[13:11:02.710]',-,-,-,-,-,-,-
'[13:11:02.718]',-,-,-,-,-,-,-
'[13:11:02.726]',-,-,-,-,-,-,-
'[13:11:02.734]',-,-,-,-,-,-,-
'[13:11:02.742]',-,-,-,-,-,-,-
'[13:11:02.750]',-,-,-,-,-,-,-
'[13:11:02.758]',-,-,-,-,-,-,-
'[13:11:02.766]',-,-,-,-,-,-,-
'[13:11:02.774]',-,-,-,-,-,-,-
'[13:11:02.782]',-,-,-,-,-,-,-
'[13:11:02.790]',-,-,-,-,-,-,-
'[13:11:02.798]',-,-,-,-,-,-,-
'[13:11:02.806]',-,-,-,-,-,-,-
'[13:11:02.814]',-,-,-,-,-,-,-
'[13:11:02.822]',-,-,-,-,-,-,-
'[13:11:02.830]',-,-,-,-,-,-,-
'[13:11:02.838]',-,-,-,-,-,-,-
'[13:11:02.846]',-,-,-,-,-,-,-
'[13:11:02.854]',-,-,-,-,-,-,-
'[13:11:02.862]',-,-,-,-,-,-,-
'[13:11:02.870]',-,-,-,-,-,-,-
'[13:11:02.878]',-,-,-,-,-,-,-
'[13:11:02.886]',-,-,-,-,-,-,-
'[13:11:02.894]',-,-,-,-,-,-,-
'[13:11:02.902]',-,-,-,-,-,-,-
'[13:11:02.910]',-,-,-,-,-,-,-
'[13:11:02.918]',-,-,-,-,-,-,-
'[13:11:02.926]',-,-,-,-,-,-,-
'[13:11:02.934]',-,-,-,-,-,-,-
'[13:11:02.942]',-,-,-,-,-,-,-
'[13:11:02.950]',-,-,-,-,-,-,-
'[13:11:02.958]',-,-,-,-,-,-,-
'[13:11:02.966]',-,-,-,-,-,-,-
'[13:11:02.974]',-,-,-,-,-,-,-
'[13:11:02.982]',-,-,-,-,-,-,-
'[13:11:02.990]',-,-,-,-,-,-,-
'[13:11:02.998]',-,-,-,-,-,-,-
'[13:11:03.006]',-,-,-,-,-,-,-
'[13:11:03.014]',-,-,-,-,-,-,-
'[13:11:03.022]',-,-,-,-,-,-,-
'[13:11:03.030]',-,-,-,-,-,-,-
'[13:11:03.038]',-,-,-,-,-,-,-
'[13:11:03.046]',-,-,-,-,-,-,-
'[13:11:03.054]',-,-,-,-,-,-,-
'[13:11:03.062]',-,-,-,-,-,-,-
'[13:11:03.070]',-,-,-,-,-,-,-
'[13:11:03.078]',-,-,-,-,-,-,-
'[13:11:03.086]',-,-,-,-,-,-,-
'[13:11:03.094]',-,-,-,-,-,-,-
'[13:11:03.102]',-,-,-,-,-,-,-
'[13:11:03.110]',-,-,-,-,-,-,-
'[13:11:03.118]',-,-,-,-,-,-,-
'[13:11:03.126]',-,-,-,-,-,-,-
'[13:11:03.134]',-,-,-,-,-,-,-
'[13:11:03.142]',-,-,-,-,-,-,-
'[13:11:03.150]',-,-,-,-,-,-,-
'[13:11:03.158]',-,-,-,-,-,-,-
'[13:11:03.166]',-,-,-,-,-,-,-
'[13:11:03.174]',-,-,-,-,-,-,-
'[13:11:03.182]',-,-,-,-,-,-,-
'[13:11:03.190]',-,-,-,-,-,-,-
'[13:11:03.198]',-,-,-,-,-,-,-
'[13:11:03.206]',-,-,-,-,-,-,-
'[13:11:03.214]',-,-,-,-,-,-,-
'[13:11:03.222]',-,-,-,-,-,-,-
'[13:11:03.230]',-,-,-,-,-,-,-
'[13:11:03.238]',-,-,-,-,-,-,-
'[13:11:03.246]',-,-,-,-,-,-,-
'[13:11:03.254]',-,-,-,-,-,-,-
'[13:11:03.262]',-,-,-,-,-,-,-
'[13:11:03.270]',-,-,-,-,-,-,-
'[13:11:03.278]',-,-,-,-,-,-,-
'[13:11:03.286]',-,-,-,-,-,-,-
'[13:11:03.294]',-,-,-,-,-,-,-
'[13:11:03.302]',-,-,-,-,-,-,-
'[13:11:03.310]',-,-,-,-,-,-,-
'[13:11:03.318]',-,-,-,-,-,-,-
'[13:11:03.326]',-,-,-,-,-,-,-
'[13:11:03.334]',-,-,-,-,-,-,-
'[13:11:03.342]',-,-,-,-,-,-,-
'[13:11:03.350]',-,-,-,-,-,-,-
'[13:11:03.358]',-,-,-,-,-,-,-
'[13:11:03.366]',-,-,-,-,-,-,-
'[13:11:03.374]',-,-,-,-,-,-,-
'[13:11:03.382]',-,-,-,-,-,-,-
'[13:11:03.390]',-,-,-,-,-,-,-
'[13:11:03.398]',-,-,-,-,-,-,-
'[13:11:03.406]',-,-,-,-,-,-,-
'[13:11:03.414]',-,-,-,-,-,-,-
'[13:11:03.422]',-,-,-,-,-,-,-
'[13:11:03.430]',-,-,-,-,-,-,-
'[13:11:03.438]',-,-,-,-,-,-,-
'[13:11:03.446]',-,-,-,-,-,-,-
'[13:11:03.454]',-,-,-,-,-,-,-
'[13:11:03.462]',-,-,-,-,-,-,-
'[13:11:03.470]',-,-,-,-,-,-,-
'[13:11:03.478]',-,-,-,-,-,-,-
'[13:11:03.486]',-,-,-,-,-,-,-
'[13:11:03.494]',-,-,-,-,-,-,-
'[13:11:03.502]',-,-,-,-,-,-,-
'[13:11:03.510]',-,-,-,-,-,-,-
'[13:11:03.518]',-,-,-,-,-,-,-
'[13:11:03.526]',-,-,-,-,-,-,-
'[13:11:03.534]',-,-,-,-,-,-,-
'[13:11:03.542]',-,-,-,-,-,-,-
'[13:11:03.550]',-,-,-,-,-,-,-
'[13:11:03.558]',-,-,-,-,-,-,-
'[13:11:03.566]',-,-,-,-,-,-,-
'[13:11:03.574]',-,-,-,-,-,-,-
'[13:11:03.582]',-,-,-,-,-,-,-
'[13:11:03.590]',-,-,-,-,-,-,-
'[13:11:03.598]',-,-,-,-,-,-,-
'[13:11:03.606]',-,-,-,-,-,-,-
'[13:11:03.614]',-,-,-,-,-,-,-
'[13:11:03.622]',-,-,-,-,-,-,-
'[13:11:03.630]',-,-,-,-,-,-,-
'[13:11:03.638]',-,-,-,-,-,-,-
'[13:11:03.646]',-,-,-,-,-,-,-
'[13:11:03.654]',-,-,-,-,-,-,-
'[13:11:03.662]',-,-,-,-,-,-,-
'[13:11:03.670]',-,-,-,-,-,-,-
'[13:11:03.678]',-,-,-,-,-,-,-
'[13:11:03.686]',-,-,-,-,-,-,-
'[13:11:03.694]',-,-,-,-,-,-,-
'[13:11:03.702]',-,-,-,-,-,-,-
'[13:11:03.710]',-,-,-,-,-,-,-
'[13:11:03.718]',-,-,-,-,-,-,-
'[13:11:03.726]',-,-,-,-,-,-,-
'[13:11:03.734]',-,-,-,-,-,-,-
'[13:11:03.742]',-,-,-,-,-,-,-
'[13:11:03.750]',-,-,-,-,-,-,-
'[13:11:03.758]',-,-,-,-,-,-,-
'[13:11:03.766]',-,-,-,-,-,-,-
'[13:11:03.774]',-,-,-,-,-,-,-
'[13:11:03.782]',-,-,-,-,-,-,-
'[13:11:03.790]',-,-,-,-,-,-,-
'[13:11:03.798]',-,-,-,-,-,-,-
'[13:11:03.806]',-,-,-,-,-,-,-
'[13:11:03.814]',-,-,-,-,-,-,-
'[13:11:03.822]',-,-,-,-,-,-,-
'[13:11:03.830]',-,-,-,-,-,-,-
'[13:11:03.838]',-,-,-,-,-,-,-
'[13:11:03.846]',-,-,-,-,-,-,-
'[13:11:03.854]',-,-,-,-,-,-,-
'[13:11:03.862]',-,-,-,-,-,-,-
'[13:11:03.870]',-,-,-,-,-,-,-
'[13:11:03.878]',-,-,-,-,-,-,-
'[13:11:03.886]',-,-,-,-,-,-,-
'[13:11:03.894]',-,-,-,-,-,-,-
'[13:11:03.902]',-,-,-,-,-,-,-
'[13:11:03.910]',-,-,-,-,-,-,-
'[13:11:03.918]',-,-,-,-,-,-,-
'[13:11:03.926]',-,-,-,-,-,-,-
'[13:11:03.934]',-,-,-,-,-,-,-
'[13:11:03.942]',-,-,-,-,-,-,-
'[13:11:03.950]',-,-,-,-,-,-,-
'[13:11:03.958]',-,-,-,-,-,-,-
'[13:11:03.966]',-,-,-,-,-,-,-
'[13:11:03.974]',-,-,-,-,-,-,-
'[13:11:03.982]',-,-,-,-,-,-,-
'[13:11:03.990]',-,-,-,-,-,-,-
'[13:11:03.998]',-,-,-,-,-,-,-
'[13:11:04.006]',-,-,-,-,-,-,-
'[13:11:04.014]',-,-,-,-,-,-,-
'[13:11:04.022]',-,-,-,-,-,-,-
'[13:11:04.030]',-,-,-,-,-,-,-
'[13:11:04.038]',-,-,-,-,-,-,-
'[13:11:04.046]',-,-,-,-,-,-,-
'[13:11:04.054]',-,-,-,-,-,-,-
'[13:11:04.062]',-,-,-,-,-,-,-
'[13:11:04.070]',-,-,-,-,-,-,-
'[13:11:04.078]',-,-,-,-,-,-,-
'[13:11:04.086]',-,-,-,-,-,-,-
'[13:11:04.094]',-,-,-,-,-,-,-
'[13:11:04.102]',-,-,-,-,-,-,-
'[13:11:04.110]',-,-,-,-,-,-,-
'[13:11:04.118]',-,-,-,-,-,-,-
'[13:11:04.126]',-,-,-,-,-,-,-
'[13:11:04.134]',-,-,-,-,-,-,-
'[13:11:04.142]',-,-,-,-,-,-,-
'[13:11:04.150]',-,-,-,-,-,-,-
'[13:11:04.158]',-,-,-,-,-,-,-
'[13:11:04.166]',-,-,-,-,-,-,-
'[13:11:04.174]',-,-,-,-,-,-,-
'[13:11:04.182]',-,-,-,-,-,-,-
'[13:11:04.190]',-,-,-,-,-,-,-
'[13:11:04.198]',-,-,-,-,-,-,-
'[13:11:04.206]',-,-,-,-,-,-,-
'[13:11:04.214]',-,-,-,-,-,-,-
'[13:11:04.222]',-,-,-,-,-,-,-
'[13:11:04.230]',-,-,-,-,-,-,-
'[13:11:04.238]',-,-,-,-,-,-,-
'[13:11:04.246]',-,-,-,-,-,-,-
'[13:11:04.254]',-,-,-,-,-,-,-
'[13:11:04.262]',-,-,-,-,-,-,-
'[13:11:04.270]',-,-,-,-,-,-,-
'[13:11:04.278]',-,-,-,-,-,-,-
'[13:11:04.286]',-,-,-,-,-,-,-
'[13:11:04.294]',-,0.520,0.545,0.790,-,-,-
'[13:11:04.302]',-,0.520,0.545,0.785,-,-,-
'[13:11:04.310]',-,0.520,0.540,0.785,-,-,-
'[13:11:04.318]',-,0.520,0.545,0.790,-,-,-
'[13:11:04.326]',-,0.520,0.540,0.780,-,-,-
'[13:11:04.334]',-,0.520,0.540,0.780,-,-,-
'[13:11:04.342]',-,0.520,0.540,0.780,-,-,-
'[13:11:04.350]',-,0.520,0.540,0.790,-,-,-
'[13:11:04.358]',-,0.530,0.535,0.785,-,-,-
'[13:11:04.366]',-,0.525,0.530,0.790,-,-,-
'[13:11:04.374]',-,0.550,0.510,0.795,-,-,-
'[13:11:04.382]',-,0.570,0.490,0.815,-,-,-
'[13:11:04.390]',-,0.595,0.470,0.820,-,-,-
'[13:11:04.398]',-,0.595,0.460,0.820,-,-,-
'[13:11:04.406]',-,0.640,0.430,0.840,-,-,-
'[13:11:04.414]',-,0.670,0.405,0.845,-,-,-
'[13:11:04.422]',-,0.660,0.410,0.835,-,-,-
'[13:11:04.430]',-,0.640,0.430,0.830,-,-,-
'[13:11:04.438]',-,0.610,0.455,0.815,-,-,-
'[13:11:04.446]',-,0.570,0.495,0.805,-,-,-
'[13:11:04.454]',-,0.540,0.525,0.800,-,-,-
'[13:11:04.462]',-,0.525,0.545,0.805,-,-,-
'[13:11:04.470]',-,0.515,0.550,0.795,-,-,-
'[13:11:04.478]',-,0.510,0.550,0.795,-,-,-
'[13:11:04.486]',-,0.505,0.555,0.790,-,-,-
'[13:11:04.494]',-,0.510,0.560,0.790,-,-,-
'[13:11:04.502]',-,0.500,0.560,0.790,-,-,-
'[13:11:04.510]',-,0.500,0.560,0.785,-,-,-
'[13:11:04.518]',-,0.500,0.550,0.780,0.597,-,-
'[13:11:04.526]',-,0.505,0.550,0.775,0.945,-,-
'[13:11:04.534]',-,0.505,0.545,0.780,0.934,-,-
'[13:11:04.542]',-,0.515,0.545,0.780,0.923,-,-
'[13:11:04.550]',-,0.515,0.540,0.785,0.913,-,-
'[13:11:04.558]',-,0.520,0.535,0.775,0.903,-,-
'[13:11:04.566]',-,0.500,0.545,0.760,0.893,-,-
'[13:11:04.574]',-,0.485,0.525,0.745,0.883,-,-
'[13:11:04.582]',-,0.655,0.380,0.885,0.873,-,-
'[13:11:04.590]',-,0.910,0.125,0.970,0.863,-,-
'[13:11:04.598]',-,1.305,-0.190,1.075,0.853,-,-
'[13:11:04.606]',-,1.415,-0.250,0.965,0.844,-,-
'[13:11:04.614]',-,0.895,0.310,0.805,0.835,-,-
'[13:11:04.622]',-,0.510,0.615,0.710,0.826,-,-
'[13:11:04.630]',-,0.470,0.580,0.695,0.816,-,-
'[13:11:04.638]',-,0.510,0.535,0.745,0.806,-,-
'[13:11:04.646]',-,0.520,0.530,0.765,0.795,-,-
'[13:11:04.654]',-,0.520,0.525,0.765,0.783,-,-
'[13:11:04.662]',-,0.515,0.530,0.765,0.771,-,-
'[13:11:04.670]',-,0.510,0.530,0.765,0.759,-,-
'[13:11:04.678]',-,0.515,0.530,0.765,0.747,-,-
'[13:11:04.686]',-,0.515,0.520,0.765,0.735,-,-
'[13:11:04.694]',-,0.520,0.520,0.765,0.725,-,-
'[13:11:04.702]',-,0.520,0.520,0.765,0.715,-,-
'[13:11:04.710]',-,0.525,0.520,0.765,0.706,-,-
'[13:11:04.718]',-,0.525,0.515,0.765,0.698,-,-
'[13:11:04.726]',-,0.530,0.510,0.765,0.689,-,-
'[13:11:04.734]',-,0.530,0.500,0.770,0.682,-,-
'[13:11:04.742]',-,0.535,0.500,0.770,0.674,-,-
'[13:11:04.750]',-,0.540,0.495,0.765,0.667,-,-
'[13:11:04.758]',-,0.545,0.490,0.765,0.661,-,-
'[13:11:04.766]',-,0.545,0.485,0.755,0.654,-,-
'[13:11:04.774]',-,0.540,0.480,0.755,0.649,-,-
'[13:11:04.782]',-,0.545,0.480,0.755,0.643,-,-
'[13:11:04.790]',-,0.545,0.480,0.755,0.639,-,-
'[13:11:04.798]',-,0.545,0.475,0.760,0.634,-,-
'[13:11:04.806]',-,0.545,0.470,0.750,0.630,-,-
'[13:11:04.814]',-,0.565,0.450,0.750,0.627,-,-
'[13:11:04.822]',-,0.555,0.445,0.750,0.623,-,-
'[13:11:04.830]',-,0.575,0.435,0.755,0.620,-,-
'[13:11:04.838]',-,0.585,0.430,0.745,0.616,-,-
'[13:11:04.846]',-,0.595,0.425,0.740,0.613,-,-
'[13:11:04.854]',-,0.590,0.415,0.735,0.610,-,-
'[13:11:04.862]',-,0.600,0.405,0.730,0.606,-,-
'[13:11:04.870]',-,0.605,0.395,0.725,0.603,-,-
'[13:11:04.878]',-,0.615,0.390,0.730,0.599,-,-
'[13:11:04.886]',-,0.610,0.385,0.730,0.594,-,-
'[13:11:04.894]',-,0.620,0.380,0.725,0.589,-,-
'[13:11:04.902]',-,0.615,0.380,0.720,0.583,-,-
'[13:11:04.910]',-,0.620,0.380,0.720,0.577,-,-
'[13:11:04.918]',-,0.620,0.380,0.730,0.571,-,-
'[13:11:04.926]',-,0.625,0.390,0.740,0.565,-,-
'[13:11:04.934]',-,0.605,0.410,0.750,0.558,-,-
'[13:11:04.942]',-,0.590,0.440,0.765,0.552,-,-
'[13:11:04.950]',-,0.565,0.470,0.765,0.543,-,-
'[13:11:04.958]',-,0.545,0.505,0.775,0.533,-,-
'[13:11:04.966]',-,0.525,0.520,0.785,0.522,-,-
'[13:11:04.974]',-,0.520,0.540,0.780,0.510,-,-
'[13:11:04.982]',-,0.520,0.545,0.785,0.497,-,-
'[13:11:04.990]',-,0.520,0.545,0.785,0.484,-,-
'[13:11:04.998]',-,0.520,0.545,0.790,0.469,-,-
'[13:11:05.006]',-,0.520,0.545,0.780,0.455,-,-
'[13:11:05.014]',-,0.525,0.540,0.780,0.442,-,-
'[13:11:05.022]',-,0.520,0.540,0.775,0.430,-,-
'[13:11:05.030]',-,0.520,0.540,0.775,0.418,-,-
'[13:11:05.038]',-,0.515,0.545,0.775,0.406,-,-
'[13:11:05.046]',-,0.515,0.540,0.780,0.393,-,-
