'Time','I','II','III','AVR','V','RESP','PLETH','ABP','CVP','IC1','ICP'
'[15:26:42.072]',-,0.335,-,0.775,1.000,0.203,2.063,68.870,-,8.059,-
'[15:26:42.080]',-,0.345,-,0.760,0.995,0.205,2.050,68.284,-,7.932,-
'[15:26:42.088]',-,0.340,-,0.770,1.010,0.207,2.041,67.815,-,7.747,-
'[15:26:42.096]',-,0.350,-,0.755,0.990,0.210,2.030,67.288,-,7.620,-
'[15:26:42.104]',-,0.345,-,0.770,1.005,0.212,2.019,66.877,-,7.434,-
'[15:26:42.112]',-,0.350,-,0.760,0.995,0.215,2.013,66.408,-,7.375,-
'[15:26:42.120]',-,0.350,-,0.770,1.015,0.217,2.010,66.115,-,7.307,-
'[15:26:42.128]',-,0.360,-,0.760,0.995,0.220,2.009,65.939,-,7.307,-
'[15:26:42.136]',-,0.355,-,0.775,1.010,0.222,2.002,66.233,-,7.375,-
'[15:26:42.144]',-,0.365,-,0.760,0.995,0.225,1.992,67.756,-,7.620,-
'[15:26:42.152]',-,0.360,-,0.770,1.015,0.227,1.980,71.097,-,7.932,-
'[15:26:42.160]',-,0.375,-,0.755,1.000,0.229,1.963,76.841,-,8.313,-
'[15:26:42.168]',-,0.375,-,0.770,1.015,0.232,1.944,84.754,-,8.684,-
'[15:26:42.176]',-,0.400,-,0.755,0.995,0.233,1.929,93.312,-,8.938,-
'[15:26:42.184]',-,0.400,-,0.770,1.000,0.235,1.911,100.931,-,9.124,-
'[15:26:42.192]',-,0.415,-,0.760,1.005,0.236,1.893,106.851,-,9.124,-
'[15:26:42.200]',-,0.420,-,0.775,0.985,0.237,1.878,111.130,-,9.124,-
'[15:26:42.208]',-,0.425,-,0.770,0.970,0.238,1.861,114.236,-,9.056,-
'[15:26:42.216]',-,0.435,-,0.780,0.960,0.239,1.841,116.698,-,9.124,-
'[15:26:42.224]',-,0.445,-,0.785,0.970,0.240,1.824,118.867,-,9.251,-
'[15:26:42.232]',-,0.450,-,0.780,0.940,0.240,1.809,120.918,-,9.368,-
'[15:26:42.240]',-,0.450,-,0.795,0.950,0.241,1.796,123.028,-,9.564,-
'[15:26:42.248]',-,0.455,-,0.785,0.925,0.241,1.789,125.256,-,9.622,-
'[15:26:42.256]',-,0.445,-,0.800,0.940,0.240,1.786,127.249,-,9.681,-
'[15:26:42.264]',-,0.440,-,0.795,0.925,0.239,1.784,128.890,-,9.564,-
'[15:26:42.272]',-,0.430,-,0.805,0.945,0.236,1.783,130.121,-,9.495,-
'[15:26:42.280]',-,0.420,-,0.800,0.930,0.234,1.780,131.000,-,9.310,-
'[15:26:42.288]',-,0.410,-,0.810,0.950,0.231,1.778,131.586,-,9.183,-
'[15:26:42.296]',-,0.400,-,0.795,0.945,0.228,1.780,132.113,-,9.056,-
'[15:26:42.304]',-,0.395,-,0.800,0.970,0.225,1.781,132.524,-,8.870,-
'[15:26:42.312]',-,0.385,-,0.785,0.955,0.222,1.779,132.993,-,8.743,-
'[15:26:42.320]',-,0.375,-,0.790,0.980,0.219,1.778,133.403,-,8.626,-
'[15:26:42.328]',-,0.380,-,0.770,0.975,0.216,1.780,133.872,-,8.499,-
'[15:26:42.336]',-,0.375,-,0.775,0.990,0.213,1.781,134.165,-,8.430,-
'[15:26:42.344]',-,0.385,-,0.755,0.975,0.211,1.782,134.282,-,8.372,-
'[15:26:42.352]',-,0.375,-,0.760,0.990,0.208,1.782,134.223,-,8.372,-
'[15:26:42.360]',-,0.385,-,0.745,0.980,0.205,1.782,133.813,-,8.313,-
'[15:26:42.368]',-,0.390,-,0.740,0.990,0.202,1.782,132.934,-,8.245,-
'[15:26:42.376]',-,0.400,-,0.730,0.975,0.199,1.779,131.703,-,8.245,-
'[15:26:42.384]',-,0.400,-,0.735,0.970,0.197,1.771,129.945,-,8.118,-
'[15:26:42.392]',-,0.405,-,0.720,0.975,0.194,1.761,127.600,-,8.059,-
'[15:26:42.400]',-,0.405,-,0.725,0.955,0.192,1.750,124.728,-,7.874,-
'[15:26:42.408]',-,0.410,-,0.715,0.965,0.190,1.740,121.153,-,7.747,-
'[15:26:42.416]',-,0.415,-,0.710,0.950,0.188,1.733,117.050,-,7.561,-
'[15:26:42.424]',-,0.410,-,0.715,0.960,0.187,1.733,112.361,-,7.375,-
'[15:26:42.432]',-,0.420,-,0.705,0.945,0.186,1.739,107.320,-,7.248,-
'[15:26:42.440]',-,0.420,-,0.700,0.955,0.185,1.748,102.397,-,7.180,-
'[15:26:42.448]',-,0.425,-,0.705,0.935,0.185,1.759,98.294,-,7.121,-
'[15:26:42.456]',-,0.415,-,0.710,0.945,0.186,1.770,95.422,-,7.180,-
'[15:26:42.464]',-,0.425,-,0.700,0.935,0.186,1.785,94.015,-,7.248,-
'[15:26:42.472]',-,0.410,-,0.705,0.950,0.187,1.805,93.722,-,7.307,-
'[15:26:42.480]',-,0.420,-,0.695,0.935,0.189,1.828,94.015,-,7.434,-
'[15:26:42.488]',-,0.405,-,0.705,0.950,0.190,1.854,94.308,-,7.434,-
'[15:26:42.496]',-,0.415,-,0.695,0.930,0.192,1.884,94.308,-,7.434,-
'[15:26:42.504]',-,0.410,-,0.700,0.950,0.194,1.911,94.015,-,7.375,-
'[15:26:42.512]',-,0.420,-,0.690,0.940,0.196,1.936,93.370,-,7.307,-
'[15:26:42.520]',-,0.415,-,0.695,0.965,0.198,1.962,92.491,-,7.307,-
'[15:26:42.528]',-,0.455,-,0.665,0.955,0.200,1.984,91.495,-,7.307,-
'[15:26:42.536]',-,0.470,-,0.660,0.980,0.203,2.005,90.557,-,7.375,-
'[15:26:42.544]',-,0.495,-,0.645,0.960,0.204,2.034,89.795,-,7.434,-
'[15:26:42.552]',-,0.490,-,0.655,0.925,0.206,2.073,89.326,-,7.434,-
'[15:26:42.560]',-,0.500,-,0.640,0.875,0.208,2.111,88.916,-,7.434,-
'[15:26:42.568]',-,0.475,-,0.660,0.890,0.210,2.144,88.681,-,7.434,-
'[15:26:42.576]',-,0.490,-,0.645,0.875,0.211,2.169,88.388,-,7.307,-
'[15:26:42.584]',-,0.480,-,0.660,0.870,0.212,2.188,87.919,-,7.180,-
'[15:26:42.592]',-,0.470,-,0.660,0.895,0.213,2.203,87.333,-,7.063,-
'[15:26:42.600]',-,0.440,-,0.685,0.910,0.215,2.214,86.630,-,6.936,-
'[15:26:42.608]',-,0.420,-,0.700,0.925,0.215,2.223,85.692,-,6.750,-
'[15:26:42.616]',-,0.395,-,0.725,0.945,0.215,2.234,84.696,-,6.623,-
'[15:26:42.624]',-,0.385,-,0.730,0.955,0.215,2.242,83.699,-,6.496,-
'[15:26:42.632]',-,0.370,-,0.735,0.945,0.215,2.249,82.644,-,6.369,-
'[15:26:42.640]',-,0.375,-,0.740,0.955,0.215,2.259,81.824,-,6.311,-
'[15:26:42.648]',-,0.365,-,0.730,0.945,0.215,2.271,80.944,-,6.242,-
'[15:26:42.656]',-,0.365,-,0.745,0.960,0.215,2.280,80.182,-,6.184,-
'[15:26:42.664]',-,0.380,-,0.735,0.950,0.215,2.281,79.479,-,6.125,-
'[15:26:42.672]',-,0.400,-,0.750,1.020,0.215,2.275,78.893,-,6.125,-
'[15:26:42.680]',-,0.445,-,0.690,1.040,0.215,2.266,78.365,-,6.125,-
'[15:26:42.688]',-,0.600,-,0.515,0.720,0.214,2.255,77.779,-,6.057,-
'[15:26:42.696]',-,0.655,-,0.435,0.515,0.214,2.243,77.252,-,6.057,-
'[15:26:42.704]',-,0.515,-,0.600,0.345,0.213,2.232,76.724,-,6.125,-
'[15:26:42.712]',-,0.360,-,0.715,0.515,0.212,2.219,76.197,-,6.184,-
'[15:26:42.720]',-,0.330,-,0.735,0.765,0.211,2.203,75.669,-,6.242,-
'[15:26:42.728]',-,0.355,-,0.730,0.890,0.210,2.190,75.200,-,6.369,-
'[15:26:42.736]',-,0.340,-,0.765,0.970,0.210,2.176,74.731,-,6.496,-
'[15:26:42.744]',-,0.340,-,0.760,0.980,0.210,2.163,74.438,-,6.623,-
'[15:26:42.752]',-,0.330,-,0.775,1.010,0.211,2.153,74.028,-,6.750,-
'[15:26:42.760]',-,0.335,-,0.765,0.995,0.211,2.143,73.676,-,6.867,-
'[15:26:42.768]',-,0.330,-,0.775,1.010,0.212,2.134,73.325,-,6.994,-
'[15:26:42.776]',-,0.340,-,0.765,1.005,0.214,2.130,72.856,-,7.121,-
'[15:26:42.784]',-,0.345,-,0.770,1.020,0.215,2.121,72.446,-,7.248,-
'[15:26:42.792]',-,0.340,-,0.755,1.010,0.216,2.108,71.918,-,7.434,-
'[15:26:42.800]',-,0.350,-,0.765,1.005,0.218,2.095,71.449,-,7.561,-
'[15:26:42.808]',-,0.345,-,0.755,1.015,0.219,2.085,70.863,-,7.688,-
'[15:26:42.816]',-,0.350,-,0.760,1.005,0.220,2.080,70.335,-,7.747,-
'[15:26:42.824]',-,0.345,-,0.755,1.020,0.221,2.078,69.925,-,7.805,-
'[15:26:42.832]',-,0.340,-,0.760,1.000,0.223,2.077,69.339,-,7.805,-
'[15:26:42.840]',-,0.350,-,0.755,1.020,0.225,2.076,68.870,-,7.747,-
'[15:26:42.848]',-,0.340,-,0.760,1.005,0.228,2.072,68.225,-,7.620,-
'[15:26:42.856]',-,0.345,-,0.765,1.020,0.230,2.065,67.756,-,7.493,-
'[15:26:42.864]',-,0.350,-,0.755,1.000,0.233,2.051,67.229,-,7.375,-
'[15:26:42.872]',-,0.350,-,0.765,1.010,0.236,2.035,66.760,-,7.307,-
'[15:26:42.880]',-,0.350,-,0.760,0.995,0.238,2.018,66.350,-,7.248,-
'[15:26:42.888]',-,0.350,-,0.770,1.010,0.241,1.996,66.057,-,7.180,-
'[15:26:42.896]',-,0.350,-,0.760,0.995,0.243,1.977,65.881,-,7.180,-
'[15:26:42.904]',-,0.350,-,0.770,1.005,0.246,1.957,66.115,-,7.248,-
'[15:26:42.912]',-,0.360,-,0.765,0.995,0.248,1.941,67.346,-,7.434,-
'[15:26:42.920]',-,0.355,-,0.770,1.010,0.250,1.934,70.511,-,7.688,-
'[15:26:42.928]',-,0.370,-,0.760,0.995,0.253,1.926,75.962,-,8.059,-
'[15:26:42.936]',-,0.370,-,0.770,1.010,0.255,1.916,83.699,-,8.430,-
'[15:26:42.944]',-,0.380,-,0.765,0.995,0.258,1.905,92.257,-,8.743,-
'[15:26:42.952]',-,0.390,-,0.770,1.010,0.260,1.891,100.052,-,8.938,-
'[15:26:42.960]',-,0.405,-,0.765,0.995,0.262,1.870,106.265,-,9.056,-
'[15:26:42.968]',-,0.410,-,0.775,1.000,0.264,1.848,110.661,-,9.056,-
'[15:26:42.976]',-,0.425,-,0.770,0.970,0.265,1.827,113.943,-,8.997,-
'[15:26:42.984]',-,0.420,-,0.790,0.965,0.266,1.810,116.405,-,8.938,-
'[15:26:42.992]',-,0.435,-,0.785,0.950,0.267,1.800,118.632,-,8.938,-
'[15:26:43.000]',-,0.440,-,0.795,0.945,0.267,1.794,120.684,-,9.124,-
'[15:26:43.008]',-,0.445,-,0.790,0.955,0.267,1.791,122.853,-,9.310,-
'[15:26:43.016]',-,0.435,-,0.800,0.930,0.267,1.790,125.080,-,9.564,-
'[15:26:43.024]',-,0.445,-,0.805,0.945,0.266,1.789,127.073,-,9.681,-
'[15:26:43.032]',-,0.435,-,0.795,0.930,0.266,1.789,128.772,-,9.681,-
'[15:26:43.040]',-,0.430,-,0.800,0.950,0.264,1.789,130.179,-,9.564,-
'[15:26:43.048]',-,0.420,-,0.795,0.930,0.263,1.789,131.176,-,9.368,-
'[15:26:43.056]',-,0.410,-,0.805,0.950,0.261,1.786,131.879,-,9.124,-
'[15:26:43.064]',-,0.400,-,0.790,0.955,0.259,1.784,132.348,-,8.938,-
'[15:26:43.072]',-,0.395,-,0.800,0.970,0.257,1.783,132.817,-,8.870,-
'[15:26:43.080]',-,0.385,-,0.785,0.950,0.254,1.783,133.227,-,8.811,-
'[15:26:43.088]',-,0.375,-,0.795,0.975,0.252,1.783,133.637,-,8.811,-
'[15:26:43.096]',-,0.375,-,0.775,0.975,0.250,1.783,133.989,-,8.811,-
'[15:26:43.104]',-,0.370,-,0.775,0.990,0.248,1.783,134.341,-,8.743,-
'[15:26:43.112]',-,0.380,-,0.755,0.975,0.247,1.780,134.575,-,8.743,-
'[15:26:43.120]',-,0.375,-,0.755,0.990,0.246,1.778,134.517,-,8.684,-
'[15:26:43.128]',-,0.380,-,0.745,0.975,0.245,1.777,134.106,-,8.626,-
'[15:26:43.136]',-,0.380,-,0.745,0.995,0.244,1.777,133.344,-,8.557,-
'[15:26:43.144]',-,0.395,-,0.730,0.980,0.244,1.773,132.113,-,8.430,-
'[15:26:43.152]',-,0.395,-,0.730,0.990,0.245,1.768,130.414,-,8.313,-
'[15:26:43.160]',-,0.410,-,0.715,0.975,0.246,1.766,128.128,-,8.186,-
'[15:26:43.168]',-,0.410,-,0.720,0.990,0.248,1.761,125.256,-,8.059,-
'[15:26:43.176]',-,0.420,-,0.705,0.975,0.251,1.760,121.798,-,8.001,-
'[15:26:43.184]',-,0.425,-,0.705,0.990,0.254,1.759,117.753,-,7.932,-
'[15:26:43.192]',-,0.440,-,0.685,0.970,0.258,1.758,113.064,-,7.932,-
'[15:26:43.200]',-,0.435,-,0.690,0.965,0.263,1.763,107.848,-,7.874,-
'[15:26:43.208]',-,0.445,-,0.680,0.975,0.268,1.773,102.748,-,7.805,-
'[15:26:43.216]',-,0.430,-,0.690,0.960,0.274,1.787,98.177,-,7.805,-
'[15:26:43.224]',-,0.435,-,0.680,0.965,0.281,1.803,95.011,-,7.747,-
'[15:26:43.232]',-,0.440,-,0.680,0.950,0.290,1.820,93.429,-,7.747,-
'[15:26:43.240]',-,0.430,-,0.685,0.960,0.299,1.842,93.253,-,7.805,-
'[15:26:43.248]',-,0.435,-,0.680,0.945,0.309,1.865,93.781,-,7.874,-
'[15:26:43.256]',-,0.425,-,0.685,0.960,0.320,1.889,94.367,-,7.932,-
'[15:26:43.264]',-,0.435,-,0.680,0.945,0.332,1.913,94.660,-,7.932,-
'[15:26:43.272]',-,0.425,-,0.690,0.960,0.344,1.937,94.484,-,7.932,-
'[15:26:43.280]',-,0.425,-,0.680,0.950,0.355,1.959,93.898,-,7.874,-
'[15:26:43.288]',-,0.435,-,0.685,0.975,0.367,1.979,93.136,-,7.932,-
'[15:26:43.296]',-,0.470,-,0.660,0.975,0.378,2.002,92.139,-,8.059,-
'[15:26:43.304]',-,0.475,-,0.655,0.995,0.390,2.026,91.260,-,8.186,-
'[15:26:43.312]',-,0.495,-,0.640,0.980,0.402,2.051,90.557,-,8.372,-
'[15:26:43.320]',-,0.495,-,0.645,0.940,0.415,2.079,90.029,-,8.557,-
'[15:26:43.328]',-,0.505,-,0.635,0.895,0.428,2.106,89.795,-,8.626,-
'[15:26:43.336]',-,0.490,-,0.650,0.910,0.441,2.131,89.560,-,8.557,-
'[15:26:43.344]',-,0.500,-,0.635,0.895,0.453,2.156,89.326,-,8.430,-
'[15:26:43.352]',-,0.495,-,0.645,0.910,0.465,2.175,88.857,-,8.186,-
'[15:26:43.360]',-,0.485,-,0.645,0.910,0.476,2.191,88.271,-,7.932,-
'[15:26:43.368]',-,0.445,-,0.675,0.935,0.487,2.205,87.509,-,7.747,-
'[15:26:43.376]',-,0.430,-,0.680,0.945,0.498,2.218,86.630,-,7.493,-
'[15:26:43.384]',-,0.400,-,0.705,0.965,0.510,2.231,85.633,-,7.307,-
'[15:26:43.392]',-,0.395,-,0.710,0.970,0.522,2.243,84.637,-,7.180,-
'[15:26:43.400]',-,0.375,-,0.730,0.965,0.534,2.256,83.582,-,7.121,-
'[15:26:43.408]',-,0.380,-,0.725,0.975,0.546,2.269,82.644,-,7.121,-
'[15:26:43.416]',-,0.375,-,0.730,0.960,0.558,2.282,81.882,-,7.180,-
'[15:26:43.424]',-,0.380,-,0.725,0.975,0.570,2.291,81.179,-,7.180,-
'[15:26:43.432]',-,0.375,-,0.735,0.960,0.581,2.299,80.534,-,7.180,-
'[15:26:43.440]',-,0.405,-,0.730,1.020,0.592,2.306,80.007,-,7.180,-
'[15:26:43.448]',-,0.450,-,0.680,1.040,0.603,2.306,79.479,-,7.248,-
'[15:26:43.456]',-,0.625,-,0.500,0.725,0.613,2.300,79.010,-,7.307,-
'[15:26:43.464]',-,0.685,-,0.430,0.535,0.623,2.291,78.483,-,7.375,-
'[15:26:43.472]',-,0.580,-,0.570,0.380,0.634,2.281,78.014,-,7.493,-
'[15:26:43.480]',-,0.415,-,0.685,0.565,0.645,2.266,77.486,-,7.620,-
'[15:26:43.488]',-,0.375,-,0.710,0.800,0.656,2.245,76.959,-,7.747,-
