'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'[17:51:27.480]',0.095,-,0.760,0.835,-0.164,1.363,53.924,9.993
'[17:51:27.488]',0.095,-,0.770,0.840,-0.162,1.475,53.240,9.993
'[17:51:27.496]',0.105,-,0.765,0.850,-0.162,1.621,52.849,9.935
'[17:51:27.504]',0.100,-,0.770,0.855,-0.162,1.794,52.947,9.935
'[17:51:27.512]',0.109,-,0.765,0.860,-0.162,1.984,53.240,9.935
'[17:51:27.520]',0.060,-,0.805,0.845,-0.163,2.155,53.729,9.935
'[17:51:27.528]',0.055,-,0.815,0.830,-0.164,2.312,54.510,9.935
'[17:51:27.536]',0.044,-,0.815,0.840,-0.165,2.428,55.438,9.876
'[17:51:27.544]',0.050,-,0.825,0.835,-0.167,2.511,56.415,9.935
'[17:51:27.552]',0.035,-,0.825,0.830,-0.168,2.614,57.441,9.935
'[17:51:27.560]',0.050,-,0.815,0.835,-0.171,2.712,58.418,10.062
'[17:51:27.568]',0.055,-,0.805,0.845,-0.173,2.794,59.248,10.247
'[17:51:27.576]',0.065,-,0.795,0.855,-0.178,2.855,59.932,10.501
'[17:51:27.584]',0.075,-,0.780,0.840,-0.181,2.898,60.420,10.873
'[17:51:27.592]',0.080,-,0.775,0.860,-0.187,2.922,60.811,11.127
'[17:51:27.600]',0.075,-,0.815,0.865,-0.192,2.927,61.006,11.312
'[17:51:27.608]',0.065,-,0.825,0.880,-0.197,2.915,61.006,11.439
'[17:51:27.616]',0.245,-,0.670,0.925,-0.203,2.891,60.860,11.498
'[17:51:27.624]',0.550,-,0.345,1.045,-0.208,2.859,60.469,11.556
'[17:51:27.632]',0.915,-,-0.010,0.965,-0.213,2.819,59.981,11.556
'[17:51:27.640]',0.930,-,0.145,0.730,-0.217,2.771,59.346,11.498
'[17:51:27.648]',0.170,-,0.650,0.530,-0.222,2.717,58.662,11.371
'[17:51:27.656]',-0.045,-,0.875,0.625,-0.227,2.660,57.978,11.185
'[17:51:27.664]',-0.025,-,0.885,0.780,-0.232,2.598,57.245,10.873
'[17:51:27.672]',0.004,-,0.850,0.865,-0.236,2.533,56.464,10.619
'[17:51:27.680]',0.024,-,0.840,0.875,-0.241,2.464,55.780,10.374
'[17:51:27.688]',0.004,-,0.850,0.870,-0.244,2.393,55.047,10.189
'[17:51:27.696]',0.015,-,0.850,0.875,-0.248,2.319,54.412,10.062
'[17:51:27.704]',0.004,-,0.850,0.865,-0.251,2.242,53.875,9.993
'[17:51:27.712]',0.024,-,0.840,0.875,-0.254,2.164,53.289,9.935
'[17:51:27.720]',0.030,-,0.835,0.880,-0.256,2.093,52.752,9.876
'[17:51:27.728]',0.035,-,0.825,0.895,-0.258,2.026,52.117,9.808
'[17:51:27.736]',0.044,-,0.820,0.890,-0.261,1.954,51.531,9.808
'[17:51:27.744]',0.035,-,0.825,0.885,-0.263,1.882,50.944,9.808
'[17:51:27.752]',0.055,-,0.810,0.880,-0.266,1.810,50.309,9.808
'[17:51:27.760]',0.044,-,0.815,0.890,-0.268,1.743,49.674,9.808
'[17:51:27.768]',0.075,-,0.800,0.895,-0.269,1.681,49.039,9.876
'[17:51:27.776]',0.070,-,0.810,0.895,-0.271,1.627,48.405,9.935
'[17:51:27.784]',0.095,-,0.790,0.900,-0.271,1.579,47.818,10.120
'[17:51:27.792]',0.105,-,0.775,0.910,-0.272,1.539,47.232,10.189
'[17:51:27.800]',0.140,-,0.740,0.905,-0.272,1.505,46.695,10.120
'[17:51:27.808]',0.160,-,0.725,0.925,-0.271,1.480,46.109,9.935
'[17:51:27.816]',0.200,-,0.685,0.935,-0.271,1.464,45.572,9.622
'[17:51:27.824]',0.240,-,0.655,0.955,-0.269,1.456,45.034,9.183
'[17:51:27.832]',0.260,-,0.660,0.950,-0.268,1.451,44.595,8.743
'[17:51:27.840]',0.295,-,0.620,0.970,-0.265,1.450,44.253,8.313
'[17:51:27.848]',0.330,-,0.585,0.970,-0.263,1.452,44.057,8.001
'[17:51:27.856]',0.325,-,0.595,0.975,-0.260,1.456,44.155,7.805
'[17:51:27.864]',0.330,-,0.585,0.975,-0.257,1.457,45.034,7.747
'[17:51:27.872]',0.325,-,0.590,0.980,-0.254,1.458,47.135,7.747
'[17:51:27.880]',0.350,-,0.565,0.970,-0.250,1.458,51.189,7.805
'[17:51:27.888]',0.325,-,0.595,0.970,-0.247,1.457,57.734,7.932
'[17:51:27.896]',0.305,-,0.615,0.965,-0.243,1.452,67.112,8.118
'[17:51:27.904]',0.270,-,0.640,0.950,-0.238,1.445,78.590,8.245
'[17:51:27.912]',0.245,-,0.665,0.940,-0.235,1.436,90.752,8.430
'[17:51:27.920]',0.215,-,0.695,0.935,-0.231,1.427,101.938,8.557
'[17:51:27.928]',0.190,-,0.705,0.910,-0.228,1.417,111.316,8.684
'[17:51:27.936]',0.160,-,0.715,0.900,-0.225,1.405,118.496,8.684
'[17:51:27.944]',0.150,-,0.730,0.895,-0.222,1.391,123.576,8.626
'[17:51:27.952]',0.130,-,0.755,0.890,-0.219,1.374,126.360,8.499
'[17:51:27.960]',0.135,-,0.755,0.900,-0.217,1.355,127.141,8.372
'[17:51:27.968]',0.100,-,0.780,0.875,-0.215,1.335,125.920,8.313
'[17:51:27.976]',0.095,-,0.775,0.875,-0.214,1.315,123.380,8.245
'[17:51:27.984]',0.100,-,0.780,0.890,-0.212,1.294,119.766,8.245
'[17:51:27.992]',0.125,-,0.770,0.900,-0.211,1.274,115.370,8.245
'[17:51:28.000]',0.109,-,0.775,0.875,-0.210,1.254,110.485,8.372
'[17:51:28.008]',0.120,-,0.765,0.885,-0.208,1.235,105.601,8.430
'[17:51:28.016]',0.120,-,0.760,0.875,-0.207,1.219,101.107,8.557
'[17:51:28.024]',0.109,-,0.780,0.895,-0.206,1.204,97.053,8.684
'[17:51:28.032]',0.105,-,0.770,0.875,-0.205,1.187,93.341,8.743
'[17:51:28.040]',0.085,-,0.785,0.875,-0.203,1.169,89.727,8.811
'[17:51:28.048]',0.070,-,0.795,0.860,-0.200,1.152,86.308,8.870
'[17:51:28.056]',0.065,-,0.800,0.865,-0.198,1.134,82.937,8.870
'[17:51:28.064]',0.075,-,0.795,0.870,-0.195,1.116,79.665,8.938
'[17:51:28.072]',0.070,-,0.800,0.865,-0.192,1.099,76.490,8.938
'[17:51:28.080]',0.080,-,0.790,0.860,-0.188,1.080,73.315,8.938
'[17:51:28.088]',0.080,-,0.795,0.880,-0.184,1.061,70.091,8.938
'[17:51:28.096]',0.100,-,0.780,0.895,-0.181,1.040,66.965,8.870
'[17:51:28.104]',0.109,-,0.765,0.910,-0.177,1.020,64.035,8.811
'[17:51:28.112]',0.100,-,0.755,0.905,-0.173,0.999,61.251,8.743
'[17:51:28.120]',0.115,-,0.750,0.920,-0.170,0.985,58.662,8.626
'[17:51:28.128]',0.120,-,0.745,0.900,-0.166,0.978,56.415,8.499
'[17:51:28.136]',0.095,-,0.765,0.900,-0.163,0.978,54.412,8.372
'[17:51:28.144]',0.100,-,0.770,0.885,-0.160,0.993,52.947,8.245
'[17:51:28.152]',0.075,-,0.795,0.865,-0.157,1.031,51.775,8.059
'[17:51:28.160]',0.070,-,0.810,0.850,-0.154,1.098,51.091,7.874
'[17:51:28.168]',0.055,-,0.790,0.840,-0.151,1.197,50.749,7.688
'[17:51:28.176]',0.070,-,0.770,0.835,-0.149,1.328,50.749,7.493
'[17:51:28.184]',0.080,-,0.770,0.840,-0.147,1.487,50.944,7.375
'[17:51:28.192]',0.105,-,0.745,0.855,-0.145,1.666,51.384,7.307
'[17:51:28.200]',0.075,-,0.780,0.850,-0.145,1.854,51.970,7.307
'[17:51:28.208]',0.030,-,0.835,0.845,-0.144,2.043,52.800,7.248
'[17:51:28.216]',0.024,-,0.840,0.855,-0.144,2.198,53.729,7.248
'[17:51:28.224]',0.030,-,0.850,0.865,-0.143,2.329,54.803,7.248
'[17:51:28.232]',0.024,-,0.840,0.850,-0.144,2.460,55.878,7.248
'[17:51:28.240]',0.020,-,0.825,0.845,-0.144,2.578,56.757,7.307
'[17:51:28.248]',0.024,-,0.830,0.840,-0.144,2.673,57.538,7.561
'[17:51:28.256]',0.015,-,0.830,0.850,-0.145,2.742,58.124,7.874
'[17:51:28.264]',0.035,-,0.820,0.850,-0.145,2.788,58.466,8.186
'[17:51:28.272]',0.040,-,0.820,0.870,-0.146,2.812,58.808,8.557
'[17:51:28.280]',0.075,-,0.810,0.880,-0.146,2.816,58.906,8.870
'[17:51:28.288]',0.085,-,0.825,0.905,-0.146,2.804,58.857,9.124
'[17:51:28.296]',0.175,-,0.715,0.895,-0.145,2.779,58.564,9.310
'[17:51:28.304]',0.450,-,0.415,0.965,-0.145,2.743,57.978,9.437
'[17:51:28.312]',0.775,-,0.075,0.990,-0.144,2.697,57.294,9.437
'[17:51:28.320]',0.885,-,-0.005,0.825,-0.143,2.648,56.561,9.368
'[17:51:28.328]',0.315,-,0.565,0.630,-0.142,2.595,55.731,9.183
'[17:51:28.336]',-0.005,-,0.855,0.595,-0.141,2.535,54.998,8.997
'[17:51:28.344]',-0.021,-,0.885,0.775,-0.139,2.469,54.315,8.743
'[17:51:28.352]',-0.041,-,0.895,0.860,-0.137,2.401,53.533,8.499
'[17:51:28.360]',-0.025,-,0.870,0.875,-0.133,2.328,52.800,8.245
'[17:51:28.368]',-0.015,-,0.860,0.875,-0.129,2.252,52.117,7.932
'[17:51:28.376]',-0.015,-,0.870,0.885,-0.123,2.173,51.433,7.620
'[17:51:28.384]',-0.021,-,0.865,0.875,-0.117,2.092,50.798,7.493
'[17:51:28.392]',-0.005,-,0.855,0.880,-0.110,2.010,50.163,7.493
'[17:51:28.400]',-0.000,-,0.845,0.875,-0.103,1.930,49.528,7.434
'[17:51:28.408]',-0.015,-,0.860,0.880,-0.094,1.850,48.991,7.248
'[17:51:28.416]',-0.021,-,0.885,0.885,-0.086,1.782,48.356,7.063
'[17:51:28.424]',-0.000,-,0.865,0.900,-0.078,1.720,47.818,6.809
'[17:51:28.432]',0.015,-,0.840,0.875,-0.070,1.657,47.232,6.555
'[17:51:28.440]',0.035,-,0.820,0.880,-0.062,1.595,46.695,6.369
'[17:51:28.448]',0.055,-,0.820,0.885,-0.053,1.539,46.060,6.184
'[17:51:28.456]',0.040,-,0.830,0.875,-0.044,1.487,45.474,6.125
'[17:51:28.464]',0.065,-,0.800,0.875,-0.034,1.442,44.839,6.125
'[17:51:28.472]',0.075,-,0.795,0.885,-0.024,1.404,44.302,6.057
'[17:51:28.480]',0.100,-,0.770,0.885,-0.013,1.374,43.715,5.871
'[17:51:28.488]',0.115,-,0.750,0.900,-0.004,1.354,43.178,5.617
'[17:51:28.496]',0.145,-,0.750,0.910,0.006,1.340,42.592,5.246
'[17:51:28.504]',0.155,-,0.735,0.925,0.015,1.333,42.055,4.806
'[17:51:28.512]',0.200,-,0.690,0.920,0.025,1.330,41.566,4.435
'[17:51:28.520]',0.235,-,0.665,0.940,0.035,1.332,41.176,4.064
'[17:51:28.528]',0.270,-,0.635,0.945,0.045,1.336,40.883,3.810
'[17:51:28.536]',0.280,-,0.625,0.930,0.056,1.340,40.736,3.556
'[17:51:28.544]',0.290,-,0.625,0.940,0.068,1.344,41.127,3.370
'[17:51:28.552]',0.280,-,0.625,0.930,0.079,1.348,42.299,3.243
'[17:51:28.560]',0.285,-,0.625,0.930,0.091,1.350,44.839,3.185
'[17:51:28.568]',0.275,-,0.650,0.940,0.102,1.349,49.626,3.243
'[17:51:28.576]',0.290,-,0.620,0.945,0.114,1.345,57.050,3.312
'[17:51:28.584]',0.260,-,0.655,0.935,0.123,1.338,67.063,3.370
'[17:51:28.592]',0.235,-,0.675,0.930,0.133,1.327,78.688,3.370
'[17:51:28.600]',0.200,-,0.695,0.920,0.141,1.315,90.215,3.439
'[17:51:28.608]',0.160,-,0.720,0.910,0.150,1.299,100.570,3.439
'[17:51:28.616]',0.145,-,0.750,0.915,0.159,1.285,108.922,3.439
'[17:51:28.624]',0.130,-,0.755,0.905,0.168,1.273,115.077,3.370
'[17:51:28.632]',0.115,-,0.765,0.900,0.177,1.256,119.033,3.370
'[17:51:28.640]',0.100,-,0.775,0.900,0.187,1.239,120.791,3.370
'[17:51:28.648]',0.100,-,0.780,0.890,0.195,1.220,120.547,3.439
'[17:51:28.656]',0.095,-,0.770,0.905,0.203,1.200,118.691,3.556
'[17:51:28.664]',0.105,-,0.770,0.895,0.211,1.181,115.614,3.810
'[17:51:28.672]',0.100,-,0.785,0.910,0.219,1.160,111.609,4.122
'[17:51:28.680]',0.100,-,0.770,0.900,0.228,1.140,106.969,4.494
'[17:51:28.688]',0.070,-,0.790,0.895,0.237,1.119,101.938,4.689
'[17:51:28.696]',0.065,-,0.805,0.885,0.247,1.100,97.102,4.748
'[17:51:28.704]',0.080,-,0.785,0.890,0.258,1.081,92.755,4.689
'[17:51:28.712]',0.085,-,0.775,0.880,0.270,1.063,88.750,4.689
'[17:51:28.720]',0.055,-,0.805,0.875,0.282,1.049,84.940,4.689
'[17:51:28.728]',0.065,-,0.815,0.880,0.296,1.037,81.277,4.806
'[17:51:28.736]',0.050,-,0.805,0.870,0.309,1.022,77.858,5.002
'[17:51:28.744]',0.065,-,0.805,0.875,0.321,1.005,74.536,5.246
'[17:51:28.752]',0.050,-,0.815,0.870,0.334,0.986,71.410,5.373
'[17:51:28.760]',0.044,-,0.810,0.860,0.346,0.969,68.235,5.500
'[17:51:28.768]',0.055,-,0.815,0.875,0.359,0.951,65.060,5.500
'[17:51:28.776]',0.075,-,0.790,0.875,0.371,0.933,61.885,5.500
'[17:51:28.784]',0.090,-,0.780,0.895,0.385,0.914,58.759,5.431
'[17:51:28.792]',0.080,-,0.790,0.900,0.399,0.896,55.878,5.373
'[17:51:28.800]',0.100,-,0.770,0.910,0.413,0.881,53.289,5.373
'[17:51:28.808]',0.125,-,0.755,0.920,0.425,0.867,51.042,5.304
'[17:51:28.816]',0.105,-,0.770,0.885,0.438,0.862,49.235,5.246
'[17:51:28.824]',0.085,-,0.780,0.880,0.449,0.868,47.818,5.187
'[17:51:28.832]',0.100,-,0.765,0.865,0.461,0.889,46.841,5.060
'[17:51:28.840]',0.060,-,0.805,0.855,0.472,0.933,46.353,5.060
'[17:51:28.848]',0.060,-,0.800,0.845,0.483,1.006,46.255,5.002
'[17:51:28.856]',0.050,-,0.810,0.840,0.493,1.111,46.500,5.002
'[17:51:28.864]',0.075,-,0.775,0.840,0.504,1.249,47.037,4.933
'[17:51:28.872]',0.080,-,0.780,0.860,0.513,1.413,47.867,4.933
'[17:51:28.880]',0.070,-,0.805,0.855,0.522,1.593,48.844,4.875
'[17:51:28.888]',0.024,-,0.840,0.845,0.530,1.782,49.968,4.806
'[17:51:28.896]',0.020,-,0.835,0.830,0.538,1.968,51.189,4.748
'[17:51:28.904]',0.020,-,0.825,0.845,0.544,2.142,52.361,4.621
'[17:51:28.912]',0.030,-,0.815,0.840,0.550,2.295,53.435,4.562
'[17:51:28.920]',0.004,-,0.835,0.835,0.555,2.410,54.315,4.621
'[17:51:28.928]',0.010,-,0.840,0.840,0.561,2.495,55.047,4.748
'[17:51:28.936]',0.015,-,0.850,0.850,0.564,2.568,55.536,5.002
'[17:51:28.944]',0.010,-,0.845,0.855,0.569,2.623,55.926,5.431
'[17:51:28.952]',0.020,-,0.840,0.850,0.572,2.657,56.171,5.871
'[17:51:28.960]',0.030,-,0.820,0.850,0.575,2.671,56.366,6.311
'[17:51:28.968]',0.044,-,0.830,0.870,0.578,2.666,56.464,6.682
'[17:51:28.976]',0.060,-,0.805,0.880,0.581,2.645,56.464,6.936
'[17:51:28.984]',0.220,-,0.665,0.905,0.583,2.612,56.415,7.121
'[17:51:28.992]',0.545,-,0.375,1.010,0.586,2.568,56.317,7.307
'[17:51:29.000]',0.910,-,0.035,1.035,0.588,2.515,55.975,7.434
'[17:51:29.008]',0.970,-,-0.010,0.790,0.591,2.457,55.487,7.493
'[17:51:29.016]',0.210,-,0.680,0.620,0.593,2.399,54.852,7.434
'[17:51:29.024]',-0.075,-,0.920,0.600,0.596,2.340,54.070,7.307
'[17:51:29.032]',-0.086,-,0.930,0.725,0.599,2.275,53.240,7.180
'[17:51:29.040]',-0.065,-,0.885,0.815,0.602,2.204,52.410,6.994
'[17:51:29.048]',-0.030,-,0.860,0.850,0.605,2.130,51.726,6.809
'[17:51:29.056]',-0.025,-,0.860,0.870,0.608,2.053,51.091,6.682
'[17:51:29.064]',-0.005,-,0.855,0.875,0.611,1.974,50.554,6.555
'[17:51:29.072]',-0.015,-,0.860,0.870,0.615,1.892,50.065,6.438
'[17:51:29.080]',-0.010,-,0.850,0.850,0.618,1.812,49.479,6.369
'[17:51:29.088]',-0.015,-,0.865,0.870,0.621,1.735,48.991,6.311
'[17:51:29.096]',0.004,-,0.855,0.880,0.624,1.660,48.405,6.184
'[17:51:29.104]',0.004,-,0.840,0.875,0.627,1.588,47.867,6.125
'[17:51:29.112]',0.024,-,0.820,0.865,0.630,1.531,47.281,6.057
'[17:51:29.120]',0.024,-,0.825,0.875,0.633,1.482,46.744,6.057
'[17:51:29.128]',0.040,-,0.815,0.875,0.636,1.433,46.158,6.125
'[17:51:29.136]',0.030,-,0.840,0.875,0.639,1.388,45.620,6.184
'[17:51:29.144]',0.060,-,0.810,0.885,0.642,1.350,45.132,6.311
'[17:51:29.152]',0.065,-,0.815,0.890,0.646,1.321,44.692,6.438
'[17:51:29.160]',0.090,-,0.775,0.875,0.649,1.299,44.253,6.496
'[17:51:29.168]',0.105,-,0.745,0.870,0.653,1.286,43.813,6.496
'[17:51:29.176]',0.130,-,0.730,0.885,0.657,1.282,43.276,6.311
'[17:51:29.184]',0.165,-,0.715,0.895,0.662,1.283,42.836,5.998
'[17:51:29.192]',0.215,-,0.690,0.915,0.668,1.291,42.446,5.617
'[17:51:29.200]',0.240,-,0.675,0.920,0.674,1.302,42.104,5.119
'[17:51:29.208]',0.265,-,0.645,0.905,0.681,1.314,41.811,4.621
'[17:51:29.216]',0.280,-,0.625,0.900,0.687,1.326,41.713,4.249
'[17:51:29.224]',0.305,-,0.600,0.905,0.693,1.339,41.859,4.064
'[17:51:29.232]',0.325,-,0.585,0.900,0.699,1.352,42.494,3.995
'[17:51:29.240]',0.310,-,0.610,0.900,0.704,1.363,44.106,4.064
'[17:51:29.248]',0.315,-,0.605,0.900,0.710,1.370,47.281,4.181
'[17:51:29.256]',0.300,-,0.630,0.920,0.715,1.373,52.800,4.376
'[17:51:29.264]',0.295,-,0.625,0.905,0.721,1.372,61.104,4.562
'[17:51:29.272]',0.270,-,0.640,0.920,0.726,1.369,71.801,4.748
'[17:51:29.280]',0.245,-,0.660,0.900,0.731,1.362,83.475,4.933
'[17:51:29.288]',0.185,-,0.705,0.900,0.735,1.353,94.758,5.060
'[17:51:29.296]',0.165,-,0.730,0.900,0.740,1.342,104.380,5.246
'[17:51:29.304]',0.135,-,0.760,0.910,0.743,1.329,111.951,5.431
'[17:51:29.312]',0.130,-,0.770,0.900,0.747,1.319,117.372,5.500
'[17:51:29.320]',0.120,-,0.765,0.890,0.750,1.309,120.791,5.558
'[17:51:29.328]',0.120,-,0.770,0.895,0.753,1.295,122.257,5.617
'[17:51:29.336]',0.105,-,0.770,0.900,0.756,1.278,121.817,5.744
'[17:51:29.344]',0.105,-,0.770,0.895,0.759,1.259,119.766,5.871
'[17:51:29.352]',0.105,-,0.770,0.890,0.762,1.241,116.542,6.125
'[17:51:29.360]',0.125,-,0.760,0.900,0.765,1.224,112.488,6.369
'[17:51:29.368]',0.115,-,0.755,0.895,0.768,1.207,107.750,6.623
'[17:51:29.376]',0.109,-,0.775,0.900,0.772,1.192,102.817,6.867
'[17:51:29.384]',0.100,-,0.765,0.880,0.775,1.177,98.128,7.180
'[17:51:29.392]',0.095,-,0.770,0.875,0.778,1.162,93.878,7.375
'[17:51:29.400]',0.115,-,0.760,0.870,0.781,1.148,89.971,7.561
'[17:51:29.408]',0.085,-,0.790,0.875,0.784,1.132,86.405,7.747
'[17:51:29.416]',0.080,-,0.795,0.865,0.789,1.120,82.986,7.874
'[17:51:29.424]',0.080,-,0.790,0.875,0.793,1.111,79.665,8.001
