'Time','II','ABP','PLETH','I'
'[00:17:27.136]',-,-,-,-
'[00:17:27.144]',-,-,-,-
'[00:17:27.152]',-,-,-,-
'[00:17:27.160]',-,-,-,-
'[00:17:27.168]',-,-,-,-
'[00:17:27.176]',-,-,-,-
'[00:17:27.184]',-,-,-,-
'[00:17:27.192]',-,-,-,-
'[00:17:27.200]',-,-,-,-
'[00:17:27.208]',-,-,-,-
'[00:17:27.216]',-,-,-,-
'[00:17:27.224]',-,-,-,-
'[00:17:27.232]',-,-,-,-
'[00:17:27.240]',-,-,-,-
'[00:17:27.248]',-,-,-,-
'[00:17:27.256]',-,-,-,-
'[00:17:27.264]',-,-,-,-
'[00:17:27.272]',-,-,-,-
'[00:17:27.280]',-,-,-,-
'[00:17:27.288]',-,-,-,-
'[00:17:27.296]',-,-,-,-
'[00:17:27.304]',-,-,-,-
'[00:17:27.312]',-,-,-,-
'[00:17:27.320]',-,-,-,-
'[00:17:27.328]',-,-,-,-
'[00:17:27.336]',-,-,-,-
'[00:17:27.344]',-,-,-,-
'[00:17:27.352]',-,-,-,-
'[00:17:27.360]',-,-,-,-
'[00:17:27.368]',-,-,-,-
'[00:17:27.376]',-,-,-,-
'[00:17:27.384]',-,-,-,-
'[00:17:27.392]',-,-,-,-
'[00:17:27.400]',-,-,-,-
'[00:17:27.408]',-,-,-,-
'[00:17:27.416]',-,-,-,-
'[00:17:27.424]',-,-,-,-
'[00:17:27.432]',-,-,-,-
'[00:17:27.440]',-,-,-,-
'[00:17:27.448]',-,-,-,-
'[00:17:27.456]',-,-,-,-
'[00:17:27.464]',-,-,-,-
'[00:17:27.472]',-,-,-,-
'[00:17:27.480]',-,-,-,-
'[00:17:27.488]',-,-,-,-
'[00:17:27.496]',-,-,-,-
'[00:17:27.504]',-,-,-,-
'[00:17:27.512]',-,-,-,-
'[00:17:27.520]',-,-,-,-
'[00:17:27.528]',-,-,-,-
'[00:17:27.536]',-,-,-,-
'[00:17:27.544]',-,-,-,-
'[00:17:27.552]',-,-,-,-
'[00:17:27.560]',-,-,-,-
'[00:17:27.568]',-,-,-,-
'[00:17:27.576]',-,-,-,-
'[00:17:27.584]',-,-,-,-
'[00:17:27.592]',-,-,-,-
'[00:17:27.600]',-,-,-,-
'[00:17:27.608]',-,-,-,-
'[00:17:27.616]',-,-,-,-
'[00:17:27.624]',-,-,-,-
'[00:17:27.632]',-,-,-,-
'[00:17:27.640]',-,-,-,-
'[00:17:27.648]',-,-,-,-
'[00:17:27.656]',-,-,-,-
'[00:17:27.664]',-,-,-,-
'[00:17:27.672]',-,-,-,-
'[00:17:27.680]',-,-,-,-
'[00:17:27.688]',-,-,-,-
'[00:17:27.696]',-,-,-,-
'[00:17:27.704]',-,-,-,-
'[00:17:27.712]',-,-,-,-
'[00:17:27.720]',-,-,-,-
'[00:17:27.728]',-,-,-,-
'[00:17:27.736]',-,-,-,-
'[00:17:27.744]',-,-,-,-
'[00:17:27.752]',-,-,-,-
'[00:17:27.760]',-,-,-,-
'[00:17:27.768]',-,-,-,-
'[00:17:27.776]',-,-,-,-
'[00:17:27.784]',-,-,-,-
'[00:17:27.792]',-,-,-,-
'[00:17:27.800]',-,-,-,-
'[00:17:27.808]',-,-,-,-
'[00:17:27.816]',-,-,-,-
'[00:17:27.824]',-,-,-,-
'[00:17:27.832]',-,-,-,-
'[00:17:27.840]',-,-,-,-
'[00:17:27.848]',-,-,-,-
'[00:17:27.856]',-,-,-,-
'[00:17:27.864]',-,-,-,-
'[00:17:27.872]',-,-,-,-
'[00:17:27.880]',-,-,-,-
'[00:17:27.888]',-,-,-,-
'[00:17:27.896]',-,-,-,-
'[00:17:27.904]',-,-,-,-
'[00:17:27.912]',-,-,-,-
'[00:17:27.920]',-,-,-,-
'[00:17:27.928]',-,-,-,-
'[00:17:27.936]',-,-,-,-
'[00:17:27.944]',-,-,-,-
'[00:17:27.952]',-,-,-,-
'[00:17:27.960]',-,-,-,-
'[00:17:27.968]',-,-,-,-
'[00:17:27.976]',-,-,-,-
'[00:17:27.984]',-,-,-,-
'[00:17:27.992]',-,-,-,-
'[00:17:28.000]',-,-,-,-
'[00:17:28.008]',-,-,-,-
'[00:17:28.016]',-,-,-,-
'[00:17:28.024]',-,-,-,-
'[00:17:28.032]',-,-,-,-
'[00:17:28.040]',-,-,-,-
'[00:17:28.048]',-,-,-,-
'[00:17:28.056]',-,-,-,-
'[00:17:28.064]',-,-,-,-
'[00:17:28.072]',-,-,-,-
'[00:17:28.080]',-,-,-,-
'[00:17:28.088]',-,-,-,-
'[00:17:28.096]',-,-,-,-
'[00:17:28.104]',-,-,-,-
'[00:17:28.112]',-,-,-,-
'[00:17:28.120]',-,-,-,-
'[00:17:28.128]',-,-,-,-
'[00:17:28.136]',-,-,-,-
'[00:17:28.144]',-,-,-,-
'[00:17:28.152]',-,-,-,-
'[00:17:28.160]',-,-,-,-
'[00:17:28.168]',-,-,-,-
'[00:17:28.176]',-,-,-,-
'[00:17:28.184]',-,-,-,-
'[00:17:28.192]',-,-,-,-
'[00:17:28.200]',-,-,-,-
'[00:17:28.208]',-,-,-,-
'[00:17:28.216]',-,-,-,-
'[00:17:28.224]',-,-,-,-
'[00:17:28.232]',-,-,-,-
'[00:17:28.240]',-,-,-,-
'[00:17:28.248]',-,-,-,-
'[00:17:28.256]',-,-,-,-
'[00:17:28.264]',-,-,-,-
'[00:17:28.272]',-,-,-,-
'[00:17:28.280]',-,-,-,-
'[00:17:28.288]',-,-,-,-
'[00:17:28.296]',-,-,-,-
'[00:17:28.304]',-,-,-,-
'[00:17:28.312]',-,-,-,-
'[00:17:28.320]',-,-,-,-
'[00:17:28.328]',-,-,-,-
'[00:17:28.336]',-,-,-,-
'[00:17:28.344]',-,-,-,-
'[00:17:28.352]',-,-,-,-
'[00:17:28.360]',-,-,-,-
'[00:17:28.368]',0.141,-,-,-
'[00:17:28.376]',-,-,-,-
'[00:17:28.384]',-,-,-,-
'[00:17:28.392]',-,-,-,-
'[00:17:28.400]',-,-,-,-
'[00:17:28.408]',-,-,-,-
'[00:17:28.416]',-,-,-,-
'[00:17:28.424]',-0.305,-,-,-
'[00:17:28.432]',-0.094,-,-,-
'[00:17:28.440]',-0.234,-,-,-
'[00:17:28.448]',-0.086,-,-,-
'[00:17:28.456]',0.062,-,-,-
'[00:17:28.464]',0.141,-,-,-
'[00:17:28.472]',0.078,-,-,-
'[00:17:28.480]',0.164,-,-,-
'[00:17:28.488]',0.148,-,-,-
'[00:17:28.496]',0.469,-,-,-
'[00:17:28.504]',0.586,-,-,-
'[00:17:28.512]',0.656,-,-,-
'[00:17:28.520]',0.719,-,-,-
'[00:17:28.528]',0.867,-,-,-
'[00:17:28.536]',0.617,-,-,-
'[00:17:28.544]',0.336,-,-,-
'[00:17:28.552]',0.391,-,-,-
'[00:17:28.560]',0.367,-,-,-
'[00:17:28.568]',0.352,-,-,-
'[00:17:28.576]',0.344,-,-,-
'[00:17:28.584]',0.484,-,-,-
'[00:17:28.592]',0.211,-,-,-
'[00:17:28.600]',0.320,-,-,-
'[00:17:28.608]',0.500,-,-,-
'[00:17:28.616]',0.578,-,-,-
'[00:17:28.624]',0.477,-,-,-
'[00:17:28.632]',0.656,-,-,-
'[00:17:28.640]',0.531,-,-,-
'[00:17:28.648]',0.453,-,-,-
'[00:17:28.656]',0.641,-,-,-
'[00:17:28.664]',0.727,-,-,-
'[00:17:28.672]',1.031,-,-,-
'[00:17:28.680]',1.102,-,-,-
'[00:17:28.688]',1.117,-,-,-
'[00:17:28.696]',0.219,-,-,-
'[00:17:28.704]',-0.156,-,-,-
'[00:17:28.712]',0.320,-,-,-
'[00:17:28.720]',0.438,-,-,-
'[00:17:28.728]',0.289,-,-,-
'[00:17:28.736]',0.586,-,-,-
'[00:17:28.744]',0.656,-,-,-
'[00:17:28.752]',0.633,-,-,-
'[00:17:28.760]',0.711,-,-,-
'[00:17:28.768]',0.828,-,-,-
'[00:17:28.776]',0.727,-,-,-
'[00:17:28.784]',0.711,-,-,-
'[00:17:28.792]',1.031,-,-,-
'[00:17:28.800]',1.250,-,-,-
'[00:17:28.808]',1.500,-,-,-
'[00:17:28.816]',1.500,-,-,-
'[00:17:28.824]',1.500,-,-,-
'[00:17:28.832]',1.500,-,-,-
'[00:17:28.840]',1.500,-,-,-
'[00:17:28.848]',1.500,-,-,-
'[00:17:28.856]',1.500,-,-,-
'[00:17:28.864]',1.500,-,-,-
'[00:17:28.872]',1.500,-,-,-
'[00:17:28.880]',1.500,-,-,-
'[00:17:28.888]',1.500,-,-,-
'[00:17:28.896]',1.500,-,-,-
'[00:17:28.904]',1.500,-,-,-
'[00:17:28.912]',1.500,-,-,-
'[00:17:28.920]',1.500,-,-,-
'[00:17:28.928]',1.500,-,-,-
'[00:17:28.936]',1.500,-,-,-
'[00:17:28.944]',1.500,-,-,-
'[00:17:28.952]',1.500,-,-,-
'[00:17:28.960]',1.500,-,-,-
'[00:17:28.968]',1.500,-,-,-
'[00:17:28.976]',1.500,-,-,-
'[00:17:28.984]',1.500,-,-,-
'[00:17:28.992]',1.500,-,-,-
'[00:17:29.000]',1.500,-,-,-
'[00:17:29.008]',1.500,-,-,-
'[00:17:29.016]',1.500,-,-,-
'[00:17:29.024]',1.500,-,-,-
'[00:17:29.032]',1.500,-,-,-
'[00:17:29.040]',1.500,-,-,-
'[00:17:29.048]',1.500,-,-,-
'[00:17:29.056]',1.500,-,-,-
'[00:17:29.064]',1.500,-,-,-
'[00:17:29.072]',1.500,-,-,-
'[00:17:29.080]',1.500,-,-,-
'[00:17:29.088]',1.500,-,-,-
'[00:17:29.096]',1.500,-,-,-
'[00:17:29.104]',1.500,-,-,-
'[00:17:29.112]',1.500,-,-,-
'[00:17:29.120]',1.500,-,-,-
'[00:17:29.128]',1.500,-,-,-
'[00:17:29.136]',1.500,-,-,-
'[00:17:29.144]',1.500,-,-,-
'[00:17:29.152]',1.500,-,-,-
'[00:17:29.160]',1.500,-,-,-
'[00:17:29.168]',1.500,-,-,-
'[00:17:29.176]',1.500,-,-,-
'[00:17:29.184]',1.500,-,-,-
'[00:17:29.192]',1.500,-,-,-
'[00:17:29.200]',1.500,-,-,-
'[00:17:29.208]',1.500,-,-,-
'[00:17:29.216]',1.500,-,-,-
'[00:17:29.224]',1.500,-,-,-
'[00:17:29.232]',1.500,-,-,-
'[00:17:29.240]',1.500,-,-,-
'[00:17:29.248]',1.500,-,-,-
'[00:17:29.256]',1.500,-,-,-
'[00:17:29.264]',1.500,-,-,-
'[00:17:29.272]',1.500,-,-,-
'[00:17:29.280]',1.500,-,-,-
'[00:17:29.288]',1.500,-,-,-
'[00:17:29.296]',1.500,-,-,-
'[00:17:29.304]',1.500,-,-,-
'[00:17:29.312]',1.500,-,-,-
'[00:17:29.320]',1.500,-,-,-
'[00:17:29.328]',1.500,-,-,-
'[00:17:29.336]',1.500,-,-,-
'[00:17:29.344]',1.500,-,-,-
'[00:17:29.352]',1.500,-,-,-
'[00:17:29.360]',1.500,-,-,-
'[00:17:29.368]',1.500,-,-,-
'[00:17:29.376]',1.500,-,-,-
'[00:17:29.384]',1.500,-,-,-
'[00:17:29.392]',1.500,-,-,-
'[00:17:29.400]',1.500,-,-,-
'[00:17:29.408]',1.500,-,-,-
'[00:17:29.416]',1.500,-,-,-
'[00:17:29.424]',1.500,-,-,-
'[00:17:29.432]',1.500,-,-,-
'[00:17:29.440]',1.500,-,-,-
'[00:17:29.448]',1.500,-,-,-
'[00:17:29.456]',1.500,-,-,-
'[00:17:29.464]',1.500,-,-,-
'[00:17:29.472]',1.500,-,-,-
'[00:17:29.480]',1.500,-,-,-
'[00:17:29.488]',1.500,-,-,-
'[00:17:29.496]',1.500,-,-,-
'[00:17:29.504]',1.500,-,-,-
'[00:17:29.512]',1.500,-,-,-
'[00:17:29.520]',1.500,-,-,-
'[00:17:29.528]',1.500,-,-,-
'[00:17:29.536]',1.500,-,-,-
'[00:17:29.544]',1.500,-,-,-
'[00:17:29.552]',1.500,-,-,-
'[00:17:29.560]',1.500,-,-,-
'[00:17:29.568]',1.500,-,-,-
'[00:17:29.576]',1.500,-,-,-
'[00:17:29.584]',1.500,-,-,-
'[00:17:29.592]',1.500,-,-,-
'[00:17:29.600]',1.500,-,-,-
'[00:17:29.608]',1.500,-,-,-
'[00:17:29.616]',1.500,-,-,-
'[00:17:29.624]',1.500,-,-,-
'[00:17:29.632]',1.500,-,-,-
'[00:17:29.640]',1.500,-,-,-
'[00:17:29.648]',1.500,-,-,-
'[00:17:29.656]',1.500,-,-,-
'[00:17:29.664]',1.500,-,-,-
'[00:17:29.672]',1.500,-,-,-
'[00:17:29.680]',1.500,-,-,-
'[00:17:29.688]',1.500,-,-,-
'[00:17:29.696]',1.500,-,-,-
'[00:17:29.704]',1.500,-,-,-
'[00:17:29.712]',1.500,-,-,-
'[00:17:29.720]',1.500,-,-,-
'[00:17:29.728]',1.500,-,-,-
'[00:17:29.736]',1.500,-,-,-
'[00:17:29.744]',1.500,-,-,-
'[00:17:29.752]',1.500,-,-,-
'[00:17:29.760]',1.500,-,-,-
'[00:17:29.768]',1.500,-,-,-
'[00:17:29.776]',1.500,-,-,-
'[00:17:29.784]',1.500,-,-,-
'[00:17:29.792]',1.500,-,-,-
'[00:17:29.800]',1.500,-,-,-
'[00:17:29.808]',1.500,-,-,-
'[00:17:29.816]',1.500,-,-,-
'[00:17:29.824]',1.500,-,-,-
'[00:17:29.832]',1.500,-,-,-
'[00:17:29.840]',1.500,-,-,-
'[00:17:29.848]',1.500,-,-,-
'[00:17:29.856]',1.500,-,-,-
'[00:17:29.864]',1.500,-,-,-
'[00:17:29.872]',1.500,-,-,-
'[00:17:29.880]',1.500,-,-,-
'[00:17:29.888]',1.500,-,-,-
'[00:17:29.896]',1.500,-,-,-
'[00:17:29.904]',1.500,-,-,-
'[00:17:29.912]',1.500,-,-,-
'[00:17:29.920]',1.500,-,-,-
'[00:17:29.928]',1.500,-,-,-
'[00:17:29.936]',1.500,-,-,-
'[00:17:29.944]',1.500,-,-,-
'[00:17:29.952]',1.500,-,-,-
'[00:17:29.960]',1.500,-,-,-
'[00:17:29.968]',1.500,-,-,-
'[00:17:29.976]',1.500,-,-,-
'[00:17:29.984]',1.500,-,-,-
'[00:17:29.992]',1.500,-,-,-
'[00:17:30.000]',1.500,-,-,-
'[00:17:30.008]',1.500,-,-,-
'[00:17:30.016]',1.500,-,-,-
'[00:17:30.024]',1.500,-,-,-
'[00:17:30.032]',0.141,-,-,-
'[00:17:30.040]',1.500,-,-,-
'[00:17:30.048]',1.500,-,-,-
'[00:17:30.056]',1.500,-,-,-
'[00:17:30.064]',1.500,-,-,-
'[00:17:30.072]',1.500,-,-,-
'[00:17:30.080]',1.500,-,-,-
'[00:17:30.088]',1.500,-,-,-
'[00:17:30.096]',1.500,-,-,-
'[00:17:30.104]',1.500,-,-,-
'[00:17:30.112]',1.500,-,-,-
'[00:17:30.120]',1.500,-,-,-
'[00:17:30.128]',1.500,-,-,-
'[00:17:30.136]',1.500,-,-,-
'[00:17:30.144]',1.500,-,-,-
'[00:17:30.152]',1.500,-,-,-
'[00:17:30.160]',1.500,-,-,-
'[00:17:30.168]',1.500,-,-,-
'[00:17:30.176]',1.500,-,-,-
'[00:17:30.184]',1.500,-,-,-
'[00:17:30.192]',1.500,-,-,-
'[00:17:30.200]',1.500,-,-,-
'[00:17:30.208]',1.500,-,-,-
'[00:17:30.216]',1.500,-,-,-
'[00:17:30.224]',1.500,-,-,-
'[00:17:30.232]',1.500,-,-,-
'[00:17:30.240]',1.500,-,-,-
'[00:17:30.248]',1.500,-,-,-
'[00:17:30.256]',1.500,-,-,-
'[00:17:30.264]',1.500,-,-,-
'[00:17:30.272]',1.500,-,-,-
'[00:17:30.280]',1.500,-,-,-
'[00:17:30.288]',1.500,-,-,-
'[00:17:30.296]',1.500,-,-,-
'[00:17:30.304]',1.500,-,-,-
'[00:17:30.312]',1.500,-,-,-
'[00:17:30.320]',1.500,-,-,-
'[00:17:30.328]',1.500,-,-,-
'[00:17:30.336]',1.500,-,-,-
'[00:17:30.344]',1.500,-,-,-
'[00:17:30.352]',1.500,-,-,-
'[00:17:30.360]',1.500,-,-,-
'[00:17:30.368]',1.500,-,-,-
'[00:17:30.376]',1.500,-,-,-
'[00:17:30.384]',1.500,-,-,-
'[00:17:30.392]',1.500,-,-,-
'[00:17:30.400]',1.500,-,-,-
'[00:17:30.408]',1.500,-,-,-
'[00:17:30.416]',1.500,-,-,-
'[00:17:30.424]',1.500,-,-,-
'[00:17:30.432]',1.500,-,-,-
'[00:17:30.440]',1.500,-,-,-
'[00:17:30.448]',1.500,-,-,-
'[00:17:30.456]',1.500,-,-,-
'[00:17:30.464]',1.500,-,-,-
'[00:17:30.472]',1.500,-,-,-
'[00:17:30.480]',1.500,-,-,-
'[00:17:30.488]',1.500,-,-,-
'[00:17:30.496]',1.500,-,-,-
'[00:17:30.504]',1.500,-,-,-
'[00:17:30.512]',1.500,-,-,-
'[00:17:30.520]',1.500,-,-,-
'[00:17:30.528]',1.500,-,-,-
'[00:17:30.536]',1.500,-,-,-
'[00:17:30.544]',1.500,-,-,-
'[00:17:30.552]',1.500,-,-,-
'[00:17:30.560]',1.500,-,-,-
'[00:17:30.568]',1.500,-,-,-
'[00:17:30.576]',1.500,-,-,-
'[00:17:30.584]',1.500,-,-,-
'[00:17:30.592]',1.500,-,-,-
'[00:17:30.600]',1.500,-,-,-
'[00:17:30.608]',1.500,-,-,-
'[00:17:30.616]',1.500,-,-,-
'[00:17:30.624]',1.500,-,-,-
'[00:17:30.632]',1.500,-,-,-
'[00:17:30.640]',1.500,-,-,-
'[00:17:30.648]',1.500,-,-,-
'[00:17:30.656]',1.500,-,-,-
'[00:17:30.664]',1.500,-,-,-
'[00:17:30.672]',1.500,-,-,-
'[00:17:30.680]',1.500,-,-,-
'[00:17:30.688]',1.500,-,-,-
'[00:17:30.696]',1.500,-,-,-
'[00:17:30.704]',1.500,-,-,-
'[00:17:30.712]',1.500,-,-,-
'[00:17:30.720]',1.500,-,-,-
'[00:17:30.728]',1.500,-,-,-
'[00:17:30.736]',1.500,-,-,-
'[00:17:30.744]',1.500,-,-,-
'[00:17:30.752]',1.500,-,-,-
'[00:17:30.760]',1.500,-,-,-
'[00:17:30.768]',1.500,-,-,-
'[00:17:30.776]',1.500,-,-,-
'[00:17:30.784]',1.500,-,-,-
'[00:17:30.792]',1.500,-,-,-
'[00:17:30.800]',1.500,-,-,-
'[00:17:30.808]',1.500,-,-,-
'[00:17:30.816]',1.500,-,-,-
'[00:17:30.824]',1.500,-,-,-
'[00:17:30.832]',1.500,-,-,-
'[00:17:30.840]',1.500,-,-,-
'[00:17:30.848]',1.500,-,-,-
'[00:17:30.856]',1.500,-,-,-
'[00:17:30.864]',1.500,-,-,-
'[00:17:30.872]',1.500,-,-,-
'[00:17:30.880]',1.500,-,-,-
'[00:17:30.888]',1.500,-,-,-
'[00:17:30.896]',1.500,-,-,-
'[00:17:30.904]',1.500,-,-,-
'[00:17:30.912]',1.500,-,-,-
'[00:17:30.920]',1.500,-,-,-
'[00:17:30.928]',1.500,-,-,-
'[00:17:30.936]',1.500,-,-,-
'[00:17:30.944]',1.500,-,-,-
'[00:17:30.952]',1.500,-,-,-
'[00:17:30.960]',1.500,-,-,-
'[00:17:30.968]',1.500,-,-,-
'[00:17:30.976]',1.500,-,-,-
'[00:17:30.984]',1.500,-,-,-
'[00:17:30.992]',1.500,-,-,-
'[00:17:31.000]',1.500,-,-,-
'[00:17:31.008]',1.492,-,-,-
'[00:17:31.016]',1.047,-,-,-
'[00:17:31.024]',0.594,-,-,-
'[00:17:31.032]',0.047,-,-,-
'[00:17:31.040]',-,-,-,-
'[00:17:31.048]',-,-,-,-
'[00:17:31.056]',-,-,-,-
'[00:17:31.064]',-,-,-,-
'[00:17:31.072]',-,-,-,-
'[00:17:31.080]',-,-,-,-
'[00:17:31.088]',-,-,-,-
'[00:17:31.096]',-,-,-,-
'[00:17:31.104]',-0.250,-,-,-
'[00:17:31.112]',0.195,-,-,-
'[00:17:31.120]',0.375,-,-,-
'[00:17:31.128]',0.070,-,-,-
'[00:17:31.136]',-0.305,-,-,-
'[00:17:31.144]',-,-,-,-
'[00:17:31.152]',-,-,-,-
'[00:17:31.160]',-,-,-,-
'[00:17:31.168]',-,-,-,-
'[00:17:31.176]',-,-,-,-
'[00:17:31.184]',-,-,-,-
'[00:17:31.192]',-,-,-,-
'[00:17:31.200]',-,-,-,-
'[00:17:31.208]',-,-,-,-
'[00:17:31.216]',-,-,-,-
'[00:17:31.224]',-,-,-,-
'[00:17:31.232]',-,-,-,-
'[00:17:31.240]',-,-,-,-
'[00:17:31.248]',-,-,-,-
'[00:17:31.256]',-,-,-,-
'[00:17:31.264]',-,-,-,-
'[00:17:31.272]',-,-,-,-
'[00:17:31.280]',-,-,-,-
'[00:17:31.288]',-,-,-,-
'[00:17:31.296]',-,-,-,-
'[00:17:31.304]',-,-,-,-
'[00:17:31.312]',-,-,-,-
'[00:17:31.320]',-,-,-,-
'[00:17:31.328]',-,-,-,-
'[00:17:31.336]',-,-,-,-
'[00:17:31.344]',-,-,-,-
'[00:17:31.352]',-,-,-,-
'[00:17:31.360]',-,-,-,-
'[00:17:31.368]',-,-,-,-
'[00:17:31.376]',-,-,-,-
'[00:17:31.384]',-,-,-,-
'[00:17:31.392]',-,-,-,-
'[00:17:31.400]',-,-,-,-
'[00:17:31.408]',-,-,-,-
'[00:17:31.416]',-,-,-,-
'[00:17:31.424]',-,-,-,-
'[00:17:31.432]',-,-,-,-
'[00:17:31.440]',-,-,-,-
'[00:17:31.448]',-,-,-,-
'[00:17:31.456]',-,-,-,-
'[00:17:31.464]',-,-,-,-
'[00:17:31.472]',-,-,-,-
'[00:17:31.480]',-,-,-,-
'[00:17:31.488]',-,-,-,-
'[00:17:31.496]',-,-,-,-
'[00:17:31.504]',-,-,-,-
'[00:17:31.512]',-,-,-,-
'[00:17:31.520]',-,-,-,-
'[00:17:31.528]',-,-,-,-
'[00:17:31.536]',-,-,-,-
'[00:17:31.544]',-,-,-,-
'[00:17:31.552]',-,-,-,-
'[00:17:31.560]',-,-,-,-
'[00:17:31.568]',-,-,-,-
'[00:17:31.576]',-,-,-,-
