'Time','II','PLETH','I','ABP','III'
'[05:37:51.144]',0.646,0.373,-,59.375,-
'[05:37:51.152]',0.024,0.400,-,59.375,-
'[05:37:51.160]',-0.283,0.431,-,59.375,-
'[05:37:51.168]',-0.354,0.463,-,59.375,-
'[05:37:51.176]',-0.276,0.494,-,59.375,-
'[05:37:51.184]',-0.252,0.529,-,59.375,-
'[05:37:51.192]',-0.244,0.573,-,60.000,-
'[05:37:51.200]',-0.228,0.608,-,60.000,-
'[05:37:51.208]',-0.213,0.643,-,61.250,-
'[05:37:51.216]',-0.213,0.675,-,61.250,-
'[05:37:51.224]',-0.197,0.702,-,61.875,-
'[05:37:51.232]',-0.189,0.718,-,61.875,-
'[05:37:51.240]',-0.173,0.729,-,62.500,-
'[05:37:51.248]',-0.165,0.733,-,62.500,-
'[05:37:51.256]',-0.165,0.733,-,62.500,-
'[05:37:51.264]',-0.150,0.725,-,62.500,-
'[05:37:51.272]',-0.134,0.710,-,62.500,-
'[05:37:51.280]',-0.134,0.694,-,62.500,-
'[05:37:51.288]',-0.110,0.671,-,62.500,-
'[05:37:51.296]',-0.094,0.647,-,62.500,-
'[05:37:51.304]',-0.071,0.620,-,62.500,-
'[05:37:51.312]',-0.047,0.588,-,61.875,-
'[05:37:51.320]',-0.024,0.557,-,61.875,-
'[05:37:51.328]',-0.008,0.525,-,61.250,-
'[05:37:51.336]',0.008,0.494,-,61.250,-
'[05:37:51.344]',0.024,0.463,-,60.000,-
'[05:37:51.352]',0.024,0.431,-,59.375,-
'[05:37:51.360]',0.008,0.404,-,59.375,-
'[05:37:51.368]',0.000,0.380,-,58.750,-
'[05:37:51.376]',-0.016,0.365,-,59.375,-
'[05:37:51.384]',-0.024,0.345,-,61.250,-
'[05:37:51.392]',-0.031,0.329,-,63.125,-
'[05:37:51.400]',-0.031,0.314,-,67.500,-
'[05:37:51.408]',-0.039,0.306,-,70.625,-
'[05:37:51.416]',-0.039,0.302,-,73.750,-
'[05:37:51.424]',-0.047,0.298,-,75.625,-
'[05:37:51.432]',-0.039,0.298,-,78.125,-
'[05:37:51.440]',-0.039,0.302,-,80.625,-
'[05:37:51.448]',-0.039,0.310,-,83.750,-
'[05:37:51.456]',-0.047,0.318,-,86.875,-
'[05:37:51.464]',-0.039,0.329,-,89.375,-
'[05:37:51.472]',-0.031,0.337,-,91.250,-
'[05:37:51.480]',-0.047,0.345,-,93.125,-
'[05:37:51.488]',-0.047,0.357,-,94.375,-
'[05:37:51.496]',-0.047,0.369,-,95.625,-
'[05:37:51.504]',-0.047,0.376,-,95.625,-
'[05:37:51.512]',-0.047,0.384,-,94.375,-
'[05:37:51.520]',-0.024,0.392,-,93.750,-
'[05:37:51.528]',-0.008,0.400,-,92.500,-
'[05:37:51.536]',0.008,0.400,-,90.625,-
'[05:37:51.544]',0.031,0.404,-,88.125,-
'[05:37:51.552]',0.063,0.404,-,86.250,-
'[05:37:51.560]',0.071,0.404,-,83.125,-
'[05:37:51.568]',0.094,0.404,-,80.625,-
'[05:37:51.576]',0.055,0.400,-,78.125,-
'[05:37:51.584]',0.008,0.396,-,75.625,-
'[05:37:51.592]',-0.039,0.392,-,73.750,-
'[05:37:51.600]',-0.063,0.388,-,71.250,-
'[05:37:51.608]',-0.063,0.380,-,69.375,-
'[05:37:51.616]',-0.071,0.376,-,68.125,-
'[05:37:51.624]',-0.071,0.369,-,66.250,-
'[05:37:51.632]',-0.134,0.365,-,65.000,-
'[05:37:51.640]',-0.189,0.361,-,64.375,-
'[05:37:51.648]',0.260,0.365,-,63.125,-
'[05:37:51.656]',1.118,0.373,-,62.500,-
'[05:37:51.664]',1.354,0.384,-,61.875,-
'[05:37:51.672]',0.425,0.400,-,61.875,-
'[05:37:51.680]',-0.071,0.427,-,61.250,-
'[05:37:51.688]',-0.307,0.459,-,61.250,-
'[05:37:51.696]',-0.331,0.498,-,61.250,-
'[05:37:51.704]',-0.244,0.537,-,61.875,-
'[05:37:51.712]',-0.236,0.580,-,61.875,-
'[05:37:51.720]',-0.228,0.624,-,61.875,-
'[05:37:51.728]',-0.220,0.663,-,62.500,-
'[05:37:51.736]',-0.213,0.702,-,62.500,-
'[05:37:51.744]',-0.197,0.729,-,62.500,-
'[05:37:51.752]',-0.181,0.753,-,63.125,-
'[05:37:51.760]',-0.173,0.769,-,63.125,-
'[05:37:51.768]',-0.157,0.773,-,64.375,-
'[05:37:51.776]',-0.150,0.776,-,64.375,-
'[05:37:51.784]',-0.142,0.773,-,64.375,-
'[05:37:51.792]',-0.134,0.765,-,64.375,-
'[05:37:51.800]',-0.118,0.749,-,64.375,-
'[05:37:51.808]',-0.102,0.725,-,64.375,-
'[05:37:51.816]',-0.087,0.702,-,63.125,-
'[05:37:51.824]',-0.071,0.675,-,63.125,-
'[05:37:51.832]',-0.047,0.643,-,63.125,-
'[05:37:51.840]',-0.024,0.612,-,62.500,-
'[05:37:51.848]',-0.008,0.580,-,62.500,-
'[05:37:51.856]',0.008,0.545,-,61.875,-
'[05:37:51.864]',0.024,0.514,-,61.250,-
'[05:37:51.872]',0.024,0.490,-,61.250,-
'[05:37:51.880]',0.024,0.459,-,60.000,-
'[05:37:51.888]',0.008,0.431,-,59.375,-
'[05:37:51.896]',-0.008,0.404,-,59.375,-
'[05:37:51.904]',-0.016,0.380,-,60.000,-
'[05:37:51.912]',-0.031,0.361,-,61.875,-
'[05:37:51.920]',-0.031,0.345,-,64.375,-
'[05:37:51.928]',-0.039,0.333,-,67.500,-
'[05:37:51.936]',-0.039,0.325,-,70.625,-
'[05:37:51.944]',-0.039,0.318,-,73.750,-
'[05:37:51.952]',-0.047,0.318,-,75.625,-
'[05:37:51.960]',-0.047,0.318,-,78.125,-
'[05:37:51.968]',-0.039,0.322,-,80.625,-
'[05:37:51.976]',-0.031,0.329,-,83.125,-
'[05:37:51.984]',-0.039,0.337,-,86.250,-
'[05:37:51.992]',-0.031,0.345,-,88.125,-
'[05:37:52.000]',-0.047,0.353,-,90.000,-
'[05:37:52.008]',-0.047,0.365,-,92.500,-
'[05:37:52.016]',-0.039,0.373,-,93.125,-
'[05:37:52.024]',-0.047,0.380,-,93.750,-
'[05:37:52.032]',-0.047,0.388,-,93.125,-
'[05:37:52.040]',-0.039,0.396,-,93.125,-
'[05:37:52.048]',-0.024,0.400,-,91.250,-
'[05:37:52.056]',-0.008,0.404,-,90.000,-
'[05:37:52.064]',0.008,0.404,-,88.125,-
'[05:37:52.072]',0.031,0.404,-,86.250,-
'[05:37:52.080]',0.063,0.404,-,83.750,-
'[05:37:52.088]',0.071,0.404,-,81.250,-
'[05:37:52.096]',0.079,0.400,-,78.125,-
'[05:37:52.104]',0.055,0.396,-,75.625,-
'[05:37:52.112]',-0.008,0.392,-,73.750,-
'[05:37:52.120]',-0.047,0.384,-,71.875,-
'[05:37:52.128]',-0.063,0.376,-,69.375,-
'[05:37:52.136]',-0.063,0.369,-,68.125,-
'[05:37:52.144]',-0.071,0.361,-,66.250,-
'[05:37:52.152]',-0.071,0.357,-,65.625,-
'[05:37:52.160]',-0.150,0.349,-,64.375,-
'[05:37:52.168]',-0.197,0.345,-,63.125,-
'[05:37:52.176]',0.457,0.349,-,62.500,-
'[05:37:52.184]',1.252,0.353,-,61.875,-
'[05:37:52.192]',1.299,0.365,-,61.875,-
'[05:37:52.200]',0.220,0.380,-,61.250,-
'[05:37:52.208]',-0.173,0.408,-,61.250,-
'[05:37:52.216]',-0.331,0.439,-,61.250,-
'[05:37:52.224]',-0.283,0.475,-,61.250,-
'[05:37:52.232]',-0.236,0.518,-,61.875,-
'[05:37:52.240]',-0.228,0.557,-,61.875,-
'[05:37:52.248]',-0.213,0.596,-,61.875,-
'[05:37:52.256]',-0.205,0.635,-,62.500,-
'[05:37:52.264]',-0.197,0.663,-,62.500,-
'[05:37:52.272]',-0.189,0.686,-,63.125,-
'[05:37:52.280]',-0.181,0.706,-,63.125,-
'[05:37:52.288]',-0.165,0.722,-,64.375,-
'[05:37:52.296]',-0.157,0.729,-,64.375,-
'[05:37:52.304]',-0.142,0.729,-,64.375,-
'[05:37:52.312]',-0.126,0.725,-,64.375,-
'[05:37:52.320]',-0.118,0.718,-,64.375,-
'[05:37:52.328]',-0.102,0.698,-,64.375,-
'[05:37:52.336]',-0.087,0.678,-,64.375,-
'[05:37:52.344]',-0.063,0.655,-,64.375,-
'[05:37:52.352]',-0.047,0.624,-,63.125,-
'[05:37:52.360]',-0.024,0.600,-,63.125,-
'[05:37:52.368]',0.000,0.573,-,62.500,-
'[05:37:52.376]',0.016,0.541,-,62.500,-
'[05:37:52.384]',0.031,0.510,-,61.875,-
'[05:37:52.392]',0.039,0.478,-,61.875,-
'[05:37:52.400]',0.039,0.447,-,61.250,-
'[05:37:52.408]',0.031,0.416,-,60.000,-
'[05:37:52.416]',0.016,0.388,-,59.375,-
'[05:37:52.424]',-0.008,0.365,-,59.375,-
'[05:37:52.432]',-0.016,0.341,-,59.375,-
'[05:37:52.440]',-0.024,0.322,-,61.250,-
'[05:37:52.448]',-0.031,0.306,-,62.500,-
'[05:37:52.456]',-0.039,0.298,-,65.625,-
'[05:37:52.464]',-0.039,0.290,-,68.125,-
'[05:37:52.472]',-0.031,0.286,-,71.250,-
'[05:37:52.480]',-0.031,0.286,-,73.750,-
'[05:37:52.488]',-0.031,0.290,-,75.000,-
'[05:37:52.496]',-0.039,0.294,-,77.500,-
'[05:37:52.504]',-0.031,0.302,-,80.000,-
'[05:37:52.512]',-0.039,0.310,-,81.875,-
'[05:37:52.520]',-0.039,0.322,-,84.375,-
'[05:37:52.528]',-0.047,0.329,-,86.875,-
'[05:37:52.536]',-0.039,0.341,-,88.125,-
'[05:37:52.544]',-0.039,0.349,-,89.375,-
'[05:37:52.552]',-0.039,0.361,-,90.000,-
'[05:37:52.560]',-0.031,0.369,-,90.000,-
'[05:37:52.568]',-0.039,0.373,-,90.000,-
'[05:37:52.576]',-0.016,0.376,-,88.125,-
'[05:37:52.584]',0.000,0.380,-,87.500,-
'[05:37:52.592]',0.024,0.384,-,85.000,-
'[05:37:52.600]',0.055,0.384,-,83.750,-
'[05:37:52.608]',0.071,0.384,-,81.250,-
'[05:37:52.616]',0.079,0.380,-,78.750,-
'[05:37:52.624]',0.071,0.376,-,76.875,-
'[05:37:52.632]',0.024,0.373,-,74.375,-
'[05:37:52.640]',-0.031,0.369,-,71.875,-
'[05:37:52.648]',-0.063,0.365,-,70.625,-
'[05:37:52.656]',-0.071,0.357,-,68.750,-
'[05:37:52.664]',-0.063,0.349,-,67.500,-
'[05:37:52.672]',-0.071,0.345,-,65.625,-
'[05:37:52.680]',-0.102,0.333,-,64.375,-
'[05:37:52.688]',-0.197,0.318,-,63.125,-
'[05:37:52.696]',0.142,0.310,-,62.500,-
'[05:37:52.704]',0.961,0.306,-,61.875,-
'[05:37:52.712]',1.291,0.310,-,61.250,-
'[05:37:52.720]',0.520,0.318,-,61.250,-
'[05:37:52.728]',-0.047,0.329,-,60.000,-
'[05:37:52.736]',-0.315,0.353,-,60.000,-
'[05:37:52.744]',-0.354,0.380,-,60.000,-
'[05:37:52.752]',-0.260,0.412,-,60.000,-
'[05:37:52.760]',-0.244,0.443,-,61.250,-
'[05:37:52.768]',-0.236,0.471,-,61.250,-
'[05:37:52.776]',-0.220,0.502,-,61.875,-
'[05:37:52.784]',-0.213,0.537,-,61.875,-
'[05:37:52.792]',-0.197,0.569,-,62.500,-
'[05:37:52.800]',-0.189,0.596,-,62.500,-
'[05:37:52.808]',-0.173,0.616,-,62.500,-
'[05:37:52.816]',-0.157,0.635,-,63.125,-
'[05:37:52.824]',-0.150,0.643,-,63.125,-
'[05:37:52.832]',-0.142,0.647,-,63.125,-
'[05:37:52.840]',-0.118,0.647,-,63.125,-
'[05:37:52.848]',-0.102,0.635,-,63.125,-
'[05:37:52.856]',-0.087,0.624,-,63.125,-
'[05:37:52.864]',-0.071,0.608,-,63.125,-
'[05:37:52.872]',-0.055,0.588,-,63.125,-
'[05:37:52.880]',-0.031,0.565,-,63.125,-
'[05:37:52.888]',0.000,0.541,-,62.500,-
'[05:37:52.896]',0.016,0.514,-,62.500,-
'[05:37:52.904]',0.031,0.482,-,61.875,-
'[05:37:52.912]',0.039,0.451,-,61.875,-
'[05:37:52.920]',0.047,0.424,-,61.250,-
'[05:37:52.928]',0.039,0.392,-,60.000,-
'[05:37:52.936]',0.024,0.365,-,60.000,-
'[05:37:52.944]',0.000,0.341,-,59.375,-
'[05:37:52.952]',-0.008,0.318,-,59.375,-
'[05:37:52.960]',-0.024,0.302,-,60.000,-
'[05:37:52.968]',-0.031,0.286,-,61.875,-
'[05:37:52.976]',-0.039,0.275,-,65.000,-
'[05:37:52.984]',-0.047,0.263,-,67.500,-
'[05:37:52.992]',-0.047,0.255,-,70.625,-
'[05:37:53.000]',-0.047,0.255,-,72.500,-
'[05:37:53.008]',-0.039,0.255,-,74.375,-
'[05:37:53.016]',-0.039,0.255,-,76.875,-
'[05:37:53.024]',-0.031,0.263,-,78.750,-
'[05:37:53.032]',-0.039,0.271,-,81.250,-
'[05:37:53.040]',-0.039,0.278,-,83.750,-
'[05:37:53.048]',-0.047,0.290,-,86.250,-
'[05:37:53.056]',-0.047,0.298,-,87.500,-
'[05:37:53.064]',-0.047,0.310,-,89.375,-
'[05:37:53.072]',-0.031,0.318,-,90.000,-
'[05:37:53.080]',-0.031,0.325,-,90.625,-
'[05:37:53.088]',-0.031,0.333,-,90.625,-
'[05:37:53.096]',-0.024,0.341,-,90.000,-
'[05:37:53.104]',-0.008,0.345,-,88.125,-
'[05:37:53.112]',0.016,0.349,-,86.875,-
'[05:37:53.120]',0.047,0.353,-,85.000,-
'[05:37:53.128]',0.063,0.353,-,83.125,-
'[05:37:53.136]',0.071,0.353,-,80.625,-
'[05:37:53.144]',0.063,0.353,-,78.125,-
'[05:37:53.152]',0.024,0.349,-,75.625,-
'[05:37:53.160]',-0.039,0.349,-,73.750,-
'[05:37:53.168]',-0.063,0.345,-,71.875,-
'[05:37:53.176]',-0.071,0.341,-,69.375,-
'[05:37:53.184]',-0.063,0.337,-,68.125,-
'[05:37:53.192]',-0.071,0.329,-,66.250,-
'[05:37:53.200]',-0.087,0.322,-,65.000,-
'[05:37:53.208]',-0.213,0.318,-,64.375,-
'[05:37:53.216]',0.079,0.310,-,63.125,-
'[05:37:53.224]',0.906,0.310,-,62.500,-
'[05:37:53.232]',1.307,0.310,-,61.875,-
'[05:37:53.240]',0.614,0.318,-,61.875,-
'[05:37:53.248]',-0.008,0.329,-,61.250,-
'[05:37:53.256]',-0.283,0.349,-,61.250,-
'[05:37:53.264]',-0.339,0.373,-,61.250,-
'[05:37:53.272]',-0.260,0.396,-,61.250,-
'[05:37:53.280]',-0.236,0.424,-,61.250,-
'[05:37:53.288]',-0.228,0.459,-,61.875,-
'[05:37:53.296]',-0.220,0.494,-,61.875,-
'[05:37:53.304]',-0.213,0.533,-,62.500,-
'[05:37:53.312]',-0.197,0.565,-,62.500,-
'[05:37:53.320]',-0.189,0.596,-,63.125,-
'[05:37:53.328]',-0.173,0.620,-,63.125,-
'[05:37:53.336]',-0.165,0.639,-,64.375,-
'[05:37:53.344]',-0.150,0.651,-,64.375,-
'[05:37:53.352]',-0.134,0.655,-,64.375,-
'[05:37:53.360]',-0.126,0.655,-,64.375,-
'[05:37:53.368]',-0.110,0.651,-,64.375,-
'[05:37:53.376]',-0.094,0.639,-,64.375,-
'[05:37:53.384]',-0.071,0.627,-,64.375,-
'[05:37:53.392]',-0.055,0.608,-,64.375,-
'[05:37:53.400]',-0.024,0.584,-,64.375,-
'[05:37:53.408]',-0.008,0.557,-,63.125,-
'[05:37:53.416]',0.008,0.529,-,63.125,-
'[05:37:53.424]',0.024,0.498,-,62.500,-
'[05:37:53.432]',0.039,0.471,-,62.500,-
'[05:37:53.440]',0.047,0.439,-,61.875,-
'[05:37:53.448]',0.039,0.412,-,61.250,-
'[05:37:53.456]',0.024,0.388,-,61.250,-
'[05:37:53.464]',0.000,0.365,-,60.000,-
'[05:37:53.472]',-0.016,0.341,-,61.250,-
'[05:37:53.480]',-0.024,0.322,-,61.875,-
'[05:37:53.488]',-0.039,0.302,-,64.375,-
'[05:37:53.496]',-0.047,0.286,-,66.250,-
'[05:37:53.504]',-0.047,0.275,-,69.375,-
'[05:37:53.512]',-0.047,0.267,-,72.500,-
'[05:37:53.520]',-0.047,0.263,-,75.000,-
'[05:37:53.528]',-0.047,0.263,-,77.500,-
'[05:37:53.536]',-0.047,0.263,-,80.000,-
'[05:37:53.544]',-0.047,0.271,-,81.875,-
'[05:37:53.552]',-0.047,0.275,-,84.375,-
'[05:37:53.560]',-0.047,0.286,-,87.500,-
'[05:37:53.568]',-0.047,0.294,-,90.000,-
'[05:37:53.576]',-0.055,0.302,-,91.250,-
'[05:37:53.584]',-0.047,0.314,-,93.125,-
'[05:37:53.592]',-0.047,0.322,-,93.750,-
'[05:37:53.600]',-0.063,0.333,-,93.750,-
'[05:37:53.608]',-0.047,0.341,-,93.750,-
'[05:37:53.616]',-0.031,0.349,-,93.125,-
'[05:37:53.624]',-0.016,0.353,-,91.250,-
'[05:37:53.632]',0.000,0.357,-,90.000,-
'[05:37:53.640]',0.039,0.361,-,87.500,-
'[05:37:53.648]',0.055,0.365,-,85.000,-
'[05:37:53.656]',0.071,0.365,-,83.125,-
'[05:37:53.664]',0.063,0.365,-,80.625,-
'[05:37:53.672]',0.008,0.365,-,78.125,-
'[05:37:53.680]',-0.047,0.361,-,75.625,-
'[05:37:53.688]',-0.071,0.357,-,73.750,-
'[05:37:53.696]',-0.071,0.353,-,71.875,-
'[05:37:53.704]',-0.071,0.345,-,70.625,-
'[05:37:53.712]',-0.087,0.341,-,68.750,-
'[05:37:53.720]',-0.102,0.333,-,67.500,-
'[05:37:53.728]',-0.213,0.325,-,66.250,-
'[05:37:53.736]',0.055,0.322,-,65.625,-
'[05:37:53.744]',0.866,0.322,-,65.000,-
'[05:37:53.752]',1.307,0.325,-,64.375,-
'[05:37:53.760]',0.622,0.333,-,63.125,-
'[05:37:53.768]',-0.008,0.345,-,63.125,-
'[05:37:53.776]',-0.299,0.365,-,63.125,-
'[05:37:53.784]',-0.362,0.388,-,63.125,-
'[05:37:53.792]',-0.268,0.420,-,63.125,-
'[05:37:53.800]',-0.252,0.455,-,64.375,-
'[05:37:53.808]',-0.244,0.494,-,64.375,-
'[05:37:53.816]',-0.228,0.533,-,64.375,-
'[05:37:53.824]',-0.213,0.569,-,65.000,-
'[05:37:53.832]',-0.205,0.604,-,65.625,-
'[05:37:53.840]',-0.197,0.635,-,65.625,-
'[05:37:53.848]',-0.189,0.659,-,66.250,-
'[05:37:53.856]',-0.173,0.675,-,66.250,-
'[05:37:53.864]',-0.165,0.682,-,67.500,-
'[05:37:53.872]',-0.142,0.686,-,67.500,-
'[05:37:53.880]',-0.142,0.686,-,67.500,-
'[05:37:53.888]',-0.126,0.678,-,67.500,-
'[05:37:53.896]',-0.110,0.667,-,67.500,-
'[05:37:53.904]',-0.087,0.651,-,67.500,-
'[05:37:53.912]',-0.071,0.627,-,66.250,-
'[05:37:53.920]',-0.047,0.604,-,66.250,-
'[05:37:53.928]',-0.024,0.576,-,66.250,-
'[05:37:53.936]',-0.008,0.545,-,65.625,-
'[05:37:53.944]',0.008,0.514,-,65.625,-
'[05:37:53.952]',0.024,0.482,-,65.000,-
'[05:37:53.960]',0.024,0.455,-,64.375,-
'[05:37:53.968]',0.024,0.431,-,63.125,-
'[05:37:53.976]',0.008,0.404,-,63.125,-
'[05:37:53.984]',-0.008,0.376,-,62.500,-
'[05:37:53.992]',-0.024,0.353,-,63.125,-
'[05:37:54.000]',-0.031,0.333,-,65.000,-
'[05:37:54.008]',-0.047,0.314,-,67.500,-
'[05:37:54.016]',-0.047,0.298,-,70.625,-
'[05:37:54.024]',-0.047,0.286,-,73.750,-
'[05:37:54.032]',-0.047,0.282,-,76.875,-
'[05:37:54.040]',-0.047,0.278,-,78.750,-
'[05:37:54.048]',-0.047,0.278,-,81.250,-
'[05:37:54.056]',-0.047,0.282,-,84.375,-
'[05:37:54.064]',-0.047,0.290,-,86.875,-
'[05:37:54.072]',-0.047,0.298,-,90.000,-
'[05:37:54.080]',-0.055,0.306,-,92.500,-
'[05:37:54.088]',-0.047,0.318,-,94.375,-
'[05:37:54.096]',-0.047,0.329,-,96.875,-
'[05:37:54.104]',-0.047,0.337,-,97.500,-
'[05:37:54.112]',-0.055,0.349,-,98.750,-
'[05:37:54.120]',-0.047,0.357,-,98.750,-
'[05:37:54.128]',-0.047,0.369,-,97.500,-
'[05:37:54.136]',-0.031,0.376,-,96.875,-
'[05:37:54.144]',-0.008,0.380,-,95.625,-
'[05:37:54.152]',0.016,0.384,-,93.750,-
'[05:37:54.160]',0.047,0.384,-,91.250,-
'[05:37:54.168]',0.063,0.388,-,89.375,-
'[05:37:54.176]',0.071,0.384,-,86.875,-
'[05:37:54.184]',0.055,0.384,-,83.750,-
'[05:37:54.192]',0.008,0.380,-,81.250,-
'[05:37:54.200]',-0.047,0.376,-,78.750,-
'[05:37:54.208]',-0.071,0.373,-,76.875,-
'[05:37:54.216]',-0.071,0.365,-,75.000,-
'[05:37:54.224]',-0.071,0.357,-,73.750,-
'[05:37:54.232]',-0.079,0.349,-,71.875,-
'[05:37:54.240]',-0.118,0.341,-,70.625,-
'[05:37:54.248]',-0.213,0.337,-,69.375,-
'[05:37:54.256]',0.157,0.333,-,68.750,-
'[05:37:54.264]',1.016,0.333,-,68.125,-
'[05:37:54.272]',1.339,0.337,-,67.500,-
'[05:37:54.280]',0.520,0.349,-,66.250,-
'[05:37:54.288]',-0.031,0.365,-,66.250,-
'[05:37:54.296]',-0.315,0.388,-,66.250,-
'[05:37:54.304]',-0.354,0.420,-,66.250,-
'[05:37:54.312]',-0.260,0.455,-,66.250,-
'[05:37:54.320]',-0.252,0.498,-,66.250,-
