'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'[15:31:00.440]',-0.010,-,0.730,1.050,0.413,1.805,73.852,13.683
'[15:31:00.448]',0.004,-,0.720,1.061,0.410,1.803,73.618,13.187
'[15:31:00.456]',0.010,-,0.715,1.055,0.407,1.800,73.422,11.810
'[15:31:00.464]',0.024,-,0.705,1.065,0.405,1.796,73.305,10.375
'[15:31:00.472]',0.035,-,0.705,1.070,0.402,1.791,73.227,9.562
'[15:31:00.480]',0.050,-,0.690,1.075,0.399,1.785,73.305,9.435
'[15:31:00.488]',0.070,-,0.680,1.081,0.395,1.779,73.422,9.746
'[15:31:00.496]',0.090,-,0.670,1.090,0.392,1.773,73.735,10.311
'[15:31:00.504]',0.100,-,0.660,1.101,0.388,1.769,74.360,10.997
'[15:31:00.512]',0.120,-,0.645,1.106,0.385,1.767,75.728,11.371
'[15:31:00.520]',0.145,-,0.630,1.110,0.381,1.764,78.228,10.933
'[15:31:00.528]',0.170,-,0.615,1.126,0.378,1.763,82.136,9.619
'[15:31:00.536]',0.205,-,0.595,1.126,0.374,1.762,87.255,8.121
'[15:31:00.544]',0.225,-,0.580,1.126,0.371,1.762,93.312,7.435
'[15:31:00.552]',0.250,-,0.565,1.130,0.368,1.763,99.485,7.810
'[15:31:00.560]',0.275,-,0.555,1.120,0.365,1.764,105.190,8.806
'[15:31:00.568]',0.305,-,0.530,1.126,0.361,1.763,109.918,9.435
'[15:31:00.576]',0.325,-,0.520,1.095,0.358,1.761,113.513,8.997
'[15:31:00.584]',0.360,-,0.495,1.075,0.354,1.761,115.819,7.810
'[15:31:00.592]',0.375,-,0.495,1.045,0.350,1.759,116.874,6.622
'[15:31:00.600]',0.400,-,0.475,1.021,0.345,1.756,116.874,6.121
'[15:31:00.608]',0.395,-,0.480,0.980,0.341,1.755,115.858,6.184
'[15:31:00.616]',0.390,-,0.485,0.960,0.336,1.754,114.178,6.686
'[15:31:00.624]',0.335,-,0.520,0.925,0.332,1.754,112.068,7.187
'[15:31:00.632]',0.275,-,0.555,0.915,0.328,1.752,109.684,7.562
'[15:31:00.640]',0.190,-,0.615,0.905,0.324,1.750,107.418,7.873
'[15:31:00.648]',0.109,-,0.665,0.905,0.320,1.747,105.386,8.311
'[15:31:00.656]',0.020,-,0.715,0.895,0.316,1.742,103.666,8.870
'[15:31:00.664]',-0.050,-,0.760,0.900,0.311,1.735,102.416,9.371
'[15:31:00.672]',-0.115,-,0.795,0.891,0.307,1.730,101.674,9.244
'[15:31:00.680]',-0.155,-,0.820,0.891,0.303,1.728,101.322,8.495
'[15:31:00.688]',-0.191,-,0.840,0.891,0.299,1.725,101.322,7.937
'[15:31:00.696]',-0.211,-,0.860,0.900,0.295,1.722,101.752,8.121
'[15:31:00.704]',-0.220,-,0.865,0.905,0.291,1.721,102.377,8.997
'[15:31:00.712]',-0.231,-,0.871,0.900,0.288,1.718,103.198,9.873
'[15:31:00.720]',-0.225,-,0.871,0.910,0.284,1.715,104.057,10.248
'[15:31:00.728]',-0.231,-,0.871,0.910,0.280,1.710,104.917,10.495
'[15:31:00.736]',-0.225,-,0.865,0.915,0.275,1.704,105.737,11.187
'[15:31:00.744]',-0.220,-,0.860,0.920,0.271,1.698,106.363,12.184
'[15:31:00.752]',-0.211,-,0.851,0.930,0.267,1.692,106.792,12.495
'[15:31:00.760]',-0.211,-,0.845,0.930,0.263,1.686,106.949,11.683
'[15:31:00.768]',-0.196,-,0.840,0.935,0.258,1.683,106.636,10.375
'[15:31:00.776]',-0.200,-,0.845,0.930,0.255,1.681,105.933,9.498
'[15:31:00.784]',-0.186,-,0.835,0.935,0.252,1.680,104.800,9.435
'[15:31:00.792]',-0.186,-,0.840,0.935,0.249,1.683,103.315,9.873
'[15:31:00.800]',-0.175,-,0.831,0.935,0.247,1.690,101.244,10.559
'[15:31:00.808]',-0.175,-,0.835,0.925,0.245,1.702,98.821,11.124
'[15:31:00.816]',-0.166,-,0.825,0.930,0.243,1.718,96.164,11.371
'[15:31:00.824]',-0.175,-,0.831,0.920,0.240,1.744,93.546,11.371
'[15:31:00.832]',-0.166,-,0.825,0.925,0.238,1.777,91.241,11.187
'[15:31:00.840]',-0.175,-,0.831,0.915,0.236,1.820,89.443,10.933
'[15:31:00.848]',-0.166,-,0.825,0.920,0.234,1.870,88.310,10.749
'[15:31:00.856]',-0.171,-,0.831,0.915,0.232,1.928,87.919,10.686
'[15:31:00.864]',-0.160,-,0.825,0.920,0.230,1.990,88.115,10.622
'[15:31:00.872]',-0.166,-,0.825,0.915,0.228,2.054,88.622,10.559
'[15:31:00.880]',-0.160,-,0.820,0.920,0.226,2.113,89.365,10.432
'[15:31:00.888]',-0.166,-,0.820,0.915,0.226,2.164,90.185,10.375
'[15:31:00.896]',-0.160,-,0.825,0.915,0.225,2.206,91.045,10.248
'[15:31:00.904]',-0.155,-,0.815,0.920,0.224,2.237,91.866,10.121
'[15:31:00.912]',-0.160,-,0.820,0.915,0.223,2.256,92.491,10.000
'[15:31:00.920]',-0.146,-,0.815,0.920,0.223,2.271,92.921,9.810
'[15:31:00.928]',-0.151,-,0.820,0.915,0.222,2.271,93.038,9.683
'[15:31:00.936]',-0.140,-,0.811,0.920,0.222,2.263,92.999,9.619
'[15:31:00.944]',-0.146,-,0.815,0.915,0.221,2.239,92.686,9.810
'[15:31:00.952]',-0.140,-,0.811,0.920,0.220,2.218,92.296,10.121
'[15:31:00.960]',-0.151,-,0.815,0.915,0.219,2.196,91.788,10.375
'[15:31:00.968]',-0.135,-,0.811,0.915,0.218,2.177,91.319,10.057
'[15:31:00.976]',-0.140,-,0.815,0.915,0.218,2.157,90.693,9.371
'[15:31:00.984]',-0.120,-,0.800,0.930,0.217,2.142,90.107,9.060
'[15:31:00.992]',-0.115,-,0.795,0.940,0.217,2.131,89.482,9.308
'[15:31:01.000]',-0.090,-,0.780,0.956,0.216,2.122,88.818,9.873
'[15:31:01.008]',-0.095,-,0.780,0.956,0.216,2.115,88.115,10.057
'[15:31:01.016]',-0.070,-,0.766,0.965,0.215,2.109,87.411,10.000
'[15:31:01.024]',-0.061,-,0.771,0.956,0.214,2.102,86.786,10.121
'[15:31:01.032]',-0.070,-,0.771,0.930,0.213,2.099,86.239,10.622
'[15:31:01.040]',-0.081,-,0.771,0.925,0.212,2.099,85.731,10.806
'[15:31:01.048]',-0.065,-,0.766,0.940,0.211,2.097,85.184,10.311
'[15:31:01.056]',-0.075,-,0.760,0.935,0.209,2.093,84.676,9.562
'[15:31:01.064]',-0.086,-,0.775,0.940,0.208,2.088,84.246,9.124
'[15:31:01.072]',-0.106,-,0.786,0.930,0.207,2.079,83.816,9.244
'[15:31:01.080]',-0.110,-,0.795,0.915,0.205,2.065,83.425,9.937
'[15:31:01.088]',-0.110,-,0.795,0.910,0.204,2.043,83.113,10.933
'[15:31:01.096]',-0.115,-,0.800,0.905,0.203,2.022,82.800,12.121
'[15:31:01.104]',-0.106,-,0.791,0.915,0.202,2.003,82.566,12.933
'[15:31:01.112]',-0.115,-,0.800,0.905,0.200,1.983,82.292,12.870
'[15:31:01.120]',-0.106,-,0.791,0.915,0.199,1.961,82.136,11.873
'[15:31:01.128]',-0.110,-,0.791,0.910,0.198,1.940,81.862,10.749
'[15:31:01.136]',-0.100,-,0.786,0.985,0.197,1.921,81.667,10.121
'[15:31:01.144]',-0.140,-,0.775,1.191,0.197,1.902,81.433,10.311
'[15:31:01.152]',-0.061,-,0.700,1.446,0.196,1.887,81.120,10.933
'[15:31:01.160]',0.225,-,0.525,1.476,0.196,1.873,80.886,11.810
'[15:31:01.168]',0.715,-,0.325,0.605,0.196,1.863,80.495,12.749
'[15:31:01.176]',1.095,-,0.189,-0.070,0.196,1.858,80.182,13.498
'[15:31:01.184]',0.730,-,0.395,-0.251,0.196,1.856,79.791,13.562
'[15:31:01.192]',-0.010,-,0.766,0.030,0.197,1.855,79.479,12.749
'[15:31:01.200]',-0.106,-,0.775,0.445,0.197,1.854,79.166,11.562
'[15:31:01.208]',-0.030,-,0.725,0.730,0.197,1.854,79.010,10.749
'[15:31:01.216]',0.030,-,0.695,0.905,0.198,1.854,78.736,10.686
'[15:31:01.224]',-0.015,-,0.725,0.940,0.198,1.854,78.541,11.124
'[15:31:01.232]',-0.050,-,0.745,0.965,0.198,1.852,78.307,11.810
'[15:31:01.240]',-0.081,-,0.766,0.980,0.197,1.848,77.994,12.686
'[15:31:01.248]',-0.090,-,0.771,1.000,0.197,1.845,77.760,13.498
'[15:31:01.256]',-0.095,-,0.775,1.010,0.197,1.843,77.486,13.810
'[15:31:01.264]',-0.090,-,0.775,1.025,0.197,1.842,77.291,13.060
'[15:31:01.272]',-0.090,-,0.780,1.025,0.197,1.839,77.056,11.619
'[15:31:01.280]',-0.086,-,0.771,1.035,0.197,1.834,76.822,10.311
'[15:31:01.288]',-0.090,-,0.771,1.035,0.197,1.832,76.509,9.810
'[15:31:01.296]',-0.081,-,0.775,1.041,0.198,1.829,76.197,10.184
'[15:31:01.304]',-0.070,-,0.766,1.045,0.198,1.823,75.923,11.060
'[15:31:01.312]',-0.075,-,0.771,1.035,0.199,1.815,75.689,12.184
'[15:31:01.320]',-0.061,-,0.755,1.045,0.199,1.808,75.610,13.124
'[15:31:01.328]',-0.055,-,0.760,1.041,0.200,1.803,75.610,13.308
'[15:31:01.336]',-0.045,-,0.750,1.050,0.200,1.797,75.689,12.495
'[15:31:01.344]',-0.035,-,0.745,1.045,0.201,1.790,75.689,11.435
'[15:31:01.352]',-0.021,-,0.730,1.055,0.201,1.784,75.259,11.060
'[15:31:01.360]',-0.021,-,0.735,1.050,0.202,1.779,74.438,11.498
'[15:31:01.368]',0.004,-,0.725,1.061,0.203,1.777,73.696,12.057
'[15:31:01.376]',0.004,-,0.715,1.055,0.203,1.774,73.305,11.873
'[15:31:01.384]',0.024,-,0.705,1.070,0.204,1.770,73.227,11.244
'[15:31:01.392]',0.024,-,0.705,1.065,0.204,1.766,73.227,10.870
'[15:31:01.400]',0.055,-,0.685,1.075,0.205,1.762,73.227,11.124
'[15:31:01.408]',0.060,-,0.680,1.081,0.206,1.758,73.227,11.308
'[15:31:01.416]',0.085,-,0.670,1.090,0.206,1.754,73.188,10.749
'[15:31:01.424]',0.095,-,0.660,1.090,0.207,1.751,73.188,9.498
'[15:31:01.432]',0.125,-,0.640,1.106,0.208,1.749,73.696,8.248
'[15:31:01.440]',0.140,-,0.635,1.106,0.208,1.748,75.102,7.562
'[15:31:01.448]',0.170,-,0.610,1.120,0.209,1.748,77.916,7.562
'[15:31:01.456]',0.185,-,0.600,1.126,0.210,1.749,82.175,8.121
'[15:31:01.464]',0.220,-,0.585,1.126,0.210,1.748,87.489,8.933
'[15:31:01.472]',0.235,-,0.570,1.126,0.211,1.744,93.312,9.619
'[15:31:01.480]',0.265,-,0.550,1.126,0.211,1.739,99.173,9.498
'[15:31:01.488]',0.290,-,0.540,1.115,0.212,1.734,104.682,8.559
'[15:31:01.496]',0.320,-,0.520,1.110,0.212,1.730,109.371,7.498
'[15:31:01.504]',0.345,-,0.505,1.090,0.213,1.728,112.810,7.244
'[15:31:01.512]',0.375,-,0.490,1.065,0.214,1.727,114.764,7.746
'[15:31:01.520]',0.390,-,0.480,1.035,0.214,1.728,115.389,8.184
'[15:31:01.528]',0.395,-,0.475,1.005,0.215,1.731,115.115,8.057
'[15:31:01.536]',0.400,-,0.470,0.970,0.215,1.733,114.178,7.746
'[15:31:01.544]',0.370,-,0.495,0.940,0.215,1.732,112.419,7.937
'[15:31:01.552]',0.320,-,0.525,0.920,0.215,1.730,109.997,8.749
'[15:31:01.560]',0.245,-,0.570,0.915,0.215,1.726,107.300,9.308
'[15:31:01.568]',0.170,-,0.620,0.910,0.215,1.721,104.917,8.997
'[15:31:01.576]',0.075,-,0.680,0.900,0.215,1.716,103.354,8.184
'[15:31:01.584]',-0.000,-,0.725,0.895,0.214,1.712,102.690,7.498
'[15:31:01.592]',-0.081,-,0.771,0.891,0.214,1.710,102.416,7.435
'[15:31:01.600]',-0.120,-,0.800,0.895,0.214,1.709,102.182,8.184
'[15:31:01.608]',-0.175,-,0.831,0.891,0.214,1.708,102.064,9.435
'[15:31:01.616]',-0.191,-,0.840,0.900,0.215,1.708,102.299,10.749
'[15:31:01.624]',-0.216,-,0.855,0.895,0.215,1.708,103.041,11.371
'[15:31:01.632]',-0.216,-,0.860,0.910,0.215,1.708,104.253,11.060
'[15:31:01.640]',-0.231,-,0.865,0.910,0.216,1.708,105.308,10.375
'[15:31:01.648]',-0.220,-,0.855,0.915,0.217,1.708,105.737,10.121
'[15:31:01.656]',-0.225,-,0.860,0.915,0.218,1.706,105.698,10.749
'[15:31:01.664]',-0.211,-,0.845,0.920,0.220,1.702,105.542,11.498
'[15:31:01.672]',-0.211,-,0.845,0.925,0.222,1.697,105.542,11.810
'[15:31:01.680]',-0.205,-,0.840,0.920,0.225,1.691,105.542,12.184
'[15:31:01.688]',-0.200,-,0.845,0.930,0.229,1.685,105.542,13.060
'[15:31:01.696]',-0.191,-,0.831,0.925,0.232,1.682,105.386,14.121
'[15:31:01.704]',-0.180,-,0.825,0.930,0.237,1.682,104.761,14.311
'[15:31:01.712]',-0.186,-,0.831,0.935,0.242,1.684,103.627,13.244
'[15:31:01.720]',-0.171,-,0.825,0.935,0.247,1.691,101.947,11.683
'[15:31:01.728]',-0.166,-,0.825,0.935,0.252,1.705,99.876,10.559
'[15:31:01.736]',-0.160,-,0.820,0.930,0.257,1.727,97.610,10.375
'[15:31:01.744]',-0.171,-,0.825,0.925,0.262,1.757,95.187,10.933
'[15:31:01.752]',-0.160,-,0.820,0.930,0.268,1.795,92.921,12.057
'[15:31:01.760]',-0.166,-,0.825,0.920,0.273,1.843,91.162,13.435
'[15:31:01.768]',-0.160,-,0.820,0.925,0.280,1.898,90.185,14.375
'[15:31:01.776]',-0.166,-,0.825,0.915,0.286,1.960,89.873,14.311
'[15:31:01.784]',-0.160,-,0.820,0.920,0.294,2.023,89.756,13.187
'[15:31:01.792]',-0.160,-,0.825,0.915,0.302,2.076,89.678,11.937
'[15:31:01.800]',-0.160,-,0.820,0.920,0.309,2.121,89.795,11.562
'[15:31:01.808]',-0.166,-,0.825,0.915,0.316,2.165,90.225,12.184
'[15:31:01.816]',-0.151,-,0.811,0.920,0.323,2.204,90.928,13.124
'[15:31:01.824]',-0.160,-,0.820,0.915,0.330,2.238,91.670,13.244
