'Time','PLETH','II','ABP'
'[13:42:27.512]',0.557,0.492,57.812
'[13:42:27.520]',0.549,0.492,57.031
'[13:42:27.528]',0.541,0.484,56.250
'[13:42:27.536]',0.529,0.445,55.469
'[13:42:27.544]',0.525,0.422,54.688
'[13:42:27.552]',0.518,0.531,54.688
'[13:42:27.560]',0.510,0.766,53.906
'[13:42:27.568]',0.506,0.969,53.125
'[13:42:27.576]',0.498,1.008,52.344
'[13:42:27.584]',0.490,0.867,52.344
'[13:42:27.592]',0.486,0.711,51.562
'[13:42:27.600]',0.478,0.602,51.562
'[13:42:27.608]',0.475,0.539,51.562
'[13:42:27.616]',0.471,0.508,50.781
'[13:42:27.624]',0.467,0.500,50.781
'[13:42:27.632]',0.463,0.500,50.781
'[13:42:27.640]',0.459,0.500,50.781
'[13:42:27.648]',0.459,0.500,50.781
'[13:42:27.656]',0.459,0.500,50.781
'[13:42:27.664]',0.459,0.508,50.781
'[13:42:27.672]',0.455,0.516,50.781
'[13:42:27.680]',0.455,0.523,50.781
'[13:42:27.688]',0.455,0.531,50.781
'[13:42:27.696]',0.451,0.539,50.781
'[13:42:27.704]',0.451,0.547,50.781
'[13:42:27.712]',0.447,0.555,50.000
'[13:42:27.720]',0.447,0.562,50.000
'[13:42:27.728]',0.443,0.570,49.219
'[13:42:27.736]',0.439,0.586,49.219
'[13:42:27.744]',0.439,0.586,48.438
'[13:42:27.752]',0.435,0.602,48.438
'[13:42:27.760]',0.431,0.617,48.438
'[13:42:27.768]',0.427,0.625,48.438
'[13:42:27.776]',0.427,0.641,47.656
'[13:42:27.784]',0.424,0.656,47.656
'[13:42:27.792]',0.424,0.672,48.438
'[13:42:27.800]',0.424,0.695,48.438
'[13:42:27.808]',0.420,0.727,50.781
'[13:42:27.816]',0.420,0.750,55.469
'[13:42:27.824]',0.416,0.781,61.719
'[13:42:27.832]',0.416,0.805,71.094
'[13:42:27.840]',0.412,0.820,81.250
'[13:42:27.848]',0.412,0.836,90.625
'[13:42:27.856]',0.408,0.852,100.000
'[13:42:27.864]',0.408,0.836,107.812
'[13:42:27.872]',0.408,0.812,114.062
'[13:42:27.880]',0.404,0.781,118.750
'[13:42:27.888]',0.400,0.734,120.312
'[13:42:27.896]',0.400,0.688,120.312
'[13:42:27.904]',0.396,0.641,118.750
'[13:42:27.912]',0.396,0.594,116.406
'[13:42:27.920]',0.396,0.562,114.062
'[13:42:27.928]',0.392,0.531,110.156
'[13:42:27.936]',0.392,0.516,107.031
'[13:42:27.944]',0.388,0.500,103.125
'[13:42:27.952]',0.388,0.492,100.000
'[13:42:27.960]',0.388,0.492,96.094
'[13:42:27.968]',0.388,0.492,92.969
'[13:42:27.976]',0.384,0.492,89.062
'[13:42:27.984]',0.384,0.492,85.938
'[13:42:27.992]',0.384,0.492,82.812
'[13:42:28.000]',0.384,0.492,80.469
'[13:42:28.008]',0.380,0.492,77.344
'[13:42:28.016]',0.380,0.492,75.000
'[13:42:28.024]',0.380,0.492,72.656
'[13:42:28.032]',0.376,0.492,70.312
'[13:42:28.040]',0.376,0.492,67.969
'[13:42:28.048]',0.376,0.492,65.625
'[13:42:28.056]',0.376,0.500,64.062
'[13:42:28.064]',0.376,0.500,62.500
'[13:42:28.072]',0.376,0.500,61.719
'[13:42:28.080]',0.376,0.500,60.938
'[13:42:28.088]',0.384,0.500,60.938
'[13:42:28.096]',0.392,0.500,60.938
'[13:42:28.104]',0.404,0.500,61.719
'[13:42:28.112]',0.420,0.500,61.719
'[13:42:28.120]',0.439,0.508,62.500
'[13:42:28.128]',0.463,0.508,63.281
'[13:42:28.136]',0.486,0.516,64.062
'[13:42:28.144]',0.506,0.531,64.844
'[13:42:28.152]',0.525,0.539,65.625
'[13:42:28.160]',0.537,0.555,65.625
'[13:42:28.168]',0.549,0.578,65.625
'[13:42:28.176]',0.557,0.594,64.844
'[13:42:28.184]',0.565,0.586,64.844
'[13:42:28.192]',0.573,0.578,64.062
'[13:42:28.200]',0.576,0.562,64.062
'[13:42:28.208]',0.576,0.539,63.281
'[13:42:28.216]',0.576,0.516,62.500
'[13:42:28.224]',0.576,0.500,61.719
'[13:42:28.232]',0.573,0.492,60.938
'[13:42:28.240]',0.569,0.492,60.156
'[13:42:28.248]',0.565,0.492,59.375
'[13:42:28.256]',0.561,0.492,58.594
'[13:42:28.264]',0.553,0.492,57.812
'[13:42:28.272]',0.545,0.500,57.031
'[13:42:28.280]',0.541,0.477,56.250
'[13:42:28.288]',0.533,0.438,55.469
'[13:42:28.296]',0.525,0.414,54.688
'[13:42:28.304]',0.518,0.570,53.906
'[13:42:28.312]',0.514,0.820,53.125
'[13:42:28.320]',0.506,0.992,53.125
'[13:42:28.328]',0.498,1.008,52.344
'[13:42:28.336]',0.490,0.836,52.344
'[13:42:28.344]',0.486,0.688,51.562
'[13:42:28.352]',0.478,0.586,51.562
'[13:42:28.360]',0.475,0.531,50.781
'[13:42:28.368]',0.471,0.500,50.781
'[13:42:28.376]',0.467,0.492,50.781
'[13:42:28.384]',0.463,0.492,50.781
'[13:42:28.392]',0.463,0.492,50.781
'[13:42:28.400]',0.459,0.492,50.781
'[13:42:28.408]',0.459,0.492,50.781
'[13:42:28.416]',0.459,0.500,50.781
'[13:42:28.424]',0.459,0.508,50.781
'[13:42:28.432]',0.455,0.516,50.781
'[13:42:28.440]',0.455,0.516,50.781
'[13:42:28.448]',0.451,0.531,50.781
'[13:42:28.456]',0.451,0.531,50.000
'[13:42:28.464]',0.447,0.539,50.000
'[13:42:28.472]',0.447,0.547,50.000
'[13:42:28.480]',0.443,0.555,49.219
'[13:42:28.488]',0.439,0.570,49.219
'[13:42:28.496]',0.435,0.578,48.438
'[13:42:28.504]',0.431,0.586,48.438
'[13:42:28.512]',0.431,0.602,48.438
'[13:42:28.520]',0.427,0.609,47.656
'[13:42:28.528]',0.427,0.625,47.656
'[13:42:28.536]',0.424,0.648,47.656
'[13:42:28.544]',0.424,0.672,48.438
'[13:42:28.552]',0.420,0.695,49.219
'[13:42:28.560]',0.420,0.719,52.344
'[13:42:28.568]',0.420,0.750,57.812
'[13:42:28.576]',0.416,0.773,65.625
'[13:42:28.584]',0.416,0.797,75.781
'[13:42:28.592]',0.412,0.812,85.938
'[13:42:28.600]',0.412,0.828,96.094
'[13:42:28.608]',0.408,0.836,105.469
'[13:42:28.616]',0.408,0.828,113.281
'[13:42:28.624]',0.404,0.805,118.750
'[13:42:28.632]',0.400,0.766,121.875
'[13:42:28.640]',0.400,0.727,122.656
'[13:42:28.648]',0.396,0.672,122.656
'[13:42:28.656]',0.396,0.625,120.312
'[13:42:28.664]',0.396,0.578,117.969
'[13:42:28.672]',0.392,0.547,114.844
'[13:42:28.680]',0.392,0.523,111.719
'[13:42:28.688]',0.392,0.500,107.812
'[13:42:28.696]',0.388,0.492,104.688
'[13:42:28.704]',0.388,0.492,100.781
'[13:42:28.712]',0.384,0.484,97.656
'[13:42:28.720]',0.384,0.484,94.531
'[13:42:28.728]',0.380,0.484,90.625
'[13:42:28.736]',0.380,0.484,87.500
'[13:42:28.744]',0.380,0.484,85.156
'[13:42:28.752]',0.376,0.492,82.031
'[13:42:28.760]',0.376,0.492,79.688
'[13:42:28.768]',0.376,0.484,77.344
'[13:42:28.776]',0.376,0.484,74.219
'[13:42:28.784]',0.376,0.484,72.656
'[13:42:28.792]',0.376,0.492,70.312
'[13:42:28.800]',0.376,0.492,67.969
'[13:42:28.808]',0.376,0.492,65.625
'[13:42:28.816]',0.376,0.500,64.062
'[13:42:28.824]',0.376,0.500,63.281
'[13:42:28.832]',0.380,0.500,62.500
'[13:42:28.840]',0.384,0.500,61.719
