"'Time','II','ABP','PLETH'"
"'[16:32:39.760]',-,-,-"
"'[16:32:39.768]',-,-,-"
"'[16:32:39.776]',-,-,-"
"'[16:32:39.784]',-,-,-"
"'[16:32:39.792]',-,-,-"
"'[16:32:39.800]',-,-,-"
"'[16:32:39.808]',-,-,-"
"'[16:32:39.816]',-,-,-"
"'[16:32:39.824]',-,-,-"
"'[16:32:39.832]',-,-,-"
"'[16:32:39.840]',-,-,-"
"'[16:32:39.848]',-,-,-"
"'[16:32:39.856]',-,-,-"
"'[16:32:39.864]',-,-,-"
"'[16:32:39.872]',-,-,-"
"'[16:32:39.880]',-,-,-"
"'[16:32:39.888]',-,-,-"
"'[16:32:39.896]',-,-,-"
"'[16:32:39.904]',-,-,-"
"'[16:32:39.912]',-,-,-"
"'[16:32:39.920]',-,-,-"
"'[16:32:39.928]',-,-,-"
"'[16:32:39.936]',-,-,-"
"'[16:32:39.944]',-,-,-"
"'[16:32:39.952]',-,-,-"
"'[16:32:39.960]',-,-,-"
"'[16:32:39.968]',-,-,-"
"'[16:32:39.976]',-,-,-"
"'[16:32:39.984]',-,-,-"
"'[16:32:39.992]',-,-,-"
"'[16:32:40.000]',-,-,-"
"'[16:32:40.008]',-,-,-"
"'[16:32:40.016]',-,-,-"
"'[16:32:40.024]',-,-,-"
"'[16:32:40.032]',-,-,-"
"'[16:32:40.040]',-,-,-"
"'[16:32:40.048]',-,-,-"
"'[16:32:40.056]',-,-,-"
"'[16:32:40.064]',-,-,-"
"'[16:32:40.072]',-,-,-"
"'[16:32:40.080]',-,-,-"
"'[16:32:40.088]',-,-,-"
"'[16:32:40.096]',-,-,-"
"'[16:32:40.104]',-,-,-"
"'[16:32:40.112]',-,-,-"
"'[16:32:40.120]',-,-,-"
"'[16:32:40.128]',-,-,-"
"'[16:32:40.136]',-,-,-"
"'[16:32:40.144]',-,-,-"
"'[16:32:40.152]',-,-,-"
"'[16:32:40.160]',-,-,-"
"'[16:32:40.168]',-,-,-"
"'[16:32:40.176]',-,-,-"
"'[16:32:40.184]',-,-,-"
"'[16:32:40.192]',-,-,-"
"'[16:32:40.200]',-,-,-"
"'[16:32:40.208]',-,-,-"
"'[16:32:40.216]',-,-,-"
"'[16:32:40.224]',-,-,-"
"'[16:32:40.232]',-,-,-"
"'[16:32:40.240]',-,-,-"
"'[16:32:40.248]',-,-,-"
"'[16:32:40.256]',-,-,-"
"'[16:32:40.264]',-,-,-"
"'[16:32:40.272]',-,-,-"
"'[16:32:40.280]',-,-,-"
"'[16:32:40.288]',-,-,-"
"'[16:32:40.296]',-,-,-"
"'[16:32:40.304]',-,-,-"
"'[16:32:40.312]',-,-,-"
"'[16:32:40.320]',-,-,-"
"'[16:32:40.328]',-,-,-"
"'[16:32:40.336]',-,-,-"
"'[16:32:40.344]',-,-,-"
"'[16:32:40.352]',-,-,-"
"'[16:32:40.360]',-,-,-"
"'[16:32:40.368]',-,-,-"
"'[16:32:40.376]',-,-,-"
"'[16:32:40.384]',-,-,-"
"'[16:32:40.392]',-,-,-"
"'[16:32:40.400]',-,-,-"
"'[16:32:40.408]',-,-,-"
"'[16:32:40.416]',-,-,-"
"'[16:32:40.424]',-,-,-"
"'[16:32:40.432]',-,-,-"
"'[16:32:40.440]',-,-,-"
"'[16:32:40.448]',-,-,-"
"'[16:32:40.456]',-,-,-"
"'[16:32:40.464]',-,-,-"
"'[16:32:40.472]',-,-,-"
"'[16:32:40.480]',-,-,-"
"'[16:32:40.488]',-,-,-"
"'[16:32:40.496]',-,-,-"
"'[16:32:40.504]',-,-,-"
"'[16:32:40.512]',-,-,-"
"'[16:32:40.520]',-,-,-"
"'[16:32:40.528]',-,-,-"
"'[16:32:40.536]',-,-,-"
"'[16:32:40.544]',-,-,-"
"'[16:32:40.552]',-,-,-"
"'[16:32:40.560]',-,-,-"
"'[16:32:40.568]',-,-,-"
"'[16:32:40.576]',-,-,-"
"'[16:32:40.584]',-,-,-"
"'[16:32:40.592]',-,-,-"
"'[16:32:40.600]',-,-,-"
"'[16:32:40.608]',-,-,-"
"'[16:32:40.616]',-,-,-"
"'[16:32:40.624]',-,-,-"
"'[16:32:40.632]',-,-,-"
"'[16:32:40.640]',-,-,-"
"'[16:32:40.648]',-,-,-"
"'[16:32:40.656]',-,-,-"
"'[16:32:40.664]',-,-,-"
"'[16:32:40.672]',-,-,-"
"'[16:32:40.680]',-,-,-"
"'[16:32:40.688]',-,-,-"
"'[16:32:40.696]',-,-,-"
"'[16:32:40.704]',-,-,-"
"'[16:32:40.712]',-,-,-"
"'[16:32:40.720]',-,-,-"
"'[16:32:40.728]',-,-,-"
"'[16:32:40.736]',-,-,-"
"'[16:32:40.744]',-,-,-"
"'[16:32:40.752]',-,-,-"
"'[16:32:40.760]',-,-,-"
"'[16:32:40.768]',-,-,-"
"'[16:32:40.776]',-,-,-"
"'[16:32:40.784]',-,-,-"
"'[16:32:40.792]',-,-,-"
"'[16:32:40.800]',-,-,-"
"'[16:32:40.808]',-,-,-"
"'[16:32:40.816]',-,-,-"
"'[16:32:40.824]',-,-,-"
"'[16:32:40.832]',-,-,-"
"'[16:32:40.840]',-,-,-"
"'[16:32:40.848]',-,-,-"
"'[16:32:40.856]',-,-,-"
"'[16:32:40.864]',-,-,-"
"'[16:32:40.872]',-,-,-"
"'[16:32:40.880]',-,-,-"
"'[16:32:40.888]',-,-,-"
"'[16:32:40.896]',-,-,-"
"'[16:32:40.904]',-,-,-"
"'[16:32:40.912]',-,-,-"
"'[16:32:40.920]',-,-,-"
"'[16:32:40.928]',-,-,-"
"'[16:32:40.936]',-,-,-"
"'[16:32:40.944]',-,-,-"
"'[16:32:40.952]',-,-,-"
"'[16:32:40.960]',-,-,-"
"'[16:32:40.968]',-,-,-"
"'[16:32:40.976]',-,-,-"
"'[16:32:40.984]',-,-,-"
"'[16:32:40.992]',-,-,-"
"'[16:32:41.000]',-,-,-"
"'[16:32:41.008]',-,-,-"
"'[16:32:41.016]',-,-,-"
"'[16:32:41.024]',-,-,-"
"'[16:32:41.032]',-,-,-"
"'[16:32:41.040]',-,-,-"
"'[16:32:41.048]',-,-,-"
"'[16:32:41.056]',-,-,-"
"'[16:32:41.064]',-,-,-"
"'[16:32:41.072]',-,-,-"
"'[16:32:41.080]',-,-,-"
"'[16:32:41.088]',-,-,-"
"'[16:32:41.096]',-,-,-"
"'[16:32:41.104]',-,-,-"
"'[16:32:41.112]',-,-,-"
"'[16:32:41.120]',-,-,-"
"'[16:32:41.128]',-,-,-"
"'[16:32:41.136]',-,-,-"
"'[16:32:41.144]',-,-,-"
"'[16:32:41.152]',-,-,-"
"'[16:32:41.160]',-,-,-"
"'[16:32:41.168]',-,-,-"
"'[16:32:41.176]',-,-,-"
"'[16:32:41.184]',-,-,-"
"'[16:32:41.192]',-,-,-"
"'[16:32:41.200]',-,-,-"
"'[16:32:41.208]',-,-,-"
"'[16:32:41.216]',-,-,-"
"'[16:32:41.224]',-,-,-"
"'[16:32:41.232]',-,-,-"
"'[16:32:41.240]',-,-,-"
"'[16:32:41.248]',-,-,-"
"'[16:32:41.256]',-,-,-"
"'[16:32:41.264]',-,-,-"
"'[16:32:41.272]',-,-,-"
"'[16:32:41.280]',-,-,-"
"'[16:32:41.288]',-,-,-"
"'[16:32:41.296]',-,-,-"
"'[16:32:41.304]',-,-,-"
"'[16:32:41.312]',-,-,-"
"'[16:32:41.320]',-,-,-"
"'[16:32:41.328]',-,-,-"
"'[16:32:41.336]',-,-,-"
"'[16:32:41.344]',-,-,-"
"'[16:32:41.352]',-,-,-"
"'[16:32:41.360]',-,-,-"
"'[16:32:41.368]',-,-,-"
"'[16:32:41.376]',-,-,-"
"'[16:32:41.384]',-,-,-"
"'[16:32:41.392]',-,-,-"
"'[16:32:41.400]',-,-,-"
"'[16:32:41.408]',-,-,-"
"'[16:32:41.416]',-,-,-"
"'[16:32:41.424]',-,-,-"
"'[16:32:41.432]',-,-,-"
"'[16:32:41.440]',-,-,-"
"'[16:32:41.448]',-,-,-"
"'[16:32:41.456]',-,-,-"
"'[16:32:41.464]',-,-,-"
"'[16:32:41.472]',-,-,-"
"'[16:32:41.480]',-,-,-"
"'[16:32:41.488]',-,-,-"
"'[16:32:41.496]',-,-,-"
"'[16:32:41.504]',-,-,-"
"'[16:32:41.512]',-,-,-"
"'[16:32:41.520]',-,-,-"
"'[16:32:41.528]',-,-,-"
"'[16:32:41.536]',-,-,-"
"'[16:32:41.544]',-,-,-"
"'[16:32:41.552]',-,-,-"
"'[16:32:41.560]',-,-,-"
"'[16:32:41.568]',-,-,-"
"'[16:32:41.576]',-,-,-"
"'[16:32:41.584]',-,-,-"
"'[16:32:41.592]',-,-,-"
"'[16:32:41.600]',-,-,-"
"'[16:32:41.608]',-,-,-"
"'[16:32:41.616]',-,-,-"
"'[16:32:41.624]',-,-,-"
"'[16:32:41.632]',-,-,-"
"'[16:32:41.640]',-,-,-"
"'[16:32:41.648]',-,-,-"
"'[16:32:41.656]',-,-,-"
"'[16:32:41.664]',-,-,-"
"'[16:32:41.672]',-,-,-"
"'[16:32:41.680]',-,-,-"
"'[16:32:41.688]',-,-,-"
"'[16:32:41.696]',-,-,-"
"'[16:32:41.704]',-,-,-"
"'[16:32:41.712]',-,-,-"
"'[16:32:41.720]',-,-,-"
"'[16:32:41.728]',-,-,-"
"'[16:32:41.736]',-,-,-"
"'[16:32:41.744]',-,-,-"
"'[16:32:41.752]',-,-,-"
"'[16:32:41.760]',-,-,-"
"'[16:32:41.768]',-,-,-"
"'[16:32:41.776]',-,-,-"
"'[16:32:41.784]',-,-,-"
"'[16:32:41.792]',-,-,-"
"'[16:32:41.800]',-,-,-"
"'[16:32:41.808]',-,-,-"
"'[16:32:41.816]',-,-,-"
"'[16:32:41.824]',-,-,-"
"'[16:32:41.832]',-,-,-"
"'[16:32:41.840]',-,-,-"
"'[16:32:41.848]',-,-,-"
"'[16:32:41.856]',-,-,-"
"'[16:32:41.864]',-,-,-"
"'[16:32:41.872]',-,-,-"
"'[16:32:41.880]',-,-,-"
"'[16:32:41.888]',-,-,-"
"'[16:32:41.896]',-,-,-"
"'[16:32:41.904]',-,-,-"
"'[16:32:41.912]',-,-,-"
"'[16:32:41.920]',-,-,-"
"'[16:32:41.928]',-,-,-"
"'[16:32:41.936]',-,-,-"
"'[16:32:41.944]',-,-,-"
"'[16:32:41.952]',-,-,-"
"'[16:32:41.960]',-,-,-"
"'[16:32:41.968]',-,-,-"
"'[16:32:41.976]',-,-,-"
"'[16:32:41.984]',-,-,-"
"'[16:32:41.992]',-,-,-"
"'[16:32:42.000]',-,-,-"
"'[16:32:42.008]',-,-,-"
"'[16:32:42.016]',-,-,-"
"'[16:32:42.024]',-,-,-"
"'[16:32:42.032]',-,-,-"
"'[16:32:42.040]',-,-,-"
"'[16:32:42.048]',-,-,-"
"'[16:32:42.056]',-,-,-"
"'[16:32:42.064]',-,-,-"
"'[16:32:42.072]',-,-,-"
"'[16:32:42.080]',-,-,-"
"'[16:32:42.088]',-,-,-"
"'[16:32:42.096]',-,-,-"
"'[16:32:42.104]',-,-,-"
"'[16:32:42.112]',-,-,-"
"'[16:32:42.120]',-,-,-"
"'[16:32:42.128]',-,-,-"
"'[16:32:42.136]',-,-,-"
"'[16:32:42.144]',-,-,-"
"'[16:32:42.152]',-,-,-"
"'[16:32:42.160]',-,-,-"
"'[16:32:42.168]',-,-,-"
"'[16:32:42.176]',-,-,-"
"'[16:32:42.184]',-,-,-"
"'[16:32:42.192]',-,-,-"
"'[16:32:42.200]',-,-,-"
"'[16:32:42.208]',-,-,-"
"'[16:32:42.216]',-,-,-"
"'[16:32:42.224]',-,-,-"
"'[16:32:42.232]',-,-,-"
"'[16:32:42.240]',-,-,-"
"'[16:32:42.248]',-,-,-"
"'[16:32:42.256]',-,-,-"
"'[16:32:42.264]',-,-,-"
"'[16:32:42.272]',-,-,-"
"'[16:32:42.280]',-,-,-"
"'[16:32:42.288]',-,-,-"
"'[16:32:42.296]',-,-,-"
"'[16:32:42.304]',-,-,-"
"'[16:32:42.312]',-,-,-"
"'[16:32:42.320]',-,-,-"
"'[16:32:42.328]',-,-,-"
"'[16:32:42.336]',-,-,-"
"'[16:32:42.344]',-,-,-"
"'[16:32:42.352]',-,-,-"
"'[16:32:42.360]',-,-,-"
"'[16:32:42.368]',-,-,-"
"'[16:32:42.376]',-,-,-"
"'[16:32:42.384]',-,-,-"
"'[16:32:42.392]',-,-,-"
"'[16:32:42.400]',-,-,-"
"'[16:32:42.408]',-,-,-"
"'[16:32:42.416]',-,-,-"
"'[16:32:42.424]',-,-,-"
"'[16:32:42.432]',-,-,-"
"'[16:32:42.440]',-,-,-"
"'[16:32:42.448]',-,-,-"
"'[16:32:42.456]',-,-,-"
"'[16:32:42.464]',-,-,-"
"'[16:32:42.472]',-,-,-"
"'[16:32:42.480]',-,-,-"
"'[16:32:42.488]',-,-,-"
"'[16:32:42.496]',-,-,-"
"'[16:32:42.504]',-,-,-"
"'[16:32:42.512]',-,-,-"
"'[16:32:42.520]',-,-,-"
"'[16:32:42.528]',-,-,-"
"'[16:32:42.536]',-,-,-"
"'[16:32:42.544]',-,-,-"
"'[16:32:42.552]',-,-,-"
"'[16:32:42.560]',-,-,-"
"'[16:32:42.568]',-,-,-"
"'[16:32:42.576]',-,-,-"
"'[16:32:42.584]',-,-,-"
"'[16:32:42.592]',-,-,-"
"'[16:32:42.600]',-,-,-"
"'[16:32:42.608]',-,-,-"
"'[16:32:42.616]',-,-,-"
"'[16:32:42.624]',-,-,-"
"'[16:32:42.632]',-,-,-"
"'[16:32:42.640]',-,-,-"
"'[16:32:42.648]',-,-,-"
"'[16:32:42.656]',-,-,-"
"'[16:32:42.664]',-,-,-"
"'[16:32:42.672]',-,-,-"
"'[16:32:42.680]',-,-,-"
"'[16:32:42.688]',-,-,-"
"'[16:32:42.696]',-,-,-"
"'[16:32:42.704]',-,-,-"
"'[16:32:42.712]',-,-,-"
"'[16:32:42.720]',-,-,-"
"'[16:32:42.728]',-,-,-"
"'[16:32:42.736]',-,-,-"
"'[16:32:42.744]',-,-,-"
"'[16:32:42.752]',-,-,-"
"'[16:32:42.760]',-,-,-"
"'[16:32:42.768]',-,-,-"
"'[16:32:42.776]',-,-,-"
"'[16:32:42.784]',-,-,-"
"'[16:32:42.792]',-,-,-"
"'[16:32:42.800]',-,-,-"
"'[16:32:42.808]',-,-,-"
"'[16:32:42.816]',-,-,-"
"'[16:32:42.824]',-,-,-"
"'[16:32:42.832]',-,-,-"
"'[16:32:42.840]',-,-,-"
"'[16:32:42.848]',-,-,-"
"'[16:32:42.856]',-,-,-"
"'[16:32:42.864]',-,-,-"
"'[16:32:42.872]',-,-,-"
"'[16:32:42.880]',-,-,-"
"'[16:32:42.888]',-,-,-"
"'[16:32:42.896]',-,-,-"
"'[16:32:42.904]',-,-,-"
"'[16:32:42.912]',-,-,-"
"'[16:32:42.920]',-,-,-"
"'[16:32:42.928]',-,-,-"
"'[16:32:42.936]',-,-,-"
"'[16:32:42.944]',-,-,-"
"'[16:32:42.952]',-,-,-"
"'[16:32:42.960]',-,-,-"
"'[16:32:42.968]',-,-,-"
"'[16:32:42.976]',-,-,-"
"'[16:32:42.984]',-,-,-"
"'[16:32:42.992]',-,-,-"
"'[16:32:43.000]',-,-,-"
"'[16:32:43.008]',-,-,-"
"'[16:32:43.016]',-,-,-"
"'[16:32:43.024]',-,-,-"
"'[16:32:43.032]',-,-,-"
"'[16:32:43.040]',-,-,-"
"'[16:32:43.048]',-,-,-"
"'[16:32:43.056]',-,-,-"
"'[16:32:43.064]',-,-,-"
"'[16:32:43.072]',-,-,-"
"'[16:32:43.080]',-,-,-"
"'[16:32:43.088]',-,-,-"
"'[16:32:43.096]',-,-,-"
"'[16:32:43.104]',-,-,-"
"'[16:32:43.112]',-,-,-"
"'[16:32:43.120]',-,-,-"
"'[16:32:43.128]',-,-,-"
"'[16:32:43.136]',-,-,-"
"'[16:32:43.144]',-,-,-"
"'[16:32:43.152]',-,-,-"
"'[16:32:43.160]',-,-,-"
"'[16:32:43.168]',-,-,-"
"'[16:32:43.176]',-,-,-"
"'[16:32:43.184]',-,-,-"
"'[16:32:43.192]',-,-,-"
"'[16:32:43.200]',-,-,-"
"'[16:32:43.208]',-,-,-"
"'[16:32:43.216]',-,-,-"
"'[16:32:43.224]',-,-,-"
"'[16:32:43.232]',-,-,-"
"'[16:32:43.240]',-,-,-"
"'[16:32:43.248]',-,-,-"
"'[16:32:43.256]',-,-,-"
"'[16:32:43.264]',-,-,-"
"'[16:32:43.272]',-,-,-"
"'[16:32:43.280]',-,-,-"
"'[16:32:43.288]',-,-,-"
"'[16:32:43.296]',-,-,-"
"'[16:32:43.304]',-,-,-"
"'[16:32:43.312]',-,-,-"
"'[16:32:43.320]',-,-,-"
"'[16:32:43.328]',-,-,-"
"'[16:32:43.336]',-,-,-"
"'[16:32:43.344]',-,-,-"
"'[16:32:43.352]',-,-,-"
"'[16:32:43.360]',-,-,-"
"'[16:32:43.368]',-,-,-"
"'[16:32:43.376]',-,-,-"
"'[16:32:43.384]',-,-,-"
"'[16:32:43.392]',-,-,-"
"'[16:32:43.400]',-,-,-"
"'[16:32:43.408]',-,-,-"
"'[16:32:43.416]',-,-,-"
"'[16:32:43.424]',-,-,-"
"'[16:32:43.432]',-,-,-"
"'[16:32:43.440]',-,-,-"
"'[16:32:43.448]',-,-,-"
"'[16:32:43.456]',-,-,-"
"'[16:32:43.464]',-,-,-"
"'[16:32:43.472]',-,-,-"
"'[16:32:43.480]',-,-,-"
"'[16:32:43.488]',-,-,-"
"'[16:32:43.496]',-,-,-"
"'[16:32:43.504]',-,-,-"
"'[16:32:43.512]',-,-,-"
"'[16:32:43.520]',-,-,-"
"'[16:32:43.528]',-,-,-"
"'[16:32:43.536]',-,-,-"
"'[16:32:43.544]',-,-,-"
"'[16:32:43.552]',-,-,-"
"'[16:32:43.560]',-,-,-"
"'[16:32:43.568]',-,-,-"
"'[16:32:43.576]',-,-,-"
"'[16:32:43.584]',-,-,-"
"'[16:32:43.592]',-,-,-"
"'[16:32:43.600]',-,-,-"
"'[16:32:43.608]',-,-,-"
"'[16:32:43.616]',-,-,-"
"'[16:32:43.624]',-,-,-"
"'[16:32:43.632]',-,-,-"
"'[16:32:43.640]',-,-,-"
"'[16:32:43.648]',-,-,-"
"'[16:32:43.656]',-,-,-"
"'[16:32:43.664]',-,-,-"
"'[16:32:43.672]',-,-,-"
"'[16:32:43.680]',-,-,-"
"'[16:32:43.688]',-,-,-"
"'[16:32:43.696]',-,-,-"
"'[16:32:43.704]',-,-,-"
"'[16:32:43.712]',-,-,-"
"'[16:32:43.720]',-,-,-"
"'[16:32:43.728]',-,-,-"
"'[16:32:43.736]',-,-,-"
"'[16:32:43.744]',-,-,-"
"'[16:32:43.752]',-,-,-"
"'[16:32:43.760]',-,-,-"
"'[16:32:43.768]',-,-,-"
"'[16:32:43.776]',-,-,-"
"'[16:32:43.784]',-,-,-"
"'[16:32:43.792]',-,-,-"
"'[16:32:43.800]',-,-,-"
"'[16:32:43.808]',-,-,-"
"'[16:32:43.816]',-,-,-"
"'[16:32:43.824]',-,-,-"
"'[16:32:43.832]',-,-,-"
"'[16:32:43.840]',-,-,-"
"'[16:32:43.848]',-,-,-"
"'[16:32:43.856]',-,-,-"
"'[16:32:43.864]',-,-,-"
"'[16:32:43.872]',-,-,-"
"'[16:32:43.880]',-,-,-"
"'[16:32:43.888]',-,-,-"
"'[16:32:43.896]',-,-,-"
"'[16:32:43.904]',-,-,-"
"'[16:32:43.912]',-,-,-"
"'[16:32:43.920]',-,-,-"
"'[16:32:43.928]',-,-,-"
"'[16:32:43.936]',-,-,-"
"'[16:32:43.944]',-,-,-"
"'[16:32:43.952]',-,-,-"
"'[16:32:43.960]',-,-,-"
"'[16:32:43.968]',-,-,-"
"'[16:32:43.976]',-,-,-"
"'[16:32:43.984]',-,-,-"
"'[16:32:43.992]',-,-,-"
"'[16:32:44.000]',-,-,-"
"'[16:32:44.008]',-,-,-"
"'[16:32:44.016]',-,-,-"
"'[16:32:44.024]',-,-,-"
"'[16:32:44.032]',-,-,-"
"'[16:32:44.040]',-,-,-"
"'[16:32:44.048]',-,-,-"
"'[16:32:44.056]',-,-,-"
"'[16:32:44.064]',-,-,-"
"'[16:32:44.072]',-,-,-"
"'[16:32:44.080]',-,-,-"
"'[16:32:44.088]',-,-,-"
"'[16:32:44.096]',-,-,-"
"'[16:32:44.104]',-,-,-"
"'[16:32:44.112]',-,-,-"
"'[16:32:44.120]',-,-,-"
"'[16:32:44.128]',-,-,-"
"'[16:32:44.136]',-,-,-"
"'[16:32:44.144]',-,-,-"
"'[16:32:44.152]',-,-,-"
"'[16:32:44.160]',-,-,-"
"'[16:32:44.168]',-,-,-"
"'[16:32:44.176]',-,-,-"
"'[16:32:44.184]',-,-,-"
"'[16:32:44.192]',-,-,-"
"'[16:32:44.200]',-,-,-"
"'[16:32:44.208]',-,-,-"
"'[16:32:44.216]',-,-,-"
"'[16:32:44.224]',-,-,-"
"'[16:32:44.232]',-,-,-"
"'[16:32:44.240]',-,-,-"
"'[16:32:44.248]',-,-,-"
"'[16:32:44.256]',-,-,-"
"'[16:32:44.264]',-,-,-"
"'[16:32:44.272]',-,-,-"
"'[16:32:44.280]',-,-,-"
"'[16:32:44.288]',-,-,-"
"'[16:32:44.296]',-,-,-"
"'[16:32:44.304]',-,-,-"
"'[16:32:44.312]',-,-,-"
"'[16:32:44.320]',-,-,-"
"'[16:32:44.328]',-,-,-"
"'[16:32:44.336]',-,-,-"
"'[16:32:44.344]',-,-,-"
"'[16:32:44.352]',-,-,-"
"'[16:32:44.360]',-,-,-"
"'[16:32:44.368]',-,-,-"
"'[16:32:44.376]',-,-,-"
"'[16:32:44.384]',-,-,-"
"'[16:32:44.392]',-,-,-"
"'[16:32:44.400]',-,-,-"
"'[16:32:44.408]',-,-,-"
"'[16:32:44.416]',-,-,-"
"'[16:32:44.424]',-,-,-"
"'[16:32:44.432]',-,-,-"
"'[16:32:44.440]',-,-,-"
"'[16:32:44.448]',-,-,-"
"'[16:32:44.456]',-,-,-"
"'[16:32:44.464]',-,-,-"
"'[16:32:44.472]',-,-,-"
"'[16:32:44.480]',-,-,-"
"'[16:32:44.488]',-,-,-"
"'[16:32:44.496]',-,-,-"
"'[16:32:44.504]',-,-,-"
"'[16:32:44.512]',-,-,-"
"'[16:32:44.520]',-,-,-"
"'[16:32:44.528]',-,-,-"
"'[16:32:44.536]',-,-,-"
"'[16:32:44.544]',-,-,-"
"'[16:32:44.552]',-,-,-"
"'[16:32:44.560]',-,-,-"
"'[16:32:44.568]',-,-,-"
"'[16:32:44.576]',-,-,-"
"'[16:32:44.584]',-,-,-"
"'[16:32:44.592]',-,-,-"
"'[16:32:44.600]',-,-,-"
"'[16:32:44.608]',-,-,-"
"'[16:32:44.616]',-,-,-"
"'[16:32:44.624]',-,-,-"
"'[16:32:44.632]',-,-,-"
"'[16:32:44.640]',-,-,-"
"'[16:32:44.648]',-,-,-"
"'[16:32:44.656]',-,-,-"
"'[16:32:44.664]',-,-,-"
"'[16:32:44.672]',-,-,-"
"'[16:32:44.680]',-,-,-"
"'[16:32:44.688]',-,-,-"
"'[16:32:44.696]',-,-,-"
"'[16:32:44.704]',-,-,-"
"'[16:32:44.712]',-,-,-"
"'[16:32:44.720]',-,-,-"
"'[16:32:44.728]',-,-,-"
"'[16:32:44.736]',-,-,-"
"'[16:32:44.744]',-,-,-"
"'[16:32:44.752]',-,-,-"
"'[16:32:44.760]',-,-,-"
"'[16:32:44.768]',-,-,-"
"'[16:32:44.776]',-,-,-"
"'[16:32:44.784]',-,-,-"
"'[16:32:44.792]',-,-,-"
"'[16:32:44.800]',-,-,-"
"'[16:32:44.808]',-,-,-"
"'[16:32:44.816]',-,-,-"
"'[16:32:44.824]',-,-,-"
"'[16:32:44.832]',-,-,-"
"'[16:32:44.840]',-,-,-"
"'[16:32:44.848]',-,-,-"
"'[16:32:44.856]',-,-,-"
