'Time','II','ABP','PLETH','III'
'[16:38:40.720]',0.416,43.125,0.875,-
'[16:38:40.728]',0.420,43.125,0.851,-
'[16:38:40.736]',0.408,42.187,0.827,-
'[16:38:40.744]',0.416,42.187,0.804,-
'[16:38:40.752]',0.435,42.187,0.780,-
'[16:38:40.760]',0.439,44.062,0.761,-
'[16:38:40.768]',0.431,46.875,0.741,-
'[16:38:40.776]',0.424,52.500,0.729,-
'[16:38:40.784]',0.435,60.937,0.718,-
'[16:38:40.792]',0.451,70.312,0.706,-
'[16:38:40.800]',0.467,79.687,0.702,-
'[16:38:40.808]',0.451,88.125,0.694,-
'[16:38:40.816]',0.435,95.625,0.690,-
'[16:38:40.824]',0.451,100.312,0.686,-
'[16:38:40.832]',0.478,104.062,0.682,-
'[16:38:40.840]',0.471,106.875,0.678,-
'[16:38:40.848]',0.443,107.812,0.675,-
'[16:38:40.856]',0.443,106.875,0.671,-
'[16:38:40.864]',0.443,105.000,0.667,-
'[16:38:40.872]',0.443,102.187,0.663,-
'[16:38:40.880]',0.443,99.375,0.655,-
'[16:38:40.888]',0.443,96.562,0.651,-
'[16:38:40.896]',0.435,93.750,0.647,-
'[16:38:40.904]',0.431,90.937,0.643,-
'[16:38:40.912]',0.439,89.062,0.639,-
'[16:38:40.920]',0.443,86.250,0.635,-
'[16:38:40.928]',0.443,84.375,0.631,-
'[16:38:40.936]',0.439,82.500,0.627,-
'[16:38:40.944]',0.439,80.625,0.624,-
'[16:38:40.952]',0.439,78.750,0.616,-
'[16:38:40.960]',0.443,76.875,0.612,-
'[16:38:40.968]',0.439,75.000,0.600,-
'[16:38:40.976]',0.435,73.125,0.592,-
'[16:38:40.984]',0.435,71.250,0.580,-
'[16:38:40.992]',0.439,69.375,0.565,-
'[16:38:41.000]',0.459,66.562,0.549,-
'[16:38:41.008]',0.471,63.750,0.533,-
'[16:38:41.016]',0.486,61.875,0.518,-
'[16:38:41.024]',0.498,60.000,0.502,-
'[16:38:41.032]',0.506,58.125,0.486,-
'[16:38:41.040]',0.522,56.250,0.475,-
'[16:38:41.048]',0.525,55.312,0.463,-
'[16:38:41.056]',0.506,54.375,0.451,-
'[16:38:41.064]',0.475,53.437,0.443,-
'[16:38:41.072]',0.443,53.437,0.431,-
'[16:38:41.080]',0.416,53.437,0.427,-
'[16:38:41.088]',0.396,53.437,0.424,-
'[16:38:41.096]',0.396,53.437,0.420,-
'[16:38:41.104]',0.388,53.437,0.416,-
'[16:38:41.112]',0.396,53.437,0.412,-
'[16:38:41.120]',0.400,53.437,0.412,-
'[16:38:41.128]',0.388,53.437,0.408,-
'[16:38:41.136]',0.384,53.437,0.404,-
'[16:38:41.144]',0.420,53.437,0.400,-
'[16:38:41.152]',0.557,53.437,0.396,-
'[16:38:41.160]',0.757,53.437,0.392,-
'[16:38:41.168]',0.863,52.500,0.392,-
'[16:38:41.176]',0.847,52.500,0.392,-
'[16:38:41.184]',0.784,52.500,0.392,-
'[16:38:41.192]',0.714,52.500,0.392,-
'[16:38:41.200]',0.620,52.500,0.392,-
'[16:38:41.208]',0.529,51.562,0.392,-
'[16:38:41.216]',0.451,51.562,0.384,-
'[16:38:41.224]',0.408,51.562,0.369,-
'[16:38:41.232]',0.396,50.625,0.345,-
'[16:38:41.240]',0.396,50.625,0.310,-
'[16:38:41.248]',0.396,49.687,0.263,-
'[16:38:41.256]',0.396,48.750,0.208,-
'[16:38:41.264]',0.396,47.812,0.141,-
'[16:38:41.272]',0.396,47.812,0.078,-
'[16:38:41.280]',0.396,46.875,0.039,-
'[16:38:41.288]',0.400,46.875,0.020,-
'[16:38:41.296]',0.404,45.937,0.008,-
'[16:38:41.304]',0.400,45.000,0.004,-
'[16:38:41.312]',0.408,44.062,-,-
'[16:38:41.320]',0.420,43.125,-,-
'[16:38:41.328]',0.420,42.187,-,-
'[16:38:41.336]',0.420,42.187,-,-
'[16:38:41.344]',0.424,44.062,-,-
'[16:38:41.352]',0.435,45.000,-,-
'[16:38:41.360]',0.443,45.000,-,-
'[16:38:41.368]',0.455,44.062,-,-
'[16:38:41.376]',0.451,43.125,-,-
'[16:38:41.384]',0.451,43.125,-,-
'[16:38:41.392]',0.455,45.937,-,-
'[16:38:41.400]',0.467,49.687,-,-
'[16:38:41.408]',0.467,56.250,-,-
'[16:38:41.416]',0.467,63.750,-,-
'[16:38:41.424]',0.471,74.062,-,-
'[16:38:41.432]',0.471,84.375,-,-
'[16:38:41.440]',0.478,93.750,-,-
'[16:38:41.448]',0.478,101.250,-,-
'[16:38:41.456]',0.478,105.937,-,-
'[16:38:41.464]',0.478,107.812,-,-
'[16:38:41.472]',0.478,108.750,-,-
'[16:38:41.480]',0.471,109.687,-,-
'[16:38:41.488]',0.471,109.687,-,-
'[16:38:41.496]',0.471,109.687,-,-
'[16:38:41.504]',0.471,107.812,-,-
'[16:38:41.512]',0.467,105.000,-,-
'[16:38:41.520]',0.467,101.250,-,-
'[16:38:41.528]',0.467,98.437,-,-
'[16:38:41.536]',0.467,96.562,-,-
'[16:38:41.544]',0.467,95.625,-,-
'[16:38:41.552]',0.471,94.687,-,-
'[16:38:41.560]',0.475,92.812,-,-
'[16:38:41.568]',0.475,90.937,-,-
'[16:38:41.576]',0.475,89.062,-,-
'[16:38:41.584]',0.471,87.187,-,-
'[16:38:41.592]',0.471,85.312,-,-
'[16:38:41.600]',0.478,83.437,-,-
'[16:38:41.608]',0.478,81.562,-,-
'[16:38:41.616]',0.478,79.687,-,-
'[16:38:41.624]',0.490,77.812,-,-
'[16:38:41.632]',0.498,76.875,-,-
'[16:38:41.640]',0.510,75.000,-,-
'[16:38:41.648]',0.525,73.125,-,-
'[16:38:41.656]',0.529,70.312,-,-
'[16:38:41.664]',0.541,67.500,-,-
'[16:38:41.672]',0.549,64.687,-,-
'[16:38:41.680]',0.549,61.875,-,-
'[16:38:41.688]',0.529,60.000,-,-
'[16:38:41.696]',0.498,59.062,-,-
'[16:38:41.704]',0.459,59.062,-,-
'[16:38:41.712]',0.435,60.937,-,-
'[16:38:41.720]',0.420,61.875,-,-
'[16:38:41.728]',0.416,60.937,-,-
'[16:38:41.736]',0.416,59.062,-,-
'[16:38:41.744]',0.416,58.125,-,-
'[16:38:41.752]',0.420,58.125,-,-
'[16:38:41.760]',0.424,58.125,-,-
'[16:38:41.768]',0.424,56.250,-,-
'[16:38:41.776]',0.486,53.437,-,-
'[16:38:41.784]',0.635,50.625,-,-
'[16:38:41.792]',0.816,50.625,-,-
'[16:38:41.800]',0.890,54.375,-,-
'[16:38:41.808]',0.867,57.187,-,-
'[16:38:41.816]',0.816,58.125,0.012,-
'[16:38:41.824]',0.745,56.250,0.031,-
'[16:38:41.832]',0.655,54.375,0.055,-
'[16:38:41.840]',0.561,52.500,0.078,-
'[16:38:41.848]',0.490,52.500,0.102,-
'[16:38:41.856]',0.451,53.437,0.125,-
'[16:38:41.864]',0.435,55.312,0.145,-
'[16:38:41.872]',0.424,56.250,0.271,-
'[16:38:41.880]',0.424,56.250,0.439,-
'[16:38:41.888]',0.431,56.250,0.525,-
'[16:38:41.896]',0.435,56.250,0.569,-
'[16:38:41.904]',0.431,56.250,0.592,-
'[16:38:41.912]',0.431,56.250,0.604,-
'[16:38:41.920]',0.439,54.375,0.616,-
'[16:38:41.928]',0.443,52.500,0.620,-
'[16:38:41.936]',0.443,50.625,0.624,-
'[16:38:41.944]',0.451,49.687,0.627,-
'[16:38:41.952]',0.459,49.687,0.627,-
'[16:38:41.960]',0.459,50.625,0.631,-
'[16:38:41.968]',0.459,51.562,0.635,-
'[16:38:41.976]',0.467,52.500,0.635,-
'[16:38:41.984]',0.471,51.562,0.635,-
'[16:38:41.992]',0.475,50.625,0.639,-
'[16:38:42.000]',0.478,48.750,0.635,-
'[16:38:42.008]',0.486,47.812,0.635,-
'[16:38:42.016]',0.490,50.625,0.631,-
'[16:38:42.024]',0.490,55.312,0.631,-
'[16:38:42.032]',0.494,60.937,0.627,-
'[16:38:42.040]',0.498,67.500,0.624,-
'[16:38:42.048]',0.506,75.000,0.620,-
'[16:38:42.056]',0.510,82.500,0.620,-
'[16:38:42.064]',0.514,90.937,0.616,-
'[16:38:42.072]',0.510,98.437,0.616,-
'[16:38:42.080]',0.510,105.000,0.616,-
'[16:38:42.088]',0.510,107.812,0.616,-
'[16:38:42.096]',0.510,109.687,0.616,-
'[16:38:42.104]',0.506,110.625,0.616,-
'[16:38:42.112]',0.490,111.562,0.616,-
'[16:38:42.120]',0.467,110.625,0.616,-
'[16:38:42.128]',0.494,108.750,0.620,-
'[16:38:42.136]',0.525,106.875,0.620,-
'[16:38:42.144]',0.498,105.937,0.616,-
'[16:38:42.152]',0.471,105.937,0.616,-
'[16:38:42.160]',0.471,105.000,0.612,-
'[16:38:42.168]',0.475,104.062,0.612,-
'[16:38:42.176]',0.478,102.187,0.608,-
'[16:38:42.184]',0.475,100.312,0.604,-
'[16:38:42.192]',0.490,99.375,0.600,-
'[16:38:42.200]',0.498,97.500,0.596,-
'[16:38:42.208]',0.490,95.625,0.592,-
'[16:38:42.216]',0.490,94.687,0.588,-
'[16:38:42.224]',0.494,93.750,0.584,-
'[16:38:42.232]',0.486,92.812,0.580,-
'[16:38:42.240]',0.475,90.000,0.580,-
'[16:38:42.248]',0.471,87.187,0.576,-
'[16:38:42.256]',0.494,83.437,0.576,-
'[16:38:42.264]',0.522,80.625,0.576,-
'[16:38:42.272]',0.525,77.812,0.576,-
'[16:38:42.280]',0.529,74.062,0.576,-
'[16:38:42.288]',0.533,71.250,0.580,-
'[16:38:42.296]',0.545,68.437,0.580,-
'[16:38:42.304]',0.557,65.625,0.580,-
'[16:38:42.312]',0.545,62.812,0.580,-
'[16:38:42.320]',0.522,60.937,0.580,-
'[16:38:42.328]',0.471,58.125,0.580,-
'[16:38:42.336]',0.435,57.187,0.576,-
'[16:38:42.344]',0.424,56.250,0.576,-
'[16:38:42.352]',0.408,55.312,0.576,-
'[16:38:42.360]',0.404,55.312,0.576,-
'[16:38:42.368]',0.416,55.312,0.573,-
'[16:38:42.376]',0.431,54.375,0.573,-
'[16:38:42.384]',0.439,54.375,0.573,-
'[16:38:42.392]',0.400,54.375,0.573,-
'[16:38:42.400]',0.396,54.375,0.573,-
'[16:38:42.408]',0.549,54.375,0.573,-
'[16:38:42.416]',0.729,54.375,0.573,-
'[16:38:42.424]',0.847,54.375,0.573,-
'[16:38:42.432]',0.871,55.312,0.573,-
'[16:38:42.440]',0.839,56.250,0.576,-
'[16:38:42.448]',0.765,56.250,0.576,-
'[16:38:42.456]',0.659,55.312,0.580,-
'[16:38:42.464]',0.576,54.375,0.584,-
'[16:38:42.472]',0.506,53.437,0.588,-
'[16:38:42.480]',0.443,53.437,0.588,-
'[16:38:42.488]',0.420,52.500,0.592,-
'[16:38:42.496]',0.416,52.500,0.592,-
'[16:38:42.504]',0.404,52.500,0.596,-
'[16:38:42.512]',0.404,52.500,0.596,-
'[16:38:42.520]',0.408,52.500,0.592,-
'[16:38:42.528]',0.404,52.500,0.588,-
'[16:38:42.536]',0.420,51.562,0.584,-
'[16:38:42.544]',0.424,51.562,0.573,-
'[16:38:42.552]',0.404,50.625,0.561,-
'[16:38:42.560]',0.420,49.687,0.545,-
'[16:38:42.568]',0.431,49.687,0.525,-
'[16:38:42.576]',0.424,48.750,0.510,-
'[16:38:42.584]',0.416,47.812,0.494,-
'[16:38:42.592]',0.420,46.875,0.475,-
'[16:38:42.600]',0.439,46.875,0.455,-
'[16:38:42.608]',0.467,46.875,0.435,-
'[16:38:42.616]',0.443,46.875,0.412,-
'[16:38:42.624]',0.416,45.937,0.392,-
'[16:38:42.632]',0.431,46.875,0.373,-
'[16:38:42.640]',0.443,47.812,0.353,-
'[16:38:42.648]',0.459,50.625,0.337,-
'[16:38:42.656]',0.467,55.312,0.329,-
'[16:38:42.664]',0.475,61.875,0.325,-
'[16:38:42.672]',0.467,70.312,0.333,-
'[16:38:42.680]',0.443,78.750,0.353,-
'[16:38:42.688]',0.451,87.187,0.380,-
'[16:38:42.696]',0.459,94.687,0.420,-
'[16:38:42.704]',0.451,100.312,0.471,-
'[16:38:42.712]',0.451,105.000,0.522,-
'[16:38:42.720]',0.459,107.812,0.569,-
'[16:38:42.728]',0.443,108.750,0.612,-
'[16:38:42.736]',0.439,109.687,0.651,-
'[16:38:42.744]',0.451,109.687,0.682,-
'[16:38:42.752]',0.455,108.750,0.706,-
'[16:38:42.760]',0.443,107.812,0.725,-
'[16:38:42.768]',0.420,105.937,0.741,-
'[16:38:42.776]',0.439,104.062,0.749,-
'[16:38:42.784]',0.478,102.187,0.753,-
'[16:38:42.792]',0.490,101.250,0.757,-
'[16:38:42.800]',0.424,99.375,0.757,-
'[16:38:42.808]',0.408,97.500,0.753,-
'[16:38:42.816]',0.451,96.562,0.745,-
'[16:38:42.824]',0.455,95.625,0.737,-
'[16:38:42.832]',0.431,93.750,0.729,-
'[16:38:42.840]',0.455,92.812,0.718,-
'[16:38:42.848]',0.486,90.937,0.706,-
'[16:38:42.856]',0.439,89.062,0.690,-
'[16:38:42.864]',0.416,88.125,0.678,-
'[16:38:42.872]',0.420,86.250,0.663,-
'[16:38:42.880]',0.416,84.375,0.651,-
'[16:38:42.888]',0.455,81.562,0.631,-
'[16:38:42.896]',0.467,79.687,0.612,-
'[16:38:42.904]',0.439,76.875,0.592,-
'[16:38:42.912]',0.459,74.062,0.573,-
'[16:38:42.920]',0.478,71.250,0.553,-
'[16:38:42.928]',0.506,68.437,0.537,-
'[16:38:42.936]',0.478,66.562,0.525,-
'[16:38:42.944]',0.443,63.750,0.514,-
'[16:38:42.952]',0.435,62.812,0.510,-
'[16:38:42.960]',0.408,61.875,0.506,-
'[16:38:42.968]',0.361,60.937,0.506,-
'[16:38:42.976]',0.318,60.000,0.506,-
'[16:38:42.984]',0.341,60.000,0.510,-
'[16:38:42.992]',0.369,60.000,0.510,-
'[16:38:43.000]',0.373,60.000,0.510,-
'[16:38:43.008]',0.341,60.000,0.506,-
'[16:38:43.016]',0.318,60.000,0.498,-
'[16:38:43.024]',0.333,60.000,0.490,-
'[16:38:43.032]',0.424,60.000,0.482,-
'[16:38:43.040]',0.576,60.000,0.471,-
'[16:38:43.048]',0.741,60.000,0.463,-
'[16:38:43.056]',0.808,60.000,0.459,-
'[16:38:43.064]',0.761,59.062,0.459,-
'[16:38:43.072]',0.722,59.062,0.463,-
'[16:38:43.080]',0.694,59.062,0.467,-
'[16:38:43.088]',0.580,58.125,0.475,-
'[16:38:43.096]',0.420,58.125,0.482,-
'[16:38:43.104]',0.369,58.125,0.494,-
'[16:38:43.112]',0.404,57.187,0.502,-
'[16:38:43.120]',0.361,57.187,0.510,-
'[16:38:43.128]',0.318,57.187,0.514,-
'[16:38:43.136]',0.365,57.187,0.518,-
'[16:38:43.144]',0.345,56.250,0.518,-
'[16:38:43.152]',0.310,55.312,0.518,-
'[16:38:43.160]',0.318,54.375,0.514,-
'[16:38:43.168]',0.353,54.375,0.510,-
'[16:38:43.176]',0.369,54.375,0.506,-
'[16:38:43.184]',0.373,54.375,0.498,-
'[16:38:43.192]',0.365,54.375,0.494,-
'[16:38:43.200]',0.329,54.375,0.486,-
'[16:38:43.208]',0.314,53.437,0.482,-
'[16:38:43.216]',0.353,52.500,0.478,-
'[16:38:43.224]',0.361,51.562,0.471,-
'[16:38:43.232]',0.380,51.562,0.467,-
'[16:38:43.240]',0.388,50.625,0.467,-
'[16:38:43.248]',0.365,50.625,0.463,-
'[16:38:43.256]',0.369,49.687,0.463,-
'[16:38:43.264]',0.361,50.625,0.459,-
'[16:38:43.272]',0.353,52.500,0.459,-
'[16:38:43.280]',0.424,56.250,0.463,-
'[16:38:43.288]',0.486,61.875,0.463,-
'[16:38:43.296]',0.443,70.312,0.463,-
'[16:38:43.304]',0.396,79.687,0.463,-
'[16:38:43.312]',0.396,88.125,0.467,-
'[16:38:43.320]',0.400,95.625,0.467,-
'[16:38:43.328]',0.408,101.250,0.471,-
'[16:38:43.336]',0.435,105.000,0.475,-
'[16:38:43.344]',0.451,107.812,0.478,-
'[16:38:43.352]',0.439,109.687,0.478,-
'[16:38:43.360]',0.404,109.687,0.482,-
'[16:38:43.368]',0.388,109.687,0.486,-
'[16:38:43.376]',0.439,108.750,0.490,-
'[16:38:43.384]',0.451,106.875,0.494,-
'[16:38:43.392]',0.424,105.000,0.498,-
'[16:38:43.400]',0.435,103.125,0.498,-
'[16:38:43.408]',0.435,101.250,0.502,-
'[16:38:43.416]',0.424,99.375,0.502,-
'[16:38:43.424]',0.471,97.500,0.506,-
'[16:38:43.432]',0.478,96.562,0.506,-
'[16:38:43.440]',0.424,94.687,0.510,-
'[16:38:43.448]',0.408,93.750,0.514,-
'[16:38:43.456]',0.443,92.812,0.518,-
'[16:38:43.464]',0.455,90.937,0.518,-
'[16:38:43.472]',0.467,89.062,0.522,-
'[16:38:43.480]',0.494,87.187,0.522,-
'[16:38:43.488]',0.498,86.250,0.525,-
'[16:38:43.496]',0.475,85.312,0.525,-
'[16:38:43.504]',0.486,83.437,0.525,-
'[16:38:43.512]',0.533,81.562,0.525,-
'[16:38:43.520]',0.545,77.812,0.525,-
'[16:38:43.528]',0.557,75.000,0.525,-
'[16:38:43.536]',0.565,71.250,0.525,-
'[16:38:43.544]',0.561,68.437,0.529,-
'[16:38:43.552]',0.549,66.562,0.533,-
'[16:38:43.560]',0.545,64.687,0.537,-
'[16:38:43.568]',0.533,62.812,0.541,-
'[16:38:43.576]',0.514,61.875,0.545,-
'[16:38:43.584]',0.494,60.937,0.549,-
'[16:38:43.592]',0.455,60.000,0.553,-
'[16:38:43.600]',0.443,60.000,0.557,-
'[16:38:43.608]',0.467,60.000,0.561,-
'[16:38:43.616]',0.459,60.000,0.565,-
'[16:38:43.624]',0.443,60.000,0.569,-
'[16:38:43.632]',0.459,60.000,0.569,-
'[16:38:43.640]',0.478,60.000,0.573,-
'[16:38:43.648]',0.439,60.000,0.576,-
'[16:38:43.656]',0.478,60.000,0.580,-
'[16:38:43.664]',0.635,60.937,0.584,-
'[16:38:43.672]',0.796,60.000,0.588,-
'[16:38:43.680]',0.902,60.000,0.592,-
'[16:38:43.688]',0.922,59.062,0.596,-
'[16:38:43.696]',0.851,59.062,0.604,-
'[16:38:43.704]',0.757,59.062,0.612,-
'[16:38:43.712]',0.702,59.062,0.624,-
'[16:38:43.720]',0.596,59.062,0.631,-
'[16:38:43.728]',0.467,58.125,0.639,-
'[16:38:43.736]',0.451,58.125,0.647,-
'[16:38:43.744]',0.467,58.125,0.655,-
'[16:38:43.752]',0.400,57.187,0.663,-
'[16:38:43.760]',0.404,56.250,0.667,-
'[16:38:43.768]',0.435,56.250,0.667,-
'[16:38:43.776]',0.443,55.312,0.671,-
'[16:38:43.784]',0.408,55.312,0.671,-
'[16:38:43.792]',0.396,54.375,0.671,-
'[16:38:43.800]',0.431,53.437,0.671,-
'[16:38:43.808]',0.439,53.437,0.671,-
'[16:38:43.816]',0.388,52.500,0.667,-
'[16:38:43.824]',0.369,52.500,0.667,-
'[16:38:43.832]',0.400,52.500,0.663,-
'[16:38:43.840]',0.451,52.500,0.659,-
'[16:38:43.848]',0.475,51.562,0.655,-
'[16:38:43.856]',0.420,51.562,0.651,-
'[16:38:43.864]',0.396,50.625,0.647,-
'[16:38:43.872]',0.408,50.625,0.643,-
'[16:38:43.880]',0.431,51.562,0.639,-
'[16:38:43.888]',0.435,52.500,0.631,-
'[16:38:43.896]',0.384,53.437,0.624,-
'[16:38:43.904]',0.361,55.312,0.616,-
'[16:38:43.912]',0.396,59.062,0.612,-
'[16:38:43.920]',0.424,65.625,0.596,-
'[16:38:43.928]',0.396,75.000,0.580,-
'[16:38:43.936]',0.400,84.375,0.573,-
'[16:38:43.944]',0.408,91.875,0.573,-
'[16:38:43.952]',0.400,97.500,0.576,-
'[16:38:43.960]',0.416,102.187,0.588,-
'[16:38:43.968]',0.388,105.000,0.596,-
'[16:38:43.976]',0.384,106.875,0.608,-
'[16:38:43.984]',0.404,107.812,0.624,-
'[16:38:43.992]',0.384,107.812,0.639,-
'[16:38:44.000]',0.369,105.937,0.655,-
'[16:38:44.008]',0.373,104.062,0.667,-
'[16:38:44.016]',0.384,102.187,0.678,-
'[16:38:44.024]',0.400,100.312,0.690,-
'[16:38:44.032]',0.388,98.437,0.702,-
'[16:38:44.040]',0.369,96.562,0.710,-
'[16:38:44.048]',0.365,95.625,0.718,-
'[16:38:44.056]',0.345,93.750,0.725,-
'[16:38:44.064]',0.365,91.875,0.733,-
'[16:38:44.072]',0.408,90.937,0.741,-
'[16:38:44.080]',0.443,89.062,0.745,-
'[16:38:44.088]',0.451,87.187,0.749,-
'[16:38:44.096]',0.365,86.250,0.753,-
'[16:38:44.104]',0.384,84.375,0.757,-
'[16:38:44.112]',0.435,82.500,0.757,-
'[16:38:44.120]',0.439,80.625,0.753,-
'[16:38:44.128]',0.416,78.750,0.749,-
'[16:38:44.136]',0.471,76.875,0.745,-
'[16:38:44.144]',0.486,74.062,0.737,-
'[16:38:44.152]',0.475,71.250,0.729,-
'[16:38:44.160]',0.533,68.437,0.718,-
'[16:38:44.168]',0.522,66.562,0.710,-
'[16:38:44.176]',0.510,64.687,0.702,-
'[16:38:44.184]',0.545,64.687,0.694,-
'[16:38:44.192]',0.545,63.750,0.686,-
'[16:38:44.200]',0.545,63.750,0.678,-
'[16:38:44.208]',0.494,62.812,0.671,-
'[16:38:44.216]',0.439,61.875,0.663,-
'[16:38:44.224]',0.420,61.875,0.655,-
'[16:38:44.232]',0.416,61.875,0.647,-
'[16:38:44.240]',0.439,60.937,0.643,-
'[16:38:44.248]',0.498,60.937,0.635,-
'[16:38:44.256]',0.529,60.937,0.627,-
'[16:38:44.264]',0.486,60.937,0.624,-
'[16:38:44.272]',0.431,61.875,0.620,-
'[16:38:44.280]',0.490,61.875,0.620,-
'[16:38:44.288]',0.616,61.875,0.616,-
'[16:38:44.296]',0.780,60.937,0.616,-
'[16:38:44.304]',0.910,60.937,0.616,-
'[16:38:44.312]',0.945,60.937,0.616,-
'[16:38:44.320]',0.922,60.000,0.616,-
'[16:38:44.328]',0.875,60.000,0.616,-
'[16:38:44.336]',0.780,59.062,0.616,-
'[16:38:44.344]',0.647,59.062,0.616,-
'[16:38:44.352]',0.580,58.125,0.612,-
'[16:38:44.360]',0.545,58.125,0.612,-
'[16:38:44.368]',0.494,57.187,0.612,-
'[16:38:44.376]',0.490,57.187,0.612,-
'[16:38:44.384]',0.475,56.250,0.608,-
'[16:38:44.392]',0.459,56.250,0.608,-
'[16:38:44.400]',0.478,55.312,0.604,-
'[16:38:44.408]',0.490,55.312,0.600,-
'[16:38:44.416]',0.475,54.375,0.600,-
'[16:38:44.424]',0.467,53.437,0.596,-
'[16:38:44.432]',0.475,53.437,0.592,-
'[16:38:44.440]',0.498,53.437,0.588,-
'[16:38:44.448]',0.506,52.500,0.584,-
'[16:38:44.456]',0.486,52.500,0.580,-
'[16:38:44.464]',0.510,52.500,0.576,-
'[16:38:44.472]',0.498,52.500,0.576,-
'[16:38:44.480]',0.486,52.500,0.573,-
'[16:38:44.488]',0.498,51.562,0.569,-
