'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP'
'[16:10:51.624]',-,0.530,-,0.480,0.380,-,-,0.459,-
'[16:10:51.632]',-,0.550,-,0.471,0.394,-,-,0.470,-
'[16:10:51.640]',-,0.560,-,0.471,0.404,-,-,0.480,-
'[16:10:51.648]',-,0.560,-,0.471,0.410,-,-,0.488,-
'[16:10:51.656]',-,0.575,-,0.454,0.400,-,-,0.494,-
'[16:10:51.664]',-,0.575,-,0.449,0.390,-,-,0.500,-
'[16:10:51.672]',-,0.560,-,0.461,0.375,-,-,0.505,-
'[16:10:51.680]',-,0.555,-,0.461,0.365,-,-,0.511,-
'[16:10:51.688]',-,0.545,-,0.466,0.359,-,-,0.515,-
'[16:10:51.696]',-,0.535,-,0.471,0.365,-,-,0.518,-
'[16:10:51.704]',-,0.535,-,0.466,0.375,-,-,0.520,-
'[16:10:51.712]',-,0.500,-,0.495,0.371,-,-,0.520,-
'[16:10:51.720]',-,0.470,-,0.520,0.355,-,-,0.519,-
'[16:10:51.728]',-,0.465,-,0.524,0.349,-,-,0.517,-
'[16:10:51.736]',-,0.465,-,0.529,0.349,-,-,0.513,-
'[16:10:51.744]',-,0.470,-,0.524,0.349,-,-,0.509,-
'[16:10:51.752]',-,0.480,-,0.515,0.349,-,-,0.503,-
'[16:10:51.760]',-,0.490,-,0.500,0.355,-,-,0.527,-
'[16:10:51.768]',-,0.500,-,0.490,0.371,-,-,0.563,-
'[16:10:51.776]',-,0.485,-,0.505,0.375,-,-,0.575,-
'[16:10:51.784]',-,0.445,-,0.546,0.365,-,-,0.574,-
'[16:10:51.792]',-,0.495,-,0.551,0.335,-,-,0.567,-
'[16:10:51.800]',-,0.701,-,0.405,0.290,-,-,0.557,-
'[16:10:51.808]',-,0.890,-,0.285,0.255,-,-,0.546,-
'[16:10:51.816]',-,0.775,-,0.360,0.265,-,-,0.536,-
'[16:10:51.824]',-,0.415,-,0.590,0.314,-,-,0.525,-
'[16:10:51.832]',-,0.159,-,0.740,0.404,-,-,0.514,-
'[16:10:51.840]',-,0.124,-,0.760,0.535,-,-,0.504,-
'[16:10:51.848]',-,0.175,-,0.730,0.655,-,-,0.496,-
'[16:10:51.856]',-,0.230,-,0.695,0.716,-,-,0.489,-
'[16:10:51.864]',-,0.275,-,0.670,0.661,-,-,0.481,-
'[16:10:51.872]',-,0.325,-,0.640,0.484,-,-,0.474,-
'[16:10:51.880]',-,0.400,-,0.575,0.359,-,-,0.467,-
'[16:10:51.888]',-,0.450,-,0.524,0.329,-,-,0.459,-
'[16:10:51.896]',-,0.465,-,0.520,0.320,-,-,0.453,-
'[16:10:51.904]',-,0.470,-,0.510,0.314,-,-,0.445,-
'[16:10:51.912]',-,0.495,-,0.495,0.314,-,-,0.438,-
'[16:10:51.920]',-,0.510,-,0.485,0.314,-,-,0.430,-
'[16:10:51.928]',-,0.500,-,0.490,0.310,-,-,0.423,-
'[16:10:51.936]',-,0.495,-,0.495,0.310,-,-,0.416,-
'[16:10:51.944]',-,0.505,-,0.485,0.310,-,-,0.411,-
'[16:10:51.952]',-,0.515,-,0.471,0.314,-,-,0.406,-
'[16:10:51.960]',-,0.510,-,0.476,0.314,-,-,0.402,-
'[16:10:51.968]',-,0.500,-,0.490,0.310,-,-,0.398,-
'[16:10:51.976]',-,0.510,-,0.476,0.310,-,-,0.393,-
'[16:10:51.984]',-,0.520,-,0.471,0.310,-,-,0.388,-
'[16:10:51.992]',-,0.525,-,0.461,0.310,-,-,0.382,-
'[16:10:52.000]',-,0.515,-,0.471,0.304,-,-,0.376,-
'[16:10:52.008]',-,0.485,-,0.505,0.300,-,-,0.370,-
'[16:10:52.016]',-,0.480,-,0.510,0.300,-,-,0.366,-
'[16:10:52.024]',-,0.515,-,0.476,0.310,-,-,0.361,-
'[16:10:52.032]',-,0.520,-,0.471,0.304,-,-,0.357,-
'[16:10:52.040]',-,0.490,-,0.490,0.290,-,-,0.352,-
'[16:10:52.048]',-,0.485,-,0.500,0.290,-,-,0.349,-
'[16:10:52.056]',-,0.480,-,0.495,0.290,-,-,0.346,-
'[16:10:52.064]',-,0.465,-,0.515,0.290,-,-,0.343,-
'[16:10:52.072]',-,0.465,-,0.520,0.290,-,-,0.339,-
'[16:10:52.080]',-,0.475,-,0.510,0.290,-,-,0.336,-
'[16:10:52.088]',-,0.445,-,0.529,0.275,-,-,0.333,-
'[16:10:52.096]',-,0.410,-,0.570,0.265,-,-,0.331,-
'[16:10:52.104]',-,0.400,-,0.580,0.265,-,-,0.329,-
'[16:10:52.112]',-,0.410,-,0.570,0.269,-,-,0.328,-
'[16:10:52.120]',-,0.415,-,0.566,0.269,-,-,0.326,-
'[16:10:52.128]',-,0.415,-,0.566,0.269,-,-,0.326,-
'[16:10:52.136]',-,0.440,-,0.551,0.278,-,-,0.325,-
'[16:10:52.144]',-,0.470,-,0.529,0.294,-,-,0.323,-
'[16:10:52.152]',-,0.480,-,0.520,0.320,-,-,0.323,-
'[16:10:52.160]',-,0.485,-,0.520,0.335,-,-,0.323,-
'[16:10:52.168]',-,0.480,-,0.520,0.339,-,-,0.322,-
'[16:10:52.176]',-,0.505,-,0.495,0.349,-,-,0.321,-
'[16:10:52.184]',-,0.535,-,0.471,0.365,-,-,0.319,-
'[16:10:52.192]',-,0.540,-,0.471,0.375,-,-,0.317,-
'[16:10:52.200]',-,0.540,-,0.471,0.375,-,-,0.316,-
'[16:10:52.208]',-,0.540,-,0.471,0.375,-,-,0.314,-
'[16:10:52.216]',-,0.540,-,0.476,0.375,-,-,0.313,-
'[16:10:52.224]',-,0.550,-,0.471,0.375,-,-,0.312,-
'[16:10:52.232]',-,0.560,-,0.454,0.375,-,-,0.311,-
'[16:10:52.240]',-,0.565,-,0.454,0.375,-,-,0.310,-
'[16:10:52.248]',-,0.565,-,0.449,0.375,-,-,0.310,-
'[16:10:52.256]',-,0.575,-,0.439,0.380,-,-,0.311,-
'[16:10:52.264]',-,0.560,-,0.444,0.375,-,-,0.310,-
'[16:10:52.272]',-,0.535,-,0.471,0.365,-,-,0.308,-
'[16:10:52.280]',-,0.530,-,0.480,0.359,-,-,0.307,-
'[16:10:52.288]',-,0.530,-,0.490,0.359,-,-,0.306,-
'[16:10:52.296]',-,0.535,-,0.476,0.365,-,-,0.306,-
'[16:10:52.304]',-,0.555,-,0.449,0.375,-,-,0.308,-
'[16:10:52.312]',-,0.560,-,0.444,0.380,-,-,0.312,-
'[16:10:52.320]',-,0.560,-,0.449,0.380,-,-,0.321,-
'[16:10:52.328]',-,0.555,-,0.449,0.380,-,-,0.333,-
'[16:10:52.336]',-,0.555,-,0.449,0.375,-,-,0.351,-
'[16:10:52.344]',-,0.540,-,0.449,0.375,-,-,0.372,-
'[16:10:52.352]',-,0.520,-,0.480,0.375,-,-,0.394,-
'[16:10:52.360]',-,0.495,-,0.500,0.365,-,-,0.414,-
'[16:10:52.368]',-,0.485,-,0.510,0.355,-,-,0.437,-
'[16:10:52.376]',-,0.480,-,0.510,0.355,-,-,0.460,-
'[16:10:52.384]',-,0.510,-,0.490,0.359,-,-,0.483,-
'[16:10:52.392]',-,0.530,-,0.454,0.371,-,-,0.503,-
'[16:10:52.400]',-,0.535,-,0.449,0.371,-,-,0.522,-
'[16:10:52.408]',-,0.530,-,0.454,0.371,-,-,0.540,-
'[16:10:52.416]',-,0.525,-,0.471,0.371,-,-,0.555,-
'[16:10:52.424]',-,0.515,-,0.485,0.375,-,-,0.570,-
'[16:10:52.432]',-,0.515,-,0.490,0.380,-,-,0.582,-
'[16:10:52.440]',-,0.530,-,0.476,0.384,-,-,0.591,-
'[16:10:52.448]',-,0.555,-,0.449,0.384,-,-,0.599,-
'[16:10:52.456]',-,0.580,-,0.425,0.384,-,-,0.605,-
'[16:10:52.464]',-,0.595,-,0.410,0.380,-,-,0.610,-
'[16:10:52.472]',-,0.585,-,0.410,0.365,-,-,0.616,-
'[16:10:52.480]',-,0.560,-,0.434,0.349,-,-,0.620,-
'[16:10:52.488]',-,0.515,-,0.476,0.345,-,-,0.624,-
'[16:10:52.496]',-,0.500,-,0.490,0.339,-,-,0.625,-
'[16:10:52.504]',-,0.510,-,0.476,0.345,-,-,0.625,-
'[16:10:52.512]',-,0.515,-,0.471,0.349,-,-,0.624,-
'[16:10:52.520]',-,0.500,-,0.476,0.349,-,-,0.620,-
'[16:10:52.528]',-,0.490,-,0.495,0.345,-,-,0.616,-
'[16:10:52.536]',-,0.470,-,0.515,0.335,-,-,0.609,-
'[16:10:52.544]',-,0.455,-,0.524,0.335,-,-,0.602,-
'[16:10:52.552]',-,0.455,-,0.520,0.335,-,-,0.594,-
'[16:10:52.560]',-,0.470,-,0.510,0.335,-,-,0.587,-
'[16:10:52.568]',-,0.475,-,0.500,0.345,-,-,0.578,-
'[16:10:52.576]',-,0.480,-,0.495,0.359,-,-,0.566,-
'[16:10:52.584]',-,0.515,-,0.476,0.365,-,-,0.553,-
'[16:10:52.592]',-,0.630,-,0.420,0.304,-,-,0.540,-
'[16:10:52.600]',-,0.800,-,0.320,0.259,-,-,0.525,-
'[16:10:52.608]',-,0.845,-,0.295,0.249,-,-,0.511,-
'[16:10:52.616]',-,0.535,-,0.495,0.290,-,-,0.499,-
'[16:10:52.624]',-,0.240,-,0.690,0.355,-,-,0.486,-
'[16:10:52.632]',-,0.140,-,0.740,0.455,-,-,0.475,-
'[16:10:52.640]',-,0.180,-,0.715,0.580,-,-,0.465,-
'[16:10:52.648]',-,0.235,-,0.685,0.655,-,-,0.458,-
'[16:10:52.656]',-,0.270,-,0.665,0.665,-,-,0.452,-
'[16:10:52.664]',-,0.305,-,0.640,0.516,-,-,0.445,-
'[16:10:52.672]',-,0.380,-,0.585,0.365,-,-,0.439,-
'[16:10:52.680]',-,0.455,-,0.520,0.304,-,-,0.433,-
'[16:10:52.688]',-,0.475,-,0.505,0.290,-,-,0.427,-
'[16:10:52.696]',-,0.485,-,0.490,0.290,-,-,0.421,-
'[16:10:52.704]',-,0.520,-,0.454,0.290,-,-,0.416,-
'[16:10:52.712]',-,0.530,-,0.444,0.294,-,-,0.411,-
'[16:10:52.720]',-,0.485,-,0.495,0.278,-,-,0.406,-
'[16:10:52.728]',-,0.475,-,0.505,0.278,-,-,0.401,-
'[16:10:52.736]',-,0.520,-,0.466,0.294,-,-,0.396,-
'[16:10:52.744]',-,0.525,-,0.461,0.300,-,-,0.392,-
'[16:10:52.752]',-,0.500,-,0.490,0.290,-,-,0.389,-
'[16:10:52.760]',-,0.505,-,0.476,0.290,-,-,0.385,-
'[16:10:52.768]',-,0.520,-,0.461,0.290,-,-,0.381,-
'[16:10:52.776]',-,0.510,-,0.466,0.290,-,-,0.377,-
'[16:10:52.784]',-,0.505,-,0.476,0.290,-,-,0.373,-
'[16:10:52.792]',-,0.510,-,0.471,0.290,-,-,0.370,-
'[16:10:52.800]',-,0.515,-,0.471,0.284,-,-,0.366,-
'[16:10:52.808]',-,0.505,-,0.471,0.284,-,-,0.363,-
'[16:10:52.816]',-,0.505,-,0.476,0.284,-,-,0.359,-
'[16:10:52.824]',-,0.510,-,0.471,0.284,-,-,0.355,-
'[16:10:52.832]',-,0.515,-,0.471,0.278,-,-,0.351,-
'[16:10:52.840]',-,0.495,-,0.480,0.275,-,-,0.348,-
'[16:10:52.848]',-,0.490,-,0.490,0.269,-,-,0.345,-
'[16:10:52.856]',-,0.490,-,0.490,0.265,-,-,0.343,-
'[16:10:52.864]',-,0.465,-,0.510,0.259,-,-,0.340,-
'[16:10:52.872]',-,0.435,-,0.534,0.249,-,-,0.336,-
'[16:10:52.880]',-,0.435,-,0.524,0.249,-,-,0.332,-
'[16:10:52.888]',-,0.445,-,0.524,0.249,-,-,0.328,-
'[16:10:52.896]',-,0.430,-,0.551,0.249,-,-,0.325,-
'[16:10:52.904]',-,0.420,-,0.561,0.249,-,-,0.321,-
'[16:10:52.912]',-,0.415,-,0.561,0.249,-,-,0.318,-
'[16:10:52.920]',-,0.415,-,0.556,0.249,-,-,0.316,-
'[16:10:52.928]',-,0.440,-,0.534,0.259,-,-,0.314,-
'[16:10:52.936]',-,0.460,-,0.520,0.275,-,-,0.312,-
'[16:10:52.944]',-,0.475,-,0.515,0.290,-,-,0.312,-
'[16:10:52.952]',-,0.495,-,0.495,0.304,-,-,0.312,-
'[16:10:52.960]',-,0.515,-,0.480,0.324,-,-,0.311,-
'[16:10:52.968]',-,0.520,-,0.476,0.345,-,-,0.309,-
'[16:10:52.976]',-,0.525,-,0.471,0.355,-,-,0.307,-
'[16:10:52.984]',-,0.530,-,0.461,0.365,-,-,0.305,-
'[16:10:52.992]',-,0.540,-,0.449,0.365,-,-,0.303,-
'[16:10:53.000]',-,0.535,-,0.454,0.371,-,-,0.301,-
'[16:10:53.008]',-,0.515,-,0.476,0.355,-,-,0.300,-
'[16:10:53.016]',-,0.520,-,0.480,0.359,-,-,0.298,-
'[16:10:53.024]',-,0.560,-,0.439,0.371,-,-,0.297,-
'[16:10:53.032]',-,0.570,-,0.425,0.375,-,-,0.297,-
'[16:10:53.040]',-,0.535,-,0.449,0.359,-,-,0.296,-
'[16:10:53.048]',-,0.525,-,0.466,0.355,-,-,0.296,-
'[16:10:53.056]',-,0.535,-,0.454,0.359,-,-,0.297,-
'[16:10:53.064]',-,0.545,-,0.449,0.365,-,-,0.296,-
'[16:10:53.072]',-,0.550,-,0.444,0.371,-,-,0.296,-
'[16:10:53.080]',-,0.545,-,0.449,0.371,-,-,0.295,-
'[16:10:53.088]',-,0.540,-,0.461,0.371,-,-,0.295,-
'[16:10:53.096]',-,0.545,-,0.444,0.371,-,-,0.296,-
'[16:10:53.104]',-,0.550,-,0.439,0.371,-,-,0.300,-
'[16:10:53.112]',-,0.535,-,0.449,0.365,-,-,0.307,-
'[16:10:53.120]',-,0.520,-,0.466,0.359,-,-,0.318,-
'[16:10:53.128]',-,0.515,-,0.476,0.355,-,-,0.333,-
'[16:10:53.136]',-,0.525,-,0.471,0.359,-,-,0.352,-
'[16:10:53.144]',-,0.535,-,0.454,0.359,-,-,0.370,-
'[16:10:53.152]',-,0.545,-,0.444,0.365,-,-,0.390,-
'[16:10:53.160]',-,0.555,-,0.439,0.365,-,-,0.413,-
'[16:10:53.168]',-,0.550,-,0.434,0.365,-,-,0.436,-
'[16:10:53.176]',-,0.530,-,0.449,0.359,-,-,0.458,-
'[16:10:53.184]',-,0.510,-,0.476,0.355,-,-,0.480,-
'[16:10:53.192]',-,0.515,-,0.480,0.355,-,-,0.500,-
'[16:10:53.200]',-,0.535,-,0.461,0.355,-,-,0.517,-
'[16:10:53.208]',-,0.530,-,0.466,0.359,-,-,0.534,-
'[16:10:53.216]',-,0.520,-,0.480,0.365,-,-,0.547,-
'[16:10:53.224]',-,0.520,-,0.490,0.371,-,-,0.559,-
'[16:10:53.232]',-,0.535,-,0.471,0.380,-,-,0.570,-
'[16:10:53.240]',-,0.580,-,0.430,0.390,-,-,0.580,-
'[16:10:53.248]',-,0.605,-,0.405,0.384,-,-,0.587,-
'[16:10:53.256]',-,0.600,-,0.415,0.371,-,-,0.594,-
'[16:10:53.264]',-,0.590,-,0.420,0.359,-,-,0.599,-
'[16:10:53.272]',-,0.575,-,0.425,0.349,-,-,0.604,-
'[16:10:53.280]',-,0.560,-,0.430,0.345,-,-,0.608,-
'[16:10:53.288]',-,0.545,-,0.439,0.339,-,-,0.610,-
'[16:10:53.296]',-,0.515,-,0.471,0.339,-,-,0.611,-
'[16:10:53.304]',-,0.485,-,0.495,0.339,-,-,0.609,-
'[16:10:53.312]',-,0.480,-,0.500,0.339,-,-,0.606,-
'[16:10:53.320]',-,0.490,-,0.490,0.335,-,-,0.602,-
'[16:10:53.328]',-,0.495,-,0.495,0.329,-,-,0.595,-
'[16:10:53.336]',-,0.475,-,0.510,0.324,-,-,0.588,-
'[16:10:53.344]',-,0.470,-,0.515,0.320,-,-,0.581,-
'[16:10:53.352]',-,0.465,-,0.520,0.324,-,-,0.573,-
'[16:10:53.360]',-,0.475,-,0.510,0.329,-,-,0.564,-
'[16:10:53.368]',-,0.490,-,0.490,0.345,-,-,0.554,-
'[16:10:53.376]',-,0.500,-,0.480,0.345,-,-,0.543,-
'[16:10:53.384]',-,0.590,-,0.434,0.310,-,-,0.530,-
'[16:10:53.392]',-,0.760,-,0.335,0.255,-,-,0.517,-
'[16:10:53.400]',-,0.850,-,0.285,0.233,-,-,0.504,-
'[16:10:53.408]',-,0.656,-,0.420,0.265,-,-,0.493,-
'[16:10:53.416]',-,0.335,-,0.624,0.324,-,-,0.481,-
'[16:10:53.424]',-,0.175,-,0.725,0.420,-,-,0.470,-
'[16:10:53.432]',-,0.159,-,0.735,0.539,-,-,0.461,-
'[16:10:53.440]',-,0.230,-,0.685,0.629,-,-,0.455,-
'[16:10:53.448]',-,0.254,-,0.670,0.655,-,-,0.449,-
'[16:10:53.456]',-,0.290,-,0.651,0.561,-,-,0.443,-
'[16:10:53.464]',-,0.365,-,0.600,0.400,-,-,0.438,-
'[16:10:53.472]',-,0.445,-,0.534,0.314,-,-,0.432,-
'[16:10:53.480]',-,0.475,-,0.510,0.284,-,-,0.427,-
'[16:10:53.488]',-,0.475,-,0.510,0.275,-,-,0.422,-
'[16:10:53.496]',-,0.485,-,0.500,0.269,-,-,0.418,-
'[16:10:53.504]',-,0.510,-,0.476,0.278,-,-,0.413,-
'[16:10:53.512]',-,0.530,-,0.454,0.284,-,-,0.410,-
'[16:10:53.520]',-,0.540,-,0.449,0.284,-,-,0.405,-
'[16:10:53.528]',-,0.540,-,0.449,0.284,-,-,0.401,-
'[16:10:53.536]',-,0.540,-,0.444,0.290,-,-,0.397,-
'[16:10:53.544]',-,0.550,-,0.434,0.290,-,-,0.395,-
'[16:10:53.552]',-,0.560,-,0.434,0.294,-,-,0.392,-
'[16:10:53.560]',-,0.530,-,0.461,0.284,-,-,0.389,-
'[16:10:53.568]',-,0.515,-,0.476,0.284,-,-,0.386,-
'[16:10:53.576]',-,0.515,-,0.476,0.278,-,-,0.382,-
'[16:10:53.584]',-,0.500,-,0.485,0.278,-,-,0.379,-
'[16:10:53.592]',-,0.490,-,0.495,0.275,-,-,0.375,-
'[16:10:53.600]',-,0.490,-,0.495,0.275,-,-,0.372,-
'[16:10:53.608]',-,0.490,-,0.495,0.278,-,-,0.370,-
'[16:10:53.616]',-,0.495,-,0.490,0.275,-,-,0.367,-
'[16:10:53.624]',-,0.500,-,0.485,0.275,-,-,0.364,-
'[16:10:53.632]',-,0.510,-,0.490,0.278,-,-,0.361,-
'[16:10:53.640]',-,0.530,-,0.444,0.284,-,-,0.359,-
'[16:10:53.648]',-,0.540,-,0.434,0.278,-,-,0.357,-
'[16:10:53.656]',-,0.505,-,0.466,0.265,-,-,0.356,-
'[16:10:53.664]',-,0.465,-,0.505,0.245,-,-,0.353,-
'[16:10:53.672]',-,0.445,-,0.520,0.245,-,-,0.351,-
'[16:10:53.680]',-,0.435,-,0.539,0.239,-,-,0.348,-
'[16:10:53.688]',-,0.415,-,0.561,0.239,-,-,0.346,-
'[16:10:53.696]',-,0.405,-,0.580,0.233,-,-,0.343,-
'[16:10:53.704]',-,0.410,-,0.570,0.233,-,-,0.342,-
'[16:10:53.712]',-,0.425,-,0.551,0.239,-,-,0.340,-
'[16:10:53.720]',-,0.430,-,0.539,0.245,-,-,0.338,-
'[16:10:53.728]',-,0.445,-,0.534,0.255,-,-,0.337,-
'[16:10:53.736]',-,0.470,-,0.515,0.269,-,-,0.335,-
'[16:10:53.744]',-,0.490,-,0.495,0.294,-,-,0.335,-
'[16:10:53.752]',-,0.505,-,0.485,0.320,-,-,0.334,-
'[16:10:53.760]',-,0.535,-,0.461,0.339,-,-,0.333,-
'[16:10:53.768]',-,0.555,-,0.444,0.355,-,-,0.331,-
'[16:10:53.776]',-,0.545,-,0.449,0.355,-,-,0.330,-
'[16:10:53.784]',-,0.530,-,0.461,0.349,-,-,0.329,-
'[16:10:53.792]',-,0.520,-,0.471,0.345,-,-,0.328,-
'[16:10:53.800]',-,0.520,-,0.471,0.345,-,-,0.327,-
'[16:10:53.808]',-,0.530,-,0.466,0.345,-,-,0.319,-
'[16:10:53.816]',-,0.540,-,0.461,0.355,-,-,0.306,-
'[16:10:53.824]',-,0.570,-,0.430,0.365,-,-,0.299,-
'[16:10:53.832]',-,0.600,-,0.390,0.375,-,-,0.294,-
'[16:10:53.840]',-,0.605,-,0.400,0.380,-,-,0.290,-
'[16:10:53.848]',-,0.540,-,0.449,0.349,-,-,0.288,-
'[16:10:53.856]',-,0.520,-,0.471,0.339,-,-,0.287,-
'[16:10:53.864]',-,0.530,-,0.476,0.339,-,-,0.285,-
'[16:10:53.872]',-,0.540,-,0.454,0.345,-,-,0.283,-
'[16:10:53.880]',-,0.560,-,0.439,0.349,-,-,0.281,-
'[16:10:53.888]',-,0.565,-,0.434,0.355,-,-,0.280,-
'[16:10:53.896]',-,0.555,-,0.444,0.345,-,-,0.281,-
'[16:10:53.904]',-,0.550,-,0.444,0.345,-,-,0.288,-
'[16:10:53.912]',-,0.555,-,0.444,0.355,-,-,0.302,-
'[16:10:53.920]',-,0.550,-,0.444,0.355,-,-,0.324,-
'[16:10:53.928]',-,0.545,-,0.449,0.345,-,-,0.352,-
'[16:10:53.936]',-,0.545,-,0.449,0.345,-,-,0.386,-
'[16:10:53.944]',-,0.540,-,0.449,0.345,-,-,0.419,-
'[16:10:53.952]',-,0.530,-,0.466,0.345,-,-,0.452,-
'[16:10:53.960]',-,0.525,-,0.471,0.345,-,-,0.487,-
'[16:10:53.968]',-,0.550,-,0.439,0.355,-,-,0.522,-
'[16:10:53.976]',-,0.555,-,0.434,0.355,-,-,0.555,-
'[16:10:53.984]',-,0.510,-,0.480,0.349,-,-,0.585,-
'[16:10:53.992]',-,0.515,-,0.485,0.349,-,-,0.612,-
'[16:10:54.000]',-,0.540,-,0.449,0.365,-,-,0.636,-
'[16:10:54.008]',-,0.545,-,0.454,0.371,-,-,0.657,-
'[16:10:54.016]',-,0.540,-,0.461,0.371,-,-,0.674,-
'[16:10:54.024]',-,0.545,-,0.454,0.375,-,-,0.690,-
'[16:10:54.032]',-,0.570,-,0.434,0.380,-,-,0.703,-
'[16:10:54.040]',-,0.590,-,0.425,0.375,-,-,0.715,-
'[16:10:54.048]',-,0.580,-,0.430,0.365,-,-,0.722,-
'[16:10:54.056]',-,0.575,-,0.430,0.355,-,-,0.728,-
'[16:10:54.064]',-,0.570,-,0.430,0.349,-,-,0.734,-
'[16:10:54.072]',-,0.550,-,0.439,0.345,-,-,0.738,-
'[16:10:54.080]',-,0.515,-,0.466,0.345,-,-,0.740,-
'[16:10:54.088]',-,0.485,-,0.490,0.335,-,-,0.740,-
'[16:10:54.096]',-,0.480,-,0.500,0.335,-,-,0.738,-
