"'Time','I','II','III','V','RESP','PLETH','ABP'"
"'[19:18:25.188]',-,-,-,-,-,-,-"
"'[19:18:25.196]',-,-,-,-,-,-,-"
"'[19:18:25.204]',-,-,-,-,-,-,-"
"'[19:18:25.212]',-,-,-,-,-,-,-"
"'[19:18:25.220]',-,-,-,-,-,-,-"
"'[19:18:25.228]',-,-,-,-,-,-,-"
"'[19:18:25.236]',-,-,-,-,-,-,-"
"'[19:18:25.244]',-,-,-,-,-,-,-"
"'[19:18:25.252]',-,-,-,-,-,-,-"
"'[19:18:25.260]',-,-,-,-,-,-,-"
"'[19:18:25.268]',-,-,-,-,-,-,-"
"'[19:18:25.276]',-,-,-,-,-,-,-"
"'[19:18:25.284]',-,-,-,-,-,-,-"
"'[19:18:25.292]',-,-,-,-,-,-,-"
"'[19:18:25.300]',-,-,-,-,-,-,-"
"'[19:18:25.308]',-,-,-,-,-,-,-"
"'[19:18:25.316]',-,-,-,-,-,-,-"
"'[19:18:25.324]',-,-,-,-,-,-,-"
"'[19:18:25.332]',-,-,-,-,-,-,-"
"'[19:18:25.340]',-,-,-,-,-,-,-"
"'[19:18:25.348]',-,-,-,-,-,-,-"
"'[19:18:25.356]',-,-,-,-,-,-,-"
"'[19:18:25.364]',-,-,-,-,-,-,-"
"'[19:18:25.372]',-,-,-,-,-,-,-"
"'[19:18:25.380]',-,-,-,-,-,-,-"
"'[19:18:25.388]',-,-,-,-,-,-,-"
"'[19:18:25.396]',-,-,-,-,-,-,-"
"'[19:18:25.404]',-,-,-,-,-,-,-"
"'[19:18:25.412]',-,-,-,-,-,-,-"
"'[19:18:25.420]',-,-,-,-,-,-,-"
"'[19:18:25.428]',-,-,-,-,-,-,-"
"'[19:18:25.436]',-,-,-,-,-,-,-"
"'[19:18:25.444]',-,-,-,-,-,-,-"
"'[19:18:25.452]',-,-,-,-,-,-,-"
"'[19:18:25.460]',-,-,-,-,-,-,-"
"'[19:18:25.468]',-,-,-,-,-,-,-"
"'[19:18:25.476]',-,-,-,-,-,-,-"
"'[19:18:25.484]',-,-,-,-,-,-,-"
"'[19:18:25.492]',-,-,-,-,-,-,-"
"'[19:18:25.500]',-,-,-,-,-,-,-"
"'[19:18:25.508]',-,-,-,-,-,-,-"
"'[19:18:25.516]',-,-,-,-,-,-,-"
"'[19:18:25.524]',-,-,-,-,-,-,-"
"'[19:18:25.532]',-,-,-,-,-,-,-"
"'[19:18:25.540]',-,-,-,-,-,-,-"
"'[19:18:25.548]',-,-,-,-,-,-,-"
"'[19:18:25.556]',-,-,-,-,-,-,-"
"'[19:18:25.564]',-,-,-,-,-,-,-"
"'[19:18:25.572]',-,-,-,-,-,-,-"
"'[19:18:25.580]',-,-,-,-,-,-,-"
"'[19:18:25.588]',-,-,-,-,-,-,-"
"'[19:18:25.596]',-,-,-,-,-,-,-"
"'[19:18:25.604]',-,-,-,-,-,-,-"
"'[19:18:25.612]',-,-,-,-,-,-,-"
"'[19:18:25.620]',-,-,-,-,-,-,-"
"'[19:18:25.628]',-,-,-,-,-,-,-"
"'[19:18:25.636]',-,-,-,-,-,-,-"
"'[19:18:25.644]',-,-,-,-,-,-,-"
"'[19:18:25.652]',-,-,-,-,-,-,-"
"'[19:18:25.660]',-,-,-,-,-,-,-"
"'[19:18:25.668]',-,-,-,-,-,-,-"
"'[19:18:25.676]',-,-,-,-,-,-,-"
"'[19:18:25.684]',-,-,-,-,-,-,-"
"'[19:18:25.692]',-,-,-,-,-,-,-"
"'[19:18:25.700]',-,-,-,-,-,-,-"
"'[19:18:25.708]',-,-,-,-,-,-,-"
"'[19:18:25.716]',-,-,-,-,-,-,-"
"'[19:18:25.724]',-,-,-,-,-,-,-"
"'[19:18:25.732]',-,-,-,-,-,-,-"
"'[19:18:25.740]',-,-,-,-,-,-,-"
"'[19:18:25.748]',-,-,-,-,-,-,-"
"'[19:18:25.756]',-,-,-,-,-,-,-"
"'[19:18:25.764]',-,-,-,-,-,-,-"
"'[19:18:25.772]',-,-,-,-,-,-,-"
"'[19:18:25.780]',-,-,-,-,-,-,-"
"'[19:18:25.788]',-,-,-,-,-,-,-"
"'[19:18:25.796]',-,-,-,-,-,-,-"
"'[19:18:25.804]',-,-,-,-,-,-,-"
"'[19:18:25.812]',-,-,-,-,-,-,-"
"'[19:18:25.820]',-,-,-,-,-,-,-"
"'[19:18:25.828]',-,-,-,-,-,-,-"
"'[19:18:25.836]',-,-,-,-,-,-,-"
"'[19:18:25.844]',-,-,-,-,-,-,-"
"'[19:18:25.852]',-,-,-,-,-,-,-"
"'[19:18:25.860]',-,-,-,-,-,-,-"
"'[19:18:25.868]',-,-,-,-,-,-,-"
"'[19:18:25.876]',-,-,-,-,-,-,-"
"'[19:18:25.884]',-,-,-,-,-,-,-"
"'[19:18:25.892]',-,-,-,-,-,-,-"
"'[19:18:25.900]',-,-,-,-,-,-,-"
"'[19:18:25.908]',-,-,-,-,-,-,-"
"'[19:18:25.916]',-,-,-,-,-,-,-"
"'[19:18:25.924]',-,-,-,-,-,-,-"
"'[19:18:25.932]',-,-,-,-,-,-,-"
"'[19:18:25.940]',-,-,-,-,-,-,-"
"'[19:18:25.948]',-,-,-,-,-,-,-"
"'[19:18:25.956]',-,-,-,-,-,-,-"
"'[19:18:25.964]',-,-,-,-,-,-,-"
"'[19:18:25.972]',-,-,-,-,-,-,-"
"'[19:18:25.980]',-,-,-,-,-,-,-"
"'[19:18:25.988]',-,-,-,-,-,-,-"
"'[19:18:25.996]',-,-,-,-,-,-,-"
"'[19:18:26.004]',-,-,-,-,-,-,-"
"'[19:18:26.012]',-,-,-,-,-,-,-"
"'[19:18:26.020]',-,-,-,-,-,-,-"
"'[19:18:26.028]',-,-,-,-,-,-,-"
"'[19:18:26.036]',-,-,-,-,-,-,-"
"'[19:18:26.044]',-,-,-,-,-,-,-"
"'[19:18:26.052]',-,-,-,-,-,-,-"
"'[19:18:26.060]',-,-,-,-,-,-,-"
"'[19:18:26.068]',-,-,-,-,-,-,-"
"'[19:18:26.076]',-,-,-,-,-,-,-"
"'[19:18:26.084]',-,-,-,-,-,-,-"
"'[19:18:26.092]',-,-,-,-,-,-,-"
"'[19:18:26.100]',-,-,-,-,-,-,-"
"'[19:18:26.108]',-,-,-,-,-,-,-"
"'[19:18:26.116]',-,-,-,-,-,-,-"
"'[19:18:26.124]',-,-,-,-,-,-,-"
"'[19:18:26.132]',-,-,-,-,-,-,-"
"'[19:18:26.140]',-,-,-,-,-,-,-"
"'[19:18:26.148]',-,-,-,-,-,-,-"
"'[19:18:26.156]',-,-,-,-,-,-,-"
"'[19:18:26.164]',-,-,-,-,-,-,-"
"'[19:18:26.172]',-,-,-,-,-,-,-"
"'[19:18:26.180]',-,-,-,-,-,-,-"
"'[19:18:26.188]',-,-,-,-,-,-,-"
"'[19:18:26.196]',-,-,-,-,-,-,-"
"'[19:18:26.204]',-,-,-,-,-,-,-"
"'[19:18:26.212]',-,-,-,-,-,-,-"
"'[19:18:26.220]',-,-,-,-,-,-,-"
"'[19:18:26.228]',-,-,-,-,-,-,-"
"'[19:18:26.236]',-,-,-,-,-,-,-"
"'[19:18:26.244]',-,-,-,-,-,-,-"
"'[19:18:26.252]',-,-,-,-,-,-,-"
"'[19:18:26.260]',-,-,-,-,-,-,-"
"'[19:18:26.268]',-,-,-,-,-,-,-"
"'[19:18:26.276]',-,-,-,-,-,-,-"
"'[19:18:26.284]',-,-,-,-,-,-,-"
"'[19:18:26.292]',-,-,-,-,-,-,-"
"'[19:18:26.300]',-,-,-,-,-,-,-"
"'[19:18:26.308]',-,-,-,-,-,-,-"
"'[19:18:26.316]',-,-,-,-,-,-,-"
"'[19:18:26.324]',-,-,-,-,-,-,-"
"'[19:18:26.332]',-,-,-,-,-,-,-"
"'[19:18:26.340]',-,-,-,-,-,-,-"
"'[19:18:26.348]',-,-,-,-,-,-,-"
"'[19:18:26.356]',-,-,-,-,-,-,-"
"'[19:18:26.364]',-,-,-,-,-,-,-"
"'[19:18:26.372]',-,-,-,-,-,-,-"
"'[19:18:26.380]',-,-,-,-,-,-,-"
"'[19:18:26.388]',-,-,-,-,-,-,-"
"'[19:18:26.396]',-,-,-,-,-,-,-"
"'[19:18:26.404]',-,-,-,-,-,-,-"
"'[19:18:26.412]',-,-,-,-,-,-,-"
"'[19:18:26.420]',-,-,-,-,-,-,-"
"'[19:18:26.428]',-,-,-,-,-,-,-"
"'[19:18:26.436]',-,-,-,-,-,-,-"
"'[19:18:26.444]',-,-,-,-,-,-,-"
"'[19:18:26.452]',-,-,-,-,-,-,-"
"'[19:18:26.460]',-,-,-,-,-,-,-"
"'[19:18:26.468]',-,-,-,-,-,-,-"
"'[19:18:26.476]',-,-,-,-,-,-,-"
"'[19:18:26.484]',-,-,-,-,-,-,-"
"'[19:18:26.492]',-,-,-,-,-,-,-"
"'[19:18:26.500]',-,-,-,-,-,-,-"
"'[19:18:26.508]',-,-,-,-,-,-,-"
"'[19:18:26.516]',-,-,-,-,-,-,-"
"'[19:18:26.524]',-,-,-,-,-,-,-"
"'[19:18:26.532]',-,-,-,-,-,-,-"
"'[19:18:26.540]',-,-,-,-,-,-,-"
"'[19:18:26.548]',-,-,-,-,-,-,-"
"'[19:18:26.556]',-,-,-,-,-,-,-"
"'[19:18:26.564]',-,-,-,-,-,-,-"
"'[19:18:26.572]',-,-,-,-,-,-,-"
"'[19:18:26.580]',-,-,-,-,-,-,-"
"'[19:18:26.588]',-,-,-,-,-,-,-"
"'[19:18:26.596]',-,-,-,-,-,-,-"
"'[19:18:26.604]',-,-,-,-,-,-,-"
"'[19:18:26.612]',-,-,-,-,-,-,-"
"'[19:18:26.620]',-,-,-,-,-,-,-"
"'[19:18:26.628]',-,-,-,-,-,-,-"
"'[19:18:26.636]',-,-,-,-,-,-,-"
"'[19:18:26.644]',-,-,-,-,-,-,-"
"'[19:18:26.652]',-,-,-,-,-,-,-"
"'[19:18:26.660]',-,-,-,-,-,-,-"
"'[19:18:26.668]',-,-,-,-,-,-,-"
"'[19:18:26.676]',-,-,-,-,-,-,-"
"'[19:18:26.684]',-,-,-,-,-,-,-"
"'[19:18:26.692]',-,-,-,-,-,-,-"
"'[19:18:26.700]',-,-,-,-,-,-,-"
"'[19:18:26.708]',-,-,-,-,-,-,-"
"'[19:18:26.716]',-,-,-,-,-,-,-"
"'[19:18:26.724]',-,-,-,-,-,-,-"
"'[19:18:26.732]',-,-,-,-,-,-,-"
"'[19:18:26.740]',-,-,-,-,-,-,-"
"'[19:18:26.748]',-,-,-,-,-,-,-"
"'[19:18:26.756]',-,-,-,-,-,-,-"
"'[19:18:26.764]',-,-,-,-,-,-,-"
"'[19:18:26.772]',-,-,-,-,-,-,-"
"'[19:18:26.780]',-,-,-,-,-,-,-"
"'[19:18:26.788]',-,-,-,-,-,-,-"
"'[19:18:26.796]',-,-,-,-,-,-,-"
"'[19:18:26.804]',-,-,-,-,-,-,-"
"'[19:18:26.812]',-,-,-,-,-,-,-"
"'[19:18:26.820]',-,-,-,-,-,-,-"
"'[19:18:26.828]',-,-,-,-,-,-,-"
"'[19:18:26.836]',-,-,-,-,-,-,-"
"'[19:18:26.844]',-,-,-,-,-,-,-"
"'[19:18:26.852]',-,-,-,-,-,-,-"
"'[19:18:26.860]',-,-,-,-,-,-,-"
"'[19:18:26.868]',-,-,-,-,-,-,-"
"'[19:18:26.876]',-,-,-,-,-,-,-"
"'[19:18:26.884]',-,-,-,-,-,-,-"
"'[19:18:26.892]',-,-,-,-,-,-,-"
"'[19:18:26.900]',-,-,-,-,-,-,-"
"'[19:18:26.908]',-,-,-,-,-,-,-"
"'[19:18:26.916]',-,-,-,-,-,-,-"
"'[19:18:26.924]',-,-,-,-,-,-,-"
"'[19:18:26.932]',-,-,-,-,-,-,-"
"'[19:18:26.940]',-,-,-,-,-,-,-"
"'[19:18:26.948]',-,-,-,-,-,-,-"
"'[19:18:26.956]',-,-,-,-,-,-,-"
"'[19:18:26.964]',-,-,-,-,-,-,-"
"'[19:18:26.972]',-,-,-,-,-,-,-"
"'[19:18:26.980]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:26.988]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:26.996]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.004]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.012]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.020]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.028]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.036]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.044]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.052]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.060]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.068]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.076]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.084]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.092]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.100]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.108]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.116]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.124]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.132]',-,-0.500,-0.500,-0.500,-,-,-"
"'[19:18:27.140]',-,-0.500,-0.500,-0.500,0.124,-,-"
"'[19:18:27.148]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.156]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.164]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.172]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.180]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.188]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.196]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.204]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.212]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.220]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.228]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.236]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.244]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.252]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.260]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.268]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.276]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.284]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.292]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.300]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.308]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.316]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.324]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.332]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.340]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.348]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.356]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.364]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.372]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.380]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.388]',-,-0.500,-0.500,-0.500,0.248,-,-"
"'[19:18:27.396]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.404]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.412]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.420]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.428]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.436]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.444]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.452]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.460]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.468]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.476]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.484]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.492]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.500]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.508]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.516]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.524]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.532]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.540]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.548]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.556]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.564]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.572]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.580]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.588]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.596]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.604]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.612]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.620]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.628]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.636]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.644]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.652]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.660]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.668]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.676]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.684]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.692]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.700]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.708]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.716]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.724]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.732]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.740]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.748]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.756]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.764]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.772]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.780]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.788]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.796]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.804]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.812]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.820]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.828]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.836]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.844]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.852]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.860]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.868]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.876]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.884]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.892]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.900]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.908]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.916]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.924]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.932]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.940]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.948]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.956]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.964]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.972]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.980]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.988]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:27.996]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.004]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.012]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.020]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.028]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.036]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.044]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.052]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.060]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.068]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.076]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.084]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.092]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.100]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.108]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.116]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.124]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.132]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.140]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.148]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.156]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.164]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.172]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.180]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.188]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.196]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.204]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.212]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.220]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.228]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.236]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.244]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.252]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.260]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.268]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.276]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.284]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
"'[19:18:28.292]',-,-0.500,-0.500,-0.500,0.248,2.002,-"
