"'Time','II','PLETH','ABP'"
"'[21:57:48.008]',0.669,0.263,114.844"
"'[21:57:48.016]',0.638,0.259,114.062"
"'[21:57:48.024]',0.638,0.251,112.500"
"'[21:57:48.032]',0.669,0.247,111.719"
"'[21:57:48.040]',0.622,0.243,110.938"
"'[21:57:48.048]',0.669,0.243,110.156"
"'[21:57:48.056]',0.630,0.243,108.594"
"'[21:57:48.064]',0.677,0.243,107.812"
"'[21:57:48.072]',0.630,0.243,106.250"
"'[21:57:48.080]',0.685,0.251,105.469"
"'[21:57:48.088]',0.638,0.259,103.906"
"'[21:57:48.096]',0.669,0.275,102.344"
"'[21:57:48.104]',0.638,0.290,100.000"
"'[21:57:48.112]',0.669,0.314,97.656"
"'[21:57:48.120]',0.638,0.341,95.312"
"'[21:57:48.128]',0.677,0.369,92.188"
"'[21:57:48.136]',0.638,0.404,89.062"
"'[21:57:48.144]',0.669,0.459,85.938"
"'[21:57:48.152]',0.638,0.494,82.812"
"'[21:57:48.160]',0.669,0.525,79.688"
"'[21:57:48.168]',0.622,0.576,77.344"
"'[21:57:48.176]',0.669,0.608,75.000"
"'[21:57:48.184]',0.622,0.639,73.438"
"'[21:57:48.192]',0.654,0.663,72.656"
"'[21:57:48.200]',0.622,0.686,71.875"
"'[21:57:48.208]',0.685,0.706,71.094"
"'[21:57:48.216]',0.685,0.722,71.094"
"'[21:57:48.224]',0.724,0.737,70.312"
"'[21:57:48.232]',0.717,0.745,70.312"
"'[21:57:48.240]',0.764,0.757,70.312"
"'[21:57:48.248]',0.764,0.765,70.312"
"'[21:57:48.256]',0.740,0.773,69.531"
"'[21:57:48.264]',0.748,0.776,69.531"
"'[21:57:48.272]',0.669,0.780,68.750"
"'[21:57:48.280]',0.693,0.780,68.750"
"'[21:57:48.288]',0.646,0.780,67.969"
"'[21:57:48.296]',0.669,0.780,67.188"
"'[21:57:48.304]',0.614,0.776,67.188"
"'[21:57:48.312]',0.638,0.773,66.406"
"'[21:57:48.320]',0.575,0.769,65.625"
"'[21:57:48.328]',0.606,0.761,64.844"
"'[21:57:48.336]',0.575,0.749,64.062"
"'[21:57:48.344]',0.606,0.741,64.062"
"'[21:57:48.352]',0.567,0.729,63.281"
"'[21:57:48.360]',0.606,0.718,62.500"
"'[21:57:48.368]',0.567,0.702,61.719"
"'[21:57:48.376]',0.614,0.690,60.938"
"'[21:57:48.384]',0.559,0.675,60.938"
"'[21:57:48.392]',0.543,0.663,60.156"
"'[21:57:48.400]',0.512,0.647,59.375"
"'[21:57:48.408]',1.047,0.635,59.375"
"'[21:57:48.416]',1.504,0.624,58.594"
"'[21:57:48.424]',1.504,0.612,58.594"
"'[21:57:48.432]',1.339,0.600,57.812"
"'[21:57:48.440]',0.677,0.592,57.812"
"'[21:57:48.448]',0.480,0.584,57.812"
"'[21:57:48.456]',0.465,0.573,57.031"
"'[21:57:48.464]',0.535,0.565,57.031"
"'[21:57:48.472]',0.528,0.557,57.031"
"'[21:57:48.480]',0.606,0.549,57.031"
"'[21:57:48.488]',0.567,0.541,57.031"
"'[21:57:48.496]',0.606,0.533,56.250"
"'[21:57:48.504]',0.575,0.525,56.250"
"'[21:57:48.512]',0.606,0.518,56.250"
"'[21:57:48.520]',0.583,0.506,56.250"
"'[21:57:48.528]',0.622,0.502,55.469"
"'[21:57:48.536]',0.598,0.490,55.469"
"'[21:57:48.544]',0.654,0.482,54.688"
"'[21:57:48.552]',0.622,0.471,54.688"
"'[21:57:48.560]',0.677,0.463,53.906"
"'[21:57:48.568]',0.638,0.451,53.906"
"'[21:57:48.576]',0.693,0.443,53.125"
"'[21:57:48.584]',0.661,0.435,53.125"
"'[21:57:48.592]',0.717,0.424,52.344"
"'[21:57:48.600]',0.685,0.416,52.344"
"'[21:57:48.608]',0.732,0.408,52.344"
"'[21:57:48.616]',0.709,0.400,51.562"
"'[21:57:48.624]',0.764,0.388,51.562"
"'[21:57:48.632]',0.756,0.380,51.562"
"'[21:57:48.640]',0.795,0.373,51.562"
"'[21:57:48.648]',0.803,0.369,51.562"
"'[21:57:48.656]',0.795,0.361,52.344"
"'[21:57:48.664]',0.850,0.353,53.125"
"'[21:57:48.672]',0.819,0.349,55.469"
"'[21:57:48.680]',0.882,0.341,59.375"
"'[21:57:48.688]',0.866,0.333,64.844"
"'[21:57:48.696]',0.929,0.329,71.875"
"'[21:57:48.704]',0.890,0.325,78.906"
"'[21:57:48.712]',0.929,0.318,86.719"
"'[21:57:48.720]',0.874,0.314,93.750"
"'[21:57:48.728]',0.906,0.310,100.000"
"'[21:57:48.736]',0.835,0.302,105.469"
"'[21:57:48.744]',0.843,0.298,109.375"
"'[21:57:48.752]',0.740,0.294,111.719"
"'[21:57:48.760]',0.748,0.286,113.281"
"'[21:57:48.768]',0.646,0.282,114.062"
"'[21:57:48.776]',0.661,0.278,114.844"
"'[21:57:48.784]',0.598,0.271,114.062"
"'[21:57:48.792]',0.638,0.267,114.062"
"'[21:57:48.800]',0.583,0.263,113.281"
"'[21:57:48.808]',0.622,0.259,112.500"
"'[21:57:48.816]',0.591,0.255,110.938"
"'[21:57:48.824]',0.606,0.251,110.156"
"'[21:57:48.832]',0.614,0.251,109.375"
"'[21:57:48.840]',0.583,0.251,108.594"
"'[21:57:48.848]',0.622,0.251,107.031"
"'[21:57:48.856]',0.583,0.259,106.250"
"'[21:57:48.864]',0.622,0.267,104.688"
"'[21:57:48.872]',0.575,0.278,103.906"
"'[21:57:48.880]',0.622,0.290,102.344"
"'[21:57:48.888]',0.583,0.314,100.000"
"'[21:57:48.896]',0.622,0.337,98.438"
"'[21:57:48.904]',0.583,0.365,95.312"
"'[21:57:48.912]',0.622,0.392,92.969"
"'[21:57:48.920]',0.598,0.427,89.844"
"'[21:57:48.928]',0.622,0.463,86.719"
"'[21:57:48.936]',0.583,0.498,82.812"
"'[21:57:48.944]',0.614,0.529,80.469"
"'[21:57:48.952]',0.575,0.565,78.125"
"'[21:57:48.960]',0.614,0.596,75.781"
"'[21:57:48.968]',0.567,0.627,74.219"
"'[21:57:48.976]',0.606,0.655,72.656"
"'[21:57:48.984]',0.575,0.678,71.875"
"'[21:57:48.992]',0.630,0.698,71.094"
"'[21:57:49.000]',0.614,0.714,70.312"
"'[21:57:49.008]',0.669,0.729,70.312"
"'[21:57:49.016]',0.654,0.741,70.312"
"'[21:57:49.024]',0.709,0.753,69.531"
"'[21:57:49.032]',0.685,0.761,69.531"
"'[21:57:49.040]',0.717,0.765,69.531"
"'[21:57:49.048]',0.654,0.769,68.750"
"'[21:57:49.056]',0.622,0.773,68.750"
"'[21:57:49.064]',0.638,0.776,67.969"
"'[21:57:49.072]',0.583,0.776,67.969"
"'[21:57:49.080]',0.622,0.773,67.188"
"'[21:57:49.088]',0.559,0.769,66.406"
"'[21:57:49.096]',0.598,0.765,65.625"
"'[21:57:49.104]',0.535,0.761,65.625"
"'[21:57:49.112]',0.559,0.749,64.844"
"'[21:57:49.120]',0.512,0.741,64.062"
"'[21:57:49.128]',0.551,0.729,63.281"
"'[21:57:49.136]',0.520,0.718,62.500"
"'[21:57:49.144]',0.559,0.706,61.719"
"'[21:57:49.152]',0.528,0.690,61.719"
"'[21:57:49.160]',0.567,0.671,60.938"
"'[21:57:49.168]',0.520,0.655,60.156"
"'[21:57:49.176]',0.528,0.643,59.375"
"'[21:57:49.184]',0.472,0.624,58.594"
"'[21:57:49.192]',0.890,0.608,57.812"
"'[21:57:49.200]',1.504,0.600,57.812"
"'[21:57:49.208]',1.504,0.588,57.031"
"'[21:57:49.216]',1.480,0.576,56.250"
"'[21:57:49.224]',0.701,0.569,56.250"
"'[21:57:49.232]',0.433,0.561,55.469"
"'[21:57:49.240]',0.409,0.549,55.469"
"'[21:57:49.248]',0.480,0.541,54.688"
"'[21:57:49.256]',0.543,0.533,54.688"
"'[21:57:49.264]',0.559,0.525,54.688"
"'[21:57:49.272]',0.512,0.518,53.906"
"'[21:57:49.280]',0.559,0.510,53.906"
"'[21:57:49.288]',0.528,0.502,53.906"
"'[21:57:49.296]',0.575,0.490,53.125"
"'[21:57:49.304]',0.543,0.482,53.125"
"'[21:57:49.312]',0.583,0.475,53.125"
"'[21:57:49.320]',0.559,0.463,52.344"
"'[21:57:49.328]',0.598,0.455,52.344"
"'[21:57:49.336]',0.583,0.443,51.562"
"'[21:57:49.344]',0.614,0.435,51.562"
"'[21:57:49.352]',0.598,0.424,50.781"
"'[21:57:49.360]',0.646,0.416,50.781"
"'[21:57:49.368]',0.622,0.404,50.000"
"'[21:57:49.376]',0.669,0.392,50.000"
"'[21:57:49.384]',0.630,0.384,49.219"
"'[21:57:49.392]',0.693,0.376,49.219"
"'[21:57:49.400]',0.669,0.365,48.438"
"'[21:57:49.408]',0.717,0.357,48.438"
"'[21:57:49.416]',0.701,0.349,48.438"
"'[21:57:49.424]',0.756,0.337,48.438"
"'[21:57:49.432]',0.740,0.329,48.438"
"'[21:57:49.440]',0.780,0.322,48.438"
"'[21:57:49.448]',0.795,0.314,49.219"
"'[21:57:49.456]',0.795,0.306,50.781"
"'[21:57:49.464]',0.843,0.298,53.125"
"'[21:57:49.472]',0.819,0.290,57.031"
"'[21:57:49.480]',0.882,0.282,62.500"
"'[21:57:49.488]',0.850,0.275,68.750"
"'[21:57:49.496]',0.898,0.267,76.562"
"'[21:57:49.504]',0.850,0.263,83.594"
"'[21:57:49.512]',0.882,0.255,90.625"
"'[21:57:49.520]',0.819,0.247,96.094"
"'[21:57:49.528]',0.827,0.239,101.562"
"'[21:57:49.536]',0.724,0.235,105.469"
"'[21:57:49.544]',0.740,0.227,107.812"
"'[21:57:49.552]',0.646,0.224,109.375"
"'[21:57:49.560]',0.654,0.216,110.156"
"'[21:57:49.568]',0.583,0.208,110.156"
"'[21:57:49.576]',0.606,0.204,109.375"
"'[21:57:49.584]',0.559,0.196,109.375"
"'[21:57:49.592]',0.598,0.192,108.594"
"'[21:57:49.600]',0.559,0.188,107.812"
"'[21:57:49.608]',0.598,0.184,106.250"
"'[21:57:49.616]',0.559,0.184,105.469"
"'[21:57:49.624]',0.598,0.184,104.688"
"'[21:57:49.632]',0.567,0.188,103.125"
"'[21:57:49.640]',0.614,0.200,102.344"
"'[21:57:49.648]',0.583,0.212,101.562"
"'[21:57:49.656]',0.614,0.231,100.000"
"'[21:57:49.664]',0.583,0.251,98.438"
"'[21:57:49.672]',0.583,0.278,96.875"
"'[21:57:49.680]',0.614,0.310,94.531"
"'[21:57:49.688]',0.591,0.341,92.188"
"'[21:57:49.696]',0.622,0.380,89.062"
"'[21:57:49.704]',0.591,0.416,85.938"
"'[21:57:49.712]',0.622,0.455,82.812"
"'[21:57:49.720]',0.591,0.494,79.688"
"'[21:57:49.728]',0.622,0.529,77.344"
"'[21:57:49.736]',0.598,0.565,74.219"
"'[21:57:49.744]',0.622,0.600,71.875"
"'[21:57:49.752]',0.583,0.627,70.312"
"'[21:57:49.760]',0.622,0.651,68.750"
"'[21:57:49.768]',0.591,0.675,67.969"
"'[21:57:49.776]',0.622,0.694,67.188"
"'[21:57:49.784]',0.598,0.710,67.188"
"'[21:57:49.792]',0.661,0.722,66.406"
"'[21:57:49.800]',0.638,0.733,66.406"
"'[21:57:49.808]',0.709,0.741,66.406"
"'[21:57:49.816]',0.685,0.749,66.406"
"'[21:57:49.824]',0.724,0.753,65.625"
"'[21:57:49.832]',0.693,0.757,65.625"
"'[21:57:49.840]',0.701,0.757,64.844"
"'[21:57:49.848]',0.638,0.757,64.844"
"'[21:57:49.856]',0.646,0.757,64.062"
"'[21:57:49.864]',0.614,0.753,64.062"
"'[21:57:49.872]',0.622,0.749,63.281"
"'[21:57:49.880]',0.583,0.741,62.500"
"'[21:57:49.888]',0.598,0.733,61.719"
"'[21:57:49.896]',0.567,0.725,61.719"
"'[21:57:49.904]',0.551,0.714,60.938"
"'[21:57:49.912]',0.598,0.702,60.156"
"'[21:57:49.920]',0.559,0.678,59.375"
"'[21:57:49.928]',0.591,0.667,59.375"
"'[21:57:49.936]',0.559,0.651,58.594"
"'[21:57:49.944]',0.583,0.631,57.812"
"'[21:57:49.952]',0.551,0.620,57.812"
"'[21:57:49.960]',0.583,0.608,57.031"
"'[21:57:49.968]',0.496,0.596,56.250"
"'[21:57:49.976]',0.535,0.584,55.469"
"'[21:57:49.984]',0.984,0.576,55.469"
"'[21:57:49.992]',1.504,0.565,54.688"
"'[21:57:50.000]',1.504,0.557,54.688"
"'[21:57:50.008]',1.457,0.549,53.906"
"'[21:57:50.016]',0.685,0.541,53.906"
"'[21:57:50.024]',0.488,0.533,53.906"
"'[21:57:50.032]',0.441,0.529,53.125"
"'[21:57:50.040]',0.528,0.522,53.125"
"'[21:57:50.048]',0.543,0.514,53.125"
"'[21:57:50.056]',0.583,0.506,53.125"
"'[21:57:50.064]',0.583,0.502,53.125"
"'[21:57:50.072]',0.559,0.502,52.344"
"'[21:57:50.080]',0.591,0.494,52.344"
"'[21:57:50.088]',0.559,0.486,52.344"
"'[21:57:50.096]',0.606,0.478,52.344"
"'[21:57:50.104]',0.567,0.471,51.562"
"'[21:57:50.112]',0.614,0.463,51.562"
"'[21:57:50.120]',0.583,0.451,51.562"
"'[21:57:50.128]',0.630,0.443,50.781"
"'[21:57:50.136]',0.598,0.435,50.781"
"'[21:57:50.144]',0.654,0.424,50.781"
"'[21:57:50.152]',0.622,0.416,50.000"
"'[21:57:50.160]',0.669,0.408,50.000"
"'[21:57:50.168]',0.646,0.400,49.219"
"'[21:57:50.176]',0.693,0.392,49.219"
"'[21:57:50.184]',0.669,0.384,49.219"
"'[21:57:50.192]',0.724,0.373,48.438"
"'[21:57:50.200]',0.693,0.365,48.438"
"'[21:57:50.208]',0.756,0.361,48.438"
"'[21:57:50.216]',0.740,0.353,47.656"
"'[21:57:50.224]',0.795,0.345,47.656"
"'[21:57:50.232]',0.780,0.337,48.438"
"'[21:57:50.240]',0.835,0.333,48.438"
"'[21:57:50.248]',0.819,0.325,50.000"
"'[21:57:50.256]',0.866,0.322,52.344"
"'[21:57:50.264]',0.858,0.318,57.031"
"'[21:57:50.272]',0.890,0.310,62.500"
"'[21:57:50.280]',0.906,0.306,68.750"
"'[21:57:50.288]',0.866,0.302,75.781"
"'[21:57:50.296]',0.898,0.298,82.812"
"'[21:57:50.304]',0.850,0.294,89.844"
"'[21:57:50.312]',0.866,0.286,96.094"
"'[21:57:50.320]',0.795,0.282,101.562"
"'[21:57:50.328]',0.748,0.278,104.688"
"'[21:57:50.336]',0.685,0.275,107.031"
"'[21:57:50.344]',0.693,0.271,108.594"
"'[21:57:50.352]',0.614,0.267,109.375"
"'[21:57:50.360]',0.622,0.259,109.375"
"'[21:57:50.368]',0.567,0.255,109.375"
"'[21:57:50.376]',0.591,0.251,108.594"
"'[21:57:50.384]',0.559,0.247,107.812"
"'[21:57:50.392]',0.598,0.243,107.031"
"'[21:57:50.400]',0.559,0.243,106.250"
"'[21:57:50.408]',0.598,0.243,104.688"
"'[21:57:50.416]',0.559,0.243,103.906"
"'[21:57:50.424]',0.598,0.247,103.125"
"'[21:57:50.432]',0.559,0.255,101.562"
"'[21:57:50.440]',0.583,0.267,100.000"
"'[21:57:50.448]',0.559,0.282,99.219"
"'[21:57:50.456]',0.591,0.302,97.656"
"'[21:57:50.464]',0.567,0.325,96.094"
"'[21:57:50.472]',0.559,0.357,93.750"
"'[21:57:50.480]',0.591,0.388,91.406"
"'[21:57:50.488]',0.559,0.424,89.062"
"'[21:57:50.496]',0.591,0.459,85.938"
"'[21:57:50.504]',0.559,0.498,82.812"
"'[21:57:50.512]',0.583,0.533,79.688"
"'[21:57:50.520]',0.551,0.569,76.562"
"'[21:57:50.528]',0.583,0.604,74.219"
"'[21:57:50.536]',0.551,0.635,71.875"
"'[21:57:50.544]',0.575,0.663,70.312"
"'[21:57:50.552]',0.543,0.690,68.750"
"'[21:57:50.560]',0.583,0.710,67.969"
"'[21:57:50.568]',0.559,0.729,67.188"
"'[21:57:50.576]',0.614,0.745,67.188"
"'[21:57:50.584]',0.606,0.757,66.406"
"'[21:57:50.592]',0.669,0.769,66.406"
"'[21:57:50.600]',0.654,0.776,66.406"
"'[21:57:50.608]',0.693,0.784,65.625"
"'[21:57:50.616]',0.654,0.788,65.625"
"'[21:57:50.624]',0.654,0.792,65.625"
"'[21:57:50.632]',0.598,0.792,64.844"
"'[21:57:50.640]',0.622,0.792,64.844"
"'[21:57:50.648]',0.591,0.792,64.062"
"'[21:57:50.656]',0.598,0.788,64.062"
"'[21:57:50.664]',0.567,0.784,63.281"
"'[21:57:50.672]',0.575,0.776,62.500"
"'[21:57:50.680]',0.543,0.769,62.500"
"'[21:57:50.688]',0.535,0.761,61.719"
"'[21:57:50.696]',0.575,0.749,60.938"
"'[21:57:50.704]',0.535,0.737,60.156"
"'[21:57:50.712]',0.575,0.725,59.375"
"'[21:57:50.720]',0.543,0.714,59.375"
"'[21:57:50.728]',0.583,0.698,58.594"
"'[21:57:50.736]',0.551,0.686,57.812"
"'[21:57:50.744]',0.575,0.675,57.812"
"'[21:57:50.752]',0.457,0.659,57.031"
"'[21:57:50.760]',0.567,0.647,56.250"
"'[21:57:50.768]',1.165,0.635,56.250"
"'[21:57:50.776]',1.504,0.627,55.469"
"'[21:57:50.784]',1.504,0.616,55.469"
"'[21:57:50.792]',1.252,0.608,55.469"
"'[21:57:50.800]',0.598,0.600,54.688"
"'[21:57:50.808]',0.457,0.592,54.688"
"'[21:57:50.816]',0.433,0.584,54.688"
"'[21:57:50.824]',0.535,0.576,54.688"
"'[21:57:50.832]',0.543,0.569,54.688"
"'[21:57:50.840]',0.583,0.561,54.688"
"'[21:57:50.848]',0.543,0.557,54.688"
"'[21:57:50.856]',0.575,0.549,54.688"
"'[21:57:50.864]',0.559,0.537,54.688"
"'[21:57:50.872]',0.591,0.529,53.906"
"'[21:57:50.880]',0.598,0.522,53.906"
"'[21:57:50.888]',0.567,0.514,53.906"
"'[21:57:50.896]',0.614,0.506,53.906"
"'[21:57:50.904]',0.583,0.498,53.125"
"'[21:57:50.912]',0.622,0.486,53.125"
"'[21:57:50.920]',0.598,0.478,53.125"
"'[21:57:50.928]',0.638,0.471,52.344"
"'[21:57:50.936]',0.622,0.459,52.344"
"'[21:57:50.944]',0.669,0.451,52.344"
"'[21:57:50.952]',0.638,0.443,51.562"
"'[21:57:50.960]',0.685,0.435,51.562"
"'[21:57:50.968]',0.669,0.427,51.562"
"'[21:57:50.976]',0.717,0.420,50.781"
"'[21:57:50.984]',0.693,0.412,50.781"
"'[21:57:50.992]',0.748,0.404,50.781"
"'[21:57:51.000]',0.732,0.400,50.781"
"'[21:57:51.008]',0.795,0.392,50.781"
"'[21:57:51.016]',0.772,0.388,51.562"
"'[21:57:51.024]',0.827,0.380,52.344"
"'[21:57:51.032]',0.811,0.376,54.688"
"'[21:57:51.040]',0.866,0.373,58.594"
"'[21:57:51.048]',0.843,0.369,64.062"
"'[21:57:51.056]',0.890,0.365,70.312"
"'[21:57:51.064]',0.858,0.361,77.344"
"'[21:57:51.072]',0.890,0.357,84.375"
"'[21:57:51.080]',0.850,0.353,91.406"
"'[21:57:51.088]',0.835,0.349,97.656"
"'[21:57:51.096]',0.843,0.345,103.125"
"'[21:57:51.104]',0.772,0.341,107.031"
"'[21:57:51.112]',0.717,0.333,110.156"
"'[21:57:51.120]',0.669,0.333,111.719"
"'[21:57:51.128]',0.630,0.329,113.281"
"'[21:57:51.136]',0.598,0.322,113.281"
"'[21:57:51.144]',0.614,0.318,113.281"
"'[21:57:51.152]',0.559,0.314,113.281"
"'[21:57:51.160]',0.583,0.310,112.500"
"'[21:57:51.168]',0.551,0.310,111.719"
"'[21:57:51.176]',0.583,0.306,110.938"
"'[21:57:51.184]',0.551,0.306,110.156"
"'[21:57:51.192]',0.583,0.310,108.594"
"'[21:57:51.200]',0.551,0.314,107.812"
"'[21:57:51.208]',0.598,0.322,106.250"
"'[21:57:51.216]',0.559,0.333,105.469"
"'[21:57:51.224]',0.598,0.349,103.906"
"'[21:57:51.232]',0.559,0.369,103.125"
"'[21:57:51.240]',0.598,0.392,101.562"
"'[21:57:51.248]',0.559,0.420,99.219"
"'[21:57:51.256]',0.598,0.447,97.656"
"'[21:57:51.264]',0.575,0.478,95.312"
"'[21:57:51.272]',0.598,0.510,92.969"
"'[21:57:51.280]',0.567,0.545,89.844"
"'[21:57:51.288]',0.598,0.580,86.719"
"'[21:57:51.296]',0.559,0.612,83.594"
"'[21:57:51.304]',0.551,0.639,80.469"
"'[21:57:51.312]',0.583,0.667,78.125"
"'[21:57:51.320]',0.551,0.694,75.781"
"'[21:57:51.328]',0.583,0.718,74.219"
"'[21:57:51.336]',0.551,0.733,72.656"
"'[21:57:51.344]',0.591,0.749,71.875"
"'[21:57:51.352]',0.567,0.765,71.094"
"'[21:57:51.360]',0.630,0.776,70.312"
"'[21:57:51.368]',0.614,0.784,70.312"
"'[21:57:51.376]',0.669,0.792,69.531"
"'[21:57:51.384]',0.654,0.796,69.531"
"'[21:57:51.392]',0.693,0.800,69.531"
"'[21:57:51.400]',0.638,0.804,68.750"
"'[21:57:51.408]',0.638,0.804,68.750"
"'[21:57:51.416]',0.583,0.804,68.750"
"'[21:57:51.424]',0.614,0.804,67.969"
"'[21:57:51.432]',0.559,0.800,67.188"
"'[21:57:51.440]',0.583,0.796,67.188"
"'[21:57:51.448]',0.543,0.788,66.406"
