'Time','II','AVR','V','RESP','PLETH','ABP','CVP','ICP'
'[03:44:58.184]',0.310,0.590,1.115,0.937,2.031,71.215,-,-
'[03:44:58.192]',0.330,0.585,1.090,0.945,2.014,75.366,-,-
'[03:44:58.200]',0.345,0.570,1.060,0.953,1.995,81.130,-,-
'[03:44:58.208]',0.355,0.570,1.015,0.961,1.981,88.115,-,-
'[03:44:58.216]',0.360,0.565,0.975,0.969,1.970,95.734,-,-
'[03:44:58.224]',0.355,0.565,0.930,0.977,1.959,103.598,-,-
'[03:44:58.232]',0.335,0.565,0.885,0.985,1.948,111.120,-,-
'[03:44:58.240]',0.310,0.585,0.850,0.990,1.935,117.763,-,-
'[03:44:58.248]',0.285,0.590,0.815,0.996,1.923,122.941,-,-
'[03:44:58.256]',0.260,0.600,0.795,0.998,1.906,126.311,-,-
'[03:44:58.264]',0.235,0.615,0.785,1.000,1.889,127.727,-,-
'[03:44:58.272]',0.215,0.620,0.780,1.000,1.873,127.434,-,-
'[03:44:58.280]',0.195,0.630,0.780,1.000,1.860,125.578,-,-
'[03:44:58.288]',0.170,0.640,0.785,1.000,1.849,122.696,-,-
'[03:44:58.296]',0.160,0.645,0.785,1.000,1.839,119.180,-,-
'[03:44:58.304]',0.145,0.655,0.785,1.000,1.831,115.419,-,-
'[03:44:58.312]',0.140,0.660,0.785,1.000,1.825,111.658,-,-
'[03:44:58.320]',0.130,0.660,0.785,1.000,1.817,108.190,-,-
'[03:44:58.328]',0.130,0.660,0.795,1.000,1.808,105.161,-,-
'[03:44:58.336]',0.125,0.665,0.800,0.997,1.800,102.719,-,-
'[03:44:58.344]',0.125,0.660,0.800,0.995,1.795,100.912,-,-
'[03:44:58.352]',0.130,0.660,0.805,0.990,1.793,99.544,-,-
'[03:44:58.360]',0.130,0.660,0.800,0.985,1.787,98.616,-,-
'[03:44:58.368]',0.125,0.660,0.800,0.977,1.779,97.932,-,-
'[03:44:58.376]',0.135,0.660,0.800,0.970,1.770,97.346,-,-
'[03:44:58.384]',0.135,0.660,0.800,0.960,1.761,96.809,-,-
'[03:44:58.392]',0.135,0.655,0.795,0.951,1.751,96.125,-,-
'[03:44:58.400]',0.135,0.660,0.800,0.940,1.742,95.197,-,-
'[03:44:58.408]',0.135,0.660,0.790,0.930,1.735,93.878,-,-
'[03:44:58.416]',0.140,0.655,0.790,0.919,1.729,92.120,-,-
'[03:44:58.424]',0.135,0.655,0.785,0.908,1.723,90.166,-,-
'[03:44:58.432]',0.135,0.650,0.785,0.897,1.718,88.261,-,-
'[03:44:58.440]',0.135,0.655,0.780,0.887,1.716,86.356,-,-
'[03:44:58.448]',0.130,0.655,0.780,0.876,1.719,84.793,-,-
'[03:44:58.456]',0.130,0.660,0.775,0.866,1.726,83.475,-,-
'[03:44:58.464]',0.135,0.655,0.775,0.855,1.736,82.595,-,-
'[03:44:58.472]',0.135,0.655,0.780,0.844,1.740,82.058,-,-
'[03:44:58.480]',0.135,0.650,0.780,0.833,1.750,81.912,-,-
'[03:44:58.488]',0.135,0.650,0.785,0.822,1.786,82.107,-,-
'[03:44:58.496]',0.145,0.645,0.795,0.811,1.840,82.693,-,-
'[03:44:58.504]',0.160,0.640,0.810,0.801,1.897,83.426,-,-
'[03:44:58.512]',0.170,0.630,0.825,0.792,1.960,84.256,-,-
'[03:44:58.520]',0.185,0.625,0.845,0.782,2.033,85.135,-,-
'[03:44:58.528]',0.215,0.600,0.835,0.773,2.107,85.868,-,-
'[03:44:58.536]',0.240,0.570,0.800,0.763,2.174,86.503,-,-
'[03:44:58.544]',0.250,0.560,0.785,0.753,2.236,86.943,-,-
'[03:44:58.552]',0.260,0.555,0.785,0.743,2.295,87.040,-,-
'[03:44:58.560]',0.240,0.560,0.770,0.733,2.353,86.991,-,-
'[03:44:58.568]',0.220,0.580,0.760,0.722,2.404,86.698,-,-
'[03:44:58.576]',0.190,0.600,0.760,0.711,2.447,86.112,-,-
'[03:44:58.584]',0.150,0.635,0.765,0.700,2.479,85.477,-,-
'[03:44:58.592]',0.130,0.660,0.760,0.690,2.499,84.696,-,-
'[03:44:58.600]',0.125,0.660,0.760,0.680,2.508,83.816,-,-
'[03:44:58.608]',0.125,0.665,0.765,0.671,2.513,82.937,-,-
'[03:44:58.616]',0.120,0.665,0.770,0.662,2.515,82.009,-,-
'[03:44:58.624]',0.120,0.665,0.765,0.652,2.516,81.130,-,-
'[03:44:58.632]',0.120,0.670,0.765,0.643,2.517,80.251,-,-
'[03:44:58.640]',0.125,0.665,0.780,0.634,2.514,79.421,-,-
'[03:44:58.648]',0.140,0.690,0.810,0.624,2.507,78.590,-,-
'[03:44:58.656]',0.195,0.710,0.930,0.615,2.499,77.809,-,-
'[03:44:58.664]',0.580,0.385,0.970,0.605,2.488,77.125,-,-
'[03:44:58.672]',1.465,-0.350,-0.275,0.596,2.477,76.490,-,-
'[03:44:58.680]',1.500,-0.500,-0.500,0.587,2.469,75.855,-,-
'[03:44:58.688]',0.890,-0.205,-0.500,0.578,2.462,75.318,-,-
'[03:44:58.696]',0.400,0.235,-0.230,0.569,2.454,74.878,-,-
'[03:44:58.704]',0.255,0.450,0.305,0.559,2.443,74.341,-,-
'[03:44:58.712]',0.130,0.620,0.700,0.550,2.429,73.901,-,-
'[03:44:58.720]',0.040,0.725,0.880,0.540,2.409,73.559,-,-
'[03:44:58.728]',0.015,0.755,0.935,0.531,2.384,73.168,-,-
'[03:44:58.736]',0.010,0.770,0.960,0.523,2.361,72.778,-,-
'[03:44:58.744]',0.005,0.775,0.975,0.514,2.337,72.533,-,-
'[03:44:58.752]',0.005,0.775,0.980,0.506,2.318,72.387,-,-
'[03:44:58.760]',0.010,0.770,0.975,0.498,2.302,72.192,-,-
'[03:44:58.768]',0.020,0.765,0.975,0.490,2.285,71.996,-,-
'[03:44:58.776]',0.030,0.755,0.975,0.483,2.267,71.850,-,-
'[03:44:58.784]',0.035,0.755,0.975,0.475,2.249,71.654,-,-
'[03:44:58.792]',0.050,0.745,0.975,0.468,2.235,71.508,-,-
'[03:44:58.800]',0.055,0.740,0.975,0.460,2.222,71.215,-,-
'[03:44:58.808]',0.065,0.730,0.980,0.453,2.209,70.922,-,-
'[03:44:58.816]',0.075,0.725,0.985,0.446,2.197,70.629,-,-
'[03:44:58.824]',0.085,0.715,0.995,0.440,2.186,70.238,-,-
'[03:44:58.832]',0.100,0.710,0.995,0.434,2.175,69.847,-,-
'[03:44:58.840]',0.110,0.700,1.000,0.429,2.163,69.407,-,-
'[03:44:58.848]',0.125,0.695,1.010,0.423,2.150,69.066,-,-
'[03:44:58.856]',0.140,0.685,1.015,0.418,2.134,68.675,-,-
'[03:44:58.864]',0.150,0.680,1.025,0.412,2.120,68.284,-,-
'[03:44:58.872]',0.165,0.670,1.040,0.407,2.106,67.844,-,-
'[03:44:58.880]',0.185,0.660,1.055,0.402,2.087,67.503,-,-
'[03:44:58.888]',0.200,0.645,1.065,0.398,2.066,67.112,-,-
'[03:44:58.896]',0.225,0.640,1.085,0.393,2.045,66.868,-,-
'[03:44:58.904]',0.250,0.625,1.090,0.389,2.025,66.672,-,-
'[03:44:58.912]',0.270,0.610,1.100,0.385,2.007,66.672,-,-
'[03:44:58.920]',0.290,0.595,1.100,0.381,1.989,66.916,-,-
'[03:44:58.928]',0.310,0.590,1.100,0.377,1.973,67.796,-,-
'[03:44:58.936]',0.330,0.575,1.090,0.374,1.959,69.798,-,-
'[03:44:58.944]',0.345,0.570,1.075,0.370,1.946,73.315,-,-
'[03:44:58.952]',0.355,0.565,1.050,0.367,1.932,78.492,-,-
'[03:44:58.960]',0.360,0.560,1.015,0.364,1.915,85.038,-,-
'[03:44:58.968]',0.365,0.555,0.980,0.360,1.895,92.413,-,-
'[03:44:58.976]',0.350,0.560,0.940,0.357,1.875,100.130,-,-
'[03:44:58.984]',0.335,0.565,0.900,0.353,1.853,107.750,-,-
'[03:44:58.992]',0.310,0.580,0.860,0.349,1.835,114.686,-,-
'[03:44:59.000]',0.290,0.590,0.830,0.345,1.823,120.352,-,-
'[03:44:59.008]',0.260,0.600,0.810,0.340,1.814,124.406,-,-
'[03:44:59.016]',0.230,0.615,0.795,0.335,1.804,126.555,-,-
'[03:44:59.024]',0.210,0.630,0.785,0.330,1.794,126.848,-,-
'[03:44:59.032]',0.190,0.635,0.785,0.324,1.783,125.481,-,-
'[03:44:59.040]',0.170,0.640,0.785,0.317,1.771,122.843,-,-
'[03:44:59.048]',0.160,0.650,0.785,0.311,1.761,119.375,-,-
'[03:44:59.056]',0.145,0.655,0.785,0.304,1.749,115.467,-,-
'[03:44:59.064]',0.140,0.660,0.790,0.297,1.738,111.560,-,-
'[03:44:59.072]',0.130,0.660,0.790,0.290,1.726,107.945,-,-
'[03:44:59.080]',0.130,0.660,0.795,0.283,1.716,104.673,-,-
'[03:44:59.088]',0.125,0.665,0.795,0.277,1.704,101.986,-,-
'[03:44:59.096]',0.125,0.665,0.795,0.270,1.693,99.935,-,-
'[03:44:59.104]',0.125,0.665,0.795,0.263,1.684,98.323,-,-
'[03:44:59.112]',0.125,0.665,0.800,0.256,1.677,97.200,-,-
'[03:44:59.120]',0.135,0.660,0.800,0.249,1.669,96.369,-,-
'[03:44:59.128]',0.140,0.655,0.805,0.242,1.658,95.686,-,-
'[03:44:59.136]',0.140,0.655,0.795,0.236,1.650,95.051,-,-
'[03:44:59.144]',0.140,0.655,0.790,0.230,1.643,94.367,-,-
'[03:44:59.152]',0.140,0.655,0.790,0.225,1.634,93.341,-,-
'[03:44:59.160]',0.145,0.655,0.785,0.220,1.625,92.071,-,-
'[03:44:59.168]',0.140,0.660,0.785,0.215,1.614,90.410,-,-
'[03:44:59.176]',0.135,0.655,0.785,0.211,1.603,88.603,-,-
'[03:44:59.184]',0.130,0.660,0.785,0.206,1.591,86.747,-,-
'[03:44:59.192]',0.140,0.655,0.785,0.202,1.581,85.038,-,-
'[03:44:59.200]',0.130,0.660,0.785,0.198,1.572,83.621,-,-
'[03:44:59.208]',0.125,0.660,0.785,0.195,1.568,82.498,-,-
'[03:44:59.216]',0.125,0.660,0.785,0.192,1.569,81.716,-,-
'[03:44:59.224]',0.125,0.665,0.785,0.189,1.581,81.374,-,-
'[03:44:59.232]',0.125,0.660,0.785,0.186,1.609,81.423,-,-
'[03:44:59.240]',0.135,0.660,0.790,0.183,1.654,81.814,-,-
'[03:44:59.248]',0.145,0.650,0.810,0.181,1.713,82.351,-,-
'[03:44:59.256]',0.160,0.640,0.825,0.179,1.781,83.182,-,-
'[03:44:59.264]',0.170,0.640,0.835,0.178,1.857,84.012,-,-
'[03:44:59.272]',0.175,0.630,0.855,0.176,1.940,84.793,-,-
'[03:44:59.280]',0.215,0.595,0.830,0.175,2.023,85.575,-,-
'[03:44:59.288]',0.230,0.575,0.800,0.175,2.099,86.112,-,-
'[03:44:59.296]',0.240,0.565,0.785,0.174,2.164,86.405,-,-
'[03:44:59.304]',0.245,0.555,0.785,0.174,2.217,86.503,-,-
'[03:44:59.312]',0.230,0.565,0.770,0.174,2.257,86.308,-,-
'[03:44:59.320]',0.200,0.590,0.760,0.174,2.294,85.917,-,-
'[03:44:59.328]',0.170,0.620,0.765,0.174,2.329,85.379,-,-
'[03:44:59.336]',0.135,0.655,0.765,0.175,2.365,84.696,-,-
'[03:44:59.344]',0.110,0.670,0.765,0.175,2.396,83.865,-,-
'[03:44:59.352]',0.110,0.680,0.770,0.176,2.420,83.035,-,-
'[03:44:59.360]',0.110,0.675,0.770,0.177,2.438,82.107,-,-
'[03:44:59.368]',0.105,0.675,0.775,0.179,2.453,81.228,-,-
'[03:44:59.376]',0.115,0.675,0.770,0.180,2.465,80.446,-,-
'[03:44:59.384]',0.115,0.670,0.775,0.182,2.474,79.616,-,-
'[03:44:59.392]',0.120,0.675,0.785,0.183,2.479,78.883,-,-
'[03:44:59.400]',0.125,0.705,0.835,0.185,2.478,78.199,-,-
'[03:44:59.408]',0.210,0.720,0.945,0.186,2.472,77.564,-,-
'[03:44:59.416]',0.665,0.310,0.950,0.188,2.463,76.881,-,-
'[03:44:59.424]',1.500,-0.420,-0.335,0.189,2.454,76.294,-,-
'[03:44:59.432]',1.440,-0.500,-0.500,0.190,2.443,75.660,-,-
'[03:44:59.440]',0.780,-0.135,-0.500,0.192,2.429,75.122,-,-
'[03:44:59.448]',0.370,0.270,-0.190,0.193,2.412,74.634,-,-
'[03:44:59.456]',0.230,0.490,0.355,0.194,2.391,74.194,-,-
'[03:44:59.464]',0.105,0.650,0.725,0.195,2.367,73.803,-,-
'[03:44:59.472]',0.035,0.740,0.890,0.196,2.338,73.364,-,-
'[03:44:59.480]',0.005,0.765,0.945,0.197,2.307,73.071,-,-
'[03:44:59.488]',0.000,0.780,0.955,0.197,2.280,72.729,-,-
'[03:44:59.496]',-0.005,0.785,0.975,0.197,2.261,72.485,-,-
'[03:44:59.504]',0.000,0.785,0.975,0.197,2.246,72.240,-,-
'[03:44:59.512]',0.005,0.780,0.975,0.197,2.233,72.045,-,-
'[03:44:59.520]',0.020,0.775,0.980,0.197,2.221,71.850,-,-
'[03:44:59.528]',0.030,0.760,0.980,0.197,2.209,71.605,-,-
'[03:44:59.536]',0.040,0.755,0.980,0.196,2.195,71.410,-,-
'[03:44:59.544]',0.055,0.750,0.980,0.196,2.179,71.166,-,-
'[03:44:59.552]',0.055,0.745,0.985,0.195,2.162,70.873,-,-
'[03:44:59.560]',0.065,0.735,0.980,0.195,2.149,70.531,-,-
'[03:44:59.568]',0.075,0.730,0.990,0.195,2.136,70.238,-,-
'[03:44:59.576]',0.085,0.725,0.990,0.195,2.124,69.847,-,-
'[03:44:59.584]',0.100,0.710,0.995,0.195,2.118,69.505,-,-
'[03:44:59.592]',0.105,0.710,1.000,0.195,2.115,69.066,-,-
'[03:44:59.600]',0.120,0.700,1.005,0.196,2.114,68.675,-,-
'[03:44:59.608]',0.135,0.685,1.015,0.196,2.108,68.235,-,-
'[03:44:59.616]',0.145,0.685,1.020,0.196,2.099,67.844,-,-
'[03:44:59.624]',0.160,0.670,1.040,0.196,2.089,67.405,-,-
'[03:44:59.632]',0.180,0.660,1.050,0.195,2.075,67.063,-,-
'[03:44:59.640]',0.200,0.655,1.065,0.195,2.064,66.721,-,-
'[03:44:59.648]',0.220,0.640,1.075,0.195,2.049,66.477,-,-
'[03:44:59.656]',0.240,0.625,1.085,0.195,2.033,66.379,-,-
'[03:44:59.664]',0.265,0.615,1.090,0.195,2.017,66.379,-,-
'[03:44:59.672]',0.290,0.600,1.095,0.195,2.000,66.623,-,-
'[03:44:59.680]',0.310,0.590,1.090,0.195,1.983,67.503,-,-
'[03:44:59.688]',0.325,0.580,1.090,0.196,1.967,69.407,-,-
'[03:44:59.696]',0.340,0.570,1.070,0.196,1.950,72.875,-,-
'[03:44:59.704]',0.350,0.565,1.045,0.196,1.934,77.858,-,-
'[03:44:59.712]',0.360,0.565,1.015,0.196,1.916,84.256,-,-
'[03:44:59.720]',0.360,0.560,0.975,0.197,1.896,91.485,-,-
'[03:44:59.728]',0.350,0.565,0.935,0.196,1.875,99.154,-,-
'[03:44:59.736]',0.330,0.575,0.900,0.196,1.853,106.871,-,-
'[03:44:59.744]',0.305,0.590,0.860,0.195,1.838,113.856,-,-
'[03:44:59.752]',0.275,0.605,0.835,0.195,1.827,119.766,-,-
'[03:44:59.760]',0.245,0.615,0.815,0.194,1.816,123.917,-,-
'[03:44:59.768]',0.225,0.625,0.805,0.193,1.805,126.262,-,-
'[03:44:59.776]',0.200,0.640,0.790,0.192,1.794,126.702,-,-
'[03:44:59.784]',0.180,0.645,0.790,0.191,1.786,125.481,-,-
'[03:44:59.792]',0.170,0.650,0.790,0.190,1.779,122.989,-,-
'[03:44:59.800]',0.150,0.660,0.790,0.189,1.772,119.570,-,-
'[03:44:59.808]',0.145,0.660,0.795,0.187,1.766,115.614,-,-
'[03:44:59.816]',0.135,0.660,0.795,0.186,1.758,111.560,-,-
'[03:44:59.824]',0.125,0.670,0.800,0.184,1.748,107.750,-,-
'[03:44:59.832]',0.120,0.675,0.800,0.182,1.737,104.282,-,-
'[03:44:59.840]',0.125,0.670,0.800,0.179,1.726,101.449,-,-
'[03:44:59.848]',0.125,0.670,0.800,0.177,1.716,99.105,-,-
'[03:44:59.856]',0.125,0.670,0.800,0.174,1.704,97.346,-,-
'[03:44:59.864]',0.125,0.665,0.800,0.172,1.693,96.076,-,-
'[03:44:59.872]',0.130,0.660,0.800,0.170,1.681,95.051,-,-
'[03:44:59.880]',0.135,0.660,0.795,0.169,1.671,94.367,-,-
'[03:44:59.888]',0.135,0.660,0.795,0.168,1.659,93.732,-,-
'[03:44:59.896]',0.135,0.660,0.795,0.167,1.648,92.999,-,-
'[03:44:59.904]',0.130,0.660,0.800,0.167,1.639,92.071,-,-
'[03:44:59.912]',0.130,0.660,0.795,0.167,1.632,90.801,-,-
'[03:44:59.920]',0.130,0.660,0.790,0.168,1.624,89.238,-,-
'[03:44:59.928]',0.125,0.660,0.790,0.169,1.613,87.529,-,-
'[03:44:59.936]',0.125,0.660,0.790,0.170,1.602,85.868,-,-
'[03:44:59.944]',0.125,0.660,0.790,0.171,1.591,84.354,-,-
'[03:44:59.952]',0.120,0.660,0.785,0.172,1.581,83.133,-,-
'[03:44:59.960]',0.125,0.660,0.785,0.173,1.572,82.253,-,-
'[03:44:59.968]',0.120,0.660,0.785,0.175,1.571,81.667,-,-
'[03:44:59.976]',0.125,0.660,0.790,0.178,1.582,81.472,-,-
'[03:44:59.984]',0.120,0.660,0.790,0.180,1.606,81.618,-,-
'[03:44:59.992]',0.125,0.660,0.790,0.183,1.646,82.107,-,-
'[03:45:00.000]',0.130,0.660,0.810,0.186,1.695,82.840,-,-
'[03:45:00.008]',0.145,0.645,0.825,0.189,1.750,83.670,-,-
'[03:45:00.016]',0.155,0.640,0.835,0.192,1.819,84.549,-,-
'[03:45:00.024]',0.165,0.635,0.855,0.195,1.898,85.379,-,-
'[03:45:00.032]',0.195,0.610,0.835,0.198,1.983,85.966,-,-
'[03:45:00.040]',0.205,0.590,0.805,0.201,2.067,86.503,-,-
'[03:45:00.048]',0.215,0.580,0.790,0.204,2.150,86.747,-,-
'[03:45:00.056]',0.220,0.575,0.785,0.207,2.224,86.796,-,-
'[03:45:00.064]',0.200,0.590,0.775,0.210,2.283,86.552,-,-
'[03:45:00.072]',0.175,0.610,0.765,0.213,2.330,86.112,-,-
'[03:45:00.080]',0.150,0.635,0.770,0.216,2.368,85.575,-,-
'[03:45:00.088]',0.110,0.670,0.775,0.219,2.395,84.793,-,-
'[03:45:00.096]',0.085,0.685,0.770,0.221,2.413,84.061,-,-
'[03:45:00.104]',0.080,0.685,0.765,0.224,2.426,83.182,-,-
'[03:45:00.112]',0.085,0.690,0.770,0.227,2.435,82.351,-,-
'[03:45:00.120]',0.085,0.685,0.780,0.230,2.445,81.570,-,-
'[03:45:00.128]',0.085,0.685,0.780,0.233,2.456,80.739,-,-
'[03:45:00.136]',0.085,0.690,0.785,0.237,2.461,79.909,-,-
'[03:45:00.144]',0.085,0.685,0.785,0.242,2.458,79.176,-,-
'[03:45:00.152]',0.095,0.720,0.835,0.246,2.452,78.492,-,-
'[03:45:00.160]',0.175,0.725,0.955,0.252,2.442,77.809,-,-
'[03:45:00.168]',0.650,0.325,0.965,0.259,2.432,77.174,-,-
'[03:45:00.176]',1.500,-0.425,-0.395,0.266,2.421,76.636,-,-
'[03:45:00.184]',1.500,-0.500,-0.500,0.274,2.411,76.099,-,-
'[03:45:00.192]',0.800,-0.110,-0.500,0.282,2.399,75.611,-,-
'[03:45:00.200]',0.335,0.310,-0.120,0.290,2.388,75.171,-,-
'[03:45:00.208]',0.205,0.500,0.390,0.299,2.376,74.731,-,-
'[03:45:00.216]',0.080,0.660,0.745,0.308,2.363,74.292,-,-
'[03:45:00.224]',0.000,0.745,0.895,0.318,2.344,73.901,-,-
'[03:45:00.232]',-0.025,0.775,0.945,0.329,2.321,73.608,-,-
'[03:45:00.240]',-0.030,0.785,0.965,0.341,2.295,73.315,-,-
'[03:45:00.248]',-0.025,0.790,0.980,0.352,2.269,73.071,-,-
'[03:45:00.256]',-0.025,0.795,0.985,0.363,2.244,72.778,-,-
'[03:45:00.264]',-0.015,0.785,0.985,0.374,2.227,72.631,-,-
'[03:45:00.272]',-0.015,0.780,0.985,0.385,2.212,72.436,-,-
'[03:45:00.280]',-0.005,0.775,0.990,0.395,2.199,72.192,-,-
'[03:45:00.288]',0.005,0.770,0.985,0.407,2.187,71.996,-,-
'[03:45:00.296]',0.015,0.760,0.985,0.419,2.178,71.801,-,-
'[03:45:00.304]',0.030,0.755,0.990,0.433,2.174,71.557,-,-
'[03:45:00.312]',0.035,0.750,0.995,0.447,2.169,71.215,-,-
'[03:45:00.320]',0.045,0.735,1.000,0.462,2.160,70.922,-,-
'[03:45:00.328]',0.055,0.730,1.000,0.477,2.153,70.629,-,-
'[03:45:00.336]',0.065,0.730,1.000,0.493,2.151,70.287,-,-
'[03:45:00.344]',0.075,0.720,1.010,0.509,2.143,69.994,-,-
'[03:45:00.352]',0.080,0.715,1.020,0.523,2.131,69.603,-,-
'[03:45:00.360]',0.095,0.710,1.025,0.538,2.119,69.261,-,-
'[03:45:00.368]',0.110,0.705,1.045,0.551,2.110,68.870,-,-
'[03:45:00.376]',0.130,0.690,1.060,0.565,2.107,68.479,-,-
'[03:45:00.384]',0.145,0.685,1.075,0.579,2.105,68.089,-,-
'[03:45:00.392]',0.165,0.675,1.090,0.593,2.098,67.747,-,-
'[03:45:00.400]',0.185,0.660,1.105,0.607,2.089,67.503,-,-
'[03:45:00.408]',0.210,0.645,1.115,0.621,2.081,67.356,-,-
'[03:45:00.416]',0.240,0.635,1.125,0.634,2.068,67.405,-,-
'[03:45:00.424]',0.260,0.625,1.125,0.648,2.054,67.942,-,-
'[03:45:00.432]',0.275,0.615,1.115,0.660,2.038,69.261,-,-
'[03:45:00.440]',0.290,0.605,1.110,0.673,2.020,71.801,-,-
'[03:45:00.448]',0.310,0.590,1.090,0.685,2.002,76.050,-,-
'[03:45:00.456]',0.325,0.585,1.060,0.698,1.987,81.863,-,-
'[03:45:00.464]',0.330,0.575,1.015,0.711,1.972,88.847,-,-
'[03:45:00.472]',0.335,0.575,0.975,0.724,1.952,96.467,-,-
'[03:45:00.480]',0.330,0.575,0.930,0.735,1.932,104.429,-,-
'[03:45:00.488]',0.310,0.585,0.890,0.747,1.910,112.000,-,-
'[03:45:00.496]',0.290,0.590,0.850,0.758,1.893,118.691,-,-
'[03:45:00.504]',0.260,0.605,0.825,0.769,1.880,123.917,-,-
'[03:45:00.512]',0.235,0.615,0.800,0.778,1.861,127.385,-,-
'[03:45:00.520]',0.205,0.630,0.790,0.787,1.839,128.851,-,-
'[03:45:00.528]',0.190,0.640,0.785,0.794,1.817,128.607,-,-
'[03:45:00.536]',0.170,0.645,0.785,0.801,1.801,126.799,-,-
'[03:45:00.544]',0.150,0.655,0.785,0.807,1.788,123.820,-,-
'[03:45:00.552]',0.140,0.660,0.795,0.814,1.776,120.254,-,-
'[03:45:00.560]',0.125,0.665,0.795,0.819,1.765,116.347,-,-
'[03:45:00.568]',0.115,0.675,0.800,0.825,1.755,112.635,-,-
'[03:45:00.576]',0.115,0.670,0.810,0.829,1.744,109.167,-,-
'[03:45:00.584]',0.110,0.675,0.810,0.834,1.739,106.187,-,-
'[03:45:00.592]',0.110,0.670,0.810,0.838,1.736,103.794,-,-
'[03:45:00.600]',0.105,0.675,0.810,0.842,1.735,101.986,-,-
'[03:45:00.608]',0.105,0.670,0.810,0.845,1.737,100.619,-,-
'[03:45:00.616]',0.110,0.675,0.810,0.849,1.738,99.740,-,-
'[03:45:00.624]',0.110,0.670,0.810,0.851,1.736,99.056,-,-
'[03:45:00.632]',0.115,0.670,0.810,0.854,1.729,98.616,-,-
'[03:45:00.640]',0.120,0.670,0.810,0.858,1.721,98.128,-,-
'[03:45:00.648]',0.115,0.665,0.810,0.861,1.712,97.444,-,-
'[03:45:00.656]',0.120,0.665,0.805,0.865,1.702,96.467,-,-
'[03:45:00.664]',0.115,0.665,0.800,0.870,1.692,95.099,-,-
'[03:45:00.672]',0.115,0.665,0.800,0.873,1.681,93.439,-,-
'[03:45:00.680]',0.120,0.665,0.795,0.877,1.672,91.436,-,-
'[03:45:00.688]',0.120,0.660,0.795,0.881,1.661,89.434,-,-
'[03:45:00.696]',0.120,0.660,0.795,0.885,1.656,87.529,-,-
'[03:45:00.704]',0.120,0.660,0.800,0.890,1.659,85.868,-,-
'[03:45:00.712]',0.115,0.665,0.795,0.895,1.665,84.549,-,-
'[03:45:00.720]',0.120,0.665,0.790,0.901,1.675,83.475,-,-
'[03:45:00.728]',0.120,0.660,0.790,0.907,1.694,82.840,-,-
'[03:45:00.736]',0.120,0.660,0.790,0.911,1.724,82.693,-,-
'[03:45:00.744]',0.125,0.660,0.790,0.916,1.767,82.937,-,-
'[03:45:00.752]',0.125,0.660,0.795,0.920,1.822,83.426,-,-
'[03:45:00.760]',0.135,0.655,0.810,0.924,1.888,84.158,-,-
'[03:45:00.768]',0.150,0.645,0.825,0.927,1.962,84.989,-,-
