'Time','II','PLETH','ABP','III'
'[03:55:25.632]',0.227,0.475,77.812,-
'[03:55:25.640]',0.211,0.475,66.562,-
'[03:55:25.648]',0.203,0.475,62.812,-
'[03:55:25.656]',0.195,0.475,71.250,-
'[03:55:25.664]',0.219,0.482,85.312,-
'[03:55:25.672]',0.266,0.482,90.938,-
'[03:55:25.680]',0.320,0.482,86.250,-
'[03:55:25.688]',0.305,0.490,80.625,-
'[03:55:25.696]',0.250,0.490,81.562,-
'[03:55:25.704]',0.227,0.490,84.375,-
'[03:55:25.712]',0.102,0.502,86.250,-
'[03:55:25.720]',-0.109,0.502,84.375,-
'[03:55:25.728]',-0.188,0.502,78.750,-
'[03:55:25.736]',-0.102,0.502,72.188,-
'[03:55:25.744]',0.031,0.502,67.500,-
'[03:55:25.752]',0.125,0.502,66.562,-
'[03:55:25.760]',0.172,0.502,68.438,-
'[03:55:25.768]',0.195,0.502,71.250,-
'[03:55:25.776]',0.211,0.502,73.125,-
'[03:55:25.784]',0.219,0.502,73.125,-
'[03:55:25.792]',0.227,0.502,73.125,-
'[03:55:25.800]',0.227,0.502,73.125,-
'[03:55:25.808]',0.227,0.502,73.125,-
'[03:55:25.816]',0.234,0.490,70.312,-
'[03:55:25.824]',0.242,0.490,68.438,-
'[03:55:25.832]',0.250,0.490,69.375,-
'[03:55:25.840]',0.250,0.490,72.188,-
'[03:55:25.848]',0.266,0.490,73.125,-
'[03:55:25.856]',0.266,0.490,71.250,-
'[03:55:25.864]',0.266,0.490,68.438,-
'[03:55:25.872]',0.266,0.490,66.562,-
'[03:55:25.880]',0.273,0.490,65.625,-
'[03:55:25.888]',0.273,0.490,64.688,-
'[03:55:25.896]',0.273,0.490,64.688,-
'[03:55:25.904]',0.266,0.490,64.688,-
'[03:55:25.912]',0.266,0.490,64.688,-
'[03:55:25.920]',0.281,0.490,64.688,-
'[03:55:25.928]',0.297,0.482,64.688,-
'[03:55:25.936]',0.312,0.482,66.562,-
'[03:55:25.944]',0.320,0.482,72.188,-
'[03:55:25.952]',0.336,0.482,79.688,-
'[03:55:25.960]',0.336,0.482,86.250,-
'[03:55:25.968]',0.352,0.482,93.750,-
'[03:55:25.976]',0.367,0.482,100.312,-
'[03:55:25.984]',0.375,0.482,105.000,-
'[03:55:25.992]',0.359,0.482,108.750,-
'[03:55:26.000]',0.336,0.475,111.562,-
'[03:55:26.008]',0.312,0.475,116.250,-
'[03:55:26.016]',0.289,0.475,120.000,-
'[03:55:26.024]',0.266,0.475,122.812,-
'[03:55:26.032]',0.250,0.475,123.750,-
'[03:55:26.040]',0.250,0.475,123.750,-
'[03:55:26.048]',0.250,0.467,123.750,-
'[03:55:26.056]',0.250,0.467,123.750,-
'[03:55:26.064]',0.250,0.467,123.750,-
'[03:55:26.072]',0.250,0.459,123.750,-
'[03:55:26.080]',0.250,0.459,123.750,-
'[03:55:26.088]',0.250,0.459,121.875,-
'[03:55:26.096]',0.242,0.451,120.000,-
'[03:55:26.104]',0.242,0.451,117.188,-
'[03:55:26.112]',0.242,0.451,114.375,-
'[03:55:26.120]',0.250,0.443,111.562,-
'[03:55:26.128]',0.250,0.443,107.812,-
'[03:55:26.136]',0.266,0.443,103.125,-
'[03:55:26.144]',0.289,0.431,98.438,-
'[03:55:26.152]',0.297,0.431,93.750,-
'[03:55:26.160]',0.312,0.431,90.000,-
'[03:55:26.168]',0.320,0.431,87.188,-
'[03:55:26.176]',0.297,0.431,86.250,-
'[03:55:26.184]',0.266,0.431,85.312,-
'[03:55:26.192]',0.227,0.424,85.312,-
'[03:55:26.200]',0.195,0.424,84.375,-
'[03:55:26.208]',0.180,0.424,83.438,-
'[03:55:26.216]',0.172,0.431,82.500,-
'[03:55:26.224]',0.172,0.431,81.562,-
'[03:55:26.232]',0.172,0.431,81.562,-
'[03:55:26.240]',0.172,0.431,80.625,-
'[03:55:26.248]',0.211,0.431,79.688,-
'[03:55:26.256]',0.266,0.443,78.750,-
'[03:55:26.264]',0.281,0.443,77.812,-
'[03:55:26.272]',0.242,0.443,77.812,-
'[03:55:26.280]',0.227,0.451,76.875,-
'[03:55:26.288]',0.141,0.451,76.875,-
'[03:55:26.296]',-0.070,0.459,75.938,-
'[03:55:26.304]',-0.219,0.459,75.938,-
'[03:55:26.312]',-0.164,0.467,75.938,-
'[03:55:26.320]',-0.023,0.467,75.000,-
'[03:55:26.328]',0.086,0.475,74.062,-
'[03:55:26.336]',0.141,0.475,74.062,-
'[03:55:26.344]',0.180,0.482,74.062,-
'[03:55:26.352]',0.195,0.482,73.125,-
'[03:55:26.360]',0.203,0.490,73.125,-
'[03:55:26.368]',0.203,0.490,72.188,-
'[03:55:26.376]',0.211,0.490,72.188,-
'[03:55:26.384]',0.211,0.502,71.250,-
'[03:55:26.392]',0.211,0.502,70.312,-
'[03:55:26.400]',0.211,0.502,69.375,-
'[03:55:26.408]',0.211,0.502,69.375,-
'[03:55:26.416]',0.211,0.502,68.438,-
'[03:55:26.424]',0.219,0.502,68.438,-
'[03:55:26.432]',0.227,0.502,67.500,-
'[03:55:26.440]',0.227,0.502,67.500,-
'[03:55:26.448]',0.227,0.502,66.562,-
'[03:55:26.456]',0.234,0.502,66.562,-
'[03:55:26.464]',0.234,0.502,65.625,-
'[03:55:26.472]',0.234,0.502,65.625,-
'[03:55:26.480]',0.242,0.502,64.688,-
'[03:55:26.488]',0.250,0.502,64.688,-
'[03:55:26.496]',0.258,0.502,64.688,-
'[03:55:26.504]',0.273,0.502,64.688,-
'[03:55:26.512]',0.281,0.502,66.562,-
'[03:55:26.520]',0.289,0.502,69.375,-
'[03:55:26.528]',0.297,0.502,74.062,-
'[03:55:26.536]',0.305,0.502,81.562,-
'[03:55:26.544]',0.312,0.502,90.938,-
'[03:55:26.552]',0.336,0.502,99.375,-
'[03:55:26.560]',0.336,0.502,105.938,-
'[03:55:26.568]',0.328,0.502,110.625,-
'[03:55:26.576]',0.312,0.502,113.438,-
'[03:55:26.584]',0.289,0.502,116.250,-
'[03:55:26.592]',0.266,0.502,119.062,-
'[03:55:26.600]',0.250,0.490,121.875,-
'[03:55:26.608]',0.234,0.490,123.750,-
'[03:55:26.616]',0.227,0.490,124.688,-
'[03:55:26.624]',0.227,0.490,125.625,-
'[03:55:26.632]',0.234,0.482,125.625,-
'[03:55:26.640]',0.234,0.482,125.625,-
'[03:55:26.648]',0.227,0.482,124.688,-
'[03:55:26.656]',0.227,0.482,123.750,-
'[03:55:26.664]',0.227,0.482,121.875,-
'[03:55:26.672]',0.227,0.475,120.938,-
'[03:55:26.680]',0.234,0.475,118.125,-
'[03:55:26.688]',0.242,0.475,116.250,-
'[03:55:26.696]',0.242,0.475,113.438,-
'[03:55:26.704]',0.250,0.467,109.688,-
'[03:55:26.712]',0.266,0.467,105.000,-
'[03:55:26.720]',0.281,0.467,100.312,-
'[03:55:26.728]',0.297,0.467,95.625,-
'[03:55:26.736]',0.297,0.459,91.875,-
'[03:55:26.744]',0.312,0.459,89.062,-
'[03:55:26.752]',0.289,0.459,86.250,-
'[03:55:26.760]',0.258,0.459,85.312,-
'[03:55:26.768]',0.227,0.459,85.312,-
'[03:55:26.776]',0.195,0.459,84.375,-
'[03:55:26.784]',0.188,0.451,83.438,-
'[03:55:26.792]',0.180,0.459,82.500,-
'[03:55:26.800]',0.172,0.459,81.562,-
'[03:55:26.808]',0.172,0.459,80.625,-
'[03:55:26.816]',0.180,0.459,79.688,-
'[03:55:26.824]',0.219,0.459,78.750,-
'[03:55:26.832]',0.273,0.459,78.750,-
'[03:55:26.840]',0.281,0.467,77.812,-
'[03:55:26.848]',0.242,0.467,77.812,-
'[03:55:26.856]',0.227,0.467,76.875,-
'[03:55:26.864]',0.156,0.475,76.875,-
'[03:55:26.872]',-0.039,0.475,75.938,-
'[03:55:26.880]',-0.203,0.482,75.938,-
'[03:55:26.888]',-0.211,0.482,75.000,-
'[03:55:26.896]',-0.031,0.490,73.125,-
'[03:55:26.904]',0.086,0.490,72.188,-
'[03:55:26.912]',0.156,0.490,74.062,-
'[03:55:26.920]',0.195,0.502,75.938,-
'[03:55:26.928]',0.211,0.502,76.875,-
'[03:55:26.936]',0.227,0.502,74.062,-
'[03:55:26.944]',0.227,0.502,72.188,-
'[03:55:26.952]',0.234,0.502,72.188,-
'[03:55:26.960]',0.234,0.502,72.188,-
'[03:55:26.968]',0.234,0.510,71.250,-
'[03:55:26.976]',0.234,0.510,69.375,-
'[03:55:26.984]',0.234,0.510,68.438,-
'[03:55:26.992]',0.234,0.510,68.438,-
'[03:55:27.000]',0.242,0.510,67.500,-
'[03:55:27.008]',0.242,0.510,66.562,-
'[03:55:27.016]',0.250,0.510,65.625,-
'[03:55:27.024]',0.250,0.510,64.688,-
'[03:55:27.032]',0.250,0.510,64.688,-
'[03:55:27.040]',0.250,0.510,65.625,-
'[03:55:27.048]',0.250,0.510,65.625,-
'[03:55:27.056]',0.250,0.510,64.688,-
'[03:55:27.064]',0.250,0.510,63.750,-
'[03:55:27.072]',0.266,0.510,64.688,-
'[03:55:27.080]',0.273,0.510,66.562,-
'[03:55:27.088]',0.281,0.502,68.438,-
'[03:55:27.096]',0.281,0.502,71.250,-
'[03:55:27.104]',0.297,0.502,75.000,-
'[03:55:27.112]',0.312,0.502,82.500,-
'[03:55:27.120]',0.320,0.502,90.938,-
'[03:55:27.128]',0.336,0.502,100.312,-
'[03:55:27.136]',0.344,0.502,105.938,-
'[03:55:27.144]',0.336,0.502,109.688,-
'[03:55:27.152]',0.320,0.502,111.562,-
'[03:55:27.160]',0.297,0.502,113.438,-
'[03:55:27.168]',0.273,0.502,116.250,-
'[03:55:27.176]',0.250,0.490,119.062,-
'[03:55:27.184]',0.234,0.490,121.875,-
'[03:55:27.192]',0.227,0.490,123.750,-
'[03:55:27.200]',0.227,0.482,124.688,-
'[03:55:27.208]',0.227,0.482,124.688,-
'[03:55:27.216]',0.227,0.475,124.688,-
'[03:55:27.224]',0.227,0.475,124.688,-
'[03:55:27.232]',0.227,0.475,124.688,-
'[03:55:27.240]',0.227,0.467,123.750,-
'[03:55:27.248]',0.227,0.467,120.938,-
'[03:55:27.256]',0.211,0.467,119.062,-
'[03:55:27.264]',0.211,0.459,116.250,-
'[03:55:27.272]',0.219,0.459,113.438,-
'[03:55:27.280]',0.242,0.459,109.688,-
'[03:55:27.288]',0.250,0.459,105.938,-
'[03:55:27.296]',0.250,0.451,101.250,-
'[03:55:27.304]',0.258,0.451,96.562,-
'[03:55:27.312]',0.273,0.451,91.875,-
'[03:55:27.320]',0.281,0.451,89.062,-
'[03:55:27.328]',0.258,0.451,87.188,-
'[03:55:27.336]',0.227,0.451,86.250,-
'[03:55:27.344]',0.188,0.451,86.250,-
'[03:55:27.352]',0.156,0.451,85.312,-
'[03:55:27.360]',0.141,0.451,84.375,-
'[03:55:27.368]',0.133,0.451,83.438,-
'[03:55:27.376]',0.133,0.451,82.500,-
'[03:55:27.384]',0.133,0.451,81.562,-
'[03:55:27.392]',0.141,0.451,80.625,-
'[03:55:27.400]',0.172,0.451,79.688,-
'[03:55:27.408]',0.227,0.451,78.750,-
'[03:55:27.416]',0.242,0.451,78.750,-
'[03:55:27.424]',0.211,0.459,77.812,-
'[03:55:27.432]',0.203,0.459,76.875,-
'[03:55:27.440]',0.148,0.459,76.875,-
'[03:55:27.448]',-0.055,0.467,75.938,-
'[03:55:27.456]',-0.219,0.467,75.938,-
'[03:55:27.464]',-0.219,0.475,75.000,-
'[03:55:27.472]',-0.039,0.475,75.000,-
'[03:55:27.480]',0.078,0.482,74.062,-
'[03:55:27.488]',0.125,0.482,74.062,-
'[03:55:27.496]',0.164,0.490,73.125,-
'[03:55:27.504]',0.188,0.490,73.125,-
'[03:55:27.512]',0.195,0.490,73.125,-
'[03:55:27.520]',0.211,0.502,73.125,-
'[03:55:27.528]',0.211,0.502,72.188,-
'[03:55:27.536]',0.227,0.502,72.188,-
'[03:55:27.544]',0.227,0.502,71.250,-
'[03:55:27.552]',0.227,0.502,70.312,-
'[03:55:27.560]',0.234,0.502,69.375,-
'[03:55:27.568]',0.234,0.510,69.375,-
'[03:55:27.576]',0.242,0.510,68.438,-
'[03:55:27.584]',0.250,0.510,67.500,-
'[03:55:27.592]',0.250,0.510,67.500,-
'[03:55:27.600]',0.250,0.510,66.562,-
'[03:55:27.608]',0.250,0.510,66.562,-
'[03:55:27.616]',0.250,0.510,66.562,-
'[03:55:27.624]',0.266,0.510,65.625,-
'[03:55:27.632]',0.266,0.510,65.625,-
'[03:55:27.640]',0.266,0.510,65.625,-
'[03:55:27.648]',0.273,0.510,65.625,-
'[03:55:27.656]',0.281,0.510,66.562,-
'[03:55:27.664]',0.289,0.510,67.500,-
'[03:55:27.672]',0.297,0.510,71.250,-
'[03:55:27.680]',0.312,0.510,76.875,-
'[03:55:27.688]',0.320,0.510,85.312,-
'[03:55:27.696]',0.336,0.510,94.688,-
'[03:55:27.704]',0.352,0.510,103.125,-
'[03:55:27.712]',0.352,0.502,109.688,-
'[03:55:27.720]',0.344,0.502,113.438,-
'[03:55:27.728]',0.320,0.502,117.188,-
'[03:55:27.736]',0.305,0.502,120.000,-
'[03:55:27.744]',0.281,0.502,122.812,-
'[03:55:27.752]',0.258,0.502,125.625,-
'[03:55:27.760]',0.250,0.502,127.500,-
'[03:55:27.768]',0.242,0.502,129.375,-
'[03:55:27.776]',0.242,0.502,130.312,-
'[03:55:27.784]',0.234,0.490,130.312,-
'[03:55:27.792]',0.234,0.490,129.375,-
'[03:55:27.800]',0.242,0.490,128.438,-
'[03:55:27.808]',0.242,0.490,127.500,-
'[03:55:27.816]',0.242,0.482,126.562,-
'[03:55:27.824]',0.234,0.482,124.688,-
'[03:55:27.832]',0.242,0.482,122.812,-
'[03:55:27.840]',0.242,0.475,120.000,-
'[03:55:27.848]',0.250,0.475,117.188,-
'[03:55:27.856]',0.266,0.475,113.438,-
'[03:55:27.864]',0.281,0.475,109.688,-
'[03:55:27.872]',0.305,0.467,105.000,-
'[03:55:27.880]',0.320,0.467,100.312,-
'[03:55:27.888]',0.336,0.467,95.625,-
'[03:55:27.896]',0.344,0.467,91.875,-
'[03:55:27.904]',0.328,0.467,90.000,-
'[03:55:27.912]',0.297,0.459,88.125,-
'[03:55:27.920]',0.266,0.459,87.188,-
'[03:55:27.928]',0.242,0.459,87.188,-
'[03:55:27.936]',0.227,0.459,86.250,-
'[03:55:27.944]',0.211,0.459,85.312,-
'[03:55:27.952]',0.211,0.459,84.375,-
'[03:55:27.960]',0.211,0.459,83.438,-
'[03:55:27.968]',0.211,0.459,82.500,-
'[03:55:27.976]',0.250,0.467,81.562,-
'[03:55:27.984]',0.297,0.467,80.625,-
'[03:55:27.992]',0.320,0.467,80.625,-
'[03:55:28.000]',0.297,0.475,79.688,-
'[03:55:28.008]',0.289,0.475,78.750,-
'[03:55:28.016]',0.234,0.482,78.750,-
'[03:55:28.024]',0.023,0.482,77.812,-
'[03:55:28.032]',-0.156,0.490,77.812,-
'[03:55:28.040]',-0.164,0.490,76.875,-
'[03:55:28.048]',0.016,0.502,76.875,-
'[03:55:28.056]',0.125,0.502,75.938,-
'[03:55:28.064]',0.188,0.502,75.938,-
'[03:55:28.072]',0.227,0.502,75.000,-
'[03:55:28.080]',0.250,0.510,75.000,-
'[03:55:28.088]',0.250,0.510,74.062,-
'[03:55:28.096]',0.250,0.510,74.062,-
'[03:55:28.104]',0.250,0.518,73.125,-
'[03:55:28.112]',0.266,0.518,73.125,-
'[03:55:28.120]',0.266,0.525,72.188,-
'[03:55:28.128]',0.266,0.525,71.250,-
'[03:55:28.136]',0.266,0.525,70.312,-
'[03:55:28.144]',0.273,0.525,70.312,-
'[03:55:28.152]',0.281,0.525,69.375,-
'[03:55:28.160]',0.297,0.525,68.438,-
'[03:55:28.168]',0.305,0.533,68.438,-
'[03:55:28.176]',0.305,0.533,67.500,-
'[03:55:28.184]',0.305,0.533,67.500,-
'[03:55:28.192]',0.305,0.533,66.562,-
'[03:55:28.200]',0.312,0.533,66.562,-
'[03:55:28.208]',0.312,0.533,66.562,-
'[03:55:28.216]',0.312,0.533,65.625,-
'[03:55:28.224]',0.312,0.533,65.625,-
'[03:55:28.232]',0.312,0.533,65.625,-
'[03:55:28.240]',0.320,0.533,67.500,-
'[03:55:28.248]',0.336,0.525,70.312,-
'[03:55:28.256]',0.344,0.525,75.938,-
'[03:55:28.264]',0.352,0.525,84.375,-
'[03:55:28.272]',0.367,0.525,93.750,-
'[03:55:28.280]',0.383,0.525,102.188,-
'[03:55:28.288]',0.391,0.525,108.750,-
'[03:55:28.296]',0.383,0.518,113.438,-
'[03:55:28.304]',0.367,0.518,117.188,-
'[03:55:28.312]',0.336,0.518,120.000,-
'[03:55:28.320]',0.320,0.518,122.812,-
'[03:55:28.328]',0.297,0.518,124.688,-
'[03:55:28.336]',0.281,0.510,126.562,-
'[03:55:28.344]',0.273,0.510,128.438,-
'[03:55:28.352]',0.266,0.510,128.438,-
'[03:55:28.360]',0.266,0.510,129.375,-
'[03:55:28.368]',0.266,0.502,128.438,-
'[03:55:28.376]',0.273,0.502,127.500,-
'[03:55:28.384]',0.273,0.502,126.562,-
'[03:55:28.392]',0.281,0.502,125.625,-
'[03:55:28.400]',0.281,0.502,123.750,-
'[03:55:28.408]',0.281,0.502,121.875,-
'[03:55:28.416]',0.281,0.490,120.000,-
'[03:55:28.424]',0.281,0.490,117.188,-
'[03:55:28.432]',0.297,0.490,113.438,-
'[03:55:28.440]',0.312,0.490,108.750,-
'[03:55:28.448]',0.320,0.482,104.062,-
'[03:55:28.456]',0.336,0.482,99.375,-
'[03:55:28.464]',0.352,0.482,94.688,-
'[03:55:28.472]',0.367,0.482,90.938,-
'[03:55:28.480]',0.367,0.475,88.125,-
'[03:55:28.488]',0.328,0.475,87.188,-
'[03:55:28.496]',0.281,0.475,86.250,-
'[03:55:28.504]',0.242,0.475,85.312,-
'[03:55:28.512]',0.227,0.475,84.375,-
'[03:55:28.520]',0.227,0.475,83.438,-
'[03:55:28.528]',0.219,0.475,83.438,-
'[03:55:28.536]',0.219,0.475,82.500,-
'[03:55:28.544]',0.227,0.475,81.562,-
'[03:55:28.552]',0.250,0.475,80.625,-
'[03:55:28.560]',0.297,0.475,79.688,-
'[03:55:28.568]',0.336,0.475,78.750,-
'[03:55:28.576]',0.297,0.475,78.750,-
'[03:55:28.584]',0.266,0.482,77.812,-
'[03:55:28.592]',0.227,0.482,77.812,-
'[03:55:28.600]',0.039,0.482,76.875,-
'[03:55:28.608]',-0.156,0.490,76.875,-
'[03:55:28.616]',-0.188,0.490,75.938,-
'[03:55:28.624]',-0.039,0.502,75.938,-
'[03:55:28.632]',0.094,0.502,75.000,-
'[03:55:28.640]',0.172,0.502,75.000,-
'[03:55:28.648]',0.219,0.502,74.062,-
'[03:55:28.656]',0.242,0.502,74.062,-
'[03:55:28.664]',0.250,0.510,73.125,-
'[03:55:28.672]',0.250,0.510,73.125,-
'[03:55:28.680]',0.258,0.518,72.188,-
'[03:55:28.688]',0.266,0.518,72.188,-
'[03:55:28.696]',0.266,0.518,71.250,-
'[03:55:28.704]',0.266,0.525,70.312,-
'[03:55:28.712]',0.266,0.525,70.312,-
'[03:55:28.720]',0.273,0.525,69.375,-
'[03:55:28.728]',0.273,0.525,68.438,-
'[03:55:28.736]',0.273,0.533,67.500,-
'[03:55:28.744]',0.281,0.533,67.500,-
'[03:55:28.752]',0.297,0.533,66.562,-
'[03:55:28.760]',0.297,0.533,66.562,-
'[03:55:28.768]',0.297,0.533,65.625,-
'[03:55:28.776]',0.297,0.533,65.625,-
'[03:55:28.784]',0.305,0.533,64.688,-
'[03:55:28.792]',0.312,0.533,64.688,-
'[03:55:28.800]',0.312,0.533,64.688,-
'[03:55:28.808]',0.320,0.533,64.688,-
'[03:55:28.816]',0.328,0.533,65.625,-
'[03:55:28.824]',0.336,0.533,67.500,-
'[03:55:28.832]',0.344,0.533,71.250,-
'[03:55:28.840]',0.344,0.533,76.875,-
'[03:55:28.848]',0.359,0.533,85.312,-
'[03:55:28.856]',0.375,0.525,93.750,-
'[03:55:28.864]',0.391,0.525,101.250,-
'[03:55:28.872]',0.398,0.525,106.875,-
'[03:55:28.880]',0.375,0.525,110.625,-
'[03:55:28.888]',0.352,0.525,113.438,-
'[03:55:28.896]',0.328,0.525,115.312,-
'[03:55:28.904]',0.312,0.518,118.125,-
'[03:55:28.912]',0.297,0.518,120.000,-
'[03:55:28.920]',0.297,0.518,121.875,-
'[03:55:28.928]',0.297,0.518,122.812,-
'[03:55:28.936]',0.297,0.510,122.812,-
'[03:55:28.944]',0.297,0.510,122.812,-
'[03:55:28.952]',0.289,0.510,122.812,-
'[03:55:28.960]',0.281,0.510,121.875,-
'[03:55:28.968]',0.281,0.502,120.000,-
'[03:55:28.976]',0.281,0.502,118.125,-
'[03:55:28.984]',0.281,0.502,116.250,-
'[03:55:28.992]',0.281,0.502,114.375,-
'[03:55:29.000]',0.289,0.502,111.562,-
'[03:55:29.008]',0.297,0.502,107.812,-
'[03:55:29.016]',0.312,0.490,103.125,-
'[03:55:29.024]',0.320,0.490,98.438,-
'[03:55:29.032]',0.336,0.490,93.750,-
'[03:55:29.040]',0.352,0.482,90.000,-
'[03:55:29.048]',0.367,0.482,87.188,-
'[03:55:29.056]',0.352,0.482,85.312,-
'[03:55:29.064]',0.312,0.482,84.375,-
'[03:55:29.072]',0.266,0.475,83.438,-
'[03:55:29.080]',0.242,0.475,83.438,-
'[03:55:29.088]',0.227,0.475,82.500,-
'[03:55:29.096]',0.211,0.475,81.562,-
'[03:55:29.104]',0.195,0.475,80.625,-
'[03:55:29.112]',0.195,0.467,79.688,-
'[03:55:29.120]',0.211,0.467,78.750,-
'[03:55:29.128]',0.234,0.467,78.750,-
'[03:55:29.136]',0.281,0.467,77.812,-
'[03:55:29.144]',0.312,0.467,76.875,-
'[03:55:29.152]',0.281,0.467,76.875,-
'[03:55:29.160]',0.250,0.475,75.938,-
'[03:55:29.168]',0.211,0.475,75.938,-
'[03:55:29.176]',0.039,0.475,75.938,-
'[03:55:29.184]',-0.164,0.475,75.000,-
'[03:55:29.192]',-0.195,0.482,74.062,-
'[03:55:29.200]',-0.055,0.482,74.062,-
'[03:55:29.208]',0.078,0.482,73.125,-
'[03:55:29.216]',0.156,0.490,73.125,-
'[03:55:29.224]',0.195,0.490,72.188,-
'[03:55:29.232]',0.211,0.490,72.188,-
'[03:55:29.240]',0.227,0.502,71.250,-
'[03:55:29.248]',0.242,0.502,71.250,-
'[03:55:29.256]',0.242,0.502,71.250,-
'[03:55:29.264]',0.242,0.502,70.312,-
'[03:55:29.272]',0.250,0.502,70.312,-
'[03:55:29.280]',0.250,0.502,69.375,-
'[03:55:29.288]',0.250,0.502,68.438,-
'[03:55:29.296]',0.250,0.502,68.438,-
'[03:55:29.304]',0.258,0.502,67.500,-
'[03:55:29.312]',0.250,0.510,66.562,-
'[03:55:29.320]',0.250,0.510,66.562,-
'[03:55:29.328]',0.250,0.510,65.625,-
'[03:55:29.336]',0.266,0.510,65.625,-
'[03:55:29.344]',0.266,0.510,64.688,-
'[03:55:29.352]',0.266,0.510,64.688,-
'[03:55:29.360]',0.266,0.510,63.750,-
'[03:55:29.368]',0.273,0.510,63.750,-
'[03:55:29.376]',0.273,0.510,63.750,-
'[03:55:29.384]',0.273,0.510,63.750,-
'[03:55:29.392]',0.281,0.502,64.688,-
'[03:55:29.400]',0.297,0.502,65.625,-
'[03:55:29.408]',0.312,0.502,69.375,-
'[03:55:29.416]',0.312,0.502,75.000,-
'[03:55:29.424]',0.328,0.502,83.438,-
'[03:55:29.432]',0.352,0.502,91.875,-
'[03:55:29.440]',0.359,0.502,99.375,-
