'Time','II','PLETH','ABP'
'[18:14:15.384]',0.079,0.475,93.750
'[18:14:15.392]',-0.031,0.486,86.250
'[18:14:15.400]',-0.102,0.494,81.458
'[18:14:15.408]',-0.118,0.506,81.458
'[18:14:15.416]',-0.110,0.514,83.333
'[18:14:15.424]',-0.110,0.522,83.333
'[18:14:15.432]',-0.110,0.529,80.625
'[18:14:15.440]',-0.094,0.537,78.750
'[18:14:15.448]',-0.071,0.541,78.750
'[18:14:15.456]',-0.071,0.545,81.458
'[18:14:15.464]',-0.079,0.549,81.458
'[18:14:15.472]',-0.094,0.553,80.625
'[18:14:15.480]',-0.102,0.557,77.708
'[18:14:15.488]',-0.102,0.557,75.833
'[18:14:15.496]',-0.102,0.561,75.833
'[18:14:15.504]',-0.087,0.557,77.708
'[18:14:15.512]',-0.071,0.557,79.583
'[18:14:15.520]',-0.055,0.557,81.458
'[18:14:15.528]',-0.047,0.553,80.625
'[18:14:15.536]',-0.047,0.549,77.708
'[18:14:15.544]',-0.039,0.549,72.083
'[18:14:15.552]',-0.024,0.545,68.333
'[18:14:15.560]',-0.016,0.541,68.333
'[18:14:15.568]',-0.008,0.533,70.208
'[18:14:15.576]',-0.008,0.529,72.083
'[18:14:15.584]',-0.008,0.525,75.833
'[18:14:15.592]',-0.008,0.522,82.500
'[18:14:15.600]',-0.016,0.514,94.583
'[18:14:15.608]',-0.016,0.510,110.625
'[18:14:15.616]',-0.031,0.506,123.750
'[18:14:15.624]',-0.039,0.502,132.083
'[18:14:15.632]',-0.039,0.498,136.875
'[18:14:15.640]',-0.047,0.494,140.625
'[18:14:15.648]',-0.047,0.490,142.500
'[18:14:15.656]',-0.055,0.486,145.208
'[18:14:15.664]',-0.063,0.478,148.125
'[18:14:15.672]',-0.063,0.467,150.833
'[18:14:15.680]',-0.063,0.459,151.875
'[18:14:15.688]',-0.063,0.455,151.875
'[18:14:15.696]',-0.055,0.451,150.833
'[18:14:15.704]',-0.047,0.447,150.000
'[18:14:15.712]',-0.047,0.447,148.125
'[18:14:15.720]',-0.039,0.443,147.083
'[18:14:15.728]',-0.031,0.443,145.208
'[18:14:15.736]',-0.031,0.439,142.500
'[18:14:15.744]',-0.031,0.439,138.750
'[18:14:15.752]',-0.039,0.435,135.000
'[18:14:15.760]',-0.031,0.435,130.208
'[18:14:15.768]',-0.024,0.435,126.458
'[18:14:15.776]',-0.016,0.431,123.750
'[18:14:15.784]',-0.008,0.431,121.875
'[18:14:15.792]',-0.016,0.431,118.958
'[18:14:15.800]',-0.024,0.427,114.375
'[18:14:15.808]',-0.031,0.427,108.750
'[18:14:15.816]',-0.039,0.427,102.083
'[18:14:15.824]',-0.039,0.424,97.500
'[18:14:15.832]',-0.031,0.427,93.750
'[18:14:15.840]',-0.039,0.427,91.875
'[18:14:15.848]',-0.047,0.427,90.000
'[18:14:15.856]',-0.047,0.431,88.958
'[18:14:15.864]',-0.055,0.435,88.125
'[18:14:15.872]',-0.063,0.443,87.083
'[18:14:15.880]',-0.063,0.451,87.083
'[18:14:15.888]',-0.055,0.459,86.250
'[18:14:15.896]',-0.047,0.467,85.208
'[18:14:15.904]',-0.039,0.475,84.375
'[18:14:15.912]',-0.031,0.486,83.333
'[18:14:15.920]',-0.047,0.494,82.500
'[18:14:15.928]',-0.047,0.502,81.458
'[18:14:15.936]',-0.055,0.510,81.458
'[18:14:15.944]',-0.063,0.518,81.458
'[18:14:15.952]',-0.063,0.525,80.625
'[18:14:15.960]',-0.063,0.529,80.625
'[18:14:15.968]',-0.071,0.533,79.583
'[18:14:15.976]',-0.071,0.537,78.750
'[18:14:15.984]',-0.071,0.541,77.708
'[18:14:15.992]',-0.063,0.541,76.875
'[18:14:16.000]',-0.055,0.545,75.833
'[18:14:16.008]',-0.047,0.549,75.833
'[18:14:16.016]',-0.039,0.549,75.833
'[18:14:16.024]',-0.039,0.549,75.833
'[18:14:16.032]',-0.047,0.545,75.833
'[18:14:16.040]',-0.047,0.545,75.833
'[18:14:16.048]',-0.047,0.537,75.000
'[18:14:16.056]',-0.055,0.533,73.125
'[18:14:16.064]',-0.063,0.529,72.083
'[18:14:16.072]',-0.079,0.525,71.250
'[18:14:16.080]',-0.087,0.518,70.208
'[18:14:16.088]',0.016,0.514,70.208
'[18:14:16.096]',0.244,0.510,71.250
'[18:14:16.104]',0.425,0.506,71.250
'[18:14:16.112]',0.315,0.502,70.208
'[18:14:16.120]',0.094,0.498,68.333
'[18:14:16.128]',-0.047,0.494,68.333
'[18:14:16.136]',-0.134,0.490,67.500
'[18:14:16.144]',-0.157,0.486,67.500
'[18:14:16.152]',-0.134,0.482,67.500
'[18:14:16.160]',-0.102,0.475,67.500
'[18:14:16.168]',-0.087,0.471,67.500
'[18:14:16.176]',-0.087,0.467,67.500
'[18:14:16.184]',-0.094,0.463,66.458
'[18:14:16.192]',-0.102,0.459,65.625
'[18:14:16.200]',-0.102,0.455,65.625
'[18:14:16.208]',-0.102,0.451,64.583
'[18:14:16.216]',-0.087,0.447,64.583
'[18:14:16.224]',-0.087,0.447,64.583
'[18:14:16.232]',-0.087,0.447,63.750
'[18:14:16.240]',-0.087,0.447,63.750
'[18:14:16.248]',-0.071,0.443,62.708
'[18:14:16.256]',-0.063,0.443,62.708
'[18:14:16.264]',-0.039,0.439,62.708
'[18:14:16.272]',-0.031,0.439,62.708
'[18:14:16.280]',-0.024,0.435,62.708
'[18:14:16.288]',-0.031,0.431,61.875
'[18:14:16.296]',-0.031,0.431,61.875
'[18:14:16.304]',-0.024,0.427,61.875
'[18:14:16.312]',-0.016,0.424,62.708
'[18:14:16.320]',-0.024,0.424,66.458
'[18:14:16.328]',-0.031,0.420,72.083
'[18:14:16.336]',-0.039,0.420,82.500
'[18:14:16.344]',-0.031,0.420,95.625
'[18:14:16.352]',-0.024,0.416,107.708
'[18:14:16.360]',-0.016,0.416,118.125
'[18:14:16.368]',-0.016,0.412,124.583
'[18:14:16.376]',-0.024,0.408,130.208
'[18:14:16.384]',-0.024,0.408,135.000
'[18:14:16.392]',-0.016,0.404,139.583
'[18:14:16.400]',-0.008,0.404,144.375
'[18:14:16.408]',-0.008,0.400,147.083
'[18:14:16.416]',-0.008,0.400,148.958
'[18:14:16.424]',-0.016,0.396,150.000
'[18:14:16.432]',-0.031,0.396,150.000
'[18:14:16.440]',-0.047,0.392,150.000
'[18:14:16.448]',-0.063,0.392,148.958
'[18:14:16.456]',-0.063,0.388,147.083
'[18:14:16.464]',-0.063,0.388,144.375
'[18:14:16.472]',-0.047,0.384,141.458
'[18:14:16.480]',-0.031,0.384,137.708
'[18:14:16.488]',-0.024,0.380,135.000
'[18:14:16.496]',-0.016,0.380,131.250
'[18:14:16.504]',-0.031,0.376,128.333
'[18:14:16.512]',-0.047,0.376,124.583
'[18:14:16.520]',-0.055,0.376,120.833
'[18:14:16.528]',-0.055,0.376,117.083
'[18:14:16.536]',-0.039,0.376,113.333
'[18:14:16.544]',-0.016,0.376,108.750
'[18:14:16.552]',-0.008,0.376,105.000
'[18:14:16.560]',-0.008,0.376,101.250
'[18:14:16.568]',-0.008,0.376,98.333
'[18:14:16.576]',-0.016,0.376,94.583
'[18:14:16.584]',-0.024,0.380,92.708
'[18:14:16.592]',-0.031,0.380,90.833
'[18:14:16.600]',-0.047,0.388,90.000
'[18:14:16.608]',-0.055,0.396,88.958
'[18:14:16.616]',-0.047,0.404,88.125
'[18:14:16.624]',-0.039,0.412,87.083
'[18:14:16.632]',-0.039,0.424,86.250
'[18:14:16.640]',-0.047,0.435,85.208
'[18:14:16.648]',-0.071,0.447,84.375
'[18:14:16.656]',-0.087,0.459,83.333
'[18:14:16.664]',-0.055,0.475,82.500
'[18:14:16.672]',0.094,0.486,82.500
'[18:14:16.680]',0.323,0.498,81.458
'[18:14:16.688]',0.386,0.506,80.625
'[18:14:16.696]',0.205,0.518,80.625
'[18:14:16.704]',0.031,0.525,79.583
'[18:14:16.712]',-0.087,0.529,79.583
'[18:14:16.720]',-0.165,0.533,78.750
'[18:14:16.728]',-0.181,0.537,77.708
'[18:14:16.736]',-0.134,0.537,76.875
'[18:14:16.744]',-0.102,0.541,76.875
'[18:14:16.752]',-0.079,0.541,75.833
'[18:14:16.760]',-0.079,0.545,75.833
'[18:14:16.768]',-0.079,0.545,75.833
'[18:14:16.776]',-0.071,0.541,75.000
'[18:14:16.784]',-0.063,0.541,73.958
'[18:14:16.792]',-0.047,0.537,73.125
'[18:14:16.800]',-0.031,0.533,73.125
'[18:14:16.808]',-0.016,0.529,73.125
'[18:14:16.816]',-0.016,0.525,73.125
'[18:14:16.824]',-0.016,0.522,73.125
'[18:14:16.832]',-0.016,0.518,72.083
'[18:14:16.840]',-0.008,0.514,73.958
'[18:14:16.848]',0.000,0.510,84.375
'[18:14:16.856]',0.008,0.506,101.250
'[18:14:16.864]',0.008,0.502,110.625
'[18:14:16.872]',0.024,0.498,94.583
'[18:14:16.880]',0.024,0.494,56.250
'[18:14:16.888]',0.039,0.486,24.375
'[18:14:16.896]',0.055,0.482,21.458
'[18:14:16.904]',0.055,0.482,46.875
'[18:14:16.912]',0.055,0.478,78.750
'[18:14:16.920]',0.055,0.478,99.375
'[18:14:16.928]',0.047,0.475,109.583
'[18:14:16.936]',0.047,0.471,120.000
'[18:14:16.944]',0.047,0.471,133.958
'[18:14:16.952]',0.047,0.467,143.333
'[18:14:16.960]',0.024,0.463,146.250
'[18:14:16.968]',0.000,0.459,145.208
'[18:14:16.976]',-0.016,0.455,144.375
'[18:14:16.984]',-0.016,0.451,144.375
'[18:14:16.992]',-0.016,0.447,144.375
'[18:14:17.000]',-0.008,0.447,143.333
'[18:14:17.008]',-0.008,0.443,144.375
'[18:14:17.016]',-0.008,0.443,146.250
'[18:14:17.024]',-0.008,0.439,148.125
'[18:14:17.032]',-0.016,0.439,148.958
'[18:14:17.040]',-0.024,0.435,148.125
'[18:14:17.048]',-0.031,0.435,147.083
'[18:14:17.056]',-0.039,0.431,147.083
'[18:14:17.064]',-0.039,0.431,145.208
'[18:14:17.072]',-0.039,0.431,142.500
'[18:14:17.080]',-0.031,0.427,138.750
'[18:14:17.088]',-0.039,0.427,133.958
'[18:14:17.096]',-0.055,0.427,130.208
'[18:14:17.104]',-0.063,0.424,127.500
'[18:14:17.112]',-0.071,0.424,124.583
'[18:14:17.120]',-0.079,0.420,120.000
'[18:14:17.128]',-0.071,0.420,114.375
'[18:14:17.136]',-0.063,0.420,109.583
'[18:14:17.144]',-0.031,0.420,105.833
'[18:14:17.152]',0.055,0.420,102.083
'[18:14:17.160]',0.173,0.424,97.500
'[18:14:17.168]',0.260,0.427,94.583
'[18:14:17.176]',0.276,0.431,92.708
'[18:14:17.184]',0.244,0.439,92.708
'[18:14:17.192]',0.189,0.447,92.708
'[18:14:17.200]',0.126,0.459,92.708
'[18:14:17.208]',0.063,0.471,92.708
'[18:14:17.216]',0.008,0.478,91.875
'[18:14:17.224]',-0.016,0.490,88.958
'[18:14:17.232]',0.063,0.498,85.208
'[18:14:17.240]',0.276,0.510,82.500
'[18:14:17.248]',0.433,0.518,82.500
'[18:14:17.256]',0.331,0.525,83.333
'[18:14:17.264]',0.150,0.533,84.375
'[18:14:17.272]',0.039,0.541,85.208
'[18:14:17.280]',-0.039,0.549,85.208
'[18:14:17.288]',-0.079,0.557,85.208
'[18:14:17.296]',-0.063,0.561,84.375
'[18:14:17.304]',-0.031,0.565,82.500
'[18:14:17.312]',-0.016,0.565,80.625
'[18:14:17.320]',-0.016,0.569,80.625
'[18:14:17.328]',-0.031,0.569,80.625
'[18:14:17.336]',-0.047,0.573,79.583
'[18:14:17.344]',-0.063,0.573,77.708
'[18:14:17.352]',-0.063,0.573,76.875
'[18:14:17.360]',-0.071,0.573,75.833
'[18:14:17.368]',-0.071,0.573,75.000
'[18:14:17.376]',-0.087,0.569,75.000
'[18:14:17.384]',-0.102,0.569,75.000
'[18:14:17.392]',-0.110,0.565,75.000
'[18:14:17.400]',-0.118,0.561,75.000
'[18:14:17.408]',-0.118,0.557,73.958
'[18:14:17.416]',-0.118,0.553,73.125
'[18:14:17.424]',-0.118,0.549,72.083
'[18:14:17.432]',-0.102,0.545,71.250
'[18:14:17.440]',-0.087,0.541,71.250
'[18:14:17.448]',-0.071,0.533,71.250
'[18:14:17.456]',-0.063,0.529,72.083
'[18:14:17.464]',-0.055,0.525,75.000
'[18:14:17.472]',-0.047,0.518,80.625
'[18:14:17.480]',-0.047,0.514,90.000
'[18:14:17.488]',-0.047,0.514,103.125
'[18:14:17.496]',-0.055,0.510,116.250
'[18:14:17.504]',-0.063,0.506,126.458
'[18:14:17.512]',-0.079,0.506,133.958
'[18:14:17.520]',-0.087,0.502,139.583
'[18:14:17.528]',-0.087,0.502,144.375
'[18:14:17.536]',-0.102,0.498,147.083
'[18:14:17.544]',-0.126,0.494,150.000
'[18:14:17.552]',-0.150,0.490,151.875
'[18:14:17.560]',-0.165,0.490,153.750
'[18:14:17.568]',-0.173,0.486,153.750
'[18:14:17.576]',-0.165,0.482,153.750
'[18:14:17.584]',-0.157,0.478,152.708
'[18:14:17.592]',-0.157,0.475,150.000
'[18:14:17.600]',-0.157,0.471,148.125
'[18:14:17.608]',-0.157,0.467,146.250
'[18:14:17.616]',-0.157,0.467,144.375
'[18:14:17.624]',-0.142,0.467,141.458
'[18:14:17.632]',-0.134,0.463,138.750
'[18:14:17.640]',-0.142,0.459,136.875
'[18:14:17.648]',-0.150,0.459,133.958
'[18:14:17.656]',-0.157,0.455,131.250
'[18:14:17.664]',-0.157,0.451,127.500
'[18:14:17.672]',-0.142,0.447,123.750
'[18:14:17.680]',-0.126,0.443,118.958
'[18:14:17.688]',-0.118,0.443,114.375
'[18:14:17.696]',-0.118,0.443,109.583
'[18:14:17.704]',-0.102,0.451,105.833
'[18:14:17.712]',-0.087,0.463,101.250
'[18:14:17.720]',-0.063,0.471,97.500
'[18:14:17.728]',-0.047,0.471,93.750
'[18:14:17.736]',-0.039,0.475,90.833
'[18:14:17.744]',-0.047,0.482,90.000
'[18:14:17.752]',0.024,0.486,88.958
'[18:14:17.760]',0.213,0.498,88.958
'[18:14:17.768]',0.402,0.510,88.125
'[18:14:17.776]',0.331,0.518,88.125
'[18:14:17.784]',0.110,0.529,86.250
'[18:14:17.792]',-0.047,0.541,85.208
'[18:14:17.800]',-0.157,0.549,84.375
'[18:14:17.808]',-0.213,0.557,83.333
'[18:14:17.816]',-0.197,0.565,83.333
'[18:14:17.824]',-0.173,0.569,82.500
'[18:14:17.832]',-0.150,0.576,81.458
'[18:14:17.840]',-0.134,0.580,81.458
'[18:14:17.848]',-0.118,0.584,80.625
'[18:14:17.856]',-0.102,0.584,80.625
'[18:14:17.864]',-0.087,0.588,79.583
'[18:14:17.872]',-0.071,0.592,79.583
'[18:14:17.880]',-0.047,0.592,78.750
'[18:14:17.888]',-0.031,0.596,78.750
'[18:14:17.896]',-0.016,0.596,77.708
'[18:14:17.904]',-0.016,0.600,76.875
'[18:14:17.912]',-0.016,0.596,75.833
'[18:14:17.920]',-0.016,0.596,75.833
'[18:14:17.928]',-0.016,0.596,75.000
'[18:14:17.936]',-0.016,0.592,75.000
'[18:14:17.944]',-0.016,0.592,73.958
'[18:14:17.952]',-0.024,0.588,73.125
'[18:14:17.960]',-0.016,0.584,72.083
'[18:14:17.968]',-0.016,0.584,72.083
'[18:14:17.976]',-0.016,0.580,72.083
'[18:14:17.984]',-0.016,0.573,73.125
'[18:14:17.992]',-0.031,0.569,77.708
'[18:14:18.000]',-0.039,0.561,86.250
'[18:14:18.008]',-0.047,0.553,98.333
'[18:14:18.016]',-0.055,0.549,111.458
'[18:14:18.024]',-0.063,0.545,122.708
'[18:14:18.032]',-0.063,0.541,130.208
'[18:14:18.040]',-0.063,0.537,135.833
'[18:14:18.048]',-0.063,0.529,139.583
'[18:14:18.056]',-0.063,0.525,143.333
'[18:14:18.064]',-0.063,0.522,145.208
'[18:14:18.072]',-0.055,0.518,147.083
'[18:14:18.080]',-0.055,0.514,148.958
'[18:14:18.088]',-0.047,0.514,148.958
'[18:14:18.096]',-0.047,0.510,148.958
'[18:14:18.104]',-0.039,0.506,148.958
'[18:14:18.112]',-0.039,0.502,147.083
'[18:14:18.120]',-0.031,0.498,146.250
'[18:14:18.128]',-0.031,0.494,144.375
'[18:14:18.136]',-0.024,0.490,141.458
'[18:14:18.144]',-0.024,0.486,139.583
'[18:14:18.152]',-0.016,0.486,136.875
'[18:14:18.160]',-0.016,0.482,133.958
'[18:14:18.168]',-0.016,0.478,130.208
'[18:14:18.176]',-0.008,0.478,127.500
'[18:14:18.184]',0.000,0.475,123.750
'[18:14:18.192]',0.008,0.471,120.000
'[18:14:18.200]',0.008,0.471,116.250
'[18:14:18.208]',0.008,0.467,112.500
'[18:14:18.216]',0.008,0.467,107.708
'[18:14:18.224]',0.008,0.467,103.125
'[18:14:18.232]',0.008,0.467,99.375
'[18:14:18.240]',0.000,0.467,95.625
'[18:14:18.248]',-0.008,0.471,92.708
'[18:14:18.256]',-0.016,0.475,90.833
'[18:14:18.264]',-0.024,0.478,90.000
'[18:14:18.272]',-0.039,0.482,90.000
'[18:14:18.280]',-0.047,0.490,88.958
'[18:14:18.288]',-0.063,0.498,87.083
'[18:14:18.296]',-0.087,0.506,86.250
'[18:14:18.304]',-0.094,0.514,84.375
'[18:14:18.312]',0.008,0.525,83.333
'[18:14:18.320]',0.244,0.533,83.333
'[18:14:18.328]',0.409,0.537,83.333
'[18:14:18.336]',0.299,0.545,82.500
'[18:14:18.344]',0.110,0.553,82.500
'[18:14:18.352]',-0.008,0.557,80.625
'[18:14:18.360]',-0.094,0.561,80.625
'[18:14:18.368]',-0.118,0.569,79.583
'[18:14:18.376]',-0.087,0.573,79.583
'[18:14:18.384]',-0.063,0.573,78.750
'[18:14:18.392]',-0.055,0.576,78.750
'[18:14:18.400]',-0.055,0.580,77.708
'[18:14:18.408]',-0.063,0.580,77.708
'[18:14:18.416]',-0.063,0.584,76.875
'[18:14:18.424]',-0.063,0.580,75.833
'[18:14:18.432]',-0.071,0.580,75.833
'[18:14:18.440]',-0.087,0.580,75.000
'[18:14:18.448]',-0.087,0.576,73.958
'[18:14:18.456]',-0.079,0.573,73.125
'[18:14:18.464]',-0.071,0.569,73.125
'[18:14:18.472]',-0.047,0.561,72.083
'[18:14:18.480]',-0.031,0.557,71.250
'[18:14:18.488]',-0.016,0.549,70.208
'[18:14:18.496]',-0.008,0.545,70.208
'[18:14:18.504]',0.008,0.541,70.208
'[18:14:18.512]',0.024,0.537,69.375
'[18:14:18.520]',0.039,0.533,69.375
'[18:14:18.528]',0.047,0.529,69.375
'[18:14:18.536]',0.047,0.525,69.375
'[18:14:18.544]',0.055,0.522,72.083
'[18:14:18.552]',0.047,0.518,78.750
'[18:14:18.560]',0.039,0.514,88.958
'[18:14:18.568]',0.024,0.510,102.083
'[18:14:18.576]',0.016,0.506,115.208
'[18:14:18.584]',0.008,0.502,125.625
'[18:14:18.592]',-0.008,0.498,133.125
'[18:14:18.600]',-0.016,0.498,137.708
'[18:14:18.608]',-0.024,0.494,142.500
'[18:14:18.616]',-0.039,0.490,145.208
'[18:14:18.624]',-0.047,0.490,148.125
'[18:14:18.632]',-0.055,0.486,150.000
'[18:14:18.640]',-0.055,0.482,151.875
'[18:14:18.648]',-0.063,0.478,151.875
'[18:14:18.656]',-0.063,0.475,151.875
'[18:14:18.664]',-0.063,0.471,150.833
'[18:14:18.672]',-0.063,0.471,150.000
