'Time','I','II','AVR','V','RESP','PLETH','ABP','CVP'
'[15:03:59.536]',-,0.440,0.640,0.460,1.000,1.277,86.981,-2.999
'[15:03:59.544]',-,0.440,0.640,0.460,1.000,1.295,86.747,-2.999
'[15:03:59.552]',-,0.440,0.640,0.460,1.000,1.333,86.747,-2.999
'[15:03:59.560]',-,0.440,0.635,0.455,1.000,1.396,86.981,-2.999
'[15:03:59.568]',-,0.445,0.630,0.455,1.000,1.482,87.333,-2.999
'[15:03:59.576]',-,0.465,0.615,0.455,1.000,1.589,87.685,-2.999
'[15:03:59.584]',-,0.490,0.590,0.470,1.000,1.717,87.743,-2.999
'[15:03:59.592]',-,0.510,0.570,0.480,1.000,1.856,87.685,-2.999
'[15:03:59.600]',-,0.540,0.545,0.470,1.000,2.000,87.509,-2.999
'[15:03:59.608]',-,0.560,0.525,0.440,1.000,2.137,87.157,-2.999
'[15:03:59.616]',-,0.550,0.530,0.405,1.000,2.258,86.747,-2.999
'[15:03:59.624]',-,0.515,0.565,0.400,1.000,2.359,86.220,-2.999
'[15:03:59.632]',-,0.475,0.595,0.400,1.000,2.438,85.692,-2.501
'[15:03:59.640]',-,0.445,0.620,0.415,1.000,2.489,85.106,-2.003
'[15:03:59.648]',-,0.425,0.640,0.430,1.000,2.518,84.461,-1.631
'[15:03:59.656]',-,0.410,0.655,0.445,1.000,2.536,83.875,-1.319
'[15:03:59.664]',-,0.400,0.665,0.450,1.000,2.543,83.172,-1.133
'[15:03:59.672]',-,0.390,0.670,0.450,1.000,2.543,82.468,-1.065
'[15:03:59.680]',-,0.390,0.680,0.445,1.000,2.537,81.824,-1.065
'[15:03:59.688]',-,0.390,0.680,0.445,1.000,2.522,81.179,-1.133
'[15:03:59.696]',-,0.390,0.680,0.445,1.000,2.500,80.534,-1.250
'[15:03:59.704]',-,0.390,0.675,0.445,1.000,2.471,80.007,-1.377
'[15:03:59.712]',-,0.390,0.670,0.440,1.000,2.441,79.420,-1.446
'[15:03:59.720]',-,0.395,0.670,0.435,1.000,2.409,78.834,-1.504
'[15:03:59.728]',-,0.400,0.665,0.435,1.000,2.377,78.307,-1.563
'[15:03:59.736]',-,0.415,0.660,0.440,0.996,2.350,77.779,-1.563
'[15:03:59.744]',-,0.465,0.630,0.450,0.992,2.325,77.252,-1.504
'[15:03:59.752]',-,0.570,0.530,0.305,0.971,2.299,76.724,-1.377
'[15:03:59.760]',-,0.745,0.340,-0.035,0.951,2.270,76.314,-1.250
'[15:03:59.768]',-,0.920,0.120,-0.366,0.932,2.234,75.962,-1.133
'[15:03:59.776]',-,0.935,0.085,-0.411,0.914,2.192,75.669,-1.006
'[15:03:59.784]',-,0.590,0.430,0.080,0.896,2.146,75.493,-0.879
'[15:03:59.792]',-,0.350,0.730,0.445,0.879,2.095,75.259,-0.694
'[15:03:59.800]',-,0.280,0.825,0.560,0.860,2.039,74.966,-0.440
'[15:03:59.808]',-,0.320,0.780,0.550,0.842,1.982,74.731,-0.195
'[15:03:59.816]',-,0.375,0.710,0.525,0.823,1.932,74.438,0.059
'[15:03:59.824]',-,0.415,0.670,0.515,0.804,1.886,73.969,0.244
'[15:03:59.832]',-,0.430,0.655,0.510,0.786,1.843,73.442,0.430
'[15:03:59.840]',-,0.440,0.650,0.500,0.769,1.808,72.856,0.498
'[15:03:59.848]',-,0.445,0.645,0.495,0.753,1.781,72.270,0.557
'[15:03:59.856]',-,0.450,0.635,0.490,0.737,1.756,71.742,0.498
'[15:03:59.864]',-,0.460,0.625,0.485,0.721,1.736,71.097,0.430
'[15:03:59.872]',-,0.470,0.620,0.480,0.705,1.725,70.511,0.313
'[15:03:59.880]',-,0.475,0.615,0.475,0.689,1.719,69.984,0.186
'[15:03:59.888]',-,0.480,0.610,0.465,0.673,1.717,69.456,0.000
'[15:03:59.896]',-,0.490,0.600,0.460,0.658,1.714,69.046,-0.195
'[15:03:59.904]',-,0.500,0.595,0.450,0.643,1.711,68.518,-0.381
'[15:03:59.912]',-,0.510,0.585,0.440,0.629,1.708,68.050,-0.567
'[15:03:59.920]',-,0.520,0.575,0.430,0.614,1.703,67.522,-0.752
'[15:03:59.928]',-,0.535,0.565,0.420,0.602,1.697,67.170,-0.879
'[15:03:59.936]',-,0.545,0.555,0.405,0.590,1.692,66.995,-0.938
'[15:03:59.944]',-,0.560,0.540,0.390,0.579,1.688,67.112,-0.938
'[15:03:59.952]',-,0.580,0.525,0.370,0.568,1.679,67.581,-0.879
'[15:03:59.960]',-,0.600,0.505,0.350,0.558,1.665,68.636,-0.694
'[15:03:59.968]',-,0.625,0.480,0.325,0.549,1.648,70.394,-0.567
'[15:03:59.976]',-,0.655,0.455,0.295,0.540,1.630,73.794,-0.440
'[15:03:59.984]',-,0.685,0.430,0.270,0.532,1.609,79.186,-0.440
'[15:03:59.992]',-,0.710,0.405,0.240,0.524,1.584,86.044,-0.567
'[15:04:00.000]',-,0.730,0.390,0.220,0.517,1.555,93.077,-0.938
'[15:04:00.008]',-,0.740,0.385,0.210,0.511,1.528,99.056,-1.377
'[15:04:00.016]',-,0.725,0.385,0.210,0.504,1.501,104.038,-1.817
'[15:04:00.024]',-,0.695,0.410,0.235,0.498,1.474,108.434,-2.130
'[15:04:00.032]',-,0.650,0.450,0.280,0.492,1.453,112.244,-2.188
'[15:04:00.040]',-,0.595,0.495,0.330,0.486,1.433,114.998,-2.003
'[15:04:00.048]',-,0.545,0.540,0.375,0.481,1.411,116.288,-1.758
'[15:04:00.056]',-,0.505,0.580,0.420,0.475,1.386,116.405,-1.563
'[15:04:00.064]',-,0.470,0.615,0.445,0.470,1.360,115.936,-1.563
'[15:04:00.072]',-,0.440,0.635,0.465,0.465,1.337,115.409,-1.690
'[15:04:00.080]',-,0.420,0.655,0.480,0.461,1.321,115.292,-2.003
'[15:04:00.088]',-,0.410,0.665,0.490,0.457,1.309,115.526,-2.257
'[15:04:00.096]',-,0.405,0.670,0.490,0.452,1.300,115.995,-2.384
'[15:04:00.104]',-,0.400,0.670,0.490,0.449,1.292,116.464,-2.442
'[15:04:00.112]',-,0.400,0.675,0.490,0.445,1.283,116.815,-2.442
'[15:04:00.120]',-,0.400,0.675,0.490,0.441,1.273,116.874,-2.315
'[15:04:00.128]',-,0.400,0.680,0.490,0.436,1.259,116.698,-2.257
'[15:04:00.136]',-,0.405,0.675,0.490,0.432,1.248,116.288,-2.315
'[15:04:00.144]',-,0.405,0.670,0.490,0.428,1.239,115.819,-2.501
'[15:04:00.152]',-,0.405,0.670,0.485,0.423,1.229,115.116,-2.813
'[15:04:00.160]',-,0.410,0.665,0.480,0.419,1.218,114.295,-2.999
'[15:04:00.168]',-,0.415,0.665,0.480,0.415,1.206,113.299,-2.999
'[15:04:00.176]',-,0.415,0.665,0.475,0.411,1.194,112.068,-2.999
'[15:04:00.184]',-,0.420,0.660,0.475,0.407,1.181,110.427,-2.999
'[15:04:00.192]',-,0.425,0.660,0.475,0.403,1.166,108.375,-2.999
'[15:04:00.200]',-,0.425,0.655,0.470,0.398,1.149,105.620,-2.999
'[15:04:00.208]',-,0.425,0.655,0.470,0.394,1.130,102.279,-2.999
'[15:04:00.216]',-,0.425,0.655,0.465,0.390,1.112,98.587,-2.999
'[15:04:00.224]',-,0.425,0.655,0.465,0.386,1.097,95.246,-2.999
'[15:04:00.232]',-,0.425,0.655,0.460,0.382,1.087,92.901,-2.999
'[15:04:00.240]',-,0.425,0.655,0.455,0.378,1.081,91.729,-2.999
'[15:04:00.248]',-,0.425,0.655,0.455,0.375,1.072,91.260,-2.999
'[15:04:00.256]',-,0.425,0.655,0.455,0.372,1.068,90.791,-2.999
'[15:04:00.264]',-,0.425,0.655,0.450,0.370,1.074,90.264,-2.999
'[15:04:00.272]',-,0.425,0.650,0.450,0.367,1.094,89.678,-2.999
'[15:04:00.280]',-,0.425,0.645,0.450,0.365,1.134,89.326,-2.999
'[15:04:00.288]',-,0.430,0.645,0.450,0.362,1.199,89.092,-2.999
'[15:04:00.296]',-,0.430,0.645,0.445,0.360,1.285,88.974,-2.999
'[15:04:00.304]',-,0.430,0.645,0.440,0.357,1.390,88.798,-2.882
'[15:04:00.312]',-,0.430,0.645,0.440,0.355,1.512,88.564,-2.755
'[15:04:00.320]',-,0.430,0.645,0.440,0.353,1.645,88.154,-2.569
'[15:04:00.328]',-,0.430,0.645,0.440,0.351,1.777,87.743,-2.315
'[15:04:00.336]',-,0.430,0.645,0.440,0.350,1.891,87.275,-2.130
'[15:04:00.344]',-,0.435,0.645,0.435,0.348,1.987,86.747,-1.876
'[15:04:00.352]',-,0.445,0.635,0.435,0.347,2.080,86.161,-1.631
'[15:04:00.360]',-,0.465,0.615,0.445,0.346,2.161,85.575,-1.377
'[15:04:00.368]',-,0.490,0.590,0.460,0.345,2.227,84.871,-1.192
'[15:04:00.376]',-,0.515,0.570,0.465,0.344,2.275,84.168,-1.065
'[15:04:00.384]',-,0.545,0.540,0.445,0.343,2.306,83.523,-1.065
'[15:04:00.392]',-,0.565,0.520,0.415,0.342,2.324,82.937,-1.133
'[15:04:00.400]',-,0.555,0.530,0.385,0.341,2.330,82.292,-1.192
'[15:04:00.408]',-,0.515,0.560,0.380,0.340,2.328,81.589,-1.377
'[15:04:00.416]',-,0.475,0.595,0.385,0.339,2.321,81.003,-1.504
'[15:04:00.424]',-,0.450,0.620,0.390,0.337,2.310,80.358,-1.631
'[15:04:00.432]',-,0.430,0.640,0.405,0.336,2.298,79.714,-1.758
'[15:04:00.440]',-,0.420,0.655,0.420,0.334,2.284,79.127,-1.817
'[15:04:00.448]',-,0.410,0.665,0.425,0.333,2.267,78.541,-1.817
'[15:04:00.456]',-,0.405,0.670,0.425,0.332,2.246,77.897,-1.817
'[15:04:00.464]',-,0.405,0.670,0.425,0.331,2.223,77.369,-1.817
'[15:04:00.472]',-,0.410,0.665,0.425,0.329,2.198,76.783,-1.817
'[15:04:00.480]',-,0.410,0.665,0.420,0.328,2.171,76.314,-1.758
'[15:04:00.488]',-,0.410,0.665,0.420,0.326,2.141,75.728,-1.690
'[15:04:00.496]',-,0.410,0.665,0.420,0.324,2.109,75.200,-1.690
'[15:04:00.504]',-,0.415,0.660,0.415,0.323,2.072,74.673,-1.690
'[15:04:00.512]',-,0.425,0.660,0.415,0.322,2.031,74.145,-1.690
'[15:04:00.520]',-,0.445,0.650,0.425,0.320,1.987,73.676,-1.758
'[15:04:00.528]',-,0.505,0.605,0.430,0.319,1.942,73.149,-1.758
'[15:04:00.536]',-,0.620,0.490,0.240,0.317,1.903,72.739,-1.758
'[15:04:00.544]',-,0.800,0.285,-0.120,0.316,1.868,72.387,-1.758
'[15:04:00.552]',-,0.940,0.080,-0.426,0.314,1.831,72.094,-1.690
'[15:04:00.560]',-,0.845,0.065,-0.435,0.312,1.792,71.918,-1.563
'[15:04:00.568]',-,0.555,0.465,0.100,0.311,1.758,71.801,-1.377
'[15:04:00.576]',-,0.360,0.740,0.430,0.310,1.731,71.684,-1.133
'[15:04:00.584]',-,0.320,0.810,0.515,0.308,1.708,71.508,-0.879
'[15:04:00.592]',-,0.360,0.755,0.510,0.307,1.689,71.156,-0.508
'[15:04:00.600]',-,0.415,0.690,0.495,0.306,1.676,70.804,-0.195
'[15:04:00.608]',-,0.445,0.660,0.495,0.304,1.667,70.394,0.117
'[15:04:00.616]',-,0.455,0.650,0.490,0.302,1.659,69.925,0.313
'[15:04:00.624]',-,0.465,0.640,0.490,0.301,1.651,69.456,0.430
'[15:04:00.632]',-,0.470,0.635,0.480,0.299,1.646,69.046,0.430
'[15:04:00.640]',-,0.480,0.625,0.475,0.297,1.642,68.518,0.371
'[15:04:00.648]',-,0.485,0.620,0.470,0.295,1.636,68.050,0.244
'[15:04:00.656]',-,0.495,0.615,0.465,0.293,1.630,67.463,0.059
'[15:04:00.664]',-,0.500,0.605,0.455,0.291,1.624,66.995,-0.068
'[15:04:00.672]',-,0.505,0.600,0.450,0.290,1.614,66.467,-0.254
'[15:04:00.680]',-,0.515,0.595,0.445,0.288,1.599,65.998,-0.440
'[15:04:00.688]',-,0.520,0.590,0.435,0.287,1.582,65.529,-0.625
'[15:04:00.696]',-,0.535,0.580,0.425,0.286,1.561,65.119,-0.752
'[15:04:00.704]',-,0.545,0.570,0.415,0.285,1.540,64.709,-0.938
'[15:04:00.712]',-,0.555,0.560,0.405,0.284,1.519,64.357,-1.065
'[15:04:00.720]',-,0.565,0.550,0.390,0.283,1.499,64.240,-1.133
'[15:04:00.728]',-,0.575,0.535,0.380,0.283,1.478,64.416,-1.133
'[15:04:00.736]',-,0.595,0.520,0.360,0.282,1.463,65.178,-1.006
'[15:04:00.744]',-,0.615,0.505,0.340,0.282,1.453,66.643,-0.879
'[15:04:00.752]',-,0.640,0.480,0.310,0.281,1.440,69.339,-0.694
'[15:04:00.760]',-,0.670,0.455,0.285,0.281,1.427,73.969,-0.625
'[15:04:00.768]',-,0.700,0.430,0.255,0.280,1.411,80.593,-0.752
'[15:04:00.776]',-,0.725,0.405,0.230,0.280,1.391,88.095,-1.133
'[15:04:00.784]',-,0.745,0.385,0.210,0.279,1.371,94.894,-1.690
'[15:04:00.792]',-,0.755,0.380,0.195,0.278,1.350,100.404,-2.315
'[15:04:00.800]',-,0.740,0.380,0.195,0.278,1.327,105.210,-2.755
'[15:04:00.808]',-,0.715,0.400,0.220,0.276,1.306,109.665,-2.940
'[15:04:00.816]',-,0.665,0.440,0.260,0.275,1.286,113.416,-2.882
'[15:04:00.824]',-,0.610,0.485,0.310,0.273,1.271,115.878,-2.628
'[15:04:00.832]',-,0.565,0.530,0.360,0.272,1.261,116.757,-2.442
'[15:04:00.840]',-,0.525,0.570,0.405,0.270,1.256,116.698,-2.315
'[15:04:00.848]',-,0.490,0.605,0.430,0.269,1.248,116.171,-2.384
'[15:04:00.856]',-,0.460,0.630,0.450,0.267,1.239,115.878,-2.569
'[15:04:00.864]',-,0.440,0.645,0.470,0.265,1.228,115.878,-2.882
'[15:04:00.872]',-,0.430,0.660,0.475,0.263,1.219,116.171,-2.999
'[15:04:00.880]',-,0.425,0.665,0.475,0.261,1.210,116.640,-2.999
'[15:04:00.888]',-,0.415,0.670,0.475,0.258,1.199,116.933,-2.999
'[15:04:00.896]',-,0.415,0.670,0.475,0.256,1.189,117.109,-2.999
'[15:04:00.904]',-,0.415,0.670,0.475,0.254,1.180,117.109,-2.999
'[15:04:00.912]',-,0.415,0.670,0.475,0.252,1.172,116.991,-2.999
'[15:04:00.920]',-,0.420,0.670,0.475,0.250,1.165,116.698,-2.999
'[15:04:00.928]',-,0.420,0.665,0.475,0.248,1.158,116.229,-2.999
'[15:04:00.936]',-,0.420,0.665,0.475,0.246,1.154,115.702,-2.999
'[15:04:00.944]',-,0.425,0.665,0.475,0.244,1.152,114.881,-2.999
'[15:04:00.952]',-,0.425,0.660,0.475,0.242,1.149,113.826,-2.999
'[15:04:00.960]',-,0.430,0.655,0.470,0.240,1.140,112.537,-2.999
'[15:04:00.968]',-,0.430,0.655,0.465,0.239,1.127,110.896,-2.999
'[15:04:00.976]',-,0.435,0.650,0.465,0.238,1.114,108.844,-2.999
'[15:04:00.984]',-,0.435,0.650,0.460,0.237,1.103,106.148,-2.999
'[15:04:00.992]',-,0.440,0.650,0.455,0.237,1.092,102.807,-2.999
'[15:04:01.000]',-,0.440,0.650,0.450,0.236,1.080,99.056,-2.999
'[15:04:01.008]',-,0.440,0.645,0.450,0.236,1.067,95.539,-2.999
'[15:04:01.016]',-,0.440,0.645,0.450,0.235,1.055,92.960,-2.999
'[15:04:01.024]',-,0.445,0.645,0.445,0.235,1.045,91.612,-2.999
'[15:04:01.032]',-,0.440,0.645,0.445,0.235,1.043,91.026,-2.999
'[15:04:01.040]',-,0.440,0.645,0.445,0.235,1.049,90.733,-2.999
'[15:04:01.048]',-,0.440,0.645,0.445,0.235,1.064,90.264,-2.999
'[15:04:01.056]',-,0.440,0.645,0.440,0.235,1.094,89.736,-2.999
'[15:04:01.064]',-,0.445,0.640,0.435,0.235,1.148,89.385,-2.999
'[15:04:01.072]',-,0.445,0.640,0.435,0.235,1.226,89.150,-2.882
'[15:04:01.080]',-,0.450,0.640,0.430,0.235,1.328,89.033,-2.696
'[15:04:01.088]',-,0.450,0.640,0.430,0.235,1.452,88.857,-2.442
'[15:04:01.096]',-,0.450,0.635,0.435,0.235,1.589,88.623,-2.188
'[15:04:01.104]',-,0.450,0.635,0.435,0.235,1.735,88.212,-2.003
'[15:04:01.112]',-,0.450,0.635,0.435,0.235,1.879,87.802,-1.758
'[15:04:01.120]',-,0.450,0.630,0.430,0.235,2.015,87.333,-1.504
'[15:04:01.128]',-,0.455,0.630,0.430,0.236,2.136,86.806,-1.319
'[15:04:01.136]',-,0.465,0.620,0.425,0.236,2.228,86.161,-1.192
'[15:04:01.144]',-,0.480,0.605,0.430,0.236,2.294,85.575,-1.006
'[15:04:01.152]',-,0.505,0.585,0.445,0.237,2.350,84.930,-0.938
'[15:04:01.160]',-,0.530,0.555,0.460,0.238,2.395,84.227,-0.879
'[15:04:01.168]',-,0.560,0.530,0.445,0.239,2.427,83.582,-0.938
'[15:04:01.176]',-,0.580,0.505,0.415,0.239,2.447,82.996,-1.006
'[15:04:01.184]',-,0.585,0.510,0.385,0.240,2.455,82.292,-1.192
'[15:04:01.192]',-,0.540,0.550,0.375,0.239,2.456,81.648,-1.319
'[15:04:01.200]',-,0.505,0.585,0.380,0.239,2.450,81.062,-1.446
'[15:04:01.208]',-,0.465,0.610,0.390,0.239,2.437,80.417,-1.563
'[15:04:01.216]',-,0.445,0.625,0.400,0.239,2.420,79.772,-1.631
'[15:04:01.224]',-,0.430,0.640,0.410,0.238,2.463,79.245,-1.631
'[15:04:01.232]',-,0.425,0.655,0.420,0.238,2.537,78.658,-1.631
'[15:04:01.240]',-,0.420,0.660,0.420,0.238,2.563,78.131,-1.563
'[15:04:01.248]',-,0.420,0.660,0.420,0.237,2.567,77.545,-1.563
'[15:04:01.256]',-,0.420,0.665,0.420,0.237,2.562,76.959,-1.563
'[15:04:01.264]',-,0.425,0.660,0.425,0.236,2.552,76.431,-1.563
'[15:04:01.272]',-,0.425,0.660,0.420,0.235,2.537,75.845,-1.631
'[15:04:01.280]',-,0.425,0.660,0.420,0.235,2.511,75.318,-1.631
'[15:04:01.288]',-,0.425,0.655,0.410,0.234,2.475,74.790,-1.690
'[15:04:01.296]',-,0.435,0.650,0.410,0.234,2.430,74.263,-1.690
'[15:04:01.304]',-,0.445,0.645,0.415,0.233,2.381,73.735,-1.690
'[15:04:01.312]',-,0.485,0.620,0.430,0.232,2.331,73.207,-1.690
'[15:04:01.320]',-,0.580,0.540,0.345,0.231,2.282,72.856,-1.758
'[15:04:01.328]',-,0.730,0.365,0.040,0.230,2.232,72.504,-1.758
'[15:04:01.336]',-,0.910,0.130,-0.341,0.229,2.190,72.211,-1.690
'[15:04:01.344]',-,0.950,0.060,-0.441,0.229,2.152,72.035,-1.504
'[15:04:01.352]',-,0.680,0.315,-0.075,0.228,2.115,71.977,-1.319
'[15:04:01.360]',-,0.425,0.650,0.345,0.228,2.085,71.801,-1.065
'[15:04:01.368]',-,0.335,0.795,0.515,0.227,2.061,71.625,-0.752
'[15:04:01.376]',-,0.350,0.775,0.525,0.226,2.041,71.273,-0.440
'[15:04:01.384]',-,0.410,0.710,0.500,0.225,2.026,70.922,-0.127
'[15:04:01.392]',-,0.450,0.660,0.495,0.224,2.015,70.511,0.186
'[15:04:01.400]',-,0.470,0.640,0.495,0.223,2.008,69.984,0.371
'[15:04:01.408]',-,0.480,0.635,0.490,0.222,2.002,69.573,0.557
'[15:04:01.416]',-,0.485,0.625,0.480,0.220,1.994,69.105,0.625
'[15:04:01.424]',-,0.490,0.625,0.480,0.219,1.983,68.636,0.557
'[15:04:01.432]',-,0.495,0.620,0.475,0.218,1.973,68.167,0.371
'[15:04:01.440]',-,0.500,0.615,0.470,0.217,1.962,67.698,0.186
'[15:04:01.448]',-,0.510,0.605,0.465,0.217,1.949,67.170,0.000
'[15:04:01.456]',-,0.515,0.595,0.455,0.216,1.934,66.584,-0.195
'[15:04:01.464]',-,0.520,0.590,0.450,0.216,1.919,66.174,-0.381
'[15:04:01.472]',-,0.530,0.580,0.440,0.216,1.905,65.705,-0.567
'[15:04:01.480]',-,0.535,0.575,0.430,0.216,1.891,65.295,-0.752
'[15:04:01.488]',-,0.545,0.570,0.425,0.216,1.877,64.943,-0.938
'[15:04:01.496]',-,0.550,0.560,0.415,0.216,1.859,64.533,-1.133
'[15:04:01.504]',-,0.560,0.555,0.400,0.216,1.840,64.298,-1.192
'[15:04:01.512]',-,0.575,0.545,0.385,0.216,1.819,64.298,-1.192
'[15:04:01.520]',-,0.585,0.525,0.370,0.216,1.798,64.709,-1.133
'[15:04:01.528]',-,0.605,0.505,0.350,0.216,1.776,65.646,-0.938
'[15:04:01.536]',-,0.635,0.485,0.325,0.217,1.757,67.522,-0.821
'[15:04:01.544]',-,0.665,0.460,0.300,0.217,1.736,70.980,-0.752
'[15:04:01.552]',-,0.690,0.435,0.270,0.217,1.714,76.431,-0.821
'[15:04:01.560]',-,0.715,0.410,0.240,0.217,1.693,83.465,-1.133
'[15:04:01.568]',-,0.735,0.395,0.215,0.218,1.675,90.733,-1.563
'[15:04:01.576]',-,0.750,0.380,0.200,0.218,1.660,97.004,-2.188
'[15:04:01.584]',-,0.755,0.380,0.195,0.219,1.645,101.986,-2.696
'[15:04:01.592]',-,0.730,0.395,0.205,0.219,1.629,106.441,-2.999
'[15:04:01.600]',-,0.690,0.425,0.240,0.219,1.610,110.427,-2.999
'[15:04:01.608]',-,0.640,0.465,0.285,0.220,1.587,113.416,-2.882
'[15:04:01.616]',-,0.590,0.510,0.330,0.220,1.564,115.116,-2.696
'[15:04:01.624]',-,0.550,0.555,0.375,0.220,1.542,115.585,-2.569
'[15:04:01.632]',-,0.510,0.590,0.415,0.220,1.526,115.409,-2.569
'[15:04:01.640]',-,0.475,0.620,0.440,0.219,1.514,114.998,-2.755
'[15:04:01.648]',-,0.450,0.640,0.460,0.219,1.500,114.647,-2.999
'[15:04:01.656]',-,0.430,0.660,0.470,0.218,1.489,114.647,-2.999
'[15:04:01.664]',-,0.425,0.665,0.475,0.217,1.479,114.998,-2.999
'[15:04:01.672]',-,0.415,0.670,0.480,0.216,1.473,115.350,-2.999
'[15:04:01.680]',-,0.415,0.680,0.480,0.215,1.468,115.702,-2.999
'[15:04:01.688]',-,0.415,0.680,0.475,0.214,1.461,115.760,-2.999
'[15:04:01.696]',-,0.415,0.675,0.475,0.213,1.455,115.702,-2.999
'[15:04:01.704]',-,0.415,0.670,0.480,0.212,1.448,115.467,-2.999
'[15:04:01.712]',-,0.415,0.675,0.475,0.210,1.445,115.233,-2.999
'[15:04:01.720]',-,0.415,0.670,0.475,0.209,1.443,114.823,-2.999
'[15:04:01.728]',-,0.420,0.670,0.470,0.209,1.439,114.178,-2.999
'[15:04:01.736]',-,0.425,0.665,0.470,0.208,1.437,113.240,-2.999
'[15:04:01.744]',-,0.425,0.660,0.470,0.208,1.434,112.068,-2.999
'[15:04:01.752]',-,0.430,0.660,0.465,0.207,1.427,110.485,-2.999
'[15:04:01.760]',-,0.435,0.655,0.460,0.206,1.418,108.551,-2.999
'[15:04:01.768]',-,0.435,0.655,0.455,0.205,1.407,105.972,-2.999
'[15:04:01.776]',-,0.435,0.655,0.450,0.204,1.394,102.807,-2.999
'[15:04:01.784]',-,0.440,0.650,0.445,0.204,1.380,99.114,-2.999
'[15:04:01.792]',-,0.445,0.645,0.445,0.204,1.365,95.480,-2.999
'[15:04:01.800]',-,0.445,0.645,0.445,0.205,1.348,92.491,-2.999
'[15:04:01.808]',-,0.440,0.645,0.445,0.206,1.332,90.674,-2.999
