'Time','II','PLETH','ABP'
'[19:09:18.528]',0.180,0.639,89.531
'[19:09:18.536]',0.180,0.635,88.750
'[19:09:18.544]',0.180,0.627,88.281
'[19:09:18.552]',0.172,0.624,87.500
'[19:09:18.560]',0.172,0.620,86.719
'[19:09:18.568]',0.172,0.612,85.781
'[19:09:18.576]',0.156,0.608,85.000
'[19:09:18.584]',0.180,0.600,84.531
'[19:09:18.592]',0.312,0.588,83.750
'[19:09:18.600]',0.586,0.580,83.281
'[19:09:18.608]',0.930,0.573,82.500
'[19:09:18.616]',1.117,0.561,82.031
'[19:09:18.624]',0.938,0.549,81.719
'[19:09:18.632]',0.547,0.533,80.781
'[19:09:18.640]',0.203,0.522,80.469
'[19:09:18.648]',0.016,0.510,80.000
'[19:09:18.656]',-0.016,0.498,79.531
'[19:09:18.664]',0.039,0.490,78.750
'[19:09:18.672]',0.086,0.482,78.750
'[19:09:18.680]',0.117,0.475,78.281
'[19:09:18.688]',0.133,0.471,77.969
'[19:09:18.696]',0.141,0.467,77.969
'[19:09:18.704]',0.156,0.463,77.500
'[19:09:18.712]',0.172,0.463,77.031
'[19:09:18.720]',0.180,0.459,76.719
'[19:09:18.728]',0.188,0.455,76.250
'[19:09:18.736]',0.188,0.455,75.781
'[19:09:18.744]',0.188,0.451,75.469
'[19:09:18.752]',0.195,0.447,75.000
'[19:09:18.760]',0.203,0.447,75.000
'[19:09:18.768]',0.211,0.443,74.531
'[19:09:18.776]',0.227,0.439,74.219
'[19:09:18.784]',0.227,0.435,73.750
'[19:09:18.792]',0.242,0.431,73.281
'[19:09:18.800]',0.266,0.427,72.969
'[19:09:18.808]',0.289,0.427,72.500
'[19:09:18.816]',0.312,0.424,72.031
'[19:09:18.824]',0.336,0.420,71.719
'[19:09:18.832]',0.375,0.416,71.719
'[19:09:18.840]',0.406,0.412,72.031
'[19:09:18.848]',0.430,0.408,73.281
'[19:09:18.856]',0.445,0.404,76.250
'[19:09:18.864]',0.461,0.400,80.781
'[19:09:18.872]',0.453,0.396,86.719
'[19:09:18.880]',0.438,0.392,93.281
'[19:09:18.888]',0.414,0.388,100.781
'[19:09:18.896]',0.375,0.384,108.750
'[19:09:18.904]',0.328,0.380,115.781
'[19:09:18.912]',0.289,0.380,122.500
'[19:09:18.920]',0.250,0.376,128.750
'[19:09:18.928]',0.227,0.373,134.219
'[19:09:18.936]',0.219,0.373,138.750
'[19:09:18.944]',0.211,0.369,142.031
'[19:09:18.952]',0.195,0.365,144.219
'[19:09:18.960]',0.195,0.365,145.781
'[19:09:18.968]',0.203,0.361,146.250
'[19:09:18.976]',0.195,0.361,146.250
'[19:09:18.984]',0.195,0.357,145.469
'[19:09:18.992]',0.188,0.357,144.219
'[19:09:19.000]',0.188,0.357,142.500
'[19:09:19.008]',0.188,0.357,140.781
'[19:09:19.016]',0.188,0.353,138.750
'[19:09:19.024]',0.188,0.353,136.719
'[19:09:19.032]',0.195,0.349,135.000
'[19:09:19.040]',0.211,0.349,132.969
'[19:09:19.048]',0.211,0.345,130.781
'[19:09:19.056]',0.227,0.341,129.219
'[19:09:19.064]',0.227,0.341,127.031
'[19:09:19.072]',0.227,0.337,125.000
'[19:09:19.080]',0.211,0.333,123.281
'[19:09:19.088]',0.211,0.329,120.781
'[19:09:19.096]',0.211,0.329,118.281
'[19:09:19.104]',0.211,0.333,115.781
'[19:09:19.112]',0.211,0.337,112.500
'[19:09:19.120]',0.211,0.349,109.219
'[19:09:19.128]',0.203,0.361,105.781
'[19:09:19.136]',0.203,0.380,102.500
'[19:09:19.144]',0.195,0.408,100.000
'[19:09:19.152]',0.195,0.435,97.500
'[19:09:19.160]',0.203,0.467,95.781
'[19:09:19.168]',0.211,0.498,94.219
'[19:09:19.176]',0.211,0.533,93.281
'[19:09:19.184]',0.219,0.569,92.031
'[19:09:19.192]',0.242,0.596,91.719
'[19:09:19.200]',0.250,0.616,91.250
'[19:09:19.208]',0.258,0.631,90.781
'[19:09:19.216]',0.273,0.647,90.781
'[19:09:19.224]',0.289,0.659,90.781
'[19:09:19.232]',0.281,0.667,90.469
'[19:09:19.240]',0.281,0.675,90.469
'[19:09:19.248]',0.273,0.678,90.469
'[19:09:19.256]',0.258,0.678,90.469
'[19:09:19.264]',0.250,0.678,90.000
'[19:09:19.272]',0.242,0.678,89.531
'[19:09:19.280]',0.234,0.675,89.219
'[19:09:19.288]',0.227,0.671,88.750
'[19:09:19.296]',0.195,0.667,88.281
'[19:09:19.304]',0.172,0.663,87.969
'[19:09:19.312]',0.156,0.655,87.031
'[19:09:19.320]',0.156,0.647,86.719
'[19:09:19.328]',0.164,0.639,85.781
'[19:09:19.336]',0.172,0.631,85.000
'[19:09:19.344]',0.172,0.624,84.531
'[19:09:19.352]',0.156,0.612,83.750
'[19:09:19.360]',0.141,0.600,83.281
'[19:09:19.368]',0.211,0.588,82.500
'[19:09:19.376]',0.422,0.573,82.031
'[19:09:19.384]',0.750,0.553,81.250
'[19:09:19.392]',1.070,0.537,80.781
'[19:09:19.400]',1.133,0.522,80.469
'[19:09:19.408]',0.789,0.506,80.000
'[19:09:19.416]',0.406,0.490,79.531
'[19:09:19.424]',0.125,0.475,79.219
'[19:09:19.432]',0.000,0.459,78.750
'[19:09:19.440]',-0.008,0.447,78.281
'[19:09:19.448]',0.039,0.435,77.969
'[19:09:19.456]',0.086,0.427,77.500
'[19:09:19.464]',0.117,0.420,77.031
'[19:09:19.472]',0.125,0.416,77.031
'[19:09:19.480]',0.141,0.408,76.719
'[19:09:19.488]',0.141,0.404,76.719
'[19:09:19.496]',0.141,0.400,76.250
'[19:09:19.504]',0.141,0.400,75.781
'[19:09:19.512]',0.141,0.396,75.469
'[19:09:19.520]',0.156,0.392,75.000
'[19:09:19.528]',0.164,0.388,74.531
'[19:09:19.536]',0.172,0.384,74.219
'[19:09:19.544]',0.188,0.380,73.750
'[19:09:19.552]',0.188,0.373,73.281
'[19:09:19.560]',0.195,0.369,73.281
'[19:09:19.568]',0.203,0.365,72.969
'[19:09:19.576]',0.227,0.357,72.500
'[19:09:19.584]',0.258,0.353,72.031
'[19:09:19.592]',0.281,0.349,71.719
'[19:09:19.600]',0.312,0.345,71.250
'[19:09:19.608]',0.336,0.341,71.250
'[19:09:19.616]',0.367,0.337,71.250
'[19:09:19.624]',0.398,0.333,72.500
'[19:09:19.632]',0.422,0.325,75.000
'[19:09:19.640]',0.438,0.322,78.750
'[19:09:19.648]',0.445,0.318,84.531
'[19:09:19.656]',0.438,0.314,91.250
'[19:09:19.664]',0.406,0.310,99.219
'[19:09:19.672]',0.375,0.306,107.031
'[19:09:19.680]',0.336,0.302,114.531
'[19:09:19.688]',0.289,0.298,121.719
'[19:09:19.696]',0.250,0.294,127.969
'[19:09:19.704]',0.227,0.294,133.281
'[19:09:19.712]',0.211,0.290,137.969
'[19:09:19.720]',0.195,0.290,141.250
'[19:09:19.728]',0.188,0.286,143.750
'[19:09:19.736]',0.172,0.282,145.469
'[19:09:19.744]',0.172,0.278,146.250
'[19:09:19.752]',0.172,0.278,146.719
'[19:09:19.760]',0.172,0.275,146.250
'[19:09:19.768]',0.180,0.275,145.000
'[19:09:19.776]',0.188,0.271,143.750
'[19:09:19.784]',0.188,0.271,142.500
'[19:09:19.792]',0.188,0.267,140.781
'[19:09:19.800]',0.188,0.267,138.750
'[19:09:19.808]',0.188,0.267,137.031
'[19:09:19.816]',0.188,0.263,135.000
'[19:09:19.824]',0.188,0.263,133.281
'[19:09:19.832]',0.195,0.259,131.250
'[19:09:19.840]',0.195,0.259,129.531
'[19:09:19.848]',0.203,0.255,127.500
'[19:09:19.856]',0.188,0.251,125.781
'[19:09:19.864]',0.188,0.251,123.750
'[19:09:19.872]',0.195,0.251,121.250
'[19:09:19.880]',0.203,0.251,118.750
'[19:09:19.888]',0.211,0.259,115.781
'[19:09:19.896]',0.203,0.271,112.500
'[19:09:19.904]',0.195,0.286,108.750
'[19:09:19.912]',0.188,0.314,105.469
'[19:09:19.920]',0.188,0.349,102.500
'[19:09:19.928]',0.188,0.388,99.531
'[19:09:19.936]',0.188,0.431,97.500
'[19:09:19.944]',0.188,0.475,95.781
'[19:09:19.952]',0.195,0.518,94.531
'[19:09:19.960]',0.195,0.561,93.281
'[19:09:19.968]',0.195,0.596,92.500
'[19:09:19.976]',0.195,0.624,92.031
'[19:09:19.984]',0.203,0.651,91.719
'[19:09:19.992]',0.211,0.671,91.719
'[19:09:20.000]',0.227,0.686,91.250
'[19:09:20.008]',0.242,0.698,91.250
'[19:09:20.016]',0.250,0.706,91.250
'[19:09:20.024]',0.258,0.714,91.250
'[19:09:20.032]',0.266,0.718,91.250
'[19:09:20.040]',0.273,0.725,90.781
'[19:09:20.048]',0.281,0.725,90.781
'[19:09:20.056]',0.273,0.729,90.469
'[19:09:20.064]',0.266,0.729,90.000
'[19:09:20.072]',0.266,0.725,89.531
'[19:09:20.080]',0.250,0.722,88.750
'[19:09:20.088]',0.242,0.722,88.281
'[19:09:20.096]',0.219,0.714,87.500
'[19:09:20.104]',0.188,0.710,87.031
'[19:09:20.112]',0.172,0.702,86.250
'[19:09:20.120]',0.172,0.694,85.781
'[19:09:20.128]',0.172,0.686,85.000
'[19:09:20.136]',0.172,0.678,84.531
'[19:09:20.144]',0.164,0.667,83.750
'[19:09:20.152]',0.172,0.651,83.281
'[19:09:20.160]',0.156,0.635,82.500
'[19:09:20.168]',0.180,0.620,82.031
'[19:09:20.176]',0.320,0.604,81.250
'[19:09:20.184]',0.625,0.584,80.781
'[19:09:20.192]',1.000,0.573,80.469
'[19:09:20.200]',1.180,0.557,80.000
'[19:09:20.208]',0.992,0.545,79.531
'[19:09:20.216]',0.594,0.533,78.750
'[19:09:20.224]',0.266,0.522,78.281
'[19:09:20.232]',0.062,0.510,77.969
'[19:09:20.240]',0.016,0.502,77.969
'[19:09:20.248]',0.047,0.498,77.500
'[19:09:20.256]',0.086,0.494,77.031
'[19:09:20.264]',0.102,0.486,77.031
'[19:09:20.272]',0.117,0.486,76.719
'[19:09:20.280]',0.125,0.482,76.719
'[19:09:20.288]',0.141,0.478,76.250
'[19:09:20.296]',0.156,0.475,76.250
'[19:09:20.304]',0.164,0.475,75.781
'[19:09:20.312]',0.164,0.471,75.469
'[19:09:20.320]',0.172,0.467,75.000
'[19:09:20.328]',0.172,0.463,75.000
'[19:09:20.336]',0.172,0.459,74.531
'[19:09:20.344]',0.172,0.451,74.219
'[19:09:20.352]',0.188,0.447,73.750
'[19:09:20.360]',0.195,0.443,73.281
'[19:09:20.368]',0.211,0.435,73.281
'[19:09:20.376]',0.227,0.431,72.969
'[19:09:20.384]',0.250,0.424,72.500
'[19:09:20.392]',0.273,0.420,72.031
'[19:09:20.400]',0.297,0.416,71.719
'[19:09:20.408]',0.336,0.412,71.719
'[19:09:20.416]',0.367,0.408,71.719
'[19:09:20.424]',0.391,0.404,72.031
'[19:09:20.432]',0.406,0.396,74.219
'[19:09:20.440]',0.438,0.392,77.500
'[19:09:20.448]',0.445,0.388,82.500
'[19:09:20.456]',0.438,0.384,89.219
'[19:09:20.464]',0.414,0.380,96.719
'[19:09:20.472]',0.391,0.376,104.531
'[19:09:20.480]',0.367,0.373,112.500
'[19:09:20.488]',0.320,0.369,120.000
'[19:09:20.496]',0.281,0.369,126.719
'[19:09:20.504]',0.242,0.365,132.500
'[19:09:20.512]',0.203,0.365,137.031
'[19:09:20.520]',0.195,0.361,140.781
'[19:09:20.528]',0.195,0.361,143.750
'[19:09:20.536]',0.195,0.357,145.469
'[19:09:20.544]',0.188,0.357,146.250
'[19:09:20.552]',0.188,0.353,146.719
'[19:09:20.560]',0.180,0.353,146.250
'[19:09:20.568]',0.180,0.353,145.469
'[19:09:20.576]',0.180,0.353,144.531
'[19:09:20.584]',0.188,0.349,142.969
'[19:09:20.592]',0.188,0.349,141.250
'[19:09:20.600]',0.188,0.349,139.531
'[19:09:20.608]',0.188,0.345,137.969
'[19:09:20.616]',0.188,0.345,135.781
'[19:09:20.624]',0.203,0.345,133.750
'[19:09:20.632]',0.211,0.341,132.031
'[19:09:20.640]',0.195,0.341,130.000
'[19:09:20.648]',0.188,0.337,127.969
'[19:09:20.656]',0.188,0.333,125.781
'[19:09:20.664]',0.188,0.333,123.750
'[19:09:20.672]',0.195,0.329,121.719
'[19:09:20.680]',0.195,0.333,118.750
'[19:09:20.688]',0.195,0.337,115.781
'[19:09:20.696]',0.195,0.349,112.500
'[19:09:20.704]',0.195,0.361,109.219
'[19:09:20.712]',0.203,0.384,105.781
'[19:09:20.720]',0.195,0.416,102.969
'[19:09:20.728]',0.188,0.455,100.000
'[19:09:20.736]',0.188,0.494,97.969
'[19:09:20.744]',0.188,0.541,96.250
'[19:09:20.752]',0.188,0.584,95.000
'[19:09:20.760]',0.195,0.624,93.750
'[19:09:20.768]',0.203,0.663,93.281
'[19:09:20.776]',0.203,0.694,92.969
'[19:09:20.784]',0.195,0.722,92.500
'[19:09:20.792]',0.195,0.741,92.500
'[19:09:20.800]',0.195,0.757,92.031
'[19:09:20.808]',0.195,0.769,92.031
'[19:09:20.816]',0.195,0.780,92.031
'[19:09:20.824]',0.203,0.792,92.031
'[19:09:20.832]',0.227,0.800,92.031
'[19:09:20.840]',0.250,0.804,91.719
'[19:09:20.848]',0.266,0.808,91.250
'[19:09:20.856]',0.273,0.812,91.250
'[19:09:20.864]',0.289,0.812,90.781
'[19:09:20.872]',0.289,0.812,90.000
'[19:09:20.880]',0.281,0.812,89.531
'[19:09:20.888]',0.281,0.808,89.219
'[19:09:20.896]',0.281,0.804,88.281
'[19:09:20.904]',0.273,0.800,87.969
'[19:09:20.912]',0.266,0.796,87.031
'[19:09:20.920]',0.258,0.788,86.719
'[19:09:20.928]',0.234,0.776,85.781
'[19:09:20.936]',0.203,0.769,85.000
'[19:09:20.944]',0.188,0.757,84.531
'[19:09:20.952]',0.180,0.741,83.750
'[19:09:20.960]',0.172,0.729,83.281
'[19:09:20.968]',0.180,0.710,82.500
'[19:09:20.976]',0.188,0.694,82.031
'[19:09:20.984]',0.188,0.675,81.719
'[19:09:20.992]',0.180,0.659,80.781
'[19:09:21.000]',0.172,0.647,80.469
'[19:09:21.008]',0.227,0.631,80.000
'[19:09:21.016]',0.438,0.620,79.531
'[19:09:21.024]',0.789,0.608,78.750
'[19:09:21.032]',1.125,0.596,78.281
'[19:09:21.040]',1.188,0.588,77.969
'[19:09:21.048]',0.820,0.584,77.500
'[19:09:21.056]',0.445,0.576,77.031
'[19:09:21.064]',0.188,0.573,77.031
'[19:09:21.072]',0.062,0.569,76.719
'[19:09:21.080]',0.047,0.565,76.250
'[19:09:21.088]',0.086,0.561,76.250
'[19:09:21.096]',0.125,0.557,75.781
'[19:09:21.104]',0.141,0.557,75.781
'[19:09:21.112]',0.141,0.553,75.781
'[19:09:21.120]',0.148,0.545,75.469
'[19:09:21.128]',0.156,0.541,75.469
'[19:09:21.136]',0.164,0.537,75.000
'[19:09:21.144]',0.164,0.529,75.000
'[19:09:21.152]',0.172,0.525,74.531
'[19:09:21.160]',0.188,0.518,74.531
'[19:09:21.168]',0.188,0.510,74.219
'[19:09:21.176]',0.188,0.502,73.750
'[19:09:21.184]',0.195,0.498,73.281
'[19:09:21.192]',0.219,0.490,73.281
'[19:09:21.200]',0.234,0.486,72.969
'[19:09:21.208]',0.250,0.475,72.500
'[19:09:21.216]',0.266,0.459,72.031
'[19:09:21.224]',0.281,0.451,71.719
'[19:09:21.232]',0.289,0.443,71.250
'[19:09:21.240]',0.305,0.435,70.781
'[19:09:21.248]',0.336,0.431,70.781
'[19:09:21.256]',0.375,0.427,70.781
'[19:09:21.264]',0.391,0.420,71.719
'[19:09:21.272]',0.414,0.416,73.750
'[19:09:21.280]',0.438,0.412,77.500
'[19:09:21.288]',0.453,0.408,82.969
'[19:09:21.296]',0.445,0.404,89.531
'[19:09:21.304]',0.422,0.404,97.031
'[19:09:21.312]',0.375,0.400,105.000
'[19:09:21.320]',0.336,0.396,112.969
'[19:09:21.328]',0.297,0.392,120.000
'[19:09:21.336]',0.266,0.392,126.250
'[19:09:21.344]',0.242,0.388,131.719
'[19:09:21.352]',0.227,0.384,135.781
'[19:09:21.360]',0.211,0.384,139.219
'[19:09:21.368]',0.195,0.380,141.250
'[19:09:21.376]',0.195,0.380,142.969
'[19:09:21.384]',0.195,0.376,143.281
'[19:09:21.392]',0.195,0.376,143.281
'[19:09:21.400]',0.188,0.376,142.969
'[19:09:21.408]',0.188,0.376,141.719
'[19:09:21.416]',0.195,0.373,140.469
'[19:09:21.424]',0.211,0.373,138.750
'[19:09:21.432]',0.211,0.373,137.031
'[19:09:21.440]',0.211,0.373,135.000
'[19:09:21.448]',0.211,0.369,133.281
'[19:09:21.456]',0.203,0.369,131.250
'[19:09:21.464]',0.203,0.365,129.219
'[19:09:21.472]',0.203,0.365,127.031
'[19:09:21.480]',0.211,0.361,125.000
'[19:09:21.488]',0.219,0.357,122.969
'[19:09:21.496]',0.211,0.357,120.469
'[19:09:21.504]',0.211,0.353,117.969
'[19:09:21.512]',0.195,0.353,115.469
'[19:09:21.520]',0.188,0.353,112.500
'[19:09:21.528]',0.188,0.357,109.219
'[19:09:21.536]',0.188,0.365,105.781
'[19:09:21.544]',0.195,0.380,102.500
'[19:09:21.552]',0.203,0.404,100.000
'[19:09:21.560]',0.211,0.431,97.500
'[19:09:21.568]',0.227,0.467,95.781
'[19:09:21.576]',0.211,0.502,94.219
'[19:09:21.584]',0.211,0.541,93.281
'[19:09:21.592]',0.203,0.576,92.500
'[19:09:21.600]',0.211,0.604,92.031
'[19:09:21.608]',0.203,0.635,91.719
'[19:09:21.616]',0.195,0.663,91.719
'[19:09:21.624]',0.195,0.682,91.719
'[19:09:21.632]',0.203,0.702,91.719
'[19:09:21.640]',0.211,0.718,91.719
'[19:09:21.648]',0.211,0.733,91.719
'[19:09:21.656]',0.211,0.741,92.031
'[19:09:21.664]',0.219,0.749,91.719
'[19:09:21.672]',0.227,0.753,91.719
'[19:09:21.680]',0.250,0.757,91.250
'[19:09:21.688]',0.250,0.761,91.250
'[19:09:21.696]',0.266,0.761,90.781
'[19:09:21.704]',0.281,0.761,90.000
'[19:09:21.712]',0.305,0.761,89.531
'[19:09:21.720]',0.312,0.757,89.219
'[19:09:21.728]',0.312,0.757,88.281
'[19:09:21.736]',0.312,0.753,87.500
'[19:09:21.744]',0.297,0.749,87.031
'[19:09:21.752]',0.281,0.741,86.250
'[19:09:21.760]',0.266,0.733,85.781
'[19:09:21.768]',0.250,0.725,85.000
'[19:09:21.776]',0.227,0.714,84.219
'[19:09:21.784]',0.211,0.702,83.750
'[19:09:21.792]',0.195,0.690,82.969
'[19:09:21.800]',0.188,0.678,82.500
'[19:09:21.808]',0.188,0.663,81.719
'[19:09:21.816]',0.203,0.647,81.250
'[19:09:21.824]',0.211,0.631,80.781
'[19:09:21.832]',0.188,0.620,80.000
'[19:09:21.840]',0.172,0.608,79.531
'[19:09:21.848]',0.211,0.596,79.219
'[19:09:21.856]',0.383,0.584,78.750
'[19:09:21.864]',0.703,0.580,78.281
'[19:09:21.872]',1.062,0.573,77.969
'[19:09:21.880]',1.172,0.569,77.500
'[19:09:21.888]',0.914,0.565,77.500
'[19:09:21.896]',0.531,0.565,77.031
'[19:09:21.904]',0.242,0.561,76.719
'[19:09:21.912]',0.078,0.557,76.719
'[19:09:21.920]',0.047,0.553,76.250
'[19:09:21.928]',0.094,0.549,76.250
'[19:09:21.936]',0.141,0.549,75.781
'[19:09:21.944]',0.156,0.545,75.781
'[19:09:21.952]',0.164,0.541,75.781
'[19:09:21.960]',0.172,0.533,75.469
'[19:09:21.968]',0.172,0.529,75.469
'[19:09:21.976]',0.180,0.525,75.469
'[19:09:21.984]',0.188,0.522,75.000
'[19:09:21.992]',0.195,0.514,75.000
'[19:09:22.000]',0.195,0.510,74.531
'[19:09:22.008]',0.211,0.506,74.219
'[19:09:22.016]',0.211,0.502,73.750
'[19:09:22.024]',0.227,0.494,73.750
'[19:09:22.032]',0.242,0.490,73.281
'[19:09:22.040]',0.250,0.482,72.969
'[19:09:22.048]',0.250,0.478,72.500
'[19:09:22.056]',0.258,0.475,72.031
'[19:09:22.064]',0.273,0.467,71.719
'[19:09:22.072]',0.305,0.463,71.250
'[19:09:22.080]',0.328,0.459,70.781
'[19:09:22.088]',0.352,0.455,70.781
'[19:09:22.096]',0.375,0.451,70.469
'[19:09:22.104]',0.398,0.447,70.781
'[19:09:22.112]',0.422,0.443,71.719
'[19:09:22.120]',0.438,0.439,74.219
'[19:09:22.128]',0.445,0.435,78.281
'[19:09:22.136]',0.445,0.431,83.750
'[19:09:22.144]',0.438,0.427,90.469
'[19:09:22.152]',0.406,0.427,97.969
'[19:09:22.160]',0.359,0.424,105.469
'[19:09:22.168]',0.328,0.420,112.969
'[19:09:22.176]',0.297,0.416,119.531
'[19:09:22.184]',0.266,0.412,125.000
'[19:09:22.192]',0.250,0.412,130.000
'[19:09:22.200]',0.242,0.412,133.281
'[19:09:22.208]',0.234,0.408,135.781
'[19:09:22.216]',0.227,0.408,137.500
'[19:09:22.224]',0.211,0.404,138.281
'[19:09:22.232]',0.211,0.404,138.750
'[19:09:22.240]',0.211,0.404,138.281
'[19:09:22.248]',0.203,0.400,137.031
'[19:09:22.256]',0.203,0.400,135.781
'[19:09:22.264]',0.211,0.400,134.219
'[19:09:22.272]',0.227,0.396,132.500
'[19:09:22.280]',0.211,0.396,130.469
'[19:09:22.288]',0.211,0.392,128.281
'[19:09:22.296]',0.219,0.392,126.250
'[19:09:22.304]',0.227,0.392,124.219
'[19:09:22.312]',0.227,0.388,122.031
'[19:09:22.320]',0.227,0.388,120.000
'[19:09:22.328]',0.211,0.384,117.969
'[19:09:22.336]',0.211,0.380,115.469
'[19:09:22.344]',0.227,0.376,112.969
'[19:09:22.352]',0.227,0.376,110.000
'[19:09:22.360]',0.211,0.373,107.031
'[19:09:22.368]',0.195,0.376,104.219
'[19:09:22.376]',0.195,0.380,101.250
'[19:09:22.384]',0.211,0.392,98.281
'[19:09:22.392]',0.211,0.404,96.250
'[19:09:22.400]',0.211,0.424,94.531
'[19:09:22.408]',0.211,0.451,92.969
'[19:09:22.416]',0.203,0.482,92.031
'[19:09:22.424]',0.203,0.518,91.250
'[19:09:22.432]',0.211,0.557,90.781
'[19:09:22.440]',0.211,0.592,90.781
'[19:09:22.448]',0.203,0.627,90.781
'[19:09:22.456]',0.203,0.659,90.781
'[19:09:22.464]',0.211,0.686,90.781
'[19:09:22.472]',0.203,0.706,91.250
'[19:09:22.480]',0.211,0.725,91.250
'[19:09:22.488]',0.211,0.737,91.250
'[19:09:22.496]',0.227,0.745,91.250
'[19:09:22.504]',0.219,0.753,91.250
'[19:09:22.512]',0.219,0.761,91.250
'[19:09:22.520]',0.227,0.765,90.781
'[19:09:22.528]',0.242,0.769,90.781
'[19:09:22.536]',0.266,0.769,90.469
'[19:09:22.544]',0.281,0.773,90.000
'[19:09:22.552]',0.305,0.773,89.219
'[19:09:22.560]',0.312,0.769,88.750
'[19:09:22.568]',0.297,0.769,87.969
'[19:09:22.576]',0.297,0.765,87.500
'[19:09:22.584]',0.312,0.757,86.719
'[19:09:22.592]',0.305,0.753,85.781
'[19:09:22.600]',0.305,0.745,85.469
'[19:09:22.608]',0.289,0.737,84.531
'[19:09:22.616]',0.273,0.725,84.219
'[19:09:22.624]',0.250,0.714,83.281
'[19:09:22.632]',0.227,0.698,82.969
'[19:09:22.640]',0.211,0.686,82.031
'[19:09:22.648]',0.211,0.671,81.719
'[19:09:22.656]',0.195,0.655,80.781
'[19:09:22.664]',0.188,0.643,80.469
'[19:09:22.672]',0.188,0.631,80.000
'[19:09:22.680]',0.180,0.624,79.531
'[19:09:22.688]',0.172,0.612,78.750
'[19:09:22.696]',0.195,0.608,78.750
'[19:09:22.704]',0.344,0.600,78.281
'[19:09:22.712]',0.641,0.596,77.969
'[19:09:22.720]',1.000,0.592,77.969
'[19:09:22.728]',1.164,0.592,77.500
'[19:09:22.736]',0.961,0.588,77.031
'[19:09:22.744]',0.586,0.584,77.031
'[19:09:22.752]',0.281,0.584,76.719
'[19:09:22.760]',0.102,0.580,76.250
'[19:09:22.768]',0.062,0.576,76.250
'[19:09:22.776]',0.086,0.573,76.250
'[19:09:22.784]',0.125,0.569,75.781
'[19:09:22.792]',0.148,0.569,75.781
'[19:09:22.800]',0.156,0.565,75.781
'[19:09:22.808]',0.156,0.561,75.781
'[19:09:22.816]',0.180,0.553,75.781
'[19:09:22.824]',0.188,0.549,75.469
'[19:09:22.832]',0.188,0.545,75.469
'[19:09:22.840]',0.195,0.541,75.000
