"'Time','II','PLETH','ABP','I','III','ICP','V','MCL'"
"'[13:18:40.360]',-,-,-,-,-,-,-,-"
"'[13:18:40.368]',-,-,-,-,-,-,-,-"
"'[13:18:40.376]',-,-,-,-,-,-,-,-"
"'[13:18:40.384]',-,-,-,-,-,-,-,-"
"'[13:18:40.392]',-,-,-,-,-,-,-,-"
"'[13:18:40.400]',-,-,-,-,-,-,-,-"
"'[13:18:40.408]',-,-,-,-,-,-,-,-"
"'[13:18:40.416]',-,-,-,-,-,-,-,-"
"'[13:18:40.424]',-,-,-,-,-,-,-,-"
"'[13:18:40.432]',-,-,-,-,-,-,-,-"
"'[13:18:40.440]',-,-,-,-,-,-,-,-"
"'[13:18:40.448]',-,-,-,-,-,-,-,-"
"'[13:18:40.456]',-,-,-,-,-,-,-,-"
"'[13:18:40.464]',-,-,-,-,-,-,-,-"
"'[13:18:40.472]',-,-,-,-,-,-,-,-"
"'[13:18:40.480]',-,-,-,-,-,-,-,-"
"'[13:18:40.488]',-,-,-,-,-,-,-,-"
"'[13:18:40.496]',-,-,-,-,-,-,-,-"
"'[13:18:40.504]',-,-,-,-,-,-,-,-"
"'[13:18:40.512]',-,-,-,-,-,-,-,-"
"'[13:18:40.520]',-,-,-,-,-,-,-,-"
"'[13:18:40.528]',-,-,-,-,-,-,-,-"
"'[13:18:40.536]',-,-,-,-,-,-,-,-"
"'[13:18:40.544]',-,-,-,-,-,-,-,-"
"'[13:18:40.552]',-,-,-,-,-,-,-,-"
"'[13:18:40.560]',-,-,-,-,-,-,-,-"
"'[13:18:40.568]',-,-,-,-,-,-,-,-"
"'[13:18:40.576]',-,-,-,-,-,-,-,-"
"'[13:18:40.584]',-,-,-,-,-,-,-,-"
"'[13:18:40.592]',-,-,-,-,-,-,-,-"
"'[13:18:40.600]',-,-,-,-,-,-,-,-"
"'[13:18:40.608]',-,-,-,-,-,-,-,-"
"'[13:18:40.616]',-,-,-,-,-,-,-,-"
"'[13:18:40.624]',-,-,-,-,-,-,-,-"
"'[13:18:40.632]',-,-,-,-,-,-,-,-"
"'[13:18:40.640]',-,-,-,-,-,-,-,-"
"'[13:18:40.648]',-,-,-,-,-,-,-,-"
"'[13:18:40.656]',-,-,-,-,-,-,-,-"
"'[13:18:40.664]',-,-,-,-,-,-,-,-"
"'[13:18:40.672]',-,-,-,-,-,-,-,-"
"'[13:18:40.680]',-,-,-,-,-,-,-,-"
"'[13:18:40.688]',-,-,-,-,-,-,-,-"
"'[13:18:40.696]',-,-,-,-,-,-,-,-"
"'[13:18:40.704]',-,-,-,-,-,-,-,-"
"'[13:18:40.712]',-,-,-,-,-,-,-,-"
"'[13:18:40.720]',-,-,-,-,-,-,-,-"
"'[13:18:40.728]',-,-,-,-,-,-,-,-"
"'[13:18:40.736]',-,-,-,-,-,-,-,-"
"'[13:18:40.744]',-,-,-,-,-,-,-,-"
"'[13:18:40.752]',-,-,-,-,-,-,-,-"
"'[13:18:40.760]',-,-,-,-,-,-,-,-"
"'[13:18:40.768]',-,-,-,-,-,-,-,-"
"'[13:18:40.776]',-,-,-,-,-,-,-,-"
"'[13:18:40.784]',-,-,-,-,-,-,-,-"
"'[13:18:40.792]',-,-,-,-,-,-,-,-"
"'[13:18:40.800]',-,-,-,-,-,-,-,-"
"'[13:18:40.808]',-,-,-,-,-,-,-,-"
"'[13:18:40.816]',-,-,-,-,-,-,-,-"
"'[13:18:40.824]',-,-,-,-,-,-,-,-"
"'[13:18:40.832]',-,-,-,-,-,-,-,-"
"'[13:18:40.840]',-,-,-,-,-,-,-,-"
"'[13:18:40.848]',-,-,-,-,-,-,-,-"
"'[13:18:40.856]',-,-,-,-,-,-,-,-"
"'[13:18:40.864]',-,-,-,-,-,-,-,-"
"'[13:18:40.872]',-,-,-,-,-,-,-,-"
"'[13:18:40.880]',-,-,-,-,-,-,-,-"
"'[13:18:40.888]',-,-,-,-,-,-,-,-"
"'[13:18:40.896]',-,-,-,-,-,-,-,-"
"'[13:18:40.904]',-,-,-,-,-,-,-,-"
"'[13:18:40.912]',-,-,-,-,-,-,-,-"
"'[13:18:40.920]',-,-,-,-,-,-,-,-"
"'[13:18:40.928]',-,-,-,-,-,-,-,-"
"'[13:18:40.936]',-,-,-,-,-,-,-,-"
"'[13:18:40.944]',-,-,-,-,-,-,-,-"
"'[13:18:40.952]',-,-,-,-,-,-,-,-"
"'[13:18:40.960]',-,-,-,-,-,-,-,-"
"'[13:18:40.968]',-,-,-,-,-,-,-,-"
"'[13:18:40.976]',-,-,-,-,-,-,-,-"
"'[13:18:40.984]',-,-,-,-,-,-,-,-"
"'[13:18:40.992]',-,-,-,-,-,-,-,-"
"'[13:18:41.000]',0.953,-,-,-,-,-,-,-"
"'[13:18:41.008]',0.992,-,-,-,-,-,-,-"
"'[13:18:41.016]',0.969,-,-,-,-,-,-,-"
"'[13:18:41.024]',1.031,-,-,-,-,-,-,-"
"'[13:18:41.032]',1.000,-,-,-,-,-,-,-"
"'[13:18:41.040]',1.071,-,-,-,-,-,-,-"
"'[13:18:41.048]',1.047,-,-,-,-,-,-,-"
"'[13:18:41.056]',1.094,-,-,-,-,-,-,-"
"'[13:18:41.064]',1.086,-,-,-,-,-,-,-"
"'[13:18:41.072]',1.157,-,-,-,-,-,-,-"
"'[13:18:41.080]',1.165,-,-,-,-,-,-,-"
"'[13:18:41.088]',1.188,-,-,-,-,-,-,-"
"'[13:18:41.096]',1.133,-,-,-,-,-,-,-"
"'[13:18:41.104]',1.173,-,-,-,-,-,-,-"
"'[13:18:41.112]',1.110,-,-,-,-,-,-,-"
"'[13:18:41.120]',1.094,-,-,-,-,-,-,-"
"'[13:18:41.128]',1.008,-,-,-,-,-,-,-"
"'[13:18:41.136]',0.984,-,-,-,-,-,-,-"
"'[13:18:41.144]',0.945,-,-,-,-,-,-,-"
"'[13:18:41.152]',0.929,-,-,-,-,-,-,-"
"'[13:18:41.160]',0.945,-,-,-,-,-,-,-"
"'[13:18:41.168]',0.906,-,-,-,-,-,-,-"
"'[13:18:41.176]',0.914,-,-,-,-,-,-,-"
"'[13:18:41.184]',0.859,-,-,-,-,-,-,-"
"'[13:18:41.192]',0.882,-,-,-,-,-,-,-"
"'[13:18:41.200]',0.843,-,-,-,-,-,-,-"
"'[13:18:41.208]',0.835,-,-,-,-,-,-,-"
"'[13:18:41.216]',0.898,-,-,-,-,-,-,-"
"'[13:18:41.224]',1.071,-,-,-,-,-,-,-"
"'[13:18:41.232]',1.000,-,-,-,-,-,-,-"
"'[13:18:41.240]',1.055,-,-,-,-,-,-,-"
"'[13:18:41.248]',0.922,-,-,-,-,-,-,-"
"'[13:18:41.256]',0.898,-,-,-,-,-,-,-"
"'[13:18:41.264]',0.765,-,-,-,-,-,-,-"
"'[13:18:41.272]',0.820,-,-,-,-,-,-,-"
"'[13:18:41.280]',0.780,-,-,-,-,-,-,-"
"'[13:18:41.288]',0.859,-,-,-,-,-,-,-"
"'[13:18:41.296]',0.804,-,-,-,-,-,-,-"
"'[13:18:41.304]',0.851,-,-,-,-,-,-,-"
"'[13:18:41.312]',0.804,-,-,-,-,-,-,-"
"'[13:18:41.320]',0.827,-,-,-,-,-,-,-"
"'[13:18:41.328]',0.773,-,-,-,-,-,-,-"
"'[13:18:41.336]',0.757,-,-,-,-,-,-,-"
"'[13:18:41.344]',0.812,-,-,-,-,-,-,-"
"'[13:18:41.352]',0.765,-,-,-,-,-,-,-"
"'[13:18:41.360]',0.804,-,-,-,-,-,-,-"
"'[13:18:41.368]',0.749,-,-,-,-,-,-,-"
"'[13:18:41.376]',0.827,-,-,-,-,-,-,-"
"'[13:18:41.384]',0.765,-,-,-,-,-,-,-"
"'[13:18:41.392]',0.843,-,-,-,-,-,-,-"
"'[13:18:41.400]',0.796,-,-,-,-,-,-,-"
"'[13:18:41.408]',0.843,-,-,-,-,-,-,-"
"'[13:18:41.416]',0.780,-,-,-,-,-,-,-"
"'[13:18:41.424]',0.835,-,-,-,-,-,-,-"
"'[13:18:41.432]',0.812,-,-,-,-,-,-,-"
"'[13:18:41.440]',0.882,0.420,-,-,-,-,-,-"
"'[13:18:41.448]',0.843,0.420,-,-,-,-,-,-"
"'[13:18:41.456]',0.922,0.420,-,-,-,-,-,-"
"'[13:18:41.464]',0.906,0.420,-,-,-,-,-,-"
"'[13:18:41.472]',0.976,0.420,-,-,-,-,-,-"
"'[13:18:41.480]',0.945,0.420,-,-,-,-,-,-"
"'[13:18:41.488]',0.992,0.420,-,-,-,-,-,-"
"'[13:18:41.496]',1.039,0.420,-,-,-,-,-,-"
"'[13:18:41.504]',1.086,0.420,-,-,-,-,-,-"
"'[13:18:41.512]',1.086,0.420,-,-,-,-,-,-"
"'[13:18:41.520]',1.047,0.420,-,-,-,-,-,-"
"'[13:18:41.528]',1.055,0.420,-,-,-,-,-,-"
"'[13:18:41.536]',1.024,0.420,-,-,-,-,-,-"
"'[13:18:41.544]',1.071,0.420,-,-,-,-,-,-"
"'[13:18:41.552]',1.047,0.420,-,-,-,-,-,-"
"'[13:18:41.560]',1.078,0.420,-,-,-,-,-,-"
"'[13:18:41.568]',1.047,0.420,-,-,-,-,-,-"
"'[13:18:41.576]',1.055,0.420,-,-,-,-,-,-"
"'[13:18:41.584]',0.992,0.420,-,-,-,-,-,-"
"'[13:18:41.592]',1.000,0.420,-,-,-,-,-,-"
"'[13:18:41.600]',0.929,0.420,-,-,-,-,-,-"
"'[13:18:41.608]',0.953,0.420,-,-,-,-,-,-"
"'[13:18:41.616]',0.906,0.420,-,-,-,-,-,-"
"'[13:18:41.624]',0.906,0.420,-,-,-,-,-,-"
"'[13:18:41.632]',0.875,0.420,-,-,-,-,-,-"
"'[13:18:41.640]',0.875,0.420,-,-,-,-,-,-"
"'[13:18:41.648]',0.835,0.420,-,-,-,-,-,-"
"'[13:18:41.656]',0.851,0.420,-,-,-,-,-,-"
"'[13:18:41.664]',0.796,0.420,-,-,-,-,-,-"
"'[13:18:41.672]',0.796,0.420,-,-,-,-,-,-"
"'[13:18:41.680]',0.757,0.420,-,-,-,-,-,-"
"'[13:18:41.688]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:41.696]',0.710,0.420,-,-,-,-,-,-"
"'[13:18:41.704]',0.733,0.420,-,-,-,-,-,-"
"'[13:18:41.712]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:41.720]',0.678,0.420,-,-,-,-,-,-"
"'[13:18:41.728]',0.655,0.420,-,-,-,-,-,-"
"'[13:18:41.736]',0.663,0.420,-,-,-,-,-,-"
"'[13:18:41.744]',0.639,0.420,-,-,-,-,-,-"
"'[13:18:41.752]',0.678,0.420,-,-,-,-,-,-"
"'[13:18:41.760]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:41.768]',0.655,0.420,-,-,-,-,-,-"
"'[13:18:41.776]',0.678,0.420,-,-,-,-,-,-"
"'[13:18:41.784]',0.655,0.420,-,-,-,-,-,-"
"'[13:18:41.792]',0.686,0.420,-,-,-,-,-,-"
"'[13:18:41.800]',0.655,0.420,-,-,-,-,-,-"
"'[13:18:41.808]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:41.816]',0.671,0.420,-,-,-,-,-,-"
"'[13:18:41.824]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:41.832]',0.678,0.420,-,-,-,-,-,-"
"'[13:18:41.840]',0.710,0.420,-,-,-,-,-,-"
"'[13:18:41.848]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:41.856]',0.718,0.420,-,-,-,-,-,-"
"'[13:18:41.864]',0.718,0.420,-,-,-,-,-,-"
"'[13:18:41.872]',0.741,0.420,-,-,-,-,-,-"
"'[13:18:41.880]',0.718,0.420,-,-,-,-,-,-"
"'[13:18:41.888]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:41.896]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:41.904]',0.773,0.420,-,-,-,-,-,-"
"'[13:18:41.912]',0.796,0.420,-,-,-,-,-,-"
"'[13:18:41.920]',0.827,0.420,-,-,-,-,-,-"
"'[13:18:41.928]',0.835,0.420,-,-,-,-,-,-"
"'[13:18:41.936]',0.867,0.420,-,-,-,-,-,-"
"'[13:18:41.944]',0.890,0.420,-,-,-,-,-,-"
"'[13:18:41.952]',0.937,0.420,-,-,-,-,-,-"
"'[13:18:41.960]',1.071,0.420,-,-,-,-,-,-"
"'[13:18:41.968]',1.235,0.420,-,-,-,-,-,-"
"'[13:18:41.976]',1.267,0.420,-,-,-,-,-,-"
"'[13:18:41.984]',1.251,0.420,-,-,-,-,-,-"
"'[13:18:41.992]',1.180,0.420,-,-,-,-,-,-"
"'[13:18:42.000]',1.071,0.420,-,-,-,-,-,-"
"'[13:18:42.008]',1.000,0.420,-,-,-,-,-,-"
"'[13:18:42.016]',0.961,0.420,-,-,-,-,-,-"
"'[13:18:42.024]',0.961,0.420,-,-,-,-,-,-"
"'[13:18:42.032]',0.914,0.420,-,-,-,-,-,-"
"'[13:18:42.040]',0.906,0.420,-,-,-,-,-,-"
"'[13:18:42.048]',0.867,0.420,-,-,-,-,-,-"
"'[13:18:42.056]',0.875,0.420,-,-,-,-,-,-"
"'[13:18:42.064]',0.835,0.420,-,-,-,-,-,-"
"'[13:18:42.072]',0.835,0.420,-,-,-,-,-,-"
"'[13:18:42.080]',0.812,0.420,-,-,-,-,-,-"
"'[13:18:42.088]',0.820,0.420,-,-,-,-,-,-"
"'[13:18:42.096]',0.788,0.420,-,-,-,-,-,-"
"'[13:18:42.104]',0.796,0.420,-,-,-,-,-,-"
"'[13:18:42.112]',0.765,0.420,-,-,-,-,-,-"
"'[13:18:42.120]',0.757,0.420,-,-,-,-,-,-"
"'[13:18:42.128]',0.773,0.420,-,-,-,-,-,-"
"'[13:18:42.136]',0.765,0.420,-,-,-,-,-,-"
"'[13:18:42.144]',0.780,0.420,-,-,-,-,-,-"
"'[13:18:42.152]',0.796,0.420,-,-,-,-,-,-"
"'[13:18:42.160]',0.780,0.420,-,-,-,-,-,-"
"'[13:18:42.168]',0.788,0.420,-,-,-,-,-,-"
"'[13:18:42.176]',0.765,0.420,-,-,-,-,-,-"
"'[13:18:42.184]',0.780,0.420,-,-,-,-,-,-"
"'[13:18:42.192]',0.788,0.420,-,-,-,-,-,-"
"'[13:18:42.200]',0.773,0.420,-,-,-,-,-,-"
"'[13:18:42.208]',0.812,0.420,-,-,-,-,-,-"
"'[13:18:42.216]',0.796,0.420,-,-,-,-,-,-"
"'[13:18:42.224]',0.851,0.420,-,-,-,-,-,-"
"'[13:18:42.232]',0.843,0.420,-,-,-,-,-,-"
"'[13:18:42.240]',0.859,0.420,-,-,-,-,-,-"
"'[13:18:42.248]',0.843,0.420,-,-,-,-,-,-"
"'[13:18:42.256]',0.882,0.420,-,-,-,-,-,-"
"'[13:18:42.264]',0.867,0.420,-,-,-,-,-,-"
"'[13:18:42.272]',0.906,0.420,-,-,-,-,-,-"
"'[13:18:42.280]',0.890,0.420,-,-,-,-,-,-"
"'[13:18:42.288]',0.929,0.420,-,-,-,-,-,-"
"'[13:18:42.296]',0.914,0.420,-,-,-,-,-,-"
"'[13:18:42.304]',0.929,0.420,-,-,-,-,-,-"
"'[13:18:42.312]',0.898,0.420,-,-,-,-,-,-"
"'[13:18:42.320]',0.890,0.420,-,-,-,-,-,-"
"'[13:18:42.328]',0.851,0.420,-,-,-,-,-,-"
"'[13:18:42.336]',0.859,0.420,-,-,-,-,-,-"
"'[13:18:42.344]',0.835,0.420,-,-,-,-,-,-"
"'[13:18:42.352]',0.812,0.420,-,-,-,-,-,-"
"'[13:18:42.360]',0.773,0.420,-,-,-,-,-,-"
"'[13:18:42.368]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:42.376]',0.773,0.420,-,-,-,-,-,-"
"'[13:18:42.384]',0.757,0.420,-,-,-,-,-,-"
"'[13:18:42.392]',0.780,0.420,-,-,-,-,-,-"
"'[13:18:42.400]',0.741,0.420,-,-,-,-,-,-"
"'[13:18:42.408]',0.757,0.420,-,-,-,-,-,-"
"'[13:18:42.416]',0.733,0.420,-,-,-,-,-,-"
"'[13:18:42.424]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:42.432]',0.710,0.420,-,-,-,-,-,-"
"'[13:18:42.440]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:42.448]',0.725,0.420,-,-,-,-,-,-"
"'[13:18:42.456]',0.749,0.420,-,-,-,-,-,-"
"'[13:18:42.464]',0.702,0.420,-,-,-,-,-,-"
"'[13:18:42.472]',0.741,0.420,-,-,-,-,-,-"
"'[13:18:42.480]',0.702,0.420,-,-,-,-,-,-"
"'[13:18:42.488]',0.741,0.420,-,-,-,-,-,-"
"'[13:18:42.496]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:42.504]',0.718,0.420,-,-,-,-,-,-"
"'[13:18:42.512]',0.671,0.420,-,-,-,-,-,-"
"'[13:18:42.520]',0.694,0.420,-,-,-,-,-,-"
"'[13:18:42.528]',0.702,0.420,-,-,-,-,-,-"
"'[13:18:42.536]',0.671,0.420,-,-,-,-,-,-"
"'[13:18:42.544]',0.686,0.420,-,-,-,-,-,-"
"'[13:18:42.552]',0.671,0.420,-,-,-,-,-,-"
"'[13:18:42.560]',0.678,0.420,-,-,-,-,-,-"
"'[13:18:42.568]',0.647,0.420,-,-,-,-,-,-"
"'[13:18:42.576]',0.671,0.420,-,-,-,-,-,-"
"'[13:18:42.584]',0.624,0.420,-,-,-,-,-,-"
"'[13:18:42.592]',0.647,0.420,-,-,-,-,-,-"
"'[13:18:42.600]',0.608,0.420,-,-,-,-,-,-"
"'[13:18:42.608]',0.616,0.420,-,-,-,-,-,-"
"'[13:18:42.616]',0.569,0.420,-,-,-,-,-,-"
"'[13:18:42.624]',0.592,0.420,-,-,-,-,-,-"
"'[13:18:42.632]',0.545,0.420,-,-,-,-,-,-"
"'[13:18:42.640]',0.561,0.420,-,-,-,-,-,-"
"'[13:18:42.648]',0.522,0.420,-,-,-,-,-,-"
"'[13:18:42.656]',0.545,0.420,-,-,-,-,-,-"
"'[13:18:42.664]',0.514,0.420,-,-,-,-,-,-"
"'[13:18:42.672]',0.522,0.420,-,-,-,-,-,-"
"'[13:18:42.680]',0.463,0.420,-,-,-,-,-,-"
"'[13:18:42.688]',0.529,0.420,-,-,-,-,-,-"
"'[13:18:42.696]',0.584,0.420,-,-,-,-,-,-"
"'[13:18:42.704]',0.671,0.420,-,-,-,-,-,-"
"'[13:18:42.712]',0.624,0.420,-,-,-,-,-,-"
"'[13:18:42.720]',0.584,0.420,-,-,-,-,-,-"
"'[13:18:42.728]',0.439,0.420,-,-,-,-,-,-"
"'[13:18:42.736]',0.400,0.420,-,-,-,-,-,-"
"'[13:18:42.744]',0.408,0.420,-,-,-,-,-,-"
"'[13:18:42.752]',0.376,0.420,-,-,-,-,-,-"
"'[13:18:42.760]',0.424,0.420,-,-,-,-,-,-"
"'[13:18:42.768]',0.416,0.420,-,-,-,-,-,-"
"'[13:18:42.776]',0.455,0.420,-,-,-,-,-,-"
"'[13:18:42.784]',0.431,0.420,-,-,-,-,-,-"
"'[13:18:42.792]',0.471,0.420,-,-,-,-,-,-"
"'[13:18:42.800]',0.455,0.420,-,-,-,-,-,-"
"'[13:18:42.808]',0.486,0.420,-,-,-,-,-,-"
"'[13:18:42.816]',0.471,0.420,-,-,-,-,-,-"
"'[13:18:42.824]',0.529,0.420,-,-,-,-,-,-"
"'[13:18:42.832]',0.514,0.420,-,-,-,-,-,-"
"'[13:18:42.840]',0.569,0.420,-,-,-,-,-,-"
"'[13:18:42.848]',0.545,0.420,-,-,-,-,-,-"
"'[13:18:42.856]',0.569,0.420,-,-,-,-,-,-"
"'[13:18:42.864]',0.545,0.420,-,-,-,-,-,-"
"'[13:18:42.872]',0.584,0.420,-,-,-,-,-,-"
"'[13:18:42.880]',0.569,0.431,-,-,-,-,-,-"
"'[13:18:42.888]',0.592,0.447,-,-,-,-,-,-"
"'[13:18:42.896]',0.584,0.455,-,-,-,-,-,-"
"'[13:18:42.904]',0.671,0.459,-,-,-,-,-,-"
"'[13:18:42.912]',0.616,0.463,-,-,-,-,-,-"
"'[13:18:42.920]',0.686,0.463,-,-,-,-,-,-"
"'[13:18:42.928]',0.663,0.463,-,-,-,-,-,-"
"'[13:18:42.936]',0.718,0.463,-,-,-,-,-,-"
"'[13:18:42.944]',0.741,0.463,-,-,-,-,-,-"
"'[13:18:42.952]',0.694,0.463,-,-,-,-,-,-"
"'[13:18:42.960]',0.765,0.463,-,-,-,-,-,-"
"'[13:18:42.968]',0.694,0.463,-,-,-,-,-,-"
"'[13:18:42.976]',0.780,0.463,-,-,-,-,-,-"
"'[13:18:42.984]',0.725,0.463,-,-,-,-,-,-"
"'[13:18:42.992]',0.796,0.463,-,-,-,-,-,-"
"'[13:18:43.000]',0.749,0.463,-,-,-,-,-,-"
"'[13:18:43.008]',0.804,0.459,-,-,-,-,-,-"
"'[13:18:43.016]',0.765,0.459,-,-,-,-,-,-"
"'[13:18:43.024]',0.851,0.459,-,-,-,-,-,-"
"'[13:18:43.032]',0.804,0.459,-,-,-,-,-,-"
"'[13:18:43.040]',0.875,0.459,-,-,-,-,-,-"
"'[13:18:43.048]',0.804,0.459,-,-,-,-,-,-"
"'[13:18:43.056]',0.859,0.459,-,-,-,-,-,-"
"'[13:18:43.064]',0.796,0.455,-,-,-,-,-,-"
"'[13:18:43.072]',0.835,0.455,-,-,-,-,-,-"
"'[13:18:43.080]',0.765,0.455,-,-,-,-,-,-"
"'[13:18:43.088]',0.812,0.455,-,-,-,-,-,-"
"'[13:18:43.096]',0.765,0.455,-,-,-,-,-,-"
"'[13:18:43.104]',0.788,0.451,-,-,-,-,-,-"
"'[13:18:43.112]',0.741,0.451,-,-,-,-,-,-"
"'[13:18:43.120]',0.733,0.451,-,-,-,-,-,-"
"'[13:18:43.128]',0.773,0.451,-,-,-,-,-,-"
"'[13:18:43.136]',0.694,0.451,-,-,-,-,-,-"
"'[13:18:43.144]',0.741,0.451,-,-,-,-,-,-"
"'[13:18:43.152]',0.686,0.447,-,-,-,-,-,-"
"'[13:18:43.160]',0.710,0.447,-,-,-,-,-,-"
"'[13:18:43.168]',0.655,0.447,-,-,-,-,-,-"
"'[13:18:43.176]',0.694,0.447,-,-,-,-,-,-"
"'[13:18:43.184]',0.639,0.447,-,-,-,-,-,-"
"'[13:18:43.192]',0.671,0.447,-,-,-,-,-,-"
"'[13:18:43.200]',0.639,0.443,-,-,-,-,-,-"
"'[13:18:43.208]',0.655,0.443,-,-,-,-,-,-"
"'[13:18:43.216]',0.600,0.443,-,-,-,-,-,-"
"'[13:18:43.224]',0.639,0.443,-,-,-,-,-,-"
"'[13:18:43.232]',0.584,0.443,-,-,-,-,-,-"
"'[13:18:43.240]',0.608,0.443,-,-,-,-,-,-"
"'[13:18:43.248]',0.553,0.443,-,-,-,-,-,-"
"'[13:18:43.256]',0.600,0.439,-,-,-,-,-,-"
"'[13:18:43.264]',0.584,0.439,-,-,-,-,-,-"
"'[13:18:43.272]',0.655,0.439,-,-,-,-,-,-"
"'[13:18:43.280]',0.678,0.439,-,-,-,-,-,-"
"'[13:18:43.288]',0.741,0.439,-,-,-,-,-,-"
"'[13:18:43.296]',0.757,0.439,-,-,-,-,-,-"
"'[13:18:43.304]',0.749,0.439,-,-,-,-,-,-"
"'[13:18:43.312]',0.796,0.439,-,-,-,-,-,-"
"'[13:18:43.320]',0.780,0.439,-,-,-,-,-,-"
"'[13:18:43.328]',0.835,0.439,-,-,-,-,-,-"
"'[13:18:43.336]',0.875,0.435,-,-,-,-,-,-"
"'[13:18:43.344]',0.733,0.435,-,-,-,-,-,-"
"'[13:18:43.352]',0.686,0.435,-,-,-,-,-,-"
"'[13:18:43.360]',0.694,0.435,-,-,-,-,-,-"
"'[13:18:43.368]',0.647,0.435,-,-,-,-,-,-"
"'[13:18:43.376]',0.624,0.435,-,-,-,-,-,-"
"'[13:18:43.384]',0.608,0.435,-,-,-,-,-,-"
"'[13:18:43.392]',0.686,0.435,-,-,-,-,-,-"
"'[13:18:43.400]',0.694,0.435,-,-,-,-,-,-"
"'[13:18:43.408]',0.741,0.435,-,-,-,-,-,-"
"'[13:18:43.416]',0.733,0.435,-,-,-,-,-,-"
"'[13:18:43.424]',0.875,0.435,-,-,-,-,-,-"
"'[13:18:43.432]',0.906,0.435,-,-,-,-,-,-"
"'[13:18:43.440]',0.922,0.435,-,-,-,-,-,-"
"'[13:18:43.448]',0.804,0.435,-,-,-,-,-,-"
"'[13:18:43.456]',0.718,0.431,-,-,-,-,-,-"
"'[13:18:43.464]',0.616,0.431,-,-,-,-,-,-"
"'[13:18:43.472]',0.600,0.431,-,-,-,-,-,-"
"'[13:18:43.480]',0.576,0.431,-,-,-,-,-,-"
"'[13:18:43.488]',0.584,0.431,-,-,-,-,-,-"
"'[13:18:43.496]',0.561,0.431,-,-,-,-,-,-"
"'[13:18:43.504]',0.616,0.431,-,-,-,-,-,-"
