'Time','II','AVR','V','RESP','PLETH','ABP','CVP','ICP'
'[20:48:05.144]',0.105,0.580,1.000,0.308,1.412,55.194,11.937,-
'[20:48:05.152]',0.140,0.545,1.010,0.310,1.399,61.446,12.436,-
'[20:48:05.160]',0.135,0.570,0.990,0.312,1.387,69.749,12.064,-
'[20:48:05.168]',0.165,0.535,1.000,0.314,1.375,79.421,10.931,-
'[20:48:05.176]',0.160,0.545,0.990,0.317,1.369,89.189,10.189,-
'[20:48:05.184]',0.185,0.520,1.000,0.319,1.364,97.297,10.501,-
'[20:48:05.192]',0.175,0.535,0.975,0.320,1.355,102.817,11.127,-
'[20:48:05.200]',0.230,0.500,0.980,0.322,1.345,105.796,11.058,-
'[20:48:05.208]',0.195,0.525,0.970,0.323,1.337,107.945,10.189,-
'[20:48:05.216]',0.235,0.495,0.980,0.324,1.333,110.681,9.622,-
'[20:48:05.224]',0.230,0.515,0.955,0.325,1.331,114.198,9.876,-
'[20:48:05.232]',0.285,0.470,0.975,0.326,1.330,117.372,10.374,-
'[20:48:05.240]',0.260,0.480,0.960,0.326,1.327,119.766,10.189,-
'[20:48:05.248]',0.285,0.465,0.975,0.327,1.323,121.622,9.564,-
'[20:48:05.256]',0.280,0.490,0.945,0.329,1.321,123.820,9.437,-
'[20:48:05.264]',0.320,0.445,0.940,0.330,1.320,126.164,10.247,-
'[20:48:05.272]',0.280,0.475,0.950,0.333,1.322,127.825,11.058,-
'[20:48:05.280]',0.270,0.480,0.935,0.335,1.326,128.509,11.058,-
'[20:48:05.288]',0.275,0.460,0.960,0.336,1.327,128.753,10.306,-
'[20:48:05.296]',0.255,0.485,0.945,0.338,1.328,129.388,9.993,-
'[20:48:05.304]',0.280,0.465,0.960,0.339,1.329,130.170,10.687,-
'[20:48:05.312]',0.255,0.480,0.940,0.341,1.329,130.414,11.371,-
'[20:48:05.320]',0.205,0.515,0.955,0.342,1.331,129.828,10.873,-
'[20:48:05.328]',0.195,0.520,0.950,0.345,1.333,128.753,9.251,-
'[20:48:05.336]',0.230,0.490,0.970,0.347,1.337,128.265,8.118,-
'[20:48:05.344]',0.205,0.515,0.950,0.350,1.342,128.704,8.997,-
'[20:48:05.352]',0.195,0.500,0.975,0.351,1.344,129.388,11.371,-
'[20:48:05.360]',0.170,0.530,0.955,0.354,1.347,129.388,13.119,-
'[20:48:05.368]',0.205,0.500,0.970,0.355,1.351,128.607,13.002,-
'[20:48:05.376]',0.160,0.540,0.955,0.356,1.357,127.727,11.810,-
'[20:48:05.384]',0.190,0.510,0.970,0.357,1.365,127.483,11.058,-
'[20:48:05.392]',0.180,0.525,0.960,0.358,1.371,127.239,11.556,-
'[20:48:05.400]',0.200,0.510,0.975,0.358,1.379,126.311,12.250,-
'[20:48:05.408]',0.175,0.530,0.960,0.359,1.390,124.699,12.309,-
'[20:48:05.416]',0.205,0.500,0.980,0.359,1.407,123.136,11.869,-
'[20:48:05.424]',0.175,0.535,0.955,0.359,1.430,122.061,11.937,-
'[20:48:05.432]',0.185,0.520,0.980,0.358,1.462,120.938,12.563,-
'[20:48:05.440]',0.165,0.540,0.960,0.357,1.500,118.593,13.002,-
'[20:48:05.448]',0.200,0.510,0.980,0.357,1.545,115.223,12.748,-
'[20:48:05.456]',0.185,0.530,0.960,0.356,1.597,111.804,12.377,-
'[20:48:05.464]',0.210,0.495,0.985,0.355,1.655,109.313,12.934,-
'[20:48:05.472]',0.190,0.520,0.965,0.354,1.708,107.310,14.184,-
'[20:48:05.480]',0.225,0.495,0.960,0.353,1.759,104.722,14.809,-
'[20:48:05.488]',0.205,0.515,0.975,0.352,1.816,101.303,14.126,-
'[20:48:05.496]',0.240,0.485,0.965,0.351,1.879,97.688,12.875,-
'[20:48:05.504]',0.255,0.475,0.975,0.350,1.943,94.611,12.377,-
'[20:48:05.512]',0.225,0.505,0.955,0.349,2.010,92.364,12.807,-
'[20:48:05.520]',0.245,0.475,0.975,0.348,2.078,90.215,12.934,-
'[20:48:05.528]',0.260,0.490,0.955,0.348,2.149,87.919,11.752,-
'[20:48:05.536]',0.235,0.465,0.975,0.348,2.216,85.721,9.935,-
'[20:48:05.544]',0.215,0.510,0.950,0.348,2.280,84.354,9.183,-
'[20:48:05.552]',0.255,0.480,0.965,0.349,2.340,83.914,10.501,-
'[20:48:05.560]',0.230,0.505,0.950,0.350,2.397,83.377,12.563,-
'[20:48:05.568]',0.260,0.475,0.975,0.350,2.454,82.156,13.432,-
'[20:48:05.576]',0.205,0.515,0.960,0.351,2.501,80.690,12.377,-
'[20:48:05.584]',0.250,0.475,0.975,0.353,2.542,79.567,10.687,-
'[20:48:05.592]',0.230,0.495,0.960,0.354,2.585,78.981,9.935,-
'[20:48:05.600]',0.250,0.470,0.985,0.355,2.629,78.444,10.247,-
'[20:48:05.608]',0.225,0.500,0.970,0.356,2.673,77.369,10.619,-
'[20:48:05.616]',0.265,0.470,0.990,0.357,2.717,76.099,10.306,-
'[20:48:05.624]',0.245,0.490,0.960,0.358,2.755,75.318,9.749,-
'[20:48:05.632]',0.265,0.460,0.975,0.358,2.788,75.073,9.876,-
'[20:48:05.640]',0.255,0.475,0.945,0.358,2.818,74.780,10.433,-
'[20:48:05.648]',0.285,0.445,0.950,0.359,2.843,73.852,10.746,-
'[20:48:05.656]',0.255,0.470,0.930,0.359,2.862,72.680,10.433,-
'[20:48:05.664]',0.285,0.450,0.945,0.359,2.876,71.947,10.247,-
'[20:48:05.672]',0.295,0.445,0.940,0.359,2.882,71.752,10.873,-
'[20:48:05.680]',0.255,0.480,0.955,0.358,2.884,71.508,11.869,-
'[20:48:05.688]',0.200,0.510,0.950,0.357,2.885,70.629,12.123,-
'[20:48:05.696]',0.235,0.515,0.970,0.356,2.882,69.407,11.556,-
'[20:48:05.704]',0.200,0.485,0.975,0.354,2.878,68.724,11.127,-
'[20:48:05.712]',0.210,0.520,0.970,0.352,2.873,68.724,11.810,-
'[20:48:05.720]',0.170,0.505,0.995,0.349,2.864,68.919,12.934,-
'[20:48:05.728]',0.160,0.545,0.970,0.346,2.851,68.626,13.432,-
'[20:48:05.736]',0.180,0.520,1.000,0.342,2.834,67.991,12.934,-
'[20:48:05.744]',0.160,0.545,0.970,0.338,2.812,67.698,12.377,-
'[20:48:05.752]',0.185,0.515,0.995,0.334,2.789,67.796,12.748,-
'[20:48:05.760]',0.110,0.570,0.990,0.329,2.761,67.796,13.813,-
'[20:48:05.768]',0.105,0.565,1.080,0.325,2.729,67.161,14.311,-
'[20:48:05.776]',0.225,0.515,1.035,0.321,2.695,66.135,13.930,-
'[20:48:05.784]',0.500,0.335,0.935,0.316,2.660,65.500,13.559,-
'[20:48:05.792]',0.895,0.095,0.660,0.312,2.619,65.500,13.999,-
'[20:48:05.800]',1.285,-0.135,0.475,0.307,2.573,65.402,14.936,-
'[20:48:05.808]',1.300,-0.140,0.430,0.303,2.525,64.670,15.376,-
'[20:48:05.816]',0.785,0.140,0.675,0.298,2.478,63.595,14.868,-
'[20:48:05.824]',0.320,0.445,0.875,0.292,2.435,63.107,14.311,-
'[20:48:05.832]',0.205,0.505,0.985,0.287,2.393,63.302,14.682,-
'[20:48:05.840]',0.100,0.575,1.005,0.283,2.351,63.448,15.493,-
'[20:48:05.848]',0.115,0.555,1.035,0.278,2.310,62.716,15.806,-
'[20:48:05.856]',0.080,0.590,1.030,0.274,2.273,61.690,15.181,-
'[20:48:05.864]',0.090,0.570,1.045,0.270,2.237,61.104,14.682,-
'[20:48:05.872]',0.055,0.605,1.040,0.266,2.204,61.251,15.063,-
'[20:48:05.880]',0.090,0.575,1.045,0.263,2.176,61.299,15.874,-
'[20:48:05.888]',0.100,0.570,1.050,0.259,2.148,60.616,16.001,-
'[20:48:05.896]',0.055,0.595,1.040,0.256,2.117,59.541,15.376,-
'[20:48:05.904]',0.085,0.570,1.050,0.252,2.087,59.101,14.868,-
'[20:48:05.912]',0.065,0.590,1.035,0.249,2.057,59.443,15.308,-
'[20:48:05.920]',0.060,0.595,1.055,0.246,2.024,59.687,16.314,-
'[20:48:05.928]',0.085,0.575,1.035,0.243,1.991,59.150,16.431,-
'[20:48:05.936]',0.055,0.570,1.060,0.240,1.959,58.222,15.620,-
'[20:48:05.944]',0.045,0.610,1.035,0.237,1.929,57.587,14.809,-
'[20:48:05.952]',0.090,0.575,1.050,0.234,1.902,57.734,14.995,-
'[20:48:05.960]',0.065,0.595,1.035,0.230,1.880,58.124,15.689,-
'[20:48:05.968]',0.080,0.575,1.055,0.227,1.857,57.880,15.562,-
'[20:48:05.976]',0.060,0.590,1.045,0.223,1.839,56.903,13.999,-
'[20:48:05.984]',0.100,0.565,1.045,0.219,1.821,55.975,12.250,-
'[20:48:05.992]',0.080,0.585,1.020,0.214,1.800,55.780,11.996,-
'[20:48:06.000]',0.105,0.560,1.045,0.210,1.777,56.073,13.500,-
'[20:48:06.008]',0.070,0.590,1.025,0.205,1.756,55.975,15.063,-
'[20:48:06.016]',0.110,0.560,1.045,0.199,1.737,55.438,15.063,-
'[20:48:06.024]',0.110,0.575,1.020,0.194,1.718,55.194,13.686,-
'[20:48:06.032]',0.120,0.550,1.045,0.189,1.701,56.561,12.377,-
'[20:48:06.040]',0.095,0.575,1.025,0.184,1.684,59.883,12.182,-
'[20:48:06.048]',0.150,0.540,1.040,0.179,1.666,64.865,12.494,-
'[20:48:06.056]',0.160,0.545,1.005,0.174,1.645,71.215,12.377,-
'[20:48:06.064]',0.155,0.530,1.035,0.169,1.624,78.688,11.625,-
'[20:48:06.072]',0.150,0.545,1.005,0.163,1.606,86.552,11.185,-
'[20:48:06.080]',0.205,0.500,1.000,0.158,1.591,93.488,11.371,-
'[20:48:06.088]',0.210,0.510,1.015,0.153,1.575,98.372,11.683,-
'[20:48:06.096]',0.255,0.480,0.990,0.148,1.560,101.449,11.312,-
'[20:48:06.104]',0.260,0.475,1.010,0.143,1.546,103.794,10.560,-
'[20:48:06.112]',0.210,0.515,0.980,0.138,1.535,106.529,10.374,-
'[20:48:06.120]',0.270,0.470,0.990,0.132,1.521,109.850,11.127,-
'[20:48:06.128]',0.245,0.490,0.970,0.127,1.509,113.074,11.752,-
'[20:48:06.136]',0.285,0.460,1.000,0.121,1.498,115.370,11.058,-
'[20:48:06.144]',0.255,0.485,0.970,0.114,1.486,116.982,9.310,-
'[20:48:06.152]',0.280,0.460,0.975,0.109,1.477,118.593,8.245,-
'[20:48:06.160]',0.270,0.485,0.950,0.103,1.470,120.791,9.183,-
'[20:48:06.168]',0.285,0.460,0.975,0.097,1.463,122.843,11.625,-
'[20:48:06.176]',0.245,0.495,0.960,0.091,1.460,123.917,13.432,-
'[20:48:06.184]',0.255,0.475,0.980,0.086,1.458,124.113,13.305,-
'[20:48:06.192]',0.220,0.505,0.965,0.081,1.455,124.357,12.064,-
'[20:48:06.200]',0.235,0.480,1.000,0.077,1.449,125.139,11.439,-
'[20:48:06.208]',0.205,0.510,0.975,0.072,1.440,125.920,11.937,-
'[20:48:06.216]',0.230,0.485,0.990,0.068,1.430,125.969,12.748,-
'[20:48:06.224]',0.215,0.510,0.965,0.064,1.419,125.383,13.002,-
'[20:48:06.232]',0.220,0.500,1.000,0.061,1.407,124.846,12.875,-
'[20:48:06.240]',0.185,0.520,0.975,0.057,1.394,124.943,13.188,-
'[20:48:06.248]',0.220,0.495,1.000,0.054,1.383,125.187,13.813,-
'[20:48:06.256]',0.190,0.525,0.975,0.052,1.374,124.846,13.999,-
'[20:48:06.264]',0.235,0.485,0.980,0.050,1.367,123.917,13.432,-
'[20:48:06.272]',0.200,0.510,0.990,0.047,1.363,123.136,12.807,-
'[20:48:06.280]',0.195,0.505,0.975,0.045,1.364,122.696,13.061,-
'[20:48:06.288]',0.170,0.530,0.990,0.043,1.364,122.306,14.057,-
'[20:48:06.296]',0.210,0.505,0.975,0.041,1.364,121.280,14.682,-
'[20:48:06.304]',0.215,0.500,0.980,0.039,1.367,119.815,14.311,-
'[20:48:06.312]',0.175,0.535,0.975,0.038,1.373,118.496,13.745,-
'[20:48:06.320]',0.200,0.505,1.000,0.037,1.384,117.665,13.872,-
'[20:48:06.328]',0.195,0.515,0.975,0.037,1.401,116.786,14.751,-
'[20:48:06.336]',0.220,0.495,0.980,0.037,1.424,115.174,15.308,-
'[20:48:06.344]',0.205,0.515,0.965,0.038,1.455,112.732,14.936,-
'[20:48:06.352]',0.230,0.485,0.990,0.038,1.492,110.241,14.370,-
'[20:48:06.360]',0.245,0.495,0.970,0.040,1.533,108.190,14.555,-
'[20:48:06.368]',0.250,0.475,0.980,0.042,1.576,106.138,15.308,-
'[20:48:06.376]',0.220,0.510,0.965,0.046,1.617,103.354,15.493,-
'[20:48:06.384]',0.235,0.490,1.000,0.049,1.659,99.593,14.311,-
'[20:48:06.392]',0.215,0.505,0.970,0.054,1.709,95.686,12.563,-
'[20:48:06.400]',0.260,0.475,0.985,0.058,1.764,92.364,12.064,-
'[20:48:06.408]',0.255,0.490,0.960,0.063,1.821,90.069,13.559,-
'[20:48:06.416]',0.250,0.475,0.985,0.069,1.878,88.261,15.747,-
'[20:48:06.424]',0.220,0.500,0.965,0.074,1.935,86.552,16.499,-
'[20:48:06.432]',0.275,0.460,0.975,0.080,1.991,85.135,15.435,-
'[20:48:06.440]',0.255,0.480,0.960,0.086,2.045,84.354,13.872,-
'[20:48:06.448]',0.275,0.460,0.955,0.093,2.097,84.012,13.373,-
'[20:48:06.456]',0.250,0.485,0.970,0.100,2.123,83.279,13.872,-
'[20:48:06.464]',0.265,0.470,0.985,0.108,2.137,81.863,14.126,-
'[20:48:06.472]',0.255,0.480,0.995,0.116,2.161,80.055,13.618,-
'[20:48:06.480]',0.300,0.445,0.975,0.125,2.191,78.688,13.061,-
'[20:48:06.488]',0.275,0.470,0.955,0.134,2.228,78.004,13.188,-
'[20:48:06.496]',0.300,0.450,0.950,0.143,2.265,77.369,13.686,-
'[20:48:06.504]',0.290,0.440,0.960,0.152,2.302,76.246,13.618,-
'[20:48:06.512]',0.285,0.455,0.925,0.161,2.338,74.927,12.807,-
'[20:48:06.520]',0.300,0.430,0.950,0.170,2.372,74.194,12.123,-
'[20:48:06.528]',0.280,0.465,0.940,0.178,2.405,74.097,12.436,-
'[20:48:06.536]',0.295,0.440,0.975,0.187,2.435,74.194,13.246,-
'[20:48:06.544]',0.255,0.480,0.950,0.196,2.464,73.657,13.500,-
'[20:48:06.552]',0.280,0.450,0.975,0.205,2.492,72.778,13.119,-
'[20:48:06.560]',0.235,0.495,0.955,0.214,2.515,72.289,12.934,-
'[20:48:06.568]',0.250,0.480,0.980,0.222,2.535,72.485,13.745,-
'[20:48:06.576]',0.220,0.505,0.965,0.230,2.546,72.778,14.868,-
'[20:48:06.584]',0.250,0.480,0.980,0.237,2.552,72.533,14.936,-
'[20:48:06.592]',0.200,0.520,0.970,0.244,2.556,71.752,13.559,-
'[20:48:06.600]',0.210,0.500,0.990,0.252,2.558,70.922,12.064,-
'[20:48:06.608]',0.185,0.520,0.965,0.259,2.558,70.531,12.250,-
