'Time','PLETH','II','ABP'
'[00:25:05.544 1]',0.557,0.055,49.688
'[00:25:05.552 1]',0.557,0.063,50.312
'[00:25:05.560 1]',0.549,0.079,51.250
'[00:25:05.568 1]',0.541,0.071,53.750
'[00:25:05.576 1]',0.541,0.079,57.188
'[00:25:05.584 1]',0.533,0.071,61.875
'[00:25:05.592 1]',0.533,0.079,67.188
'[00:25:05.600 1]',0.525,0.047,72.500
'[00:25:05.608 1]',0.525,0.031,77.500
'[00:25:05.616 1]',0.518,0.024,81.875
'[00:25:05.624 1]',0.518,0.039,85.312
'[00:25:05.632 1]',0.510,0.024,88.125
'[00:25:05.640 1]',0.510,0.016,90.938
'[00:25:05.648 1]',0.502,0.008,92.812
'[00:25:05.656 1]',0.502,0.008,94.688
'[00:25:05.664 1]',0.502,0.000,95.938
'[00:25:05.672 1]',0.502,0.024,96.875
'[00:25:05.680 1]',0.490,0.031,97.500
'[00:25:05.688 1]',0.490,0.039,97.500
'[00:25:05.696 1]',0.482,0.024,97.500
'[00:25:05.704 1]',0.482,0.063,97.188
'[00:25:05.712 1]',0.475,0.157,96.875
'[00:25:05.720 1]',0.475,0.362,95.938
'[00:25:05.728 1]',0.467,0.433,94.688
'[00:25:05.736 1]',0.467,0.142,92.812
'[00:25:05.744 1]',0.467,-0.031,90.938
'[00:25:05.752 1]',0.459,-0.055,88.438
'[00:25:05.760 1]',0.459,-0.063,85.312
'[00:25:05.768 1]',0.459,-0.063,82.188
'[00:25:05.776 1]',0.451,-0.047,78.438
'[00:25:05.784 1]',0.451,-0.055,75.000
'[00:25:05.792 1]',0.451,-0.047,71.562
'[00:25:05.800 1]',0.451,-0.063,68.750
'[00:25:05.808 1]',0.459,-0.055,66.562
'[00:25:05.816 1]',0.459,-0.063,65.000
'[00:25:05.824 1]',0.459,-0.039,64.062
'[00:25:05.832 1]',0.467,-0.047,63.438
'[00:25:05.840 1]',0.475,-0.031,62.812
'[00:25:05.848 1]',0.482,-0.039,62.500
'[00:25:05.856 1]',0.490,-0.016,61.875
'[00:25:05.864 1]',0.502,-0.031,61.562
'[00:25:05.872 1]',0.502,-0.031,61.250
'[00:25:05.880 1]',0.510,-0.039,60.938
'[00:25:05.888 1]',0.525,-0.024,60.312
'[00:25:05.896 1]',0.533,-0.031,60.000
'[00:25:05.904 1]',0.541,-0.016,59.688
'[00:25:05.912 1]',0.557,-0.039,59.375
'[00:25:05.920 1]',0.569,-0.031,58.750
'[00:25:05.928 1]',0.576,-0.039,58.438
'[00:25:05.936 1]',0.584,-0.031,58.125
'[00:25:05.944 1]',0.600,-0.024,57.500
'[00:25:05.952 1]',0.608,-0.016,57.188
'[00:25:05.960 1]',0.616,-0.008,56.875
'[00:25:05.968 1]',0.627,0.008,56.562
'[00:25:05.976 1]',0.635,0.008,56.250
'[00:25:05.984 1]',0.635,0.016,56.250
'[00:25:05.992 1]',0.643,0.024,56.250
'[00:25:06.000 1]',0.651,0.008,56.562
'[00:25:06.008 1]',0.651,0.024,57.188
'[00:25:06.016 1]',0.651,0.016,58.750
'[00:25:06.024 1]',0.651,0.031,61.250
'[00:25:06.032 1]',0.651,0.008,64.375
'[00:25:06.040 1]',0.659,0.008,68.125
'[00:25:06.048 1]',0.659,-0.008,71.875
'[00:25:06.056 1]',0.659,0.000,75.000
'[00:25:06.064 1]',0.651,-0.008,77.812
'[00:25:06.072 1]',0.651,0.008,79.688
'[00:25:06.080 1]',0.651,0.008,81.250
'[00:25:06.088 1]',0.651,0.031,82.500
'[00:25:06.096 1]',0.651,0.031,83.125
'[00:25:06.104 1]',0.651,0.039,83.125
'[00:25:06.112 1]',0.643,0.063,82.500
'[00:25:06.120 1]',0.643,0.150,80.938
'[00:25:06.128 1]',0.643,0.291,79.062
'[00:25:06.136 1]',0.643,0.346,76.562
'[00:25:06.144 1]',0.643,0.079,73.438
'[00:25:06.152 1]',0.635,-0.102,70.312
'[00:25:06.160 1]',0.635,-0.142,67.188
'[00:25:06.168 1]',0.635,-0.087,64.375
'[00:25:06.176 1]',0.635,-0.063,62.188
'[00:25:06.184 1]',0.627,-0.039,60.625
'[00:25:06.192 1]',0.627,-0.031,59.375
'[00:25:06.200 1]',0.627,-0.039,58.438
'[00:25:06.208 1]',0.616,-0.055,57.812
'[00:25:06.216 1]',0.616,-0.063,57.500
'[00:25:06.224 1]',0.616,-0.039,57.188
'[00:25:06.232 1]',0.616,-0.047,56.562
'[00:25:06.240 1]',0.608,-0.024,56.250
'[00:25:06.248 1]',0.608,-0.024,56.250
'[00:25:06.256 1]',0.608,-0.008,55.938
'[00:25:06.264 1]',0.608,0.008,55.625
'[00:25:06.272 1]',0.608,0.008,55.625
'[00:25:06.280 1]',0.616,-0.008,55.312
'[00:25:06.288 1]',0.616,0.008,55.000
'[00:25:06.296 1]',0.616,0.008,54.688
'[00:25:06.304 1]',0.616,0.008,54.375
'[00:25:06.312 1]',0.616,0.008,54.375
'[00:25:06.320 1]',0.627,0.008,54.062
'[00:25:06.328 1]',0.627,0.008,53.750
'[00:25:06.336 1]',0.627,0.016,53.438
'[00:25:06.344 1]',0.635,0.008,53.438
'[00:25:06.352 1]',0.635,0.008,53.125
'[00:25:06.360 1]',0.635,0.008,53.125
'[00:25:06.368 1]',0.635,0.016,52.812
'[00:25:06.376 1]',0.635,0.024,52.812
'[00:25:06.384 1]',0.635,0.016,52.500
'[00:25:06.392 1]',0.635,0.031,52.500
'[00:25:06.400 1]',0.635,0.024,52.812
'[00:25:06.408 1]',0.627,0.039,54.062
'[00:25:06.416 1]',0.627,0.039,55.938
'[00:25:06.424 1]',0.627,0.039,58.750
'[00:25:06.432 1]',0.616,0.024,62.500
'[00:25:06.440 1]',0.616,0.008,66.562
'[00:25:06.448 1]',0.608,0.008,70.625
'[00:25:06.456 1]',0.608,0.008,74.062
'[00:25:06.464 1]',0.600,0.008,77.188
'[00:25:06.472 1]',0.600,0.008,79.375
'[00:25:06.480 1]',0.592,0.008,81.250
'[00:25:06.488 1]',0.592,0.008,82.812
'[00:25:06.496 1]',0.584,0.008,83.438
'[00:25:06.504 1]',0.576,0.008,83.750
'[00:25:06.512 1]',0.576,0.000,83.438
'[00:25:06.520 1]',0.569,0.008,82.500
'[00:25:06.528 1]',0.569,0.031,81.250
'[00:25:06.536 1]',0.557,0.118,79.062
'[00:25:06.544 1]',0.557,0.276,76.562
'[00:25:06.552 1]',0.549,0.346,73.750
'[00:25:06.560 1]',0.549,0.134,70.625
'[00:25:06.568 1]',0.541,-0.071,67.500
'[00:25:06.576 1]',0.541,-0.102,64.688
'[00:25:06.584 1]',0.533,-0.071,62.188
'[00:25:06.592 1]',0.533,-0.047,60.312
'[00:25:06.600 1]',0.525,-0.031,59.062
'[00:25:06.608 1]',0.525,-0.024,58.125
'[00:25:06.616 1]',0.518,-0.039,57.500
'[00:25:06.624 1]',0.510,-0.031,57.188
'[00:25:06.632 1]',0.510,-0.039,56.875
'[00:25:06.640 1]',0.510,-0.031,56.562
'[00:25:06.648 1]',0.502,-0.039,56.250
'[00:25:06.656 1]',0.502,-0.016,55.938
'[00:25:06.664 1]',0.502,-0.024,55.625
'[00:25:06.672 1]',0.502,-0.008,55.312
'[00:25:06.680 1]',0.502,-0.008,55.000
'[00:25:06.688 1]',0.502,0.000,54.688
'[00:25:06.696 1]',0.502,-0.008,54.375
'[00:25:06.704 1]',0.502,-0.008,54.062
'[00:25:06.712 1]',0.502,-0.016,53.750
'[00:25:06.720 1]',0.510,0.000,53.750
'[00:25:06.728 1]',0.510,-0.016,53.438
'[00:25:06.736 1]',0.518,-0.016,53.125
'[00:25:06.744 1]',0.518,-0.016,52.812
'[00:25:06.752 1]',0.525,-0.016,52.812
'[00:25:06.760 1]',0.525,-0.016,52.500
'[00:25:06.768 1]',0.533,-0.008,52.500
'[00:25:06.776 1]',0.533,0.000,52.188
'[00:25:06.784 1]',0.533,0.008,52.188
'[00:25:06.792 1]',0.541,0.024,52.188
'[00:25:06.800 1]',0.541,0.016,52.188
'[00:25:06.808 1]',0.541,0.039,52.812
'[00:25:06.816 1]',0.541,0.039,54.062
'[00:25:06.824 1]',0.541,0.055,56.250
'[00:25:06.832 1]',0.533,0.039,59.688
'[00:25:06.840 1]',0.533,0.047,63.750
'[00:25:06.848 1]',0.533,0.039,68.438
'[00:25:06.856 1]',0.525,0.039,73.125
'[00:25:06.864 1]',0.525,0.039,76.875
'[00:25:06.872 1]',0.525,0.055,80.000
'[00:25:06.880 1]',0.518,0.031,82.500
'[00:25:06.888 1]',0.518,0.031,84.375
'[00:25:06.896 1]',0.510,0.024,85.625
'[00:25:06.904 1]',0.510,0.024,86.562
'[00:25:06.912 1]',0.502,-0.016,86.875
'[00:25:06.920 1]',0.502,-0.008,86.562
'[00:25:06.928 1]',0.502,-0.016,85.625
'[00:25:06.936 1]',0.502,0.008,84.375
'[00:25:06.944 1]',0.490,-0.008,82.812
'[00:25:06.952 1]',0.490,0.008,80.625
'[00:25:06.960 1]',0.482,0.008,77.812
'[00:25:06.968 1]',0.475,0.024,75.000
'[00:25:06.976 1]',0.475,0.016,71.562
'[00:25:06.984 1]',0.467,0.008,68.438
'[00:25:06.992 1]',0.467,0.024,65.312
'[00:25:07.000 1]',0.459,0.008,62.812
'[00:25:07.008 1]',0.459,0.016,61.250
'[00:25:07.016 1]',0.451,0.008,60.000
'[00:25:07.024 1]',0.443,0.008,59.062
'[00:25:07.032 1]',0.443,0.024,58.750
'[00:25:07.040 1]',0.443,0.008,58.125
'[00:25:07.048 1]',0.431,0.031,57.812
'[00:25:07.056 1]',0.431,0.102,57.188
'[00:25:07.064 1]',0.424,0.268,56.875
'[00:25:07.072 1]',0.424,0.370,56.562
'[00:25:07.080 1]',0.424,0.197,56.250
'[00:25:07.088 1]',0.424,-0.031,55.938
'[00:25:07.096 1]',0.431,-0.126,55.625
'[00:25:07.104 1]',0.431,-0.087,55.625
'[00:25:07.112 1]',0.431,-0.063,55.312
'[00:25:07.120 1]',0.443,-0.016,55.000
'[00:25:07.128 1]',0.443,-0.016,54.688
'[00:25:07.136 1]',0.451,-0.008,54.688
'[00:25:07.144 1]',0.459,-0.024,54.375
'[00:25:07.152 1]',0.459,-0.031,54.375
'[00:25:07.160 1]',0.467,-0.031,54.062
'[00:25:07.168 1]',0.467,-0.031,54.062
'[00:25:07.176 1]',0.475,-0.047,53.750
'[00:25:07.184 1]',0.482,-0.039,53.750
'[00:25:07.192 1]',0.482,-0.047,53.438
'[00:25:07.200 1]',0.482,-0.039,53.125
'[00:25:07.208 1]',0.490,-0.039,53.125
'[00:25:07.216 1]',0.490,-0.016,52.812
'[00:25:07.224 1]',0.490,-0.016,52.500
'[00:25:07.232 1]',0.490,-0.024,52.188
'[00:25:07.240 1]',0.490,-0.016,51.875
'[00:25:07.248 1]',0.490,-0.008,51.562
'[00:25:07.256 1]',0.490,0.008,51.250
'[00:25:07.264 1]',0.482,0.008,50.938
'[00:25:07.272 1]',0.482,0.024,50.625
'[00:25:07.280 1]',0.482,0.024,50.312
'[00:25:07.288 1]',0.475,0.039,50.000
'[00:25:07.296 1]',0.475,0.039,50.000
'[00:25:07.304 1]',0.475,0.047,50.000
'[00:25:07.312 1]',0.467,0.039,50.625
'[00:25:07.320 1]',0.467,0.039,51.875
'[00:25:07.328 1]',0.467,0.024,54.688
'[00:25:07.336 1]',0.459,0.031,58.750
'[00:25:07.344 1]',0.459,0.031,64.062
'[00:25:07.352 1]',0.451,0.039,70.000
'[00:25:07.360 1]',0.451,0.008,75.938
'[00:25:07.368 1]',0.451,0.016,80.938
'[00:25:07.376 1]',0.443,0.008,85.000
'[00:25:07.384 1]',0.443,0.016,88.438
'[00:25:07.392 1]',0.431,0.008,90.938
'[00:25:07.400 1]',0.431,0.031,93.125
'[00:25:07.408 1]',0.424,0.024,94.375
'[00:25:07.416 1]',0.424,0.039,95.312
'[00:25:07.424 1]',0.416,0.039,95.938
'[00:25:07.432 1]',0.408,0.024,95.938
'[00:25:07.440 1]',0.408,0.024,95.625
'[00:25:07.448 1]',0.400,0.008,95.000
'[00:25:07.456 1]',0.400,0.008,94.062
'[00:25:07.464 1]',0.400,0.008,93.125
'[00:25:07.472 1]',0.392,0.024,91.562
'[00:25:07.480 1]',0.392,0.016,89.375
'[00:25:07.488 1]',0.384,0.165,87.188
'[00:25:07.496 1]',0.384,0.346,84.062
'[00:25:07.504 1]',0.376,0.402,80.938
'[00:25:07.512 1]',0.376,0.134,77.500
'[00:25:07.520 1]',0.365,0.008,73.750
'[00:25:07.528 1]',0.365,-0.031,70.625
'[00:25:07.536 1]',0.357,-0.031,67.812
'[00:25:07.544 1]',0.357,-0.024,65.938
'[00:25:07.552 1]',0.349,-0.031,64.375
'[00:25:07.560 1]',0.349,-0.039,63.750
'[00:25:07.568 1]',0.349,-0.039,63.125
'[00:25:07.576 1]',0.349,-0.047,62.812
'[00:25:07.584 1]',0.349,-0.055,62.500
'[00:25:07.592 1]',0.349,-0.071,62.188
'[00:25:07.600 1]',0.357,-0.079,61.562
'[00:25:07.608 1]',0.357,-0.063,61.250
'[00:25:07.616 1]',0.365,-0.071,60.625
'[00:25:07.624 1]',0.376,-0.063,60.312
'[00:25:07.632 1]',0.384,-0.063,60.000
'[00:25:07.640 1]',0.392,-0.047,59.688
'[00:25:07.648 1]',0.400,-0.039,59.375
'[00:25:07.656 1]',0.408,-0.016,59.062
'[00:25:07.664 1]',0.416,-0.008,58.750
'[00:25:07.672 1]',0.424,0.008,58.438
'[00:25:07.680 1]',0.431,0.008,58.125
'[00:25:07.688 1]',0.443,0.008,57.812
'[00:25:07.696 1]',0.451,0.000,57.500
'[00:25:07.704 1]',0.459,0.000,57.188
'[00:25:07.712 1]',0.459,-0.016,56.875
'[00:25:07.720 1]',0.467,-0.008,56.562
'[00:25:07.728 1]',0.475,-0.016,56.250
'[00:25:07.736 1]',0.482,-0.008,56.250
'[00:25:07.744 1]',0.482,-0.024,56.250
'[00:25:07.752 1]',0.490,-0.016,56.562
'[00:25:07.760 1]',0.490,-0.031,57.188
'[00:25:07.768 1]',0.490,-0.016,59.062
'[00:25:07.776 1]',0.490,-0.031,61.562
'[00:25:07.784 1]',0.490,-0.016,65.625
'[00:25:07.792 1]',0.490,-0.016,70.312
'[00:25:07.800 1]',0.490,0.000,75.000
'[00:25:07.808 1]',0.490,0.008,79.375
'[00:25:07.816 1]',0.490,0.008,83.125
'[00:25:07.824 1]',0.490,0.031,85.938
'[00:25:07.832 1]',0.490,0.024,88.125
'[00:25:07.840 1]',0.482,0.039,89.688
'[00:25:07.848 1]',0.482,0.016,90.312
'[00:25:07.856 1]',0.482,0.024,90.938
'[00:25:07.864 1]',0.482,0.008,90.938
'[00:25:07.872 1]',0.475,0.008,90.312
'[00:25:07.880 1]',0.475,0.008,89.375
'[00:25:07.888 1]',0.475,0.008,88.125
'[00:25:07.896 1]',0.467,-0.008,86.250
'[00:25:07.904 1]',0.467,-0.008,83.750
'[00:25:07.912 1]',0.467,-0.031,80.938
'[00:25:07.920 1]',0.459,-0.031,77.500
'[00:25:07.928 1]',0.459,-0.039,74.375
'[00:25:07.936 1]',0.459,-0.031,70.938
'[00:25:07.944 1]',0.451,-0.031,68.125
'[00:25:07.952 1]',0.451,-0.016,65.625
'[00:25:07.960 1]',0.451,-0.016,64.062
'[00:25:07.968 1]',0.443,-0.008,62.812
'[00:25:07.976 1]',0.443,-0.008,62.188
'[00:25:07.984 1]',0.443,0.008,61.562
'[00:25:07.992 1]',0.443,0.000,61.250
'[00:25:08.000 1]',0.443,0.008,60.938
'[00:25:08.008 1]',0.443,0.008,60.625
'[00:25:08.016 1]',0.443,0.000,60.312
'[00:25:08.024 1]',0.443,0.008,60.000
'[00:25:08.032 1]',0.443,0.000,59.688
'[00:25:08.040 1]',0.451,0.000,59.375
'[00:25:08.048 1]',0.451,-0.008,59.062
'[00:25:08.056 1]',0.459,0.110,58.750
'[00:25:08.064 1]',0.459,0.268,58.438
'[00:25:08.072 1]',0.467,0.346,58.125
'[00:25:08.080 1]',0.475,0.118,57.812
'[00:25:08.088 1]',0.475,-0.087,57.500
'[00:25:08.096 1]',0.482,-0.157,57.188
'[00:25:08.104 1]',0.490,-0.110,56.875
'[00:25:08.112 1]',0.502,-0.071,56.875
'[00:25:08.120 1]',0.502,-0.031,56.562
'[00:25:08.128 1]',0.502,-0.024,56.250
'[00:25:08.136 1]',0.510,-0.008,56.250
'[00:25:08.144 1]',0.510,-0.016,55.938
'[00:25:08.152 1]',0.518,-0.016,55.625
'[00:25:08.160 1]',0.518,-0.031,55.312
'[00:25:08.168 1]',0.518,-0.016,55.312
'[00:25:08.176 1]',0.518,-0.024,55.000
'[00:25:08.184 1]',0.518,-0.016,54.688
'[00:25:08.192 1]',0.518,-0.016,54.375
'[00:25:08.200 1]',0.518,-0.016,54.062
'[00:25:08.208 1]',0.518,-0.016,53.750
'[00:25:08.216 1]',0.518,-0.031,53.438
'[00:25:08.224 1]',0.518,-0.024,53.125
'[00:25:08.232 1]',0.518,-0.047,52.812
'[00:25:08.240 1]',0.518,-0.031,52.500
'[00:25:08.248 1]',0.518,-0.008,52.500
'[00:25:08.256 1]',0.518,0.024,52.188
'[00:25:08.264 1]',0.510,0.024,51.875
'[00:25:08.272 1]',0.510,0.039,51.562
'[00:25:08.280 1]',0.510,0.031,51.250
'[00:25:08.288 1]',0.510,0.055,51.250
'[00:25:08.296 1]',0.510,0.047,51.562
'[00:25:08.304 1]',0.502,0.079,52.188
'[00:25:08.312 1]',0.502,0.063,53.750
'[00:25:08.320 1]',0.502,0.079,56.875
'[00:25:08.328 1]',0.502,0.055,61.562
'[00:25:08.336 1]',0.502,0.039,67.500
'[00:25:08.344 1]',0.490,0.008,74.062
'[00:25:08.352 1]',0.490,0.008,80.625
'[00:25:08.360 1]',0.490,-0.016,86.250
'[00:25:08.368 1]',0.482,-0.016,90.625
'[00:25:08.376 1]',0.482,-0.039,94.375
'[00:25:08.384 1]',0.475,-0.047,96.875
'[00:25:08.392 1]',0.475,-0.039,99.062
'[00:25:08.400 1]',0.467,-0.047,100.938
'[00:25:08.408 1]',0.467,-0.039,102.188
'[00:25:08.416 1]',0.459,-0.047,103.125
'[00:25:08.424 1]',0.459,-0.024,103.750
'[00:25:08.432 1]',0.451,-0.031,103.750
'[00:25:08.440 1]',0.451,-0.008,103.438
'[00:25:08.448 1]',0.443,-0.016,103.125
'[00:25:08.456 1]',0.443,0.008,102.188
'[00:25:08.464 1]',0.431,0.008,100.938
'[00:25:08.472 1]',0.431,0.016,99.375
'[00:25:08.480 1]',0.424,0.031,97.500
'[00:25:08.488 1]',0.416,0.102,95.000
'[00:25:08.496 1]',0.416,0.252,92.188
'[00:25:08.504 1]',0.416,0.331,89.062
'[00:25:08.512 1]',0.408,0.094,85.312
'[00:25:08.520 1]',0.408,-0.094,81.562
'[00:25:08.528 1]',0.400,-0.118,77.812
'[00:25:08.536 1]',0.400,-0.102,74.688
'[00:25:08.544 1]',0.400,-0.094,71.875
'[00:25:08.552 1]',0.400,-0.071,70.000
'[00:25:08.560 1]',0.400,-0.079,68.750
'[00:25:08.568 1]',0.400,-0.047,67.812
'[00:25:08.576 1]',0.400,-0.063,67.188
'[00:25:08.584 1]',0.408,-0.063,66.562
'[00:25:08.592 1]',0.408,-0.055,65.938
'[00:25:08.600 1]',0.416,-0.063,65.312
'[00:25:08.608 1]',0.424,-0.047,65.000
'[00:25:08.616 1]',0.431,-0.063,64.375
'[00:25:08.624 1]',0.443,-0.039,64.062
'[00:25:08.632 1]',0.459,-0.055,63.750
'[00:25:08.640 1]',0.467,-0.047,63.438
'[00:25:08.648 1]',0.482,-0.047,62.812
'[00:25:08.656 1]',0.490,-0.039,62.500
'[00:25:08.664 1]',0.502,-0.047,62.188
'[00:25:08.672 1]',0.510,-0.031,61.562
'[00:25:08.680 1]',0.518,-0.031,61.250
'[00:25:08.688 1]',0.533,-0.016,60.938
'[00:25:08.696 1]',0.541,-0.039,60.312
'[00:25:08.704 1]',0.549,-0.016,60.000
'[00:25:08.712 1]',0.557,-0.008,59.688
'[00:25:08.720 1]',0.576,0.008,59.375
'[00:25:08.728 1]',0.584,0.000,59.375
'[00:25:08.736 1]',0.584,0.024,59.062
'[00:25:08.744 1]',0.592,0.016,59.062
'[00:25:08.752 1]',0.600,0.024,59.062
'[00:25:08.760 1]',0.608,0.024,59.688
'[00:25:08.768 1]',0.608,0.039,61.250
'[00:25:08.776 1]',0.608,0.008,63.750
'[00:25:08.784 1]',0.616,0.008,67.188
'[00:25:08.792 1]',0.616,-0.008,71.875
'[00:25:08.800 1]',0.616,-0.008,76.875
'[00:25:08.808 1]',0.627,0.000,81.250
'[00:25:08.816 1]',0.627,-0.016,85.312
'[00:25:08.824 1]',0.627,-0.016,88.438
'[00:25:08.832 1]',0.627,0.000,90.625
'[00:25:08.840 1]',0.627,0.008,92.188
'[00:25:08.848 1]',0.627,-0.008,93.438
'[00:25:08.856 1]',0.627,-0.008,94.062
'[00:25:08.864 1]',0.627,0.008,94.375
'[00:25:08.872 1]',0.627,0.024,94.062
'[00:25:08.880 1]',0.627,0.024,93.125
'[00:25:08.888 1]',0.627,0.031,91.562
'[00:25:08.896 1]',0.627,0.008,89.688
'[00:25:08.904 1]',0.627,0.016,87.500
'[00:25:08.912 1]',0.627,0.016,84.375
'[00:25:08.920 1]',0.616,0.102,81.250
'[00:25:08.928 1]',0.616,0.268,77.812
'[00:25:08.936 1]',0.616,0.323,74.375
'[00:25:08.944 1]',0.616,0.079,71.250
'[00:25:08.952 1]',0.608,-0.102,68.438
'[00:25:08.960 1]',0.608,-0.118,66.562
'[00:25:08.968 1]',0.608,-0.071,65.312
'[00:25:08.976 1]',0.608,-0.047,64.375
'[00:25:08.984 1]',0.600,-0.031,63.750
'[00:25:08.992 1]',0.600,-0.039,63.125
'[00:25:09.000 1]',0.600,-0.039,62.500
'[00:25:09.008 1]',0.600,-0.031,62.188
'[00:25:09.016 1]',0.600,-0.031,61.875
'[00:25:09.024 1]',0.600,-0.016,61.562
'[00:25:09.032 1]',0.600,-0.008,61.250
'[00:25:09.040 1]',0.608,-0.016,61.250
'[00:25:09.048 1]',0.608,-0.016,60.938
'[00:25:09.056 1]',0.616,-0.008,60.625
'[00:25:09.064 1]',0.616,-0.016,60.312
'[00:25:09.072 1]',0.627,0.000,60.000
'[00:25:09.080 1]',0.635,-0.016,59.688
'[00:25:09.088 1]',0.635,0.008,59.375
'[00:25:09.096 1]',0.643,-0.008,59.375
'[00:25:09.104 1]',0.651,-0.008,59.062
'[00:25:09.112 1]',0.659,-0.016,58.750
'[00:25:09.120 1]',0.667,-0.016,58.438
'[00:25:09.128 1]',0.667,-0.024,58.125
'[00:25:09.136 1]',0.675,-0.016,57.812
'[00:25:09.144 1]',0.682,-0.016,57.500
'[00:25:09.152 1]',0.682,-0.008,57.188
'[00:25:09.160 1]',0.682,-0.008,57.188
'[00:25:09.168 1]',0.682,0.008,56.875
'[00:25:09.176 1]',0.682,0.024,57.188
'[00:25:09.184 1]',0.682,0.055,57.812
'[00:25:09.192 1]',0.675,0.055,59.688
'[00:25:09.200 1]',0.675,0.079,62.500
'[00:25:09.208 1]',0.667,0.079,66.875
'[00:25:09.216 1]',0.659,0.063,71.875
'[00:25:09.224 1]',0.659,0.071,77.188
'[00:25:09.232 1]',0.651,0.039,82.188
'[00:25:09.240 1]',0.643,0.024,86.562
'[00:25:09.248 1]',0.643,0.016,90.000
'[00:25:09.256 1]',0.635,0.024,92.500
'[00:25:09.264 1]',0.627,0.000,94.062
'[00:25:09.272 1]',0.627,0.008,95.312
'[00:25:09.280 1]',0.616,-0.008,95.938
'[00:25:09.288 1]',0.608,0.000,96.250
'[00:25:09.296 1]',0.608,-0.008,96.250
'[00:25:09.304 1]',0.600,0.000,95.625
'[00:25:09.312 1]',0.592,-0.016,94.688
'[00:25:09.320 1]',0.592,0.000,93.125
'[00:25:09.328 1]',0.584,0.024,91.250
'[00:25:09.336 1]',0.584,0.118,88.750
'[00:25:09.344 1]',0.576,0.276,85.938
'[00:25:09.352 1]',0.569,0.346,82.500
'[00:25:09.360 1]',0.569,0.110,79.062
'[00:25:09.368 1]',0.557,-0.063,75.312
'[00:25:09.376 1]',0.549,-0.087,72.188
'[00:25:09.384 1]',0.549,-0.024,69.375
'[00:25:09.392 1]',0.541,0.000,67.500
'[00:25:09.400 1]',0.541,0.016,65.938
'[00:25:09.408 1]',0.533,-0.008,65.000
'[00:25:09.416 1]',0.533,-0.008,64.375
'[00:25:09.424 1]',0.533,-0.016,64.062
'[00:25:09.432 1]',0.533,-0.024,63.750
'[00:25:09.440 1]',0.533,-0.031,63.438
'[00:25:09.448 1]',0.533,-0.047,63.125
'[00:25:09.456 1]',0.533,-0.039,62.812
'[00:25:09.464 1]',0.533,-0.047,62.500
'[00:25:09.472 1]',0.533,-0.039,62.188
'[00:25:09.480 1]',0.541,-0.039,61.562
'[00:25:09.488 1]',0.541,-0.031,61.250
'[00:25:09.496 1]',0.549,-0.031,60.938
'[00:25:09.504 1]',0.557,-0.016,60.625
'[00:25:09.512 1]',0.569,-0.024,60.000
'[00:25:09.520 1]',0.576,0.000,59.688
'[00:25:09.528 1]',0.584,-0.008,59.375
'[00:25:09.536 1]',0.592,0.008,59.062
'[00:25:09.544 1]',0.600,0.008,58.750
