'Time','II','III','MCL','RESP','PLETH','ABP'
'[11:13:02.352]',-0.015,0.260,0.955,0.323,1.257,94.601
'[11:13:02.360]',-0.025,0.250,0.950,0.324,1.271,91.553
'[11:13:02.368]',-0.030,0.255,0.950,0.325,1.283,89.326
'[11:13:02.376]',-0.035,0.250,0.950,0.327,1.293,87.626
'[11:13:02.384]',-0.035,0.250,0.950,0.328,1.303,86.513
'[11:13:02.392]',-0.041,0.245,0.950,0.330,1.312,85.809
'[11:13:02.400]',-0.045,0.255,0.950,0.332,1.319,85.282
'[11:13:02.408]',-0.045,0.245,0.945,0.333,1.324,84.930
'[11:13:02.416]',-0.050,0.250,0.950,0.335,1.326,84.520
'[11:13:02.424]',-0.050,0.245,0.945,0.337,1.325,84.227
'[11:13:02.432]',-0.050,0.250,0.950,0.339,1.318,83.992
'[11:13:02.440]',-0.055,0.245,0.945,0.341,1.307,83.992
'[11:13:02.448]',-0.055,0.245,0.945,0.343,1.299,84.403
'[11:13:02.456]',-0.061,0.245,0.950,0.345,1.304,85.399
'[11:13:02.464]',-0.065,0.250,0.945,0.346,1.335,86.981
'[11:13:02.472]',-0.061,0.245,0.940,0.348,1.406,88.974
'[11:13:02.480]',-0.065,0.245,0.940,0.349,1.499,91.495
'[11:13:02.488]',-0.061,0.250,0.940,0.350,1.623,94.249
'[11:13:02.496]',-0.065,0.255,0.945,0.351,1.804,97.180
'[11:13:02.504]',-0.065,0.255,0.950,0.352,2.021,100.111
'[11:13:02.512]',-0.065,0.255,0.945,0.352,2.248,102.924
'[11:13:02.520]',-0.065,0.255,0.945,0.353,2.460,105.386
'[11:13:02.528]',-0.070,0.260,0.945,0.353,2.633,107.379
'[11:13:02.536]',-0.065,0.260,0.945,0.353,2.753,108.785
'[11:13:02.544]',-0.050,0.260,0.950,0.353,2.812,109.547
'[11:13:02.552]',-0.021,0.280,0.975,0.354,2.815,109.606
'[11:13:02.560]',-0.000,0.290,0.995,0.353,2.772,109.079
'[11:13:02.568]',0.010,0.295,1.005,0.353,2.694,107.848
'[11:13:02.576]',0.015,0.300,1.010,0.352,2.593,106.148
'[11:13:02.584]',-0.000,0.315,1.020,0.351,2.493,104.096
'[11:13:02.592]',-0.025,0.290,0.970,0.349,2.394,101.811
'[11:13:02.600]',-0.025,0.285,0.955,0.348,2.285,99.349
'[11:13:02.608]',-0.045,0.265,0.925,0.346,2.174,96.887
'[11:13:02.616]',-0.055,0.270,0.925,0.344,2.065,94.425
'[11:13:02.624]',-0.070,0.260,0.925,0.343,1.964,92.022
'[11:13:02.632]',-0.090,0.255,0.925,0.341,1.872,89.795
'[11:13:02.640]',-0.095,0.245,0.925,0.339,1.792,87.685
'[11:13:02.648]',-0.100,0.245,0.925,0.337,1.723,85.809
'[11:13:02.656]',-0.100,0.250,0.930,0.334,1.666,84.051
'[11:13:02.664]',-0.100,0.255,0.935,0.332,1.620,82.468
'[11:13:02.672]',-0.095,0.250,0.925,0.330,1.586,81.179
'[11:13:02.680]',-0.081,0.225,0.915,0.328,1.562,79.948
'[11:13:02.688]',0.060,0.300,1.020,0.326,1.544,78.834
'[11:13:02.696]',0.370,0.610,1.095,0.324,1.529,78.014
'[11:13:02.704]',0.905,1.205,1.140,0.323,1.515,77.193
'[11:13:02.712]',1.120,1.501,1.185,0.321,1.505,76.490
'[11:13:02.720]',0.105,1.050,0.780,0.320,1.500,75.845
'[11:13:02.728]',-0.336,0.595,0.615,0.318,1.500,75.376
'[11:13:02.736]',-0.341,0.365,0.770,0.316,1.509,74.966
'[11:13:02.744]',-0.211,0.230,0.880,0.314,1.529,74.731
'[11:13:02.752]',-0.151,0.195,0.935,0.313,1.558,74.556
'[11:13:02.760]',-0.126,0.180,0.965,0.311,1.596,74.497
'[11:13:02.768]',-0.120,0.170,0.970,0.310,1.642,74.497
'[11:13:02.776]',-0.120,0.165,0.970,0.309,1.691,74.556
'[11:13:02.784]',-0.110,0.175,0.975,0.307,1.733,74.731
'[11:13:02.792]',-0.100,0.175,0.975,0.306,1.772,74.966
'[11:13:02.800]',-0.095,0.175,0.980,0.304,1.812,75.376
'[11:13:02.808]',-0.086,0.180,0.985,0.302,1.849,75.728
'[11:13:02.816]',-0.075,0.195,0.985,0.301,1.878,76.255
'[11:13:02.824]',-0.070,0.195,0.995,0.299,1.896,76.724
'[11:13:02.832]',-0.065,0.205,0.995,0.296,1.903,77.252
'[11:13:02.840]',-0.065,0.210,0.995,0.294,1.897,77.779
'[11:13:02.848]',-0.061,0.220,1.000,0.292,1.880,78.307
'[11:13:02.856]',-0.055,0.225,1.005,0.290,1.853,78.717
'[11:13:02.864]',-0.050,0.220,1.005,0.288,1.818,79.186
'[11:13:02.872]',-0.050,0.230,1.010,0.286,1.776,79.538
'[11:13:02.880]',-0.041,0.240,1.020,0.284,1.735,79.772
'[11:13:02.888]',-0.030,0.245,1.020,0.282,1.695,80.007
'[11:13:02.896]',-0.025,0.250,1.025,0.280,1.648,80.124
'[11:13:02.904]',-0.030,0.255,1.030,0.279,1.599,80.065
'[11:13:02.912]',-0.025,0.265,1.040,0.278,1.550,79.831
'[11:13:02.920]',-0.025,0.270,1.040,0.277,1.503,79.479
'[11:13:02.928]',-0.030,0.265,1.040,0.276,1.457,78.893
'[11:13:02.936]',-0.041,0.270,1.045,0.276,1.415,78.365
'[11:13:02.944]',-0.050,0.265,1.050,0.275,1.376,77.838
'[11:13:02.952]',-0.061,0.260,1.045,0.274,1.341,78.014
'[11:13:02.960]',-0.081,0.255,1.050,0.274,1.309,79.479
'[11:13:02.968]',-0.095,0.260,1.045,0.273,1.281,83.406
'[11:13:02.976]',-0.115,0.245,1.035,0.273,1.254,90.557
'[11:13:02.984]',-0.130,0.245,1.025,0.272,1.235,100.931
'[11:13:02.992]',-0.146,0.240,1.020,0.272,1.219,113.592
'[11:13:03.000]',-0.146,0.255,1.020,0.272,1.203,127.307
'[11:13:03.008]',-0.146,0.265,1.005,0.272,1.189,140.202
'[11:13:03.016]',-0.130,0.285,1.000,0.271,1.177,150.752
'[11:13:03.024]',-0.110,0.300,1.000,0.271,1.166,157.844
'[11:13:03.032]',-0.086,0.320,0.995,0.271,1.156,161.127
'[11:13:03.040]',-0.065,0.330,0.990,0.270,1.151,160.482
'[11:13:03.048]',-0.050,0.325,0.985,0.269,1.148,156.672
'[11:13:03.056]',-0.035,0.320,0.985,0.268,1.149,150.694
'[11:13:03.064]',-0.025,0.315,0.985,0.267,1.153,143.426
'[11:13:03.072]',-0.015,0.300,0.980,0.266,1.160,135.747
'[11:13:03.080]',-0.015,0.295,0.975,0.265,1.169,128.186
'[11:13:03.088]',-0.010,0.280,0.975,0.265,1.179,120.977
'[11:13:03.096]',-0.010,0.275,0.970,0.264,1.190,114.471
'[11:13:03.104]',-0.005,0.275,0.970,0.263,1.201,108.727
'[11:13:03.112]',-0.010,0.270,0.970,0.263,1.214,103.745
'[11:13:03.120]',-0.010,0.265,0.965,0.262,1.227,99.525
'[11:13:03.128]',-0.010,0.265,0.965,0.262,1.239,96.242
'[11:13:03.136]',-0.015,0.270,0.965,0.262,1.251,93.605
'[11:13:03.144]',-0.021,0.260,0.950,0.262,1.263,91.729
'[11:13:03.152]',-0.021,0.260,0.950,0.263,1.272,90.381
'[11:13:03.160]',-0.025,0.260,0.955,0.264,1.279,89.560
'[11:13:03.168]',-0.030,0.255,0.955,0.265,1.284,88.974
'[11:13:03.176]',-0.030,0.250,0.955,0.266,1.289,88.681
'[11:13:03.184]',-0.035,0.255,0.950,0.267,1.293,88.447
'[11:13:03.192]',-0.041,0.250,0.950,0.269,1.293,88.154
'[11:13:03.200]',-0.045,0.250,0.950,0.270,1.288,87.861
'[11:13:03.208]',-0.045,0.245,0.950,0.271,1.280,87.685
'[11:13:03.216]',-0.045,0.250,0.945,0.272,1.270,87.743
'[11:13:03.224]',-0.045,0.245,0.950,0.273,1.265,88.212
'[11:13:03.232]',-0.041,0.250,0.950,0.274,1.278,89.209
'[11:13:03.240]',-0.045,0.245,0.950,0.275,1.320,90.733
'[11:13:03.248]',-0.041,0.245,0.945,0.276,1.403,92.667
'[11:13:03.256]',-0.035,0.245,0.950,0.278,1.534,95.011
'[11:13:03.264]',-0.030,0.255,0.950,0.278,1.709,97.473
'[11:13:03.272]',-0.030,0.250,0.950,0.279,1.917,100.111
'[11:13:03.280]',-0.030,0.255,0.950,0.279,2.109,102.690
'[11:13:03.288]',-0.030,0.255,0.950,0.279,2.280,104.917
'[11:13:03.296]',-0.030,0.255,0.950,0.278,2.451,106.793
'[11:13:03.304]',-0.030,0.255,0.950,0.277,2.590,108.141
'[11:13:03.312]',-0.025,0.260,0.950,0.276,2.682,108.903
'[11:13:03.320]',-0.005,0.270,0.965,0.275,2.720,109.079
'[11:13:03.328]',0.030,0.285,0.985,0.273,2.709,108.551
'[11:13:03.336]',0.044,0.295,1.005,0.272,2.656,107.496
'[11:13:03.344]',0.050,0.295,1.010,0.270,2.575,105.972
'[11:13:03.352]',0.065,0.305,1.020,0.268,2.477,104.096
'[11:13:03.360]',0.040,0.320,1.010,0.266,2.369,102.045
'[11:13:03.368]',0.015,0.295,0.970,0.263,2.256,99.818
'[11:13:03.376]',0.010,0.275,0.955,0.260,2.145,97.532
'[11:13:03.384]',-0.005,0.270,0.930,0.257,2.049,95.305
'[11:13:03.392]',-0.021,0.265,0.935,0.254,1.965,93.077
'[11:13:03.400]',-0.030,0.270,0.930,0.252,1.879,90.967
'[11:13:03.408]',-0.050,0.250,0.930,0.249,1.798,88.974
'[11:13:03.416]',-0.055,0.255,0.935,0.246,1.726,87.216
'[11:13:03.424]',-0.050,0.250,0.935,0.244,1.665,85.575
'[11:13:03.432]',-0.055,0.260,0.940,0.241,1.614,84.109
'[11:13:03.440]',-0.050,0.250,0.935,0.239,1.576,82.820
'[11:13:03.448]',-0.050,0.255,0.935,0.237,1.548,81.589
'[11:13:03.456]',-0.025,0.225,0.925,0.235,1.528,80.593
'[11:13:03.464]',0.130,0.325,1.045,0.233,1.512,79.655
'[11:13:03.472]',0.440,0.645,1.115,0.232,1.500,78.834
'[11:13:03.480]',0.985,1.276,1.195,0.231,1.490,78.072
'[11:13:03.488]',1.180,1.501,1.235,0.230,1.482,77.428
'[11:13:03.496]',0.125,1.081,0.825,0.229,1.475,76.841
'[11:13:03.504]',-0.261,0.625,0.685,0.229,1.472,76.431
'[11:13:03.512]',-0.225,0.380,0.820,0.228,1.477,76.021
'[11:13:03.520]',-0.166,0.235,0.895,0.228,1.492,75.728
'[11:13:03.528]',-0.106,0.195,0.945,0.227,1.517,75.552
'[11:13:03.536]',-0.090,0.175,0.960,0.227,1.549,75.376
'[11:13:03.544]',-0.086,0.170,0.965,0.227,1.589,75.376
'[11:13:03.552]',-0.081,0.170,0.970,0.226,1.633,75.376
'[11:13:03.560]',-0.075,0.170,0.975,0.226,1.678,75.493
'[11:13:03.568]',-0.070,0.175,0.975,0.225,1.715,75.669
'[11:13:03.576]',-0.061,0.175,0.975,0.225,1.739,75.962
'[11:13:03.584]',-0.061,0.180,0.975,0.224,1.759,76.373
'[11:13:03.592]',-0.050,0.185,0.975,0.224,1.773,76.783
'[11:13:03.600]',-0.050,0.195,0.980,0.223,1.781,77.252
'[11:13:03.608]',-0.050,0.200,0.990,0.223,1.780,77.662
'[11:13:03.616]',-0.050,0.200,0.990,0.223,1.768,78.190
'[11:13:03.624]',-0.045,0.205,0.995,0.223,1.748,78.541
'[11:13:03.632]',-0.041,0.220,1.000,0.223,1.719,78.893
'[11:13:03.640]',-0.030,0.215,1.000,0.223,1.684,79.245
'[11:13:03.648]',-0.025,0.225,1.000,0.222,1.644,79.479
'[11:13:03.656]',-0.025,0.225,1.005,0.222,1.601,79.596
'[11:13:03.664]',-0.025,0.240,1.015,0.221,1.557,79.655
'[11:13:03.672]',-0.025,0.240,1.020,0.221,1.513,79.655
'[11:13:03.680]',-0.025,0.255,1.025,0.220,1.477,79.479
'[11:13:03.688]',-0.025,0.255,1.030,0.220,1.446,79.186
'[11:13:03.696]',-0.030,0.260,1.040,0.219,1.411,78.658
'[11:13:03.704]',-0.035,0.260,1.045,0.219,1.375,78.131
'[11:13:03.712]',-0.045,0.270,1.045,0.219,1.341,77.545
'[11:13:03.720]',-0.050,0.260,1.050,0.219,1.309,77.076
'[11:13:03.728]',-0.065,0.260,1.055,0.219,1.280,77.252
'[11:13:03.736]',-0.075,0.255,1.055,0.219,1.252,78.893
'[11:13:03.744]',-0.095,0.250,1.055,0.219,1.229,83.054
'[11:13:03.752]',-0.115,0.250,1.045,0.220,1.207,90.440
'[11:13:03.760]',-0.126,0.245,1.040,0.220,1.187,100.931
'[11:13:03.768]',-0.146,0.250,1.030,0.220,1.170,113.592
'[11:13:03.776]',-0.146,0.255,1.030,0.220,1.159,127.131
'[11:13:03.784]',-0.146,0.270,1.020,0.221,1.152,139.792
'[11:13:03.792]',-0.130,0.290,1.010,0.221,1.145,150.166
'[11:13:03.800]',-0.115,0.315,1.005,0.221,1.137,157.200
'[11:13:03.808]',-0.090,0.325,1.000,0.221,1.131,160.248
'[11:13:03.816]',-0.075,0.335,1.000,0.222,1.128,159.486
'[11:13:03.824]',-0.055,0.320,0.985,0.222,1.129,155.617
'[11:13:03.832]',-0.050,0.325,0.975,0.223,1.133,149.580
'[11:13:03.840]',-0.041,0.305,0.970,0.223,1.140,142.312
'[11:13:03.848]',-0.030,0.300,0.975,0.223,1.147,134.575
'[11:13:03.856]',-0.025,0.280,0.965,0.224,1.153,127.014
'[11:13:03.864]',-0.025,0.275,0.960,0.224,1.161,119.863
'[11:13:03.872]',-0.025,0.265,0.955,0.224,1.170,113.357
'[11:13:03.880]',-0.030,0.265,0.955,0.225,1.180,107.613
'[11:13:03.888]',-0.030,0.250,0.950,0.225,1.191,102.690
'[11:13:03.896]',-0.041,0.255,0.950,0.226,1.202,98.587
'[11:13:03.904]',-0.045,0.245,0.950,0.227,1.215,95.305
'[11:13:03.912]',-0.050,0.245,0.945,0.229,1.229,92.726
'[11:13:03.920]',-0.045,0.245,0.940,0.231,1.241,90.909
'[11:13:03.928]',-0.050,0.250,0.945,0.233,1.252,89.678
'[11:13:03.936]',-0.050,0.245,0.940,0.236,1.262,88.857
'[11:13:03.944]',-0.055,0.240,0.935,0.238,1.269,88.271
'[11:13:03.952]',-0.050,0.245,0.935,0.240,1.274,87.978
'[11:13:03.960]',-0.055,0.240,0.935,0.242,1.275,87.685
'[11:13:03.968]',-0.061,0.240,0.930,0.244,1.270,87.333
'[11:13:03.976]',-0.070,0.240,0.940,0.247,1.264,86.981
'[11:13:03.984]',-0.075,0.235,0.935,0.249,1.255,86.630
'[11:13:03.992]',-0.070,0.240,0.940,0.252,1.242,86.513
'[11:13:04.000]',-0.070,0.245,0.940,0.254,1.235,86.806
'[11:13:04.008]',-0.075,0.240,0.935,0.257,1.242,87.685
'[11:13:04.016]',-0.065,0.245,0.940,0.260,1.281,89.033
'[11:13:04.024]',-0.070,0.240,0.935,0.264,1.360,90.909
'[11:13:04.032]',-0.075,0.245,0.940,0.266,1.490,93.136
'[11:13:04.040]',-0.065,0.240,0.945,0.269,1.668,95.598
'[11:13:04.048]',-0.070,0.240,0.935,0.271,1.881,98.118
'[11:13:04.056]',-0.070,0.240,0.930,0.273,2.109,100.638
'[11:13:04.064]',-0.065,0.245,0.935,0.274,2.326,102.866
'[11:13:04.072]',-0.061,0.245,0.945,0.276,2.508,104.741
'[11:13:04.080]',-0.055,0.250,0.950,0.277,2.632,106.148
'[11:13:04.088]',-0.041,0.260,0.955,0.278,2.702,107.027
'[11:13:04.096]',-0.021,0.270,0.975,0.279,2.732,107.379
'[11:13:04.104]',0.004,0.280,0.995,0.280,2.718,107.027
'[11:13:04.112]',0.015,0.290,1.000,0.280,2.667,106.148
'[11:13:04.120]',0.024,0.290,1.005,0.281,2.587,104.800
'[11:13:04.128]',0.035,0.315,1.015,0.281,2.489,103.100
'[11:13:04.136]',-0.000,0.295,0.980,0.282,2.381,101.107
'[11:13:04.144]',-0.005,0.285,0.965,0.282,2.270,98.939
'[11:13:04.152]',-0.025,0.270,0.940,0.282,2.160,96.653
'[11:13:04.160]',-0.025,0.270,0.935,0.283,2.055,94.425
'[11:13:04.168]',-0.041,0.260,0.935,0.284,1.956,92.198
'[11:13:04.176]',-0.065,0.260,0.940,0.285,1.876,90.029
'[11:13:04.184]',-0.070,0.265,0.940,0.286,1.807,87.978
'[11:13:04.192]',-0.070,0.260,0.945,0.286,1.742,86.102
'[11:13:04.200]',-0.075,0.265,0.945,0.287,1.684,84.344
'[11:13:04.208]',-0.075,0.255,0.945,0.288,1.636,82.761
'[11:13:04.216]',-0.070,0.260,0.945,0.289,1.597,81.296
'[11:13:04.224]',-0.061,0.235,0.925,0.290,1.567,80.065
'[11:13:04.232]',0.040,0.280,1.000,0.292,1.543,78.834
'[11:13:04.240]',0.305,0.495,1.130,0.294,1.525,77.838
'[11:13:04.248]',0.790,1.005,1.180,0.296,1.510,76.900
'[11:13:04.256]',1.200,1.501,1.270,0.298,1.498,76.138
'[11:13:04.264]',0.450,1.276,0.985,0.300,1.488,75.376
'[11:13:04.272]',-0.200,0.750,0.680,0.301,1.483,74.731
'[11:13:04.280]',-0.281,0.450,0.665,0.303,1.483,74.263
'[11:13:04.288]',-0.196,0.270,0.865,0.304,1.490,73.794
'[11:13:04.296]',-0.135,0.210,0.930,0.306,1.505,73.442
'[11:13:04.304]',-0.100,0.190,0.960,0.307,1.529,73.207
'[11:13:04.312]',-0.095,0.180,0.970,0.309,1.560,73.032
'[11:13:04.320]',-0.095,0.175,0.975,0.311,1.598,73.032
'[11:13:04.328]',-0.090,0.175,0.975,0.313,1.641,73.090
'[11:13:04.336]',-0.086,0.175,0.975,0.314,1.685,73.383
'[11:13:04.344]',-0.081,0.180,0.980,0.316,1.728,73.618
'[11:13:04.352]',-0.075,0.180,0.980,0.318,1.766,73.969
'[11:13:04.360]',-0.065,0.190,0.985,0.319,1.797,74.438
'[11:13:04.368]',-0.061,0.200,0.990,0.321,1.817,74.966
'[11:13:04.376]',-0.055,0.200,0.995,0.322,1.828,75.552
'[11:13:04.384]',-0.050,0.210,0.995,0.323,1.831,76.197
'[11:13:04.392]',-0.045,0.205,0.995,0.324,1.825,76.724
'[11:13:04.400]',-0.035,0.220,1.000,0.326,1.809,77.369
'[11:13:04.408]',-0.025,0.220,1.000,0.327,1.785,77.897
'[11:13:04.416]',-0.021,0.225,1.005,0.329,1.754,78.424
'[11:13:04.424]',-0.021,0.230,1.010,0.331,1.716,78.834
'[11:13:04.432]',-0.010,0.240,1.020,0.333,1.674,79.186
'[11:13:04.440]',-0.010,0.245,1.020,0.334,1.630,79.420
'[11:13:04.448]',-0.005,0.255,1.025,0.337,1.587,79.538
'[11:13:04.456]',-0.010,0.255,1.030,0.340,1.546,79.538
'[11:13:04.464]',-0.010,0.260,1.040,0.343,1.505,79.362
'[11:13:04.472]',-0.010,0.265,1.045,0.345,1.466,79.127
'[11:13:04.480]',-0.021,0.270,1.050,0.348,1.433,78.658
'[11:13:04.488]',-0.025,0.265,1.050,0.351,1.403,78.307
'[11:13:04.496]',-0.045,0.260,1.050,0.354,1.370,78.190
'[11:13:04.504]',-0.061,0.250,1.055,0.356,1.336,78.834
'[11:13:04.512]',-0.081,0.245,1.045,0.359,1.305,81.237
'[11:13:04.520]',-0.106,0.240,1.035,0.361,1.278,86.337
'[11:13:04.528]',-0.120,0.240,1.025,0.364,1.255,94.777
'[11:13:04.536]',-0.135,0.235,1.020,0.366,1.237,106.148
