'Time','II','AVR','V','RESP','PLETH','ABP','LAP'
'[18:22:33.232]',0.585,0.610,0.465,0.363,2.402,77.320,37.004
'[18:22:33.240]',0.475,0.630,0.500,0.362,2.392,76.783,37.004
'[18:22:33.248]',0.420,0.615,0.555,0.361,2.380,76.343,37.004
'[18:22:33.256]',0.410,0.575,0.540,0.360,2.369,76.050,37.004
'[18:22:33.264]',0.420,0.555,0.610,0.361,2.356,75.660,37.004
'[18:22:33.272]',0.405,0.560,0.605,0.361,2.344,75.366,37.004
'[18:22:33.280]',0.380,0.580,0.650,0.362,2.331,75.171,37.004
'[18:22:33.288]',0.375,0.595,0.610,0.363,2.319,75.073,37.004
'[18:22:33.296]',0.390,0.575,0.630,0.364,2.306,74.927,37.004
'[18:22:33.304]',0.400,0.565,0.570,0.365,2.293,74.927,37.004
'[18:22:33.312]',0.390,0.565,0.595,0.366,2.282,74.878,37.004
'[18:22:33.320]',0.420,0.540,0.590,0.366,2.269,74.780,37.004
'[18:22:33.328]',0.425,0.540,0.650,0.367,2.256,74.683,37.004
'[18:22:33.336]',0.425,0.550,0.645,0.368,2.243,74.487,37.004
'[18:22:33.344]',0.445,0.525,0.675,0.369,2.231,74.243,37.004
'[18:22:33.352]',0.450,0.520,0.645,0.370,2.219,73.852,37.004
'[18:22:33.360]',0.460,0.510,0.615,0.371,2.206,73.510,37.004
'[18:22:33.368]',0.465,0.505,0.575,0.373,2.194,72.973,37.004
'[18:22:33.376]',0.490,0.490,0.535,0.374,2.181,72.436,37.004
'[18:22:33.384]',0.510,0.475,0.540,0.375,2.168,71.801,37.004
'[18:22:33.392]',0.520,0.455,0.495,0.376,2.162,71.215,37.004
'[18:22:33.400]',0.560,0.420,0.540,0.377,2.159,70.726,37.004
'[18:22:33.408]',0.605,0.385,0.530,0.378,2.152,70.287,37.004
'[18:22:33.416]',0.635,0.350,0.590,0.379,2.142,69.847,37.004
'[18:22:33.424]',0.660,0.330,0.570,0.378,2.130,69.505,37.004
'[18:22:33.432]',0.680,0.320,0.610,0.378,2.118,69.163,37.004
'[18:22:33.440]',0.710,0.295,0.590,0.377,2.109,68.968,37.004
'[18:22:33.448]',0.725,0.280,0.630,0.377,2.105,69.163,37.004
'[18:22:33.456]',0.690,0.315,0.605,0.376,2.103,70.238,37.004
'[18:22:33.464]',0.695,0.310,0.645,0.375,2.102,73.168,37.004
'[18:22:33.472]',0.670,0.330,0.615,0.374,2.101,79.030,37.004
'[18:22:33.480]',0.635,0.375,0.660,0.374,2.097,88.359,37.004
'[18:22:33.488]',0.575,0.435,0.620,0.372,2.092,100.423,37.004
'[18:22:33.496]',0.535,0.475,0.650,0.370,2.090,113.611,37.004
'[18:22:33.504]',0.490,0.515,0.600,0.367,2.089,126.360,37.004
'[18:22:33.512]',0.465,0.535,0.610,0.365,2.082,137.887,37.004
'[18:22:33.520]',0.440,0.550,0.570,0.362,2.072,147.558,37.004
'[18:22:33.528]',0.445,0.545,0.605,0.360,2.067,155.080,37.004
'[18:22:33.536]',0.425,0.565,0.580,0.357,2.065,160.013,37.004
'[18:22:33.544]',0.425,0.570,0.610,0.354,2.061,162.065,37.004
'[18:22:33.552]',0.445,0.540,0.605,0.349,2.052,161.430,37.004
'[18:22:33.560]',0.455,0.550,0.645,0.345,2.045,158.694,37.004
'[18:22:33.568]',0.445,0.555,0.655,0.339,2.041,154.494,37.004
'[18:22:33.576]',0.460,0.540,0.610,0.333,2.039,149.561,37.004
'[18:22:33.584]',0.440,0.550,0.635,0.325,2.032,144.237,37.004
'[18:22:33.592]',0.430,0.565,0.580,0.317,2.022,139.059,37.004
'[18:22:33.600]',0.445,0.550,0.610,0.308,2.015,134.077,37.004
'[18:22:33.608]',0.450,0.545,0.570,0.298,2.004,129.486,37.004
'[18:22:33.616]',0.460,0.545,0.605,0.289,1.992,125.432,37.004
'[18:22:33.624]',0.465,0.540,0.590,0.280,1.980,121.915,37.004
'[18:22:33.632]',0.470,0.535,0.625,0.272,1.972,118.935,37.004
'[18:22:33.640]',0.480,0.530,0.590,0.263,1.964,116.444,37.004
'[18:22:33.648]',0.460,0.540,0.610,0.253,1.954,114.344,37.004
'[18:22:33.656]',0.470,0.530,0.580,0.243,1.946,112.537,37.004
'[18:22:33.664]',0.465,0.535,0.620,0.232,1.938,110.974,37.004
'[18:22:33.672]',0.470,0.540,0.600,0.221,1.929,109.411,37.004
'[18:22:33.680]',0.470,0.540,0.660,0.211,1.914,107.848,37.004
'[18:22:33.688]',0.480,0.520,0.630,0.202,1.897,106.138,37.004
'[18:22:33.696]',0.470,0.535,0.670,0.194,1.883,104.184,37.004
'[18:22:33.704]',0.465,0.540,0.635,0.185,1.866,101.938,37.004
'[18:22:33.712]',0.445,0.555,0.655,0.177,1.848,99.447,37.004
'[18:22:33.720]',0.445,0.555,0.615,0.169,1.834,96.809,37.004
'[18:22:33.728]',0.455,0.545,0.650,0.160,1.823,94.367,37.004
'[18:22:33.736]',0.465,0.540,0.615,0.152,1.818,92.315,37.004
'[18:22:33.744]',0.435,0.570,0.630,0.144,1.815,90.850,37.004
'[18:22:33.752]',0.460,0.545,0.605,0.137,1.814,89.922,37.004
'[18:22:33.760]',0.470,0.520,0.600,0.131,1.819,89.531,37.004
'[18:22:33.768]',0.450,0.540,0.630,0.126,1.835,89.531,37.004
'[18:22:33.776]',0.470,0.520,0.605,0.121,1.858,89.922,37.004
'[18:22:33.784]',0.490,0.500,0.660,0.118,1.886,90.557,37.004
'[18:22:33.792]',0.515,0.480,0.650,0.115,1.918,91.485,37.004
'[18:22:33.800]',0.520,0.470,0.710,0.112,1.959,92.560,37.004
'[18:22:33.808]',0.515,0.440,0.670,0.110,2.005,93.683,37.004
'[18:22:33.816]',0.545,0.425,0.695,0.109,2.050,94.660,37.004
'[18:22:33.824]',0.515,0.470,0.635,0.107,2.091,95.490,37.004
'[18:22:33.832]',0.520,0.470,0.655,0.106,2.130,95.979,37.004
'[18:22:33.840]',0.450,0.515,0.605,0.106,2.171,96.174,37.004
'[18:22:33.848]',0.435,0.530,0.630,0.105,2.207,96.125,37.004
'[18:22:33.856]',0.410,0.565,0.590,0.105,2.239,95.783,37.004
'[18:22:33.864]',0.385,0.595,0.625,0.105,2.273,95.246,37.004
'[18:22:33.872]',0.375,0.610,0.590,0.106,2.305,94.513,37.004
'[18:22:33.880]',0.400,0.595,0.635,0.107,2.330,93.536,37.004
'[18:22:33.888]',0.400,0.580,0.600,0.108,2.356,92.511,37.004
'[18:22:33.896]',0.415,0.565,0.650,0.108,2.381,91.436,37.004
'[18:22:33.904]',0.405,0.580,0.635,0.110,2.407,90.313,37.004
'[18:22:33.912]',0.400,0.595,0.670,0.111,2.432,89.238,37.004
'[18:22:33.920]',0.395,0.600,0.645,0.112,2.451,88.164,37.004
'[18:22:33.928]',0.400,0.605,0.680,0.114,2.466,87.138,37.004
'[18:22:33.936]',0.415,0.580,0.660,0.116,2.477,86.112,37.004
'[18:22:33.944]',0.405,0.595,0.730,0.118,2.483,85.184,37.004
'[18:22:33.952]',0.455,0.550,0.735,0.121,2.482,84.256,37.004
'[18:22:33.960]',0.565,0.405,0.630,0.123,2.479,83.377,37.004
'[18:22:33.968]',0.895,0.070,0.455,0.126,2.477,82.547,37.004
'[18:22:33.976]',1.170,-0.140,0.295,0.128,2.473,81.814,37.004
'[18:22:33.984]',0.845,0.200,0.310,0.130,2.468,81.130,37.004
'[18:22:33.992]',0.670,0.535,0.510,0.133,2.465,80.495,37.004
'[18:22:34.000]',0.585,0.605,0.595,0.135,2.461,79.860,37.004
'[18:22:34.008]',0.465,0.625,0.625,0.137,2.459,79.372,37.004
'[18:22:34.016]',0.400,0.610,0.660,0.139,2.458,78.932,37.004
'[18:22:34.024]',0.395,0.590,0.655,0.141,2.457,78.541,37.004
'[18:22:34.032]',0.400,0.580,0.740,0.143,2.457,78.199,37.004
'[18:22:34.040]',0.405,0.575,0.735,0.146,2.455,77.906,37.004
'[18:22:34.048]',0.390,0.585,0.790,0.149,2.453,77.760,37.004
'[18:22:34.056]',0.400,0.565,0.760,0.151,2.449,77.662,37.004
'[18:22:34.064]',0.400,0.570,0.785,0.154,2.440,77.613,37.004
'[18:22:34.072]',0.380,0.590,0.735,0.157,2.429,77.564,37.004
'[18:22:34.080]',0.390,0.575,0.745,0.160,2.417,77.467,37.004
'[18:22:34.088]',0.415,0.550,0.710,0.163,2.406,77.369,37.004
'[18:22:34.096]',0.425,0.540,0.775,0.166,2.397,77.174,37.004
'[18:22:34.104]',0.435,0.540,0.775,0.168,2.393,76.929,37.004
'[18:22:34.112]',0.445,0.530,0.820,0.171,2.387,76.539,37.004
'[18:22:34.120]',0.475,0.500,0.775,0.173,2.381,76.050,37.004
'[18:22:34.128]',0.485,0.490,0.775,0.175,2.378,75.562,37.004
'[18:22:34.136]',0.470,0.495,0.695,0.178,2.373,74.976,37.004
'[18:22:34.144]',0.485,0.475,0.700,0.181,2.365,74.438,37.004
'[18:22:34.152]',0.510,0.465,0.660,0.183,2.354,73.852,37.004
'[18:22:34.160]',0.520,0.455,0.655,0.186,2.343,73.364,37.004
'[18:22:34.168]',0.550,0.430,0.680,0.189,2.331,72.778,37.004
'[18:22:34.176]',0.590,0.400,0.665,0.191,2.319,72.240,37.004
'[18:22:34.184]',0.625,0.380,0.730,0.194,2.306,71.801,37.004
'[18:22:34.192]',0.660,0.340,0.710,0.196,2.293,71.410,37.004
'[18:22:34.200]',0.690,0.305,0.750,0.199,2.282,71.166,37.004
'[18:22:34.208]',0.715,0.285,0.720,0.201,2.269,71.068,37.004
'[18:22:34.216]',0.725,0.285,0.765,0.203,2.256,71.215,37.004
'[18:22:34.224]',0.705,0.295,0.730,0.204,2.243,72.485,37.004
'[18:22:34.232]',0.695,0.310,0.770,0.206,2.228,75.757,37.004
'[18:22:34.240]',0.645,0.360,0.735,0.207,2.211,82.058,37.004
'[18:22:34.248]',0.605,0.385,0.755,0.209,2.196,91.729,37.004
'[18:22:34.256]',0.575,0.415,0.730,0.210,2.183,104.136,37.004
'[18:22:34.264]',0.535,0.460,0.765,0.211,2.169,117.470,37.004
'[18:22:34.272]',0.505,0.500,0.730,0.212,2.156,130.414,37.004
'[18:22:34.280]',0.460,0.540,0.745,0.213,2.144,141.990,37.004
'[18:22:34.288]',0.445,0.555,0.700,0.212,2.128,151.612,37.004
'[18:22:34.296]',0.440,0.550,0.720,0.211,2.110,158.890,37.004
'[18:22:34.304]',0.440,0.550,0.685,0.209,2.099,163.286,37.004
'[18:22:34.312]',0.445,0.545,0.725,0.207,2.090,164.800,37.004
'[18:22:34.320]',0.430,0.570,0.705,0.205,2.079,163.628,37.004
'[18:22:34.328]',0.430,0.565,0.735,0.202,2.071,160.355,37.004
'[18:22:34.336]',0.450,0.555,0.710,0.199,2.061,155.764,37.004
'[18:22:34.344]',0.470,0.520,0.740,0.196,2.049,150.440,37.004
'[18:22:34.352]',0.475,0.535,0.705,0.192,2.043,144.920,37.004
'[18:22:34.360]',0.440,0.560,0.700,0.187,2.040,139.548,37.004
'[18:22:34.368]',0.445,0.555,0.725,0.181,2.032,134.517,37.004
'[18:22:34.376]',0.445,0.550,0.700,0.175,2.022,129.974,37.004
'[18:22:34.384]',0.445,0.555,0.740,0.168,2.012,125.969,37.004
'[18:22:34.392]',0.450,0.550,0.705,0.161,1.993,122.696,37.004
'[18:22:34.400]',0.465,0.540,0.730,0.152,1.972,119.863,37.004
'[18:22:34.408]',0.470,0.535,0.690,0.144,1.948,117.470,37.004
'[18:22:34.416]',0.455,0.545,0.710,0.136,1.931,115.419,37.004
'[18:22:34.424]',0.470,0.515,0.675,0.129,1.922,113.660,37.004
'[18:22:34.432]',0.470,0.515,0.715,0.121,1.917,112.097,37.004
'[18:22:34.440]',0.465,0.540,0.690,0.115,1.911,110.632,37.004
'[18:22:34.448]',0.470,0.530,0.725,0.108,1.902,109.069,37.004
'[18:22:34.456]',0.460,0.540,0.700,0.101,1.895,107.262,37.004
'[18:22:34.464]',0.445,0.565,0.725,0.094,1.891,105.113,37.004
'[18:22:34.472]',0.455,0.530,0.680,0.088,1.884,102.621,37.004
'[18:22:34.480]',0.470,0.520,0.725,0.082,1.870,99.935,37.004
'[18:22:34.488]',0.465,0.530,0.690,0.077,1.856,97.102,37.004
'[18:22:34.496]',0.465,0.530,0.720,0.072,1.847,94.562,37.004
'[18:22:34.504]',0.470,0.530,0.685,0.068,1.842,92.511,37.004
'[18:22:34.512]',0.480,0.520,0.720,0.064,1.840,91.094,37.004
'[18:22:34.520]',0.445,0.560,0.675,0.061,1.839,90.313,37.004
'[18:22:34.528]',0.440,0.565,0.710,0.059,1.845,89.971,37.004
'[18:22:34.536]',0.460,0.535,0.675,0.057,1.860,90.117,37.004
'[18:22:34.544]',0.450,0.535,0.710,0.056,1.884,90.557,37.004
'[18:22:34.552]',0.485,0.515,0.705,0.055,1.911,91.387,37.004
'[18:22:34.560]',0.515,0.485,0.745,0.055,1.943,92.413,37.004
'[18:22:34.568]',0.540,0.450,0.760,0.055,1.984,93.683,37.004
'[18:22:34.576]',0.545,0.440,0.730,0.056,2.029,94.904,37.004
'[18:22:34.584]',0.540,0.440,0.755,0.057,2.077,95.979,37.004
'[18:22:34.592]',0.545,0.445,0.700,0.060,2.129,96.809,37.004
'[18:22:34.600]',0.540,0.450,0.720,0.062,2.180,97.297,37.004
'[18:22:34.608]',0.500,0.475,0.675,0.065,2.225,97.493,37.004
'[18:22:34.616]',0.460,0.495,0.690,0.067,2.266,97.297,37.004
'[18:22:34.624]',0.445,0.520,0.655,0.071,2.305,96.858,37.004
'[18:22:34.632]',0.435,0.545,0.695,0.074,2.343,96.174,37.004
'[18:22:34.640]',0.405,0.570,0.665,0.077,2.378,95.295,37.004
'[18:22:34.648]',0.395,0.590,0.695,0.081,2.402,94.220,37.004
'[18:22:34.656]',0.400,0.585,0.675,0.084,2.416,93.097,37.004
'[18:22:34.664]',0.430,0.560,0.725,0.087,2.430,91.925,37.004
'[18:22:34.672]',0.425,0.570,0.710,0.090,2.444,90.801,37.004
'[18:22:34.680]',0.410,0.575,0.755,0.093,2.457,89.678,37.004
'[18:22:34.688]',0.405,0.590,0.735,0.097,2.469,88.603,37.004
'[18:22:34.696]',0.420,0.575,0.795,0.101,2.479,87.529,37.004
'[18:22:34.704]',0.440,0.555,0.775,0.104,2.484,86.552,37.004
'[18:22:34.712]',0.430,0.565,0.840,0.108,2.486,85.624,37.004
'[18:22:34.720]',0.415,0.590,0.855,0.112,2.487,84.745,37.004
'[18:22:34.728]',0.465,0.530,0.885,0.116,2.488,83.914,37.004
'[18:22:34.736]',0.625,0.335,0.750,0.120,2.488,83.182,37.004
'[18:22:34.744]',0.985,-0.025,0.625,0.124,2.488,82.449,37.004
'[18:22:34.752]',1.155,-0.155,0.465,0.128,2.485,81.814,37.004
'[18:22:34.760]',0.775,0.275,0.560,0.131,2.477,81.228,37.004
'[18:22:34.768]',0.645,0.560,0.725,0.135,2.467,80.739,37.004
'[18:22:34.776]',0.545,0.620,0.830,0.139,2.456,80.251,37.004
'[18:22:34.784]',0.450,0.630,0.870,0.143,2.447,79.811,37.004
'[18:22:34.792]',0.400,0.610,0.915,0.147,2.443,79.421,37.004
'[18:22:34.800]',0.395,0.595,0.965,0.151,2.437,79.127,37.004
'[18:22:34.808]',0.385,0.590,1.005,0.154,2.428,78.932,37.004
'[18:22:34.816]',0.400,0.580,1.060,0.158,2.417,78.786,37.004
'[18:22:34.824]',0.405,0.565,1.085,0.162,2.406,78.688,37.004
'[18:22:34.832]',0.405,0.555,1.115,0.166,2.394,78.688,37.004
'[18:22:34.840]',0.400,0.555,1.090,0.170,2.381,78.688,37.004
'[18:22:34.848]',0.410,0.545,1.155,0.175,2.369,78.688,37.004
'[18:22:34.856]',0.425,0.550,1.150,0.180,2.360,78.541,37.004
'[18:22:34.864]',0.430,0.540,1.245,0.185,2.355,78.444,37.004
'[18:22:34.872]',0.425,0.535,1.240,0.191,2.349,78.199,37.004
'[18:22:34.880]',0.430,0.535,1.330,0.198,2.346,77.906,37.004
'[18:22:34.888]',0.445,0.515,1.305,0.204,2.345,77.564,37.004
'[18:22:34.896]',0.445,0.530,1.325,0.210,2.338,77.125,37.004
'[18:22:34.904]',0.445,0.520,1.265,0.217,2.328,76.636,37.004
'[18:22:34.912]',0.490,0.480,1.270,0.223,2.318,76.099,37.004
'[18:22:34.920]',0.505,0.470,1.205,0.229,2.306,75.562,37.004
'[18:22:34.928]',0.515,0.460,1.220,0.238,2.293,74.976,37.004
'[18:22:34.936]',0.535,0.440,1.205,0.246,2.282,74.438,37.004
'[18:22:34.944]',0.590,0.395,1.260,0.257,2.269,73.901,37.004
'[18:22:34.952]',0.610,0.385,1.245,0.267,2.256,73.413,37.004
'[18:22:34.960]',0.645,0.360,1.295,0.277,2.243,72.973,37.004
'[18:22:34.968]',0.685,0.325,1.310,0.286,2.231,72.631,37.004
'[18:22:34.976]',0.715,0.290,1.290,0.296,2.219,72.289,37.004
'[18:22:34.984]',0.740,0.275,1.340,0.305,2.206,72.192,37.004
'[18:22:34.992]',0.745,0.275,1.315,0.316,2.191,72.631,37.004
'[18:22:35.000]',0.710,0.305,1.340,0.328,2.173,74.292,37.004
'[18:22:35.008]',0.690,0.325,1.300,0.340,2.158,78.199,37.004
'[18:22:35.016]',0.645,0.365,1.335,0.352,2.139,85.233,37.004
'[18:22:35.024]',0.610,0.390,1.275,0.365,2.119,95.637,37.004
'[18:22:35.032]',0.560,0.440,1.290,0.378,2.109,108.385,37.004
'[18:22:35.040]',0.520,0.485,1.245,0.391,2.105,121.817,37.004
'[18:22:35.048]',0.490,0.500,1.260,0.404,2.103,134.614,37.004
'[18:22:35.056]',0.475,0.520,1.210,0.416,2.102,145.800,37.004
'[18:22:35.064]',0.460,0.535,1.225,0.428,2.064,154.982,37.004
'[18:22:35.072]',0.450,0.540,1.165,0.439,2.004,161.576,37.004
'[18:22:35.080]',0.445,0.540,1.190,0.449,1.965,165.288,37.004
'[18:22:35.088]',0.460,0.535,1.145,0.459,1.933,166.070,37.004
'[18:22:35.096]',0.445,0.540,1.165,0.469,1.907,164.263,37.004
'[18:22:35.104]',0.450,0.540,1.125,0.478,1.889,160.502,37.004
'[18:22:35.112]',0.445,0.535,1.150,0.487,1.873,155.471,37.004
'[18:22:35.120]',0.430,0.565,1.090,0.494,1.862,149.854,37.004
'[18:22:35.128]',0.455,0.535,1.120,0.500,1.856,144.188,37.004
'[18:22:35.136]',0.450,0.540,1.070,0.505,1.853,138.766,37.004
'[18:22:35.144]',0.460,0.540,1.090,0.510,1.848,133.735,37.004
'[18:22:35.152]',0.465,0.535,1.045,0.514,1.840,129.241,37.004
'[18:22:35.160]',0.455,0.535,1.055,0.518,1.829,125.383,37.004
'[18:22:35.168]',0.460,0.550,1.005,0.521,1.818,122.159,37.004
'[18:22:35.176]',0.445,0.555,1.010,0.523,1.804,119.473,37.004
'[18:22:35.184]',0.460,0.530,0.975,0.525,1.786,117.372,37.004
'[18:22:35.192]',0.480,0.510,0.955,0.527,1.771,115.614,37.004
'[18:22:35.200]',0.465,0.525,0.965,0.528,1.758,114.051,37.004
