"'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'"
"'[10:51:29.192]',-,-,-,-,-,-,-,-"
"'[10:51:29.200]',-,-,-,-,-,-,-,-"
"'[10:51:29.208]',-,-,-,-,-,-,-,-"
"'[10:51:29.216]',-,-,-,-,-,-,-,-"
"'[10:51:29.224]',-,-,-,-,-,-,-,-"
"'[10:51:29.232]',-,-,-,-,-,-,-,-"
"'[10:51:29.240]',-,-,-,-,-,-,-,-"
"'[10:51:29.248]',-,-,-,-,-,-,-,-"
"'[10:51:29.256]',-,-,-,-,-,-,-,-"
"'[10:51:29.264]',-,-,-,-,-,-,-,-"
"'[10:51:29.272]',-,-,-,-,-,-,-,-"
"'[10:51:29.280]',-,-,-,-,-,-,-,-"
"'[10:51:29.288]',-,-,-,-,-,-,-,-"
"'[10:51:29.296]',-,-,-,-,-,-,-,-"
"'[10:51:29.304]',-,-,-,-,-,-,-,-"
"'[10:51:29.312]',-,-,-,-,-,-,-,-"
"'[10:51:29.320]',-,-,-,-,-,-,-,-"
"'[10:51:29.328]',-,-,-,-,-,-,-,-"
"'[10:51:29.336]',-,-,-,-,-,-,-,-"
"'[10:51:29.344]',-,-,-,-,-,-,-,-"
"'[10:51:29.352]',-,-,-,-,-,-,-,-"
"'[10:51:29.360]',-,-,-,-,-,-,-,-"
"'[10:51:29.368]',-,-,-,-,-,-,-,-"
"'[10:51:29.376]',-,-,-,-,-,-,-,-"
"'[10:51:29.384]',-,-,-,-,-,-,-,-"
"'[10:51:29.392]',-,-,-,-,-,-,-,-"
"'[10:51:29.400]',-,-,-,-,-,-,-,-"
"'[10:51:29.408]',-,-,-,-,-,-,-,-"
"'[10:51:29.416]',-,-,-,-,-,-,-,-"
"'[10:51:29.424]',-,-,-,-,-,-,-,-"
"'[10:51:29.432]',-,-,-,-,-,-,-,-"
"'[10:51:29.440]',-,-,-,-,-,-,-,-"
"'[10:51:29.448]',-,-,-,-,-,-,-,-"
"'[10:51:29.456]',-,-,-,-,-,-,-,-"
"'[10:51:29.464]',-,-,-,-,-,-,-,-"
"'[10:51:29.472]',-,-,-,-,-,-,-,-"
"'[10:51:29.480]',-,-,-,-,-,-,-,-"
"'[10:51:29.488]',-,-,-,-,-,-,-,-"
"'[10:51:29.496]',-,-,-,-,-,-,-,-"
"'[10:51:29.504]',-,-,-,-,-,-,-,-"
"'[10:51:29.512]',-,-,-,-,-,-,-,-"
"'[10:51:29.520]',-,-,-,-,-,-,-,-"
"'[10:51:29.528]',-,-,-,-,-,-,-,-"
"'[10:51:29.536]',-,-,-,-,-,-,-,-"
"'[10:51:29.544]',-,-,-,-,-,-,-,-"
"'[10:51:29.552]',-,-,-,-,-,-,-,-"
"'[10:51:29.560]',-,-,-,-,-,-,-,-"
"'[10:51:29.568]',-,-,-,-,-,-,-,-"
"'[10:51:29.576]',-,-,-,-,-,-,-,-"
"'[10:51:29.584]',-,-,-,-,-,-,-,-"
"'[10:51:29.592]',-,-,-,-,-,-,-,-"
"'[10:51:29.600]',-,-,-,-,-,-,-,-"
"'[10:51:29.608]',-,-,-,-,-,-,-,-"
"'[10:51:29.616]',-,-,-,-,-,-,-,-"
"'[10:51:29.624]',-,-,-,-,-,-,-,-"
"'[10:51:29.632]',-,-,-,-,-,-,-,-"
"'[10:51:29.640]',-,-,-,-,-,-,-,-"
"'[10:51:29.648]',-,-,-,-,-,-,-,-"
"'[10:51:29.656]',-,-,-,-,-,-,-,-"
"'[10:51:29.664]',-,-,-,-,-,-,-,-"
"'[10:51:29.672]',-,-,-,-,-,-,-,-"
"'[10:51:29.680]',-,-,-,-,-,-,-,-"
"'[10:51:29.688]',-,-,-,-,-,-,-,-"
"'[10:51:29.696]',-,-,-,-,-,-,-,-"
"'[10:51:29.704]',-,-,-,-,-,-,-,-"
"'[10:51:29.712]',-,-,-,-,-,-,-,-"
"'[10:51:29.720]',-,-,-,-,-,-,-,-"
"'[10:51:29.728]',-,-,-,-,-,-,-,-"
"'[10:51:29.736]',-,-,-,-,-,-,-,-"
"'[10:51:29.744]',-,-,-,-,-,-,-,-"
"'[10:51:29.752]',-,-,-,-,-,-,-,-"
"'[10:51:29.760]',-,-,-,-,-,-,-,-"
"'[10:51:29.768]',-,-,-,-,-,-,-,-"
"'[10:51:29.776]',-,-,-,-,-,-,-,-"
"'[10:51:29.784]',-,-,-,-,-,-,-,-"
"'[10:51:29.792]',-,-,-,-,-,-,-,-"
"'[10:51:29.800]',-,-,-,-,-,-,-,-"
"'[10:51:29.808]',-,-,-,-,-,-,-,-"
"'[10:51:29.816]',-,-,-,-,-,-,-,-"
"'[10:51:29.824]',-,-,-,-,-,-,-,-"
"'[10:51:29.832]',-,-,-,-,-,-,-,-"
"'[10:51:29.840]',-,-,-,-,-,-,-,-"
"'[10:51:29.848]',-,-,-,-,-,-,-,-"
"'[10:51:29.856]',-,-,-,-,-,-,-,-"
"'[10:51:29.864]',-,-,-,-,-,-,-,-"
"'[10:51:29.872]',-,-,-,-,-,-,-,-"
"'[10:51:29.880]',-,-,-,-,-,-,-,-"
"'[10:51:29.888]',-,-,-,-,-,-,-,-"
"'[10:51:29.896]',-,-,-,-,-,-,-,-"
"'[10:51:29.904]',-,-,-,-,-,-,-,-"
"'[10:51:29.912]',-,-,-,-,-,-,-,-"
"'[10:51:29.920]',-,-,-,-,-,-,-,-"
"'[10:51:29.928]',-,-,-,-,-,-,-,-"
"'[10:51:29.936]',-,-,-,-,-,-,-,-"
"'[10:51:29.944]',-,-,-,-,-,-,-,-"
"'[10:51:29.952]',-,-,-,-,-,-,-,-"
"'[10:51:29.960]',-,-,-,-,-,-,-,-"
"'[10:51:29.968]',-,-,-,-,-,-,-,-"
"'[10:51:29.976]',-,-,-,-,-,-,-,-"
"'[10:51:29.984]',-,-,-,-,-,-,-,-"
"'[10:51:29.992]',-,-,-,-,-,-,-,-"
"'[10:51:30.000]',-,-,-,-,-,-,-,-"
"'[10:51:30.008]',-,-,-,-,-,-,-,-"
"'[10:51:30.016]',-,-,-,-,-,-,-,-"
"'[10:51:30.024]',-,-,-,-,-,-,-,-"
"'[10:51:30.032]',-,-,-,-,-,-,-,-"
"'[10:51:30.040]',-,-,-,-,-,-,-,-"
"'[10:51:30.048]',-,-,-,-,-,-,-,-"
"'[10:51:30.056]',-,-,-,-,-,-,-,-"
"'[10:51:30.064]',-,-,-,-,-,-,-,-"
"'[10:51:30.072]',-,-,-,-,-,-,-,-"
"'[10:51:30.080]',-,-,-,-,-,-,-,-"
"'[10:51:30.088]',-,-,-,-,-,-,-,-"
"'[10:51:30.096]',-,-,-,-,-,-,-,-"
"'[10:51:30.104]',-,-,-,-,-,-,-,-"
"'[10:51:30.112]',-,-,-,-,-,-,-,-"
"'[10:51:30.120]',-,-,-,-,-,-,-,-"
"'[10:51:30.128]',-,-,-,-,-,-,-,-"
"'[10:51:30.136]',-,-,-,-,-,-,-,-"
"'[10:51:30.144]',-,-,-,-,-,-,-,-"
"'[10:51:30.152]',-,-,-,-,-,-,-,-"
"'[10:51:30.160]',-,-,-,-,-,-,-,-"
"'[10:51:30.168]',-,-,-,-,-,-,-,-"
"'[10:51:30.176]',-,-,-,-,-,-,-,-"
"'[10:51:30.184]',-,-,-,-,-,-,-,-"
"'[10:51:30.192]',-,-,-,-,-,-,-,-"
"'[10:51:30.200]',-,-,-,-,-,-,-,-"
"'[10:51:30.208]',-,-,-,-,-,-,-,-"
"'[10:51:30.216]',-,-,-,-,-,-,-,-"
"'[10:51:30.224]',-,-,-,-,-,-,-,-"
"'[10:51:30.232]',-,-,-,-,-,-,-,-"
"'[10:51:30.240]',-,-,-,-,-,-,-,-"
"'[10:51:30.248]',-,-,-,-,-,-,-,-"
"'[10:51:30.256]',-,-,-,-,-,-,-,-"
"'[10:51:30.264]',-,-,-,-,-,-,-,-"
"'[10:51:30.272]',-,-,-,-,-,-,-,-"
"'[10:51:30.280]',-,-,-,-,-,-,-,-"
"'[10:51:30.288]',-,-,-,-,-,-,-,-"
"'[10:51:30.296]',-,-,-,-,-,-,-,-"
"'[10:51:30.304]',-,-,-,-,-,-,-,-"
"'[10:51:30.312]',-,-,-,-,-,-,-,-"
"'[10:51:30.320]',-,-,-,-,-,-,-,-"
"'[10:51:30.328]',-,-,-,-,-,-,-,-"
"'[10:51:30.336]',-,-,-,-,-,-,-,-"
"'[10:51:30.344]',-,-,-,-,-,-,-,-"
"'[10:51:30.352]',-,-,-,-,-,-,-,-"
"'[10:51:30.360]',-,-,-,-,-,-,-,-"
"'[10:51:30.368]',-,-,-,-,-,-,-,-"
"'[10:51:30.376]',-,-,-,-,-,-,-,-"
"'[10:51:30.384]',-,-,-,-,-,-,-,-"
"'[10:51:30.392]',-,-,-,-,-,-,-,-"
"'[10:51:30.400]',-,-,-,-,-,-,-,-"
"'[10:51:30.408]',-,-,-,-,-,-,-,-"
"'[10:51:30.416]',-,-,-,-,-,-,-,-"
"'[10:51:30.424]',-,-,-,-,-,-,-,-"
"'[10:51:30.432]',-,-,-,-,-,-,-,-"
"'[10:51:30.440]',-,-,-,-,-,-,-,-"
"'[10:51:30.448]',-,-,-,-,-,-,-,-"
"'[10:51:30.456]',-,-,-,-,-,-,-,-"
"'[10:51:30.464]',-,-,-,-,-,-,-,-"
"'[10:51:30.472]',-,-,-,-,-,-,-,-"
"'[10:51:30.480]',-,-,-,-,-,-,-,-"
"'[10:51:30.488]',-,-,-,-,-,-,-,-"
"'[10:51:30.496]',-,-,-,-,-,-,-,-"
"'[10:51:30.504]',-,-,-,-,-,-,-,-"
"'[10:51:30.512]',-,-,-,-,-,-,-,-"
"'[10:51:30.520]',-,-,-,-,-,-,-,-"
"'[10:51:30.528]',-,-,-,-,-,-,-,-"
"'[10:51:30.536]',-,-,-,-,-,-,-,-"
"'[10:51:30.544]',-,-,-,-,-,-,-,-"
"'[10:51:30.552]',-,-,-,-,-,-,-,-"
"'[10:51:30.560]',-,-,-,-,-,-,-,-"
"'[10:51:30.568]',-,-,-,-,-,-,-,-"
"'[10:51:30.576]',-,-,-,-,-,-,-,-"
"'[10:51:30.584]',-,-,-,-,-,-,-,-"
"'[10:51:30.592]',-,-,-,-,-,-,-,-"
"'[10:51:30.600]',-,-,-,-,-,-,-,-"
"'[10:51:30.608]',-,-,-,-,-,-,-,-"
"'[10:51:30.616]',-,-,-,-,-,-,-,-"
"'[10:51:30.624]',-,-,-,-,-,-,-,-"
"'[10:51:30.632]',-,-,-,-,-,-,-,-"
"'[10:51:30.640]',-,-,-,-,-,-,-,-"
"'[10:51:30.648]',-,-,-,-,-,-,-,-"
"'[10:51:30.656]',-,-,-,-,-,-,-,-"
"'[10:51:30.664]',-,-,-,-,-,-,-,-"
"'[10:51:30.672]',-,-,-,-,-,-,-,-"
"'[10:51:30.680]',-,-,-,-,-,-,-,-"
"'[10:51:30.688]',-,-,-,-,-,-,-,-"
"'[10:51:30.696]',-,-,-,-,-,-,-,-"
"'[10:51:30.704]',-,-,-,-,-,-,-,-"
"'[10:51:30.712]',-,-,-,-,-,-,-,-"
"'[10:51:30.720]',-,-,-,-,-,-,-,-"
"'[10:51:30.728]',-,-,-,-,-,-,-,-"
"'[10:51:30.736]',-,-,-,-,-,-,-,-"
"'[10:51:30.744]',-,-,-,-,-,-,-,-"
"'[10:51:30.752]',-,-,-,-,-,-,-,-"
"'[10:51:30.760]',-,-,-,-,-,-,-,-"
"'[10:51:30.768]',-,-,-,-,-,-,-,-"
"'[10:51:30.776]',-,-,-,-,-,-,-,-"
"'[10:51:30.784]',-,-,-,-,-,-,-,-"
"'[10:51:30.792]',-,-,-,-,-,-,-,-"
"'[10:51:30.800]',-,-,-,-,-,-,-,-"
"'[10:51:30.808]',-,-,-,-,-,-,-,-"
"'[10:51:30.816]',-,-,-,-,-,-,-,-"
"'[10:51:30.824]',-,-,-,-,-,-,-,-"
"'[10:51:30.832]',-,-,-,-,-,-,-,-"
"'[10:51:30.840]',-,-,-,-,-,-,-,-"
"'[10:51:30.848]',-,-,-,-,-,-,-,-"
"'[10:51:30.856]',-,-,-,-,-,-,-,-"
"'[10:51:30.864]',-,-,-,-,-,-,-,-"
"'[10:51:30.872]',-,-,-,-,-,-,-,-"
"'[10:51:30.880]',-,-,-,-,-,-,-,-"
"'[10:51:30.888]',-,-,-,-,-,-,-,-"
"'[10:51:30.896]',-,-,-,-,-,-,-,-"
"'[10:51:30.904]',-,-,-,-,-,-,-,-"
"'[10:51:30.912]',-,-,-,-,-,-,-,-"
"'[10:51:30.920]',-,-,-,-,-,-,-,-"
"'[10:51:30.928]',-,-,-,-,-,-,-,-"
"'[10:51:30.936]',-,-,-,-,-,-,-,-"
"'[10:51:30.944]',-,-,-,-,-,-,-,-"
"'[10:51:30.952]',-,-,-,-,-,-,-,-"
"'[10:51:30.960]',-,-,-,-,-,-,-,-"
"'[10:51:30.968]',-,-,-,-,-,-,-,-"
"'[10:51:30.976]',-,-,-,-,-,-,-,-"
"'[10:51:30.984]',-,-,-,-,-,-,-,-"
"'[10:51:30.992]',-,-,-,-,-,-,-,-"
"'[10:51:31.000]',-,-,-,-,-,-,-,-"
"'[10:51:31.008]',-,-,-,-,-,-,-,-"
"'[10:51:31.016]',-,-,-,-,-,-,-,-"
"'[10:51:31.024]',-,-,-,-,-,-,-,-"
"'[10:51:31.032]',-,-,-,-,-,-,-,-"
"'[10:51:31.040]',-,-,-,-,-,-,-,-"
"'[10:51:31.048]',-,-,-,-,-,-,-,-"
"'[10:51:31.056]',-,-,-,-,-,-,-,-"
"'[10:51:31.064]',-,-,-,-,-,-,-,-"
"'[10:51:31.072]',-0.305,-,0.940,0.845,-0.000,1.211,-,-"
"'[10:51:31.080]',-0.301,-,0.915,0.830,-0.000,1.227,-,-"
"'[10:51:31.088]',-0.346,-,0.925,0.850,0.005,1.258,-,-"
"'[10:51:31.096]',-0.321,-,0.905,0.830,0.011,1.311,-,-"
"'[10:51:31.104]',-0.350,-,0.905,0.835,0.029,1.398,-,-"
"'[10:51:31.112]',-0.376,-,0.910,0.840,0.047,1.517,-,-"
"'[10:51:31.120]',-0.341,-,0.891,0.830,0.070,1.663,-,-"
"'[10:51:31.128]',-0.321,-,0.870,0.820,0.093,1.825,-,-"
"'[10:51:31.136]',-0.366,-,0.880,0.830,0.120,1.993,-,-"
"'[10:51:31.144]',-0.330,-,0.845,0.815,0.147,2.159,-,-"
"'[10:51:31.152]',-0.276,-,0.795,0.805,0.173,2.314,-,-"
"'[10:51:31.160]',-0.296,-,0.780,0.810,0.200,2.453,-,-"
"'[10:51:31.168]',-0.256,-,0.735,0.790,0.227,2.571,-,-"
"'[10:51:31.176]',-0.236,-,0.690,0.785,0.255,2.670,-,-"
"'[10:51:31.184]',-0.211,-,0.665,0.775,0.288,2.748,-,-"
"'[10:51:31.192]',-0.160,-,0.640,0.760,0.320,2.799,-,-"
"'[10:51:31.200]',-0.120,-,0.620,0.760,0.357,2.830,-,-"
"'[10:51:31.208]',-0.095,-,0.620,0.760,0.394,2.853,-,-"
"'[10:51:31.216]',-0.090,-,0.650,0.770,0.428,2.866,-,-"
"'[10:51:31.224]',-0.106,-,0.700,0.785,0.462,2.869,-,-"
"'[10:51:31.232]',-0.135,-,0.745,0.805,0.494,2.860,-,-"
"'[10:51:31.240]',-0.151,-,0.780,0.820,0.526,2.839,-,-"
"'[10:51:31.248]',-0.166,-,0.810,0.830,0.559,2.806,-,-"
"'[10:51:31.256]',-0.180,-,0.825,0.835,0.592,2.761,-,-"
"'[10:51:31.264]',-0.180,-,0.840,0.850,0.627,2.705,-,-"
"'[10:51:31.272]',-0.180,-,0.835,0.855,0.663,2.637,-,-"
"'[10:51:31.280]',-0.166,-,0.835,0.855,0.699,2.562,-,-"
"'[10:51:31.288]',-0.155,-,0.835,0.855,0.736,2.490,-,-"
"'[10:51:31.296]',-0.135,-,0.820,0.855,0.773,2.419,-,-"
"'[10:51:31.304]',-0.115,-,0.810,0.855,0.809,2.341,-,-"
"'[10:51:31.312]',-0.100,-,0.805,0.855,0.843,2.261,-,-"
"'[10:51:31.320]',-0.086,-,0.795,0.860,0.877,2.184,-,-"
"'[10:51:31.328]',-0.070,-,0.780,0.855,0.907,2.112,-,-"
"'[10:51:31.336]',-0.061,-,0.775,0.855,0.938,2.047,-,-"
"'[10:51:31.344]',-0.055,-,0.785,0.855,0.968,1.990,-,-"
"'[10:51:31.352]',-0.050,-,0.775,0.860,0.998,1.940,-,-"
"'[10:51:31.360]',-0.041,-,0.765,0.855,0.999,1.897,-,-"
"'[10:51:31.368]',-0.035,-,0.765,0.855,1.000,1.859,-,-"
"'[10:51:31.376]',-0.045,-,0.775,0.855,1.000,1.825,-,-"
"'[10:51:31.384]',-0.035,-,0.765,0.855,1.000,1.798,-,-"
"'[10:51:31.392]',-0.041,-,0.765,0.855,1.000,1.774,-,-"
"'[10:51:31.400]',-0.045,-,0.765,0.855,1.000,1.749,-,-"
"'[10:51:31.408]',-0.041,-,0.765,0.845,1.000,1.721,-,-"
"'[10:51:31.416]',-0.050,-,0.765,0.855,1.000,1.693,-,-"
"'[10:51:31.424]',-0.055,-,0.765,0.845,1.000,1.664,-,-"
"'[10:51:31.432]',-0.050,-,0.760,0.840,1.000,1.633,-,-"
"'[10:51:31.440]',-0.061,-,0.765,0.830,1.000,1.601,-,-"
"'[10:51:31.448]',-0.050,-,0.760,0.825,1.000,1.568,-,-"
"'[10:51:31.456]',-0.065,-,0.765,0.825,1.000,1.534,-,-"
"'[10:51:31.464]',-0.061,-,0.755,0.820,1.000,1.500,-,-"
"'[10:51:31.472]',-0.055,-,0.745,0.810,1.000,1.468,-,-"
"'[10:51:31.480]',-0.065,-,0.740,0.810,1.000,1.437,-,-"
"'[10:51:31.488]',-0.055,-,0.750,0.810,1.000,1.413,-,-"
"'[10:51:31.496]',-0.035,-,0.725,0.825,1.000,1.395,-,-"
"'[10:51:31.504]',-0.015,-,0.710,0.840,1.000,1.375,-,-"
"'[10:51:31.512]',-0.000,-,0.700,0.845,1.000,1.360,-,-"
"'[10:51:31.520]',0.020,-,0.675,0.850,1.000,1.352,-,-"
"'[10:51:31.528]',0.060,-,0.640,0.830,1.000,1.353,-,-"
"'[10:51:31.536]',0.075,-,0.630,0.810,1.000,1.365,-,-"
"'[10:51:31.544]',0.055,-,0.635,0.780,1.000,1.388,-,-"
"'[10:51:31.552]',0.024,-,0.655,0.755,1.000,1.422,-,-"
"'[10:51:31.560]',0.004,-,0.665,0.745,1.000,1.465,-,-"
"'[10:51:31.568]',-0.015,-,0.680,0.760,1.000,1.515,-,-"
"'[10:51:31.576]',-0.015,-,0.695,0.765,1.000,1.568,-,-"
"'[10:51:31.584]',-0.050,-,0.730,0.785,0.997,1.614,-,-"
"'[10:51:31.592]',-0.086,-,0.755,0.785,0.994,1.652,-,-"
"'[10:51:31.600]',-0.110,-,0.775,0.785,0.963,1.685,-,-"
"'[10:51:31.608]',-0.100,-,0.765,0.785,0.931,1.709,-,-"
"'[10:51:31.616]',-0.106,-,0.765,0.785,0.899,1.719,-,-"
"'[10:51:31.624]',-0.115,-,0.770,0.785,0.867,1.716,-,-"
"'[10:51:31.632]',-0.135,-,0.800,0.840,0.838,1.699,-,-"
"'[10:51:31.640]',-0.151,-,0.820,0.880,0.809,1.671,-,-"
"'[10:51:31.648]',-0.081,-,0.695,0.835,0.783,1.631,-,-"
"'[10:51:31.656]',0.160,-,0.330,0.630,0.757,1.586,-,-"
"'[10:51:31.664]',0.415,-,-0.100,0.320,0.732,1.534,-,-"
"'[10:51:31.672]',0.565,-,-0.211,0.230,0.707,1.480,-,-"
"'[10:51:31.680]',0.395,-,0.500,0.595,0.683,1.427,-,-"
"'[10:51:31.688]',0.225,-,0.845,0.800,0.658,1.382,-,-"
"'[10:51:31.696]',-0.015,-,0.970,0.830,0.637,1.344,-,-"
"'[10:51:31.704]',-0.130,-,0.990,0.865,0.616,1.304,-,-"
"'[10:51:31.712]',-0.151,-,0.885,0.875,0.597,1.265,-,-"
"'[10:51:31.720]',-0.135,-,0.830,0.860,0.578,1.230,-,-"
"'[10:51:31.728]',-0.135,-,0.810,0.850,0.559,1.199,-,-"
"'[10:51:31.736]',-0.155,-,0.810,0.855,0.540,1.173,-,-"
"'[10:51:31.744]',-0.130,-,0.795,0.845,0.522,1.152,-,-"
"'[10:51:31.752]',-0.115,-,0.780,0.840,0.504,1.135,-,-"
"'[10:51:31.760]',-0.126,-,0.770,0.850,0.485,1.121,-,-"
"'[10:51:31.768]',-0.110,-,0.765,0.855,0.466,1.110,-,-"
"'[10:51:31.776]',-0.090,-,0.745,0.840,0.447,1.102,-,-"
"'[10:51:31.784]',-0.095,-,0.735,0.845,0.429,1.098,-,-"
"'[10:51:31.792]',-0.070,-,0.710,0.835,0.411,1.097,-,-"
"'[10:51:31.800]',-0.075,-,0.710,0.830,0.395,1.095,-,-"
"'[10:51:31.808]',-0.065,-,0.695,0.815,0.379,1.092,-,-"
"'[10:51:31.816]',-0.061,-,0.680,0.805,0.363,1.089,-,-"
"'[10:51:31.824]',-0.041,-,0.655,0.800,0.345,1.086,-,-"
"'[10:51:31.832]',-0.035,-,0.630,0.785,0.328,1.083,-,-"
"'[10:51:31.840]',0.015,-,0.585,0.780,0.309,1.078,-,-"
"'[10:51:31.848]',0.050,-,0.540,0.770,0.290,1.072,-,-"
"'[10:51:31.856]',0.095,-,0.495,0.750,0.273,1.065,-,-"
"'[10:51:31.864]',0.130,-,0.475,0.755,0.256,1.058,-,-"
"'[10:51:31.872]',0.125,-,0.480,0.760,0.240,1.050,-,-"
"'[10:51:31.880]',0.160,-,0.465,0.755,0.225,1.043,-,-"
"'[10:51:31.888]',0.135,-,0.495,0.750,0.209,1.040,-,-"
"'[10:51:31.896]',0.130,-,0.515,0.760,0.193,1.040,-,-"
"'[10:51:31.904]',0.105,-,0.555,0.775,0.177,1.037,-,-"
"'[10:51:31.912]',0.065,-,0.610,0.795,0.161,1.034,-,-"
"'[10:51:31.920]',0.030,-,0.640,0.805,0.145,1.030,-,-"
"'[10:51:31.928]',-0.000,-,0.675,0.805,0.129,1.026,-,-"
"'[10:51:31.936]',-0.025,-,0.705,0.810,0.113,1.022,-,-"
"'[10:51:31.944]',-0.035,-,0.720,0.820,0.098,1.018,-,-"
"'[10:51:31.952]',-0.045,-,0.730,0.815,0.085,1.013,-,-"
"'[10:51:31.960]',-0.030,-,0.725,0.805,0.071,1.008,-,-"
"'[10:51:31.968]',-0.035,-,0.730,0.805,0.059,1.004,-,-"
"'[10:51:31.976]',-0.021,-,0.725,0.800,0.047,1.001,-,-"
"'[10:51:31.984]',-0.015,-,0.715,0.795,0.034,1.002,-,-"
"'[10:51:31.992]',-0.005,-,0.705,0.785,0.022,1.006,-,-"
"'[10:51:32.000]',0.015,-,0.700,0.780,0.011,1.008,-,-"
"'[10:51:32.008]',0.055,-,0.685,0.765,-0.000,1.009,-,-"
"'[10:51:32.016]',0.075,-,0.665,0.750,-0.000,1.009,-,-"
"'[10:51:32.024]',0.080,-,0.655,0.760,-0.000,1.008,-,-"
"'[10:51:32.032]',0.085,-,0.665,0.780,-0.000,1.007,-,-"
"'[10:51:32.040]',0.080,-,0.675,0.810,-0.000,1.004,-,-"
"'[10:51:32.048]',0.085,-,0.670,0.825,-0.000,1.000,-,-"
"'[10:51:32.056]',0.044,-,0.685,0.830,-0.000,0.996,-,-"
"'[10:51:32.064]',0.030,-,0.695,0.825,-0.000,0.992,-,-"
"'[10:51:32.072]',0.044,-,0.670,0.805,-0.000,0.988,-,-"
"'[10:51:32.080]',0.030,-,0.680,0.780,-0.000,0.984,-,-"
"'[10:51:32.088]',0.024,-,0.690,0.760,-0.000,0.984,-,-"
"'[10:51:32.096]',-0.010,-,0.720,0.760,-0.000,0.987,-,-"
"'[10:51:32.104]',-0.055,-,0.755,0.785,-0.000,0.987,-,-"
"'[10:51:32.112]',-0.061,-,0.775,0.820,-0.000,0.989,-,-"
"'[10:51:32.120]',-0.070,-,0.785,0.830,-0.000,1.000,-,-"
"'[10:51:32.128]',-0.100,-,0.835,0.840,-0.000,1.029,-,-"
"'[10:51:32.136]',-0.055,-,0.825,0.805,-0.000,1.086,-,-"
"'[10:51:32.144]',0.004,-,0.790,0.720,-0.000,1.179,-,-"
"'[10:51:32.152]',0.010,-,0.775,0.650,-0.000,1.312,-,-"
"'[10:51:32.160]',-0.095,-,0.825,0.695,-0.000,1.482,-,-"
"'[10:51:32.168]',-0.151,-,0.870,0.730,-0.000,1.683,-,-"
"'[10:51:32.176]',-0.070,-,0.891,0.740,-0.000,1.906,-,-"
"'[10:51:32.184]',0.095,-,0.740,0.595,-0.000,2.108,-,-"
