'Time','I','II','AVR','V','RESP','PLETH','ABP','PAP','CVP'
'[15:28:45.560]',-,-0.070,0.875,0.900,-0.058,1.311,78.600,26.369,17.496
'[15:28:45.568]',-,-0.050,0.860,0.915,-0.057,1.299,78.307,26.869,17.681
'[15:28:45.576]',-,-0.065,0.870,0.905,-0.056,1.286,78.131,27.255,17.877
'[15:28:45.584]',-,-0.045,0.855,0.910,-0.055,1.273,77.838,27.755,18.062
'[15:28:45.592]',-,-0.055,0.870,0.905,-0.054,1.259,77.662,28.368,18.062
'[15:28:45.600]',-,-0.035,0.845,0.920,-0.054,1.245,77.486,28.936,17.808
'[15:28:45.608]',-,-0.045,0.850,0.915,-0.053,1.237,77.310,28.550,17.623
'[15:28:45.616]',-,-0.025,0.835,0.910,-0.052,1.230,77.135,27.119,17.681
'[15:28:45.624]',-,-0.030,0.835,0.920,-0.051,1.220,76.841,25.688,17.994
'[15:28:45.632]',-,-0.005,0.815,0.915,-0.049,1.211,76.607,25.370,18.375
'[15:28:45.640]',-,-0.021,0.830,0.920,-0.049,1.204,76.373,26.369,18.688
'[15:28:45.648]',-,0.004,0.810,0.920,-0.048,1.197,76.138,28.368,19.000
'[15:28:45.656]',-,-0.000,0.805,0.925,-0.047,1.190,76.021,31.252,19.186
'[15:28:45.664]',-,0.010,0.795,0.920,-0.046,1.183,76.431,34.500,19.186
'[15:28:45.672]',-,0.020,0.795,0.925,-0.046,1.178,77.838,37.566,18.932
'[15:28:45.680]',-,0.015,0.780,0.920,-0.045,1.173,81.120,40.178,18.307
'[15:28:45.688]',-,0.035,0.775,0.925,-0.045,1.170,86.747,42.245,17.623
'[15:28:45.696]',-,0.030,0.780,0.920,-0.045,1.169,94.425,44.062,17.125
'[15:28:45.704]',-,0.050,0.755,0.940,-0.045,1.170,103.276,45.629,16.812
'[15:28:45.712]',-,0.044,0.765,0.925,-0.045,1.173,111.951,46.879,16.558
'[15:28:45.720]',-,0.070,0.735,0.930,-0.045,1.175,119.453,47.878,16.314
'[15:28:45.728]',-,0.065,0.745,0.910,-0.045,1.176,125.549,48.696,16.187
'[15:28:45.736]',-,0.080,0.730,0.915,-0.045,1.177,130.589,49.445,16.187
'[15:28:45.744]',-,0.065,0.750,0.895,-0.045,1.179,134.985,50.195,16.187
'[15:28:45.752]',-,0.075,0.740,0.895,-0.045,1.182,138.737,50.626,16.001
'[15:28:45.760]',-,0.050,0.765,0.875,-0.045,1.185,141.667,50.808,15.689
'[15:28:45.768]',-,0.055,0.765,0.870,-0.045,1.190,143.953,50.876,15.493
'[15:28:45.776]',-,0.035,0.795,0.845,-0.045,1.196,145.536,51.126,15.493
'[15:28:45.784]',-,0.024,0.800,0.840,-0.045,1.203,146.767,51.444,15.562
'[15:28:45.792]',-,-0.010,0.830,0.830,-0.045,1.211,147.763,51.739,15.620
'[15:28:45.800]',-,-0.005,0.840,0.825,-0.046,1.220,148.466,51.944,15.562
'[15:28:45.808]',-,-0.030,0.870,0.820,-0.046,1.231,149.111,52.125,15.562
'[15:28:45.816]',-,-0.041,0.870,0.825,-0.046,1.241,149.580,52.375,15.435
'[15:28:45.824]',-,-0.065,0.895,0.815,-0.046,1.254,149.932,52.489,15.249
'[15:28:45.832]',-,-0.055,0.900,0.810,-0.047,1.267,150.166,52.307,14.995
'[15:28:45.840]',-,-0.081,0.895,0.825,-0.047,1.281,150.401,51.739,14.682
'[15:28:45.848]',-,-0.065,0.915,0.820,-0.048,1.293,150.752,51.194,14.624
'[15:28:45.856]',-,-0.086,0.900,0.825,-0.048,1.305,151.045,50.694,14.868
'[15:28:45.864]',-,-0.075,0.915,0.820,-0.049,1.316,151.280,50.308,15.249
'[15:28:45.872]',-,-0.090,0.920,0.825,-0.050,1.325,151.573,49.945,15.620
'[15:28:45.880]',-,-0.095,0.925,0.825,-0.051,1.330,151.631,49.491,15.874
'[15:28:45.888]',-,-0.090,0.920,0.835,-0.053,1.333,151.631,49.127,16.060
'[15:28:45.896]',-,-0.095,0.930,0.835,-0.054,1.332,151.338,48.877,16.187
'[15:28:45.904]',-,-0.090,0.920,0.850,-0.054,1.332,150.928,48.741,16.118
'[15:28:45.912]',-,-0.100,0.935,0.850,-0.055,1.333,150.283,48.378,15.874
'[15:28:45.920]',-,-0.081,0.915,0.860,-0.056,1.339,149.404,47.742,15.493
'[15:28:45.928]',-,-0.095,0.925,0.850,-0.057,1.356,148.349,46.992,15.249
'[15:28:45.936]',-,-0.086,0.915,0.865,-0.058,1.392,147.001,46.243,15.181
'[15:28:45.944]',-,-0.095,0.930,0.855,-0.059,1.454,145.419,45.493,15.308
'[15:28:45.952]',-,-0.086,0.915,0.870,-0.060,1.543,143.543,44.676,15.435
'[15:28:45.960]',-,-0.095,0.920,0.865,-0.062,1.662,141.374,43.676,15.562
'[15:28:45.968]',-,-0.070,0.905,0.870,-0.063,1.803,138.795,42.427,15.620
'[15:28:45.976]',-,-0.086,0.915,0.865,-0.064,1.958,135.865,40.746,15.493
'[15:28:45.984]',-,-0.070,0.900,0.875,-0.065,2.117,132.406,38.430,15.308
'[15:28:45.992]',-,-0.081,0.905,0.865,-0.066,2.271,128.479,35.999,15.249
'[15:28:46.000]',-,-0.061,0.895,0.860,-0.067,2.409,124.201,34.614,15.181
'[15:28:46.008]',-,-0.075,0.905,0.875,-0.067,2.513,119.512,35.250,14.995
'[15:28:46.016]',-,-0.050,0.885,0.865,-0.068,2.592,114.764,37.498,14.682
'[15:28:46.024]',-,-0.065,0.895,0.870,-0.068,2.665,110.309,40.178,14.497
'[15:28:46.032]',-,-0.050,0.880,0.860,-0.069,2.724,106.851,42.177,14.682
'[15:28:46.040]',-,-0.061,0.895,0.870,-0.070,2.770,104.800,42.813,14.995
'[15:28:46.048]',-,-0.041,0.875,0.860,-0.070,2.804,104.214,42.177,15.308
'[15:28:46.056]',-,-0.050,0.885,0.865,-0.070,2.828,104.683,40.746,15.689
'[15:28:46.064]',-,-0.041,0.875,0.855,-0.070,2.844,105.210,39.179,16.118
'[15:28:46.072]',-,-0.055,0.870,0.860,-0.069,2.850,105.445,38.112,16.431
'[15:28:46.080]',-,-0.041,0.895,0.855,-0.068,2.850,105.093,37.748,16.558
'[15:28:46.088]',-,-0.035,0.875,0.860,-0.068,2.846,104.565,37.612,16.431
'[15:28:46.096]',-,-0.050,0.885,0.850,-0.067,2.837,104.096,37.498,16.001
'[15:28:46.104]',-,-0.035,0.875,0.860,-0.067,2.821,103.686,37.180,15.562
'[15:28:46.112]',-,-0.055,0.895,0.850,-0.066,2.803,103.217,36.862,15.308
'[15:28:46.120]',-,-0.041,0.870,0.865,-0.065,2.783,102.573,36.613,15.308
'[15:28:46.128]',-,-0.050,0.885,0.850,-0.065,2.763,101.752,36.317,15.435
'[15:28:46.136]',-,-0.035,0.865,0.865,-0.064,2.743,100.873,35.999,15.562
'[15:28:46.144]',-,-0.050,0.875,0.850,-0.062,2.719,99.994,35.568,15.620
'[15:28:46.152]',-,-0.030,0.870,0.865,-0.061,2.695,99.232,35.114,15.747
'[15:28:46.160]',-,-0.041,0.870,0.850,-0.060,2.669,98.470,34.614,15.747
'[15:28:46.168]',-,-0.030,0.865,0.860,-0.059,2.640,97.708,34.114,15.747
'[15:28:46.176]',-,-0.045,0.870,0.860,-0.057,2.610,97.004,33.365,15.620
'[15:28:46.184]',-,-0.021,0.850,0.885,-0.056,2.579,96.125,32.433,15.308
'[15:28:46.192]',-,-0.015,0.845,0.895,-0.055,2.544,95.305,31.502,14.995
'[15:28:46.200]',-,0.015,0.820,0.930,-0.054,2.509,94.543,30.753,14.868
'[15:28:46.208]',-,0.004,0.810,0.945,-0.054,2.473,93.781,30.049,14.936
'[15:28:46.216]',-,0.020,0.800,0.960,-0.053,2.432,93.077,29.435,14.995
'[15:28:46.224]',-,-0.000,0.820,0.940,-0.051,2.384,92.315,28.936,15.181
'[15:28:46.232]',-,-0.000,0.835,0.870,-0.050,2.329,91.553,28.618,15.493
'[15:28:46.240]',-,-0.025,0.870,0.820,-0.049,2.268,90.791,28.504,15.747
'[15:28:46.248]',-,-0.005,0.850,0.825,-0.048,2.199,90.029,28.436,15.806
'[15:28:46.256]',-,-0.025,0.860,0.820,-0.046,2.123,89.385,28.118,15.562
'[15:28:46.264]',-,-0.015,0.845,0.820,-0.046,2.040,88.740,27.800,15.122
'[15:28:46.272]',-,-0.010,0.860,0.830,-0.045,1.952,88.037,27.505,14.936
'[15:28:46.280]',-,-0.025,0.870,0.835,-0.045,1.863,87.450,27.369,14.809
'[15:28:46.288]',-,-0.050,0.885,0.850,-0.044,1.779,86.806,27.187,14.809
'[15:28:46.296]',-,-0.045,0.890,0.845,-0.044,1.703,86.161,27.051,14.809
'[15:28:46.304]',-,-0.041,0.875,0.850,-0.044,1.644,85.633,26.801,14.868
'[15:28:46.312]',-,-0.061,0.885,0.920,-0.044,1.599,85.047,26.505,14.868
'[15:28:46.320]',-,-0.010,0.750,1.055,-0.044,1.561,84.461,26.301,14.751
'[15:28:46.328]',-,0.200,0.570,1.105,-0.044,1.533,83.992,26.256,14.624
'[15:28:46.336]',-,0.550,0.380,0.670,-0.044,1.512,83.465,26.301,14.555
'[15:28:46.344]',-,0.620,0.495,0.245,-0.044,1.499,82.996,26.188,14.370
'[15:28:46.352]',-,0.280,0.765,0.190,-0.044,1.488,82.468,26.051,14.184
'[15:28:46.360]',-,0.075,0.925,0.180,-0.044,1.479,82.058,25.938,14.184
'[15:28:46.368]',-,-0.025,0.940,0.460,-0.044,1.470,81.589,25.870,14.497
'[15:28:46.376]',-,-0.050,0.915,0.700,-0.045,1.460,81.237,25.801,14.868
'[15:28:46.384]',-,-0.061,0.900,0.835,-0.045,1.450,80.886,25.620,15.308
'[15:28:46.392]',-,-0.090,0.915,0.890,-0.046,1.438,80.534,25.188,15.806
'[15:28:46.400]',-,-0.075,0.900,0.910,-0.048,1.429,80.182,24.620,16.431
'[15:28:46.408]',-,-0.095,0.915,0.920,-0.048,1.421,79.948,24.053,17.183
'[15:28:46.416]',-,-0.075,0.900,0.925,-0.049,1.413,79.714,23.735,17.935
'[15:28:46.424]',-,-0.095,0.910,0.935,-0.049,1.402,79.538,23.689,18.502
'[15:28:46.432]',-,-0.086,0.895,0.925,-0.050,1.389,79.362,23.871,18.815
'[15:28:46.440]',-,-0.095,0.910,0.935,-0.051,1.376,79.127,24.302,18.873
'[15:28:46.448]',-,-0.075,0.890,0.925,-0.051,1.363,78.834,24.938,18.932
'[15:28:46.456]',-,-0.090,0.900,0.940,-0.052,1.349,78.600,25.620,18.932
'[15:28:46.464]',-,-0.070,0.890,0.930,-0.053,1.334,78.365,26.188,18.746
'[15:28:46.472]',-,-0.070,0.890,0.940,-0.054,1.319,78.131,26.551,18.375
'[15:28:46.480]',-,-0.055,0.875,0.930,-0.054,1.303,77.897,26.869,17.935
'[15:28:46.488]',-,-0.050,0.870,0.940,-0.056,1.288,77.721,27.187,17.369
'[15:28:46.496]',-,-0.070,0.880,0.935,-0.057,1.272,77.603,27.755,16.626
'[15:28:46.504]',-,-0.045,0.865,0.945,-0.058,1.259,77.486,28.186,15.874
'[15:28:46.512]',-,-0.050,0.870,0.935,-0.059,1.248,77.369,27.687,15.376
'[15:28:46.520]',-,-0.035,0.855,0.945,-0.059,1.235,77.252,26.369,15.435
'[15:28:46.528]',-,-0.045,0.865,0.940,-0.059,1.219,77.076,25.302,15.806
'[15:28:46.536]',-,-0.025,0.845,0.945,-0.059,1.204,76.783,25.370,16.314
'[15:28:46.544]',-,-0.030,0.855,0.935,-0.059,1.150,76.490,26.505,16.812
'[15:28:46.552]',-,-0.005,0.825,0.945,-0.059,1.074,76.255,28.436,17.437
'[15:28:46.560]',-,-0.010,0.835,0.940,-0.059,1.030,76.197,31.048,18.189
'[15:28:46.568]',-,0.004,0.820,0.950,-0.059,1.004,76.666,33.932,18.815
'[15:28:46.576]',-,-0.000,0.820,0.945,-0.058,0.986,78.307,36.817,19.186
'[15:28:46.584]',-,0.020,0.800,0.955,-0.057,0.972,81.941,39.497,19.313
'[15:28:46.592]',-,0.015,0.800,0.950,-0.057,0.959,87.861,41.746,19.186
'[15:28:46.600]',-,0.044,0.780,0.945,-0.056,0.951,95.773,43.744,18.932
'[15:28:46.608]',-,0.030,0.785,0.960,-0.054,0.945,104.741,45.561,18.502
'[15:28:46.616]',-,0.050,0.765,0.945,-0.053,0.936,113.240,46.924,17.750
'[15:28:46.624]',-,0.044,0.770,0.950,-0.052,0.928,120.567,47.946,16.744
'[15:28:46.632]',-,0.065,0.750,0.930,-0.051,0.920,126.487,48.627,15.806
'[15:28:46.640]',-,0.044,0.765,0.940,-0.050,0.913,131.410,49.195,15.181
'[15:28:46.648]',-,0.065,0.770,0.920,-0.049,0.907,135.689,49.627,14.809
'[15:28:46.656]',-,0.044,0.760,0.915,-0.049,0.902,139.264,49.990,14.555
'[15:28:46.664]',-,0.044,0.775,0.895,-0.049,0.899,142.078,50.308,14.438
'[15:28:46.672]',-,0.020,0.795,0.890,-0.048,0.899,144.188,50.444,14.497
'[15:28:46.680]',-,0.024,0.805,0.870,-0.048,0.901,145.653,50.444,14.555
'[15:28:46.688]',-,-0.005,0.830,0.865,-0.048,0.905,146.767,50.558,14.555
'[15:28:46.696]',-,-0.015,0.850,0.850,-0.048,0.910,147.587,50.876,14.624
'[15:28:46.704]',-,-0.030,0.865,0.850,-0.047,0.918,148.349,51.194,14.555
'[15:28:46.712]',-,-0.045,0.885,0.835,-0.046,0.928,148.877,51.239,14.311
'[15:28:46.720]',-,-0.041,0.900,0.845,-0.046,0.937,149.170,51.194,13.999
'[15:28:46.728]',-,-0.081,0.915,0.835,-0.045,0.948,149.404,50.990,13.930
'[15:28:46.736]',-,-0.070,0.910,0.840,-0.045,0.962,149.639,50.694,14.126
'[15:28:46.744]',-,-0.095,0.930,0.830,-0.045,0.977,149.814,50.240,14.370
'[15:28:46.752]',-,-0.081,0.920,0.845,-0.044,0.993,150.049,49.809,14.624
'[15:28:46.760]',-,-0.100,0.940,0.835,-0.045,1.011,150.342,49.309,14.868
'[15:28:46.768]',-,-0.095,0.930,0.845,-0.045,1.028,150.635,48.809,15.063
'[15:28:46.776]',-,-0.110,0.945,0.840,-0.045,1.045,150.811,48.491,14.995
'[15:28:46.784]',-,-0.095,0.940,0.850,-0.046,1.061,150.870,48.310,14.936
'[15:28:46.792]',-,-0.115,0.955,0.840,-0.046,1.072,150.870,48.128,14.809
'[15:28:46.800]',-,-0.095,0.940,0.850,-0.047,1.083,150.635,47.742,14.497
'[15:28:46.808]',-,-0.110,0.940,0.855,-0.048,1.094,150.225,47.242,14.184
'[15:28:46.816]',-,-0.095,0.945,0.850,-0.048,1.105,149.639,46.879,13.999
'[15:28:46.824]',-,-0.120,0.955,0.865,-0.049,1.120,148.818,46.493,14.126
'[15:28:46.832]',-,-0.095,0.935,0.860,-0.051,1.150,147.704,46.061,14.370
'[15:28:46.840]',-,-0.115,0.950,0.875,-0.053,1.202,146.356,45.493,14.555
'[15:28:46.848]',-,-0.095,0.940,0.865,-0.054,1.285,144.715,44.744,14.809
'[15:28:46.856]',-,-0.110,0.945,0.875,-0.055,1.402,142.840,43.812,14.995
'[15:28:46.864]',-,-0.095,0.935,0.875,-0.056,1.550,140.612,42.677,15.122
'[15:28:46.872]',-,-0.081,0.915,0.885,-0.057,1.725,137.975,41.428,15.181
'[15:28:46.880]',-,-0.095,0.940,0.875,-0.059,1.915,134.927,39.565,15.063
'[15:28:46.888]',-,-0.081,0.920,0.885,-0.060,2.108,131.410,36.999,14.682
'[15:28:46.896]',-,-0.090,0.930,0.875,-0.062,2.290,127.542,34.432,14.311
'[15:28:46.904]',-,-0.075,0.915,0.880,-0.064,2.435,123.204,33.433,14.184
'[15:28:46.912]',-,-0.070,0.920,0.875,-0.065,2.548,118.574,34.750,14.311
'[15:28:46.920]',-,-0.065,0.905,0.880,-0.067,2.655,113.826,37.566,14.497
'[15:28:46.928]',-,-0.075,0.910,0.870,-0.068,2.746,109.547,40.383,14.809
'[15:28:46.936]',-,-0.055,0.895,0.880,-0.069,2.819,106.324,41.927,15.181
'[15:28:46.944]',-,-0.070,0.905,0.870,-0.070,2.874,104.565,42.132,15.435
'[15:28:46.952]',-,-0.045,0.895,0.875,-0.071,2.913,104.155,41.178,15.562
'[15:28:46.960]',-,-0.065,0.910,0.870,-0.072,2.938,104.683,39.883,15.620
'[15:28:46.968]',-,-0.050,0.895,0.875,-0.073,2.953,105.151,38.611,15.620
'[15:28:46.976]',-,-0.070,0.910,0.860,-0.073,2.958,105.210,37.612,15.376
'[15:28:46.984]',-,-0.050,0.890,0.855,-0.074,2.955,104.858,36.931,15.122
'[15:28:46.992]',-,-0.065,0.905,0.870,-0.074,2.944,104.272,36.567,15.063
'[15:28:47.000]',-,-0.045,0.890,0.855,-0.074,2.927,103.803,36.317,15.122
'[15:28:47.008]',-,-0.055,0.895,0.870,-0.073,2.904,103.334,35.999,15.181
'[15:28:47.016]',-,-0.050,0.890,0.855,-0.073,2.881,102.866,35.749,15.249
'[15:28:47.024]',-,-0.065,0.905,0.870,-0.073,2.856,102.221,35.568,15.376
'[15:28:47.032]',-,-0.050,0.895,0.860,-0.073,2.831,101.459,35.432,15.493
'[15:28:47.040]',-,-0.065,0.910,0.875,-0.073,2.804,100.638,35.500,15.562
'[15:28:47.048]',-,-0.045,0.890,0.860,-0.072,2.776,99.818,35.568,15.562
