Time,HR,PTT,DBP,SBP
2.528,,,,
2.536,,,,
2.544,,,,
2.552,,,,
2.56,,,,
2.568,,,,
2.576,,,,
2.584,,,,
2.592,,,,
2.6,,,,
2.608,,,,
2.616,,,,
2.624,,,,
2.632,,,,
2.64,,,,
2.648,,,,
2.656,,,,
2.664,,,,
2.672,,,,
2.68,,,,
2.688,,,,
2.696,104.16666666666666,,,
2.704,,,,
2.712,,,,
2.72,,,,
2.728,,,,
2.736,,,,
2.744,,,,
2.752,,,,
2.76,,,,
2.768,,,,
2.776,,,,
2.784,,,,
2.792,,,,
2.8,,,,
2.808,,,,
2.816,,,,
2.824,,,,
2.832,,,,
2.84,,,,
2.848,,,,
2.856,,,,
2.864,,,,
2.872,,,,
2.88,,,,
2.888,,,,
2.896,,,,
2.904,,,,
2.912,,,,
2.92,,,,
2.928,,,,
2.936,,,,
2.944,,,,
2.952,,,,
2.96,,,,
2.968,,,,
2.976,,,,
2.984,,,,
2.992,,,,
3.0,,,,
3.008,,,,
3.016,,,,
3.024,,,,
3.032,,,,
3.04,,,,
3.048,,,,
3.056,,,,
3.064,,,,
3.072,,,,
3.08,,,,
3.088,,,,117.448
3.096,,,,
3.104,,,,
3.112,,,,
3.12,,,,
3.128,,,,
3.136,,,,
3.144,,,,
3.152,,,,
3.16,,,,
3.168,,,,
3.176,,,,
3.184,,,,
3.192,80.81652616423655,0.2719999999999998,,
3.2,,,,
3.208,,,,
3.216,,,,
3.224,,,,
3.232,,,,
3.24,,,,
3.248,,,,
3.256,,,,
3.264,,,,
3.272,,,,
3.28,,,,
3.288,,,,
3.296,,,,
3.304,,,,
3.312,,,,
3.32,,,,
3.328,,,,
3.336,,,,
3.344,,,,
3.352,,,,
3.36,,,,
3.368,,,,
3.376,,,,
3.384,,,,
3.392,,,,
3.4,,,,
3.408,,,,
3.416,,,,
3.424,,,,
3.432,,,,
3.44,,,,
3.448,,,,
3.456,,,,
3.464,,,,
3.472,,,,
3.48,,,,
3.488,,,,
3.496,,,,
3.504,,,,
3.512,,,,
3.52,,,,
3.528,,,,
3.536,,,,
3.544,,,,
3.552,,,,
3.56,,,,
3.568,,,,
3.576,,,,
3.584,,,,
3.592,,,,
3.6,,,,
3.608,,,,
3.616,,,,
3.624,,,,
3.632,,,,
3.64,,,,
3.648,,,,
3.656,,,,
3.664,,,,
3.672,,,,
3.68,,,,
3.688,,,,
3.696,,,,
3.704,,,,
3.712,,,,
3.72,,,,
3.728,,,,
3.736,,,,
3.744,,,,
3.752,,,,
3.76,,,,
3.768,,,,
3.776,,,,
3.784,71.39856836028426,,,
3.792,,,,
3.8,,,,
3.808,,,,
3.816,,,,
3.824,,,,
3.832,,,,
3.84,,,,
3.848,,,,
3.856,,,,
3.864,,,,
3.872,,,,
3.88,,,,
3.888,,,,
3.896,,,,
3.904,,,,
3.912,,,,
3.92,,,,
3.928,,,,
3.936,,,,
3.944,,,,
3.952,,,,
3.96,,,,
3.968,,,,
3.976,,,,
3.984,,,,
3.992,,,,
4.0,,,,
4.008,,,,
4.016,,,,
4.024,,,14.323,
4.032,,,,
4.04,,,,
4.048,,,,
4.056,,,,
4.064,,,,
4.072,,,,
4.08,,,,
4.088,,,,
4.096,,,,
4.104,,,,
4.112,,,,
4.12,,,,
4.128,,,,
4.136,,,,
4.144,,,,
4.152,,,,
4.16,,,,
4.168,,,,
4.176,,,,
4.184,,,,
4.192,,,,120.313
4.2,,,,
4.208,,,,
4.216,,,,
4.224,,,,
4.232,,,,
4.24,,,,
4.248,,,,
4.256,,,,
4.264,,,,
4.272,,,,
4.28,,,,
4.288,,,,
4.296,,,,
4.304,,,,
4.312,,,,
4.32,,,,
4.328,,,,
4.336,,,,
4.344,,,,
4.352,,,,
4.36,,,,
4.368,,,,
4.376,80.27962763378405,0.14399999999999924,,
4.384,,,,
4.392,,,,
4.4,,,,
4.408,,,,
4.416,,,,
4.424,,,,
4.432,,,,
4.44,,,,
4.448,,,,
4.456,,,,
4.464,,,,
4.472,,,,
4.48,,,,
4.488,,,,
4.496,,,,
4.504,,,,
4.512,,,,
4.52,,,,
4.528,,,,
4.536,,,,
4.544,,,,
4.552,,,,
4.56,,,,
4.568,,,,
4.576,,,,
4.584,,,,
4.592,,,,
4.6,,,,
4.608,,,,
4.616,,,,
4.624,,,,
4.632,,,,
4.64,,,,
4.648,,,,
4.656,,,,
4.664,,,,
4.672,,,,
4.68,,,,
4.688,,,,
4.696,,,,
4.704,,,,
4.712,,,,
4.72,,,,
4.728,,,,
4.736,,,,
4.744,,,,
4.752,,,,
4.76,,,,
4.768,,,,
4.776,,,,
4.784,,,,
4.792,,,,
4.8,,,,
4.808,,,,
4.816,,,,
4.824,,,,
4.832,,,,
4.84,,,,
4.848,,,,
4.856,,,,
4.864,100.26102964331038,,,
4.872,,,,
4.88,,,,
4.888,,,,
4.896,,,,
4.904,,,,
4.912,,,,
4.92,,,,
4.928,,,,
4.936,,,,
4.944,,,,
4.952,,,,
4.96,,,,
4.968,,,,
4.976,,,,
4.984,,,,
4.992,,,,
5.0,,,,
5.008,,,,
5.016,,,,
5.024,,,,
5.032,,,,
5.04,,,,
5.048,,,,
5.056,,,,
5.064,,,,
5.072,,,,
5.08,,,,
5.088,,,,
5.096,,,,
5.104,,,,
5.112,,,,
5.12,,,,
5.128,,,,
5.136,,,,
5.144,,,,
5.152,,,,
5.16,,,,
5.168,,,,
5.176,,,,
5.184,,,,
5.192,,,,
5.2,,,,
5.208,,,,
5.216,,,,
5.224,,,,
5.232,,,,
5.24,,,,
5.248,,,,
5.256,,,,
5.264,,,,
5.272,,,,
5.28,,,,
5.288,,,,
5.296,,,,
5.304,,,,
5.312,,,,
5.32,,,,
5.328,,,,
5.336,,,,
5.344,,,,
5.352,,,,139.219
5.36,,,,
5.368,119.04761904761894,0.2239999999999993,,
5.376,,,,
5.384,,,,
5.392,,,,
5.4,,,,
5.408,,,,
5.416,,,,
5.424,,,,
5.432,,,,
5.44,,,,
5.448,,,,
5.456,,,,
5.464,,,,
5.472,,,,
5.48,,,,
5.488,,,,
5.496,,,,
5.504,,,,
5.512,,,,
5.52,,,,
5.528,,,,
5.536,,,,
5.544,,,,
5.552,,,,
5.56,,,,
5.568,,,,
5.576,,,30.365,
5.584,,,,
5.592,,,,
5.6,,,,
5.608,,,,
5.616,,,,
5.624,,,,
5.632,,,,
5.64,,,,
5.648,,,,
5.656,,,,
5.664,,,,
5.672,,,,
5.68,,,,
5.688,,,,
5.696,,,,
5.704,,,,
5.712,,,,
5.72,,,,
5.728,,,,
5.736,,,,
5.744,,,,
5.752,,,,
5.76,,,,
5.768,,,,
5.776,,,,
5.784,,,,
5.792,,,,
5.8,,,,
5.808,,,,
5.816,,,,
5.824,,,,
5.832,,,,
5.84,,,,
5.848,,,,
5.856,,,,
5.864,,,,
5.872,,,,
5.88,,,,
5.888,,,,
5.896,,,,
5.904,,,,
5.912,,,,
5.92,,,,
5.928,,,,
5.936,,,,
5.944,,,,
5.952,125.71678722622809,,,
5.96,,,,
5.968,,,,
5.976,,,,
5.984,,,,
5.992,,,,
6.0,,,,
6.008,,,,
6.016,,,,
6.024,,,,
6.032,,,,
6.04,,,,
6.048,,,,
6.056,,,,
6.064,,,,
6.072,,,,
6.08,,,,
6.088,,,,
6.096,,,,
6.104,,,,
6.112,,,,
6.12,,,,
6.128,,,,
6.136,,,,
6.144,,,,
6.152,,,,
6.16,,,,
6.168,,,,
6.176,,,,
6.184,,,,
6.192,,,,
6.2,,,,
6.208,,,,
6.216,,,,
6.224,,,,
6.232,,,,
6.24,,,,
6.248,,,,
6.256,,,,
6.264,,,,
6.272,,,,
6.28,,,,
6.288,,,,
6.296,,,,
6.304,,,,
6.312,,,,
6.32,,,,
6.328,,,,
6.336,,,,
6.344,,,,136.927
6.352,,,,
6.36,,,,
6.368,,,,
6.376,,,,
6.384,,,,
6.392,,,,
6.4,,,,
6.408,,,,
6.416,,,,
6.424,,,,
6.432,,,,
6.44,,,,
6.448,,,,
6.456,,,,
6.464,117.1874999999999,0.2239999999999993,,
6.472,,,,
6.48,,,,
6.488,,,,
6.496,,,,
6.504,,,,
6.512,,,,
6.52,,,,
6.528,,,,
6.536,,,,
6.544,,,,
6.552,,,,
6.56,,,,
6.568,,,,
6.576,,,,
6.584,,,,
6.592,,,,
6.6,,,,
6.608,,,,
6.616,,,,
6.624,,,,
6.632,,,,
6.64,,,,
6.648,,,,
6.656,,,,
6.664,,,,
6.672,,,,
6.68,,,,
6.688,,,,
6.696,,,,
6.704,,,,
6.712,,,,
6.72,,,,
6.728,,,,
6.736,,,,
6.744,,,,
6.752,,,,
6.76,,,,
6.768,,,,
6.776,,,,
6.784,,,,
6.792,,,,
6.8,,,,
6.808,,,,
6.816,,,,
6.824,,,,
6.832,,,,
6.84,,,,
6.848,,,,
6.856,,,,
6.864,,,,
6.872,,,,
6.88,,,,
6.888,,,,
6.896,,,,
6.904,,,,
6.912,,,,
6.92,,,,
6.928,,,,
6.936,,,,
6.944,,,,
6.952,,,,
6.96,,,,
6.968,,,,
6.976,,,,
6.984,,,,
6.992,,,,
7.0,,,,
7.008,,,,
7.016,,,,
7.024,,,,
7.032,,,,
7.04,104.16666666666673,,,
7.048,,,,
7.056,,,,
7.064,,,,
7.072,,,,
7.08,,,,
7.088,,,,
7.096,,,,
7.104,,,,
7.112,,,,
7.12,,,,
7.128,,,,
7.136,,,,
7.144,,,,
7.152,,,,
7.16,,,,
7.168,,,,
7.176,,,,
7.184,,,32.083,
7.192,,,,
7.2,,,,
7.208,,,,
7.216,,,,
7.224,,,,
7.232,,,,
7.24,,,,
7.248,,,,
7.256,,,,
7.264,,,,
7.272,,,,
7.28,,,,
7.288,,,,
7.296,,,,
7.304,,,,
7.312,,,,
7.32,,,,
7.328,,,,
7.336,,,,
7.344,,,,
7.352,,,,
7.36,,,,
7.368,,,,
7.376,,,,
7.384,,,,
7.392,,,,
7.4,,,,
7.408,,,,
7.416,,,,
7.424,,,,
7.432,,,,
7.44,,,,
7.448,,,,
7.456,,,,
7.464,,,,
7.472,,,,
7.48,,,,
7.488,,,,
7.496,,,,
7.504,,,,
7.512,,,,
7.52,,,,144.375
7.528,,,,
7.536,,,,
7.544,,,,
7.552,,,,
7.56,,,,
7.568,,,,
7.576,,,,
7.584,,,,
7.592,,,,
7.6,,,,
7.608,,,,
7.616,104.16666666666673,0.17600000000000016,,
7.624,,,,
7.632,,,,
7.64,,,,
7.648,,,,
7.656,,,,
7.664,,,,
7.672,,,,
7.68,,,,
7.688,,,,
7.696,,,,
7.704,,,,
7.712,,,,
7.72,,,,
7.728,,,,
7.736,,,,
7.744,,,,
7.752,,,,
7.76,,,,
7.768,,,,
7.776,,,,
7.784,,,,
7.792,,,,
7.8,,,,
7.808,,,,
7.816,,,,
7.824,,,,
7.832,,,,
7.84,,,,
7.848,,,,
7.856,,,,
7.864,,,,
7.872,,,,
7.88,,,,
7.888,,,,
7.896,,,,
7.904,,,,
7.912,,,,
7.92,,,,
7.928,,,,
7.936,,,,
7.944,,,,
7.952,,,,
7.96,,,,
7.968,,,,
7.976,,,,
7.984,,,,
7.992,,,,
8.0,,,,
8.008,,,,
8.016,,,,
8.024,,,,
8.032,,,,
8.04,,,,
8.048,,,,
8.056,,,,
8.064,,,,
8.072,,,,
8.08,,,,
8.088,,,,
8.096,,,,
8.104,,,,
8.112,,,,
8.12,,,,
8.128,117.1874999999999,,,
8.136,,,,
8.144,,,,
8.152,,,,
8.16,,,,
8.168,,,,
8.176,,,,
8.184,,,,
8.192,,,,
8.2,,,,
8.208,,,,
8.216,,,,
8.224,,,,
8.232,,,,
8.24,,,,
8.248,,,,
8.256,,,,
8.264,,,,
8.272,,,,
8.28,,,,
8.288,,,,
8.296,,,,
8.304,,,6.875,
8.312,,,,
8.32,,,,
8.328,,,,
8.336,,,,
8.344,,,,
8.352,,,,
8.36,,,,
8.368,,,,
8.376,,,,
8.384,,,,
8.392,,,,
8.4,,,,
8.408,,,,
8.416,,,,
8.424,,,,
8.432,,,,
8.44,,,,
8.448,,,,
8.456,,,,
8.464,,,,
8.472,,,,
8.48,,,,
8.488,,,,
8.496,,,,
8.504,,,,
8.512,,,,
8.52,,,,
8.528,,,,
8.536,,,,
8.544,,,,169.584
8.552,,,,
8.56,,,,
8.568,,,,
8.576,,,,
8.584,,,,
8.592,,,,
8.6,,,,
8.608,,,,
8.616,130.99391585005753,0.2320000000000011,,
8.624,,,,
8.632,,,,
8.64,,,,
8.648,,,,
8.656,,,,
8.664,,,,
8.672,,,,
8.68,,,,
8.688,,,,
8.696,,,,
8.704,,,,
8.712,,,,
8.72,,,,
8.728,,,,
8.736,,,,
8.744,,,,
8.752,,,,
8.76,,,,
8.768,,,,
8.776,,,,
8.784,,,,
8.792,,,,
8.8,,,,
8.808,,,,
8.816,,,,
8.824,,,,
8.832,,,,
8.84,,,,
8.848,,,,
8.856,,,,
8.864,,,,
8.872,,,,
8.88,,,,
8.888,,,,
8.896,,,,
8.904,,,,
8.912,,,,
8.92,,,,
8.928,,,,
8.936,,,,
8.944,,,,
8.952,,,,
8.96,,,,
8.968,,,,
8.976,,,,
8.984,,,,
8.992,,,,
9.0,,,,
9.008,,,,
9.016,,,,
9.024,,,,
9.032,,,,
9.04,,,,
9.048,,,,
9.056,,,,
9.064,,,,
9.072,,,,
9.08,,,,
9.088,,,,
9.096,,,,
9.104,,,,
9.112,,,,
9.12,,,,
9.128,,,,
9.136,,,,
9.144,,,,
9.152,,,,
9.16,,,,
9.168,,,,
9.176,,,,
9.184,,,,
9.192,,,,
9.2,,,,
9.208,137.21380801206809,,,
9.216,,,,
9.224,,,,
9.232,,,,
9.24,,,,
9.248,,,,
9.256,,,,
9.264,,,,
9.272,,,,
9.28,,,,
9.288,,,,
9.296,,,,
9.304,,,,
9.312,,,,
9.32,,,,
9.328,,,,
9.336,,,,
9.344,,,,
9.352,,,,
9.36,,,,
9.368,,,,
9.376,,,,
9.384,,,,
9.392,,,,
9.4,,,,
9.408,,,,
9.416,,,,
9.424,,,,
9.432,,,,
9.44,,,,
9.448,,,,
9.456,,,,
9.464,,,,
9.472,,,,
9.48,,,,
9.488,,,,
9.496,,,,
9.504,,,,
9.512,,,,
9.52,,,,
9.528,,,,
9.536,,,,
9.544,,,,
9.552,,,,
9.56,,,,
9.568,,,,
9.576,,,,
9.584,,,,
9.592,,,,
9.6,,,,
9.608,,,,
9.616,,,,
9.624,,,,
9.632,,,,
9.64,,,,
9.648,,,,128.907
9.656,,,,
9.664,,,,
9.672,,,,
9.68,,,,
9.688,,,,
9.696,,,,
9.704,134.34364653288114,0.2400000000000002,,
9.712,,,,
9.72,,,,
9.728,,,,
9.736,,,,
9.744,,,,
9.752,,,,
9.76,,,,
9.768,,,,
9.776,,,,
9.784,,,,
9.792,,,,
9.8,,,,
9.808,,,,
9.816,,,,
9.824,,,,
9.832,,,,
9.84,,,,
9.848,,,,
9.856,,,,
9.864,,,,
9.872,,,,
9.88,,,,
9.888,,,,
9.896,,,,
9.904,,,,
9.912,,,,
9.92,,,,
9.928,,,,
9.936,,,,
9.944,,,,
9.952,,,,
9.96,,,,
9.968,,,,
9.976,,,,
9.984,,,,
9.992,,,,
10.0,,,,
10.008,,,,
10.016,,,,
10.024,,,,
10.032,,,,
10.04,,,,
10.048,,,,
10.056,,,,
10.064,,,,
10.072,,,,
10.08,,,,
10.088,,,,
10.096,,,,
10.104,,,,
10.112,,,,
10.12,,,,
10.128,,,,
10.136,,,,
10.144,,,,
10.152,,,,
10.16,,,,
10.168,,,,
10.176,,,,
10.184,,,,
10.192,,,,
10.2,,,,
10.208,,,,
10.216,,,,
10.224,,,,
10.232,,,,
10.24,,,,
10.248,,,,
10.256,,,,
10.264,,,,
10.272,,,,
10.28,,,,
10.288,,,,
10.296,125.40317919257448,,,
10.304,,,,
10.312,,,,
10.32,,,,
10.328,,,,
10.336,,,,
10.344,,,,
10.352,,,,
10.36,,,,
10.368,,,,
10.376,,,,
10.384,,,,
10.392,,,,
10.4,,,,
10.408,,,,
10.416,,,,
10.424,,,,
10.432,,,,
10.44,,,,
10.448,,,,
10.456,,,,
10.464,,,,
10.472,,,,
10.48,,,,
10.488,,,,
10.496,,,,
10.504,,,,
10.512,,,46.979,
10.52,,,,
10.528,,,,
10.536,,,,
10.544,,,,
10.552,,,,
10.56,,,,
10.568,,,,
10.576,,,,
10.584,,,,
10.592,,,,
10.6,,,,
10.608,,,,
10.616,,,,
10.624,,,,
10.632,,,,
10.64,,,,
10.648,,,,
10.656,,,,
10.664,,,,
10.672,,,,
10.68,,,,
10.688,,,,
10.696,,,,
10.704,,,,
10.712,,,,
10.72,,,,
10.728,,,,
10.736,,,,
10.744,,,,
10.752,,,,
10.76,,,,129.48
10.768,,,,
10.776,,,,
10.784,,,,
10.792,,,,
10.8,,,,
10.808,,,,
10.816,115.38461538461509,0.2079999999999984,,
10.824,,,,
10.832,,,,
10.84,,,,
10.848,,,,
10.856,,,,
10.864,,,,
10.872,,,,
10.88,,,,
10.888,,,,
10.896,,,,
10.904,,,,
10.912,,,,
10.92,,,,
10.928,,,,
10.936,,,,
10.944,,,,
10.952,,,,
10.96,,,,
10.968,,,,
10.976,,,,
10.984,,,,
10.992,,,,
11.0,,,,
11.008,,,,
11.016,,,,
11.024,,,,
11.032,,,,
11.04,,,,
11.048,,,,
11.056,,,,
11.064,,,,
11.072,,,,
11.08,,,,
11.088,,,,
11.096,,,,
11.104,,,,
11.112,,,,
11.12,,,,
11.128,,,,
11.136,,,,
11.144,,,,
11.152,,,,
11.16,,,,
11.168,,,,
11.176,,,,
11.184,,,,
11.192,,,,
11.2,,,,
11.208,,,,
11.216,,,,
11.224,,,,
11.232,,,,
11.24,,,,
11.248,,,,
11.256,,,,
11.264,,,,
11.272,,,,
11.28,,,,
11.288,,,,
11.296,,,,
11.304,,,,
11.312,,,,
11.32,,,,
11.328,,,,
11.336,,,,
11.344,,,,
11.352,,,,
11.36,,,,
11.368,108.69565217391312,,,
11.376,,,,
11.384,,,,
11.392,,,,
11.4,,,,
11.408,,,,
11.416,,,,
11.424,,,,
11.432,,,,
11.44,,,36.667,
11.448,,,,
11.456,,,,
11.464,,,,
11.472,,,,
11.48,,,,
11.488,,,,
11.496,,,,
11.504,,,,
11.512,,,,
11.52,,,,
11.528,,,,
11.536,,,,
11.544,,,,
11.552,,,,
11.56,,,,
11.568,,,,
11.576,,,,
11.584,,,,
11.592,,,,
11.6,,,,
11.608,,,,
11.616,,,,
11.624,,,,
11.632,,,,
11.64,,,,
11.648,,,,
11.656,,,,
11.664,,,,
11.672,,,,
11.68,,,,
11.688,,,,
11.696,,,,
11.704,,,,
11.712,,,,
11.72,,,,
11.728,,,,
11.736,,,,
11.744,,,,
11.752,,,,
11.76,,,,
11.768,,,,
11.776,,,,
11.784,,,,
11.792,,,,
11.8,,,,
11.808,,,,
11.816,,,,
11.824,,,,
11.832,,,,120.886
11.84,,,,
11.848,,,,
11.856,,,,
11.864,106.51514475557865,0.23199999999999932,,
11.872,,,,
11.88,,,,
11.888,,,,
11.896,,,,
11.904,,,,
11.912,,,,
11.92,,,,
11.928,,,,
11.936,,,,
11.944,,,,
11.952,,,,
11.96,,,,
11.968,,,,
11.976,,,,
11.984,,,,
11.992,,,,
12.0,,,,
12.008,,,,
12.016,,,,
12.024,,,,
12.032,,,,
12.04,,,,
12.048,,,,
12.056,,,,
12.064,,,,
12.072,,,,
12.08,,,,
12.088,,,,
12.096,,,,
12.104,,,,
12.112,,,,
12.12,,,,
12.128,,,,
12.136,,,,
12.144,,,,
12.152,,,,
12.16,,,,
12.168,,,,
12.176,,,,
12.184,,,,
12.192,,,,
12.2,,,,
12.208,,,,
12.216,,,,
12.224,,,,
12.232,,,,
12.24,,,,
12.248,,,,
12.256,,,,
12.264,,,,
12.272,,,,
12.28,,,,
12.288,,,,
12.296,,,,
12.304,,,,
12.312,,,,
12.32,,,,
12.328,,,,
12.336,,,,
12.344,,,,
12.352,,,,
12.36,,,,
12.368,,,,
12.376,,,,
12.384,,,,
12.392,,,,
12.4,,,,
12.408,,,,
12.416,,,,
12.424,,,,
12.432,105.63380281690148,,,
12.44,,,,
12.448,,,,
12.456,,,,
12.464,,,,
12.472,,,,
12.48,,,,
12.488,,,,
12.496,,,,
12.504,,,,
12.512,,,,
12.52,,,,
12.528,,,,
12.536,,,,
12.544,,,,
12.552,,,,
12.56,,,,
12.568,,,,
12.576,,,,
12.584,,,,
12.592,,,,
12.6,,,,
12.608,,,,
12.616,,,49.844,
12.624,,,,
12.632,,,,
12.64,,,,
12.648,,,,
12.656,,,,
12.664,,,,
12.672,,,,
12.68,,,,
12.688,,,,
12.696,,,,
12.704,,,,
12.712,,,,
12.72,,,,
12.728,,,,
12.736,,,,
12.744,,,,
12.752,,,,
12.76,,,,
12.768,,,,
12.776,,,,
12.784,,,,
12.792,,,,
12.8,,,,
12.808,,,,
12.816,,,,
12.824,,,,
12.832,,,,116.302
12.84,,,,
12.848,,,,
12.856,,,,
12.864,,,,
12.872,,,,
12.88,,,,
12.888,,,,
12.896,,,,
12.904,,,,
12.912,,,,
12.92,,,,
12.928,,,,
12.936,,,,
12.944,,,,
12.952,,,,
12.96,101.87827029525029,0.18399999999999928,,
12.968,,,,
12.976,,,,
12.984,,,,
12.992,,,,
13.0,,,,
13.008,,,,
13.016,,,,
13.024,,,,
13.032,,,,
13.04,,,,
13.048,,,,
13.056,,,,
13.064,,,,
13.072,,,,
13.08,,,,
13.088,,,,
13.096,,,,
13.104,,,,
13.112,,,,
13.12,,,,
13.128,,,,
13.136,,,,
13.144,,,,
13.152,,,,
13.16,,,,
13.168,,,,
13.176,,,,
13.184,,,,
13.192,,,,
13.2,,,,
13.208,,,,
13.216,,,,
13.224,,,,
13.232,,,,
13.24,,,,
13.248,,,,
13.256,,,,
13.264,,,,
13.272,,,,
13.28,,,,
13.288,,,,
13.296,,,,
13.304,,,,
13.312,,,,
13.32,,,,
13.328,,,,
13.336,,,,
13.344,,,,
13.352,,,,
13.36,,,,
13.368,,,,
13.376,,,,
13.384,,,,
13.392,,,,
13.4,,,,
13.408,,,,
13.416,,,,
13.424,,,,
13.432,,,,
13.44,,,,
13.448,,,,
13.456,,,,
13.464,,,,
13.472,,,,
13.48,,,,
13.488,,,,
13.496,,,,
13.504,93.91596280542855,,,
13.512,,,,
13.52,,,,
13.528,,,,
13.536,,,,
13.544,,,,
13.552,,,,
13.56,,,,
13.568,,,,
13.576,,,,
13.584,,,,
13.592,,,,
13.6,,,,
13.608,,,,
13.616,,,,
13.624,,,,
13.632,,,,
13.64,,,,
13.648,,,,
